CAN DOI KE TOAN	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	60000	60000	60000	60000	60000	60000	58867	58867	58867	0	0	0	0	0	500	500	0	0	0	150	150	0	150	0	150	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	45	45	65	88	261	277	386	1336	1562	2139	2399	562	442	421	460	538	549	601	684	844	958	2279	2269	1263	2518	1674	2774	3539	3717	4237	4811	4797	5055	4449	2345	2880	2903	3318	3669	3905	4884	4942	3769	3932	4293	4221	4296	4349	5033	4206	4099	3717	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	10047	10047	82917	83533	178947	134860	146880	165270	167044	154139	176419	196047	202294	202635	249246	285765	292835	321245	319600	334309	350901	350240	326641	326914	315928	326408	330167	311640	313942	329366	338931	370147	306729	289135	300171	299342	300472	285168	285156	281747	285683	285253	279053	270080	226535	189615	186950	167635	152105	153715	146690	147308	152927
Nợ phải trả ###Liabilities	165639	165639	133178	149627	134810	106013	95953	105329	123807	85974	120861	135654	131595	129410	168721	206551	206507	202775	204165	219755	236430	233922	222961	221501	202302	213279	216735	198419	188078	185116	194785	219880	215091	197717	195314	194505	195733	176188	177757	175351	181194	172187	164981	155540	116069	134041	131385	115210	102717	101673	96739	101867	111327
Nợ ngắn hạn###Short term Liabilities	71039	71039	133013	54861	134165	62940	95380	104514	122995	85254	120071	134865	131595	129410	168721	191813	190892	186985	190382	202706	221166	214339	202536	204831	180630	193836	191857	172808	161909	158617	187671	212766	204796	193540	190363	188681	189703	167247	167939	158757	164828	153859	150058	141530	106186	125503	117948	100937	89635	85685	85378	81463	79168
Nợ dài hạn###Long term Liabilities	94600	94600	165	94765	645	43074	574	815	812	720	789	789	0	0	0	14738	15615	15790	13783	17049	15264	19583	20425	16670	21672	19443	24878	25611	26169	26499	7113	7113	10295	4177	4950	5824	6030	8941	9818	16595	16366	18329	14923	14009	9883	8538	13437	14274	13082	15987	11361	20404	32159
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	-155592	-155592	-50261	-66094	44137	28847	50926	59941	43238	68165	55558	60394	70698	73225	80525	79214	86328	118470	115435	114554	114470	116318	103679	105413	113626	113129	113432	113221	125864	144250	144146	150267	91638	91418	104857	104837	104738	108980	107398	106395	104489	113066	114072	114540	110466	55574	55565	52425	49388	52043	49951	45442	0
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1251	1251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0
Vốn chủ sở hữu ###Owners equity	-155592	-155592	-50261	-66094	44137	28847	50926	59941	43238	68165	55558	60394	70698	73225	80525	79214	86328	118470	115435	114554	114470	115067	102429	105413	113626	113129	113432	113221	125864	144250	144146	150267	91638	91418	104857	104837	104738	108980	107398	106395	104489	113066	114072	114540	110466	55574	55565	52425	49388	52043	49951	45011	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313942	329366	338931	370147	306729	289135	300171	299342	300472	285168	285156	281747	285683	285253	279053	270080	226535	189615	186950	167635	152105	153715	146690	147308	152927



KET QUA KINH DOANH	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	387	9023	9023	1550	6173	1168	24083	10099	2349	3586	4047	27417	4326	5064	9384	8642	183348	99230	28475	33992	21712	221278	52427	56303	67150	51056	168562	71981	43993	25037	27637	184635	56366	60178	37375	30767	139343	26079	36728	36217	39687	176082	51742	45630	51306	39478	155400	54198	54222	40362	28968	107633	54222	53763	123673	0
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	28	4	4	4	16	2256	1	2252	0	4	8	0	0	4	2428	2	11169	0	0	0	0	9595	0	0	0
Doanh thu thuần###Net Sales	387	9023	9023	1550	6173	1168	24083	10099	2349	3586	4047	27417	4326	5064	9384	8642	183348	99230	28475	33992	21712	221276	52424	56303	67150	51056	168562	71981	43993	25037	27637	184607	56362	60174	37371	30751	137087	26078	34476	36217	39683	176073	51742	45630	51302	37050	155398	43028	54222	40362	28968	107633	44627	53763	123673	91097
Giá vốn hàng bán###Cost of goods sold	200	102297	102297	1465	71924	2234	39340	20478	1942	6081	5827	36990	12334	6684	14833	6334	199914	134715	21358	27371	16533	185862	38160	47633	64881	41060	160899	63040	45215	32354	20847	158495	53253	51258	34714	20847	93286	19717	23674	23370	26869	118645	37644	29531	37960	22414	108526	30992	42637	29534	17648	73938	33042	34070	81232	62833
Lợi nhuận gộp###Gross profit	187	-93274	-93274	85	-65751	-1066	-15257	-10379	407	-2495	-1780	-9574	-8008	-1619	-5449	2309	-16566	-35486	7116	6620	5178	35414	14265	8670	2269	9997	7663	8940	-1222	-7316	6790	26112	3109	8916	2658	9904	43801	6361	10802	12847	12814	57429	14098	16099	13341	14636	46872	12036	11585	10828	11319	33695	11585	19693	42441	28264
Doanh thu hoạt động tài chính###Financial activities Revenues	0	1	1	0	0	0	3	0	0	2	0	14	0	0	1	1	11	0	0	10	1	7025	7021	1	2	1	66	4	1	20	24	359	3	8	91	4	198	18	10	57	26	283	42	51	61	25	65	7	10	17	7	23	10	5	325	75
Chi phí tài chính###Financial Expenses	0	54132	54132	0	0	126	1075	60	91	-80	502	6563	477	465	2214	4211	8649	1068	2412	2492	2677	12413	3529	2638	4053	2691	15212	3701	3888	4940	2683	17943	5090	3302	5065	4453	23634	3954	5398	6312	6469	22870	7355	6769	4994	4106	11239	3557	2896	2885	1879	10281	2896	2884	12956	10764
Chi phí bán hàng###Selling Expenses	11	11142	11142	110	11131	3	263	23	31	60	74	1163	420	202	-290	586	1127	214	275	323	315	5236	1050	1385	1332	1454	5758	1537	1715	1247	1240	5370	1257	1171	1411	1541	5270	1716	1202	1170	1180	5294	1437	1336	1360	1641	7038	1384	2117	-436	3918	11206	2117	8407	16312	9124
Chi phí quản lý doanh nghiệp###Managing Expenses	543	8044	8044	972	5607	859	5154	880	1168	-24	1503	9724	1765	1416	2334	1212	8357	1683	1840	2936	1884	15302	2323	3103	4260	4331	19991	5376	5367	4713	4047	19901	6667	4128	9737	3835	15817	3678	3796	4129	4056	17344	4270	4137	4909	3993	14410	3999	3465	3645	3354	11520	3465	3520	10981	5418
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-366	-166592	-166592	-997	-82488	-2054	-21746	-11342	-884	-2448	-3859	-27009	-10670	-3702	-9706	-3701	-34687	-38450	2591	879	303	9488	14384	1545	-7375	1522	-33232	-1670	-12191	-18197	-1156	-16743	-9902	323	-13463	79	-722	-2970	416	1292	1136	12203	1079	3908	2139	4921	14250	3103	3117	4750	2176	711	3117	4887	2517	3033
Thu nhập khác###Other incomes	183	572	572	0	-328	871	11073	2545	900	-1191	1303	16102	1425	99	-1270	9119	942	455	696	329	127	1077	4041	9277	1672	0	5110	3075	264	435	1335	2917	2014	5	898	0	4461	441	347	1888	1704	8040	2369	2195	3182	0	5821	937	4850	33	0	11299	4850	33	563	3714
Chi phí khác###Other Expenses	292	18419	18419	0	10712	231	16038	245	16	3817	16	29299	1059	78	-3676	4107	1174	546	198	328	346	9224	5786	14304	2510	1025	2894	1346	717	624	74	3727	2772	34	881	52	3073	535	470	1375	693	10543	2032	1793	1621	21	4878	494	3867	117	87	2558	3867	79	869	2451
Lợi nhuận khác###Other profits	-109	-17847	-17847	0	-11040	641	-4965	2301	884	-5008	1287	-13197	366	21	2405	5012	-232	-91	498	1	-219	-8147	-1746	-5027	-838	-1025	2215	1729	-453	-189	1260	-810	-757	-29	17	-52	1388	-93	-123	513	1011	-2503	338	402	1561	-21	943	443	983	-84	-87	8742	983	-46	-306	1263
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-475	-184439	-184439	-997	-93528	-1413	-26711	-9041	0	-7456	-2573	-40206	-10305	-3681	-7300	1311	-34920	-38541	3088	881	84	1342	12639	-3482	-8213	497	-31017	59	-12643	-18385	104	-17553	-10660	294	-13446	27	667	-3064	292	1805	2147	9700	14536	4311	3700	4900	15193	3545	4101	4666	2089	9453	4101	4841	2211	4296
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	3450	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	304	0	0	0	537	3260	248	1078	1091	1225	3976	886	1025	1202	522	2283	0	0	561	1174
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	3450	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	-7	7	304	0	73	491	537	3260	248	1078	925	1225	3976	886	1025	1202	522	2230	1025	1210	609	1174
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	-48	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-475	-184439	-184439	-997	-93528	-1413	-26711	-9041	0	-7456	-2573	-43655	-10305	-3681	-7300	1311	-35257	-38541	3088	881	84	1342	12639	-3482	-8213	497	-31017	59	-12643	-18385	104	-17553	-10660	220	-13439	20	362	-3064	219	1314	1610	6441	1169	3233	2775	3675	11217	2659	3076	3465	1567	7169	3076	3631	1650	3122
---Cac Chi So Tai Chinh---																																																								
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	0.30	0.40	0.40	0.60	0.60	0.70	0.60	0.60	0.70	0.80	0.70	0.80	0.80	1.00	1.20	1.80	2.20	2.20	2.20	2.40	3.30	2.00	2.00	1.90	3.80	2.90	2.90	2.90	3.50	4.20	5.80	4.40	4.40	3.00	5.00	5.20	6.90	6.90	6.00	10.30	10.00	6.03	6.03	9.04	11.77	22.69	14.30	14.30	17.46	14.90	9.01	9.70	9.70	0.00	0.00	0.00
