CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	 2005
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	2000	1895	1895	1895	1936	1936	2000	1568	1568	1598	1122	1122	1216	1216	1044	1044	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2400	2300	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	539	790	1780	2069	2608	3182	3505	4584	4584	808	1447	1447	2086	5087	5275	5623	4061	4219	4219	4608	3029	3102	3102	3183	3183	3183	3264	3264	3425	3827	4148	4630	5032	7775	5601	6138	6310	6688	3653	3653	3654	3642	3646	10	3632	3423	2263	2267	327	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	405160	401565	414274	414019	398640	424624	427586	432151	427905	442684	472985	465459	467502	459765	467249	500757	489680	486004	486909	510140	542578	536442	546813	547940	537196	559603	574382	588372	588533	596391	613124	611747	624597	627733	632815	656634	654681	664467	672702	670471	671194	650183	623285	622999	615794	610049	582842	544344	548902	528586	496199	462662	423514	423514	427599	406462	401466	397610	397610	368071	316134	299645	287287	287287	260758	251956	243490	239054	239054	239054	198669
Nợ phải trả ###Liabilities	108425	97702	106470	106163	103016	137699	118775	130471	125011	147637	187416	163093	171889	170859	185957	226582	209220	212318	212572	230577	272576	252616	269031	270620	314491	345569	368888	388144	388144	407537	424754	414175	429835	434682	442574	471858	465156	475083	477417	487672	495504	469691	446787	448537	443818	425675	397886	372112	370329	428824	405744	377595	340127	340254	340077	324399	321207	318634	318702	292151	245346	223023	211309	211141	186454	180658	176517	170118	170065	170065	151440
Nợ ngắn hạn###Short term Liabilities	108425	82753	91521	91214	60221	94904	52224	63920	59245	46143	85923	48790	57585	58686	32882	73508	42392	45491	46869	11494	52494	32534	48948	12500	53370	118900	142219	161475	161475	110166	127383	162368	198737	202135	163200	192484	210959	220887	157514	156182	151573	113639	111754	115383	120200	115060	145044	78482	76887	138258	124665	94235	69110	69424	41097	45248	42400	52034	52102	33081	39378	35216	33093	32925	10249	15064	21232	10905	10852	10852	20897
Nợ dài hạn###Long term Liabilities	0	14949	14949	14949	42795	42795	66551	66551	65766	101494	101494	114304	114304	112174	153075	153074	166828	166828	165703	219083	220083	220083	220083	258121	261121	226669	226669	226669	226669	297371	297371	251807	231098	232546	279374	279374	254196	254196	319903	331491	343932	356052	335034	333154	323619	310615	252842	293630	293442	290566	281079	283360	271017	270830	298980	279151	278808	266600	266600	259071	205968	187807	178216	178216	176205	165594	155284	159214	159214	0	130542
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	9	0	0	0
Vốn chủ sở hữu ###Owners equity	296735	303863	307803	307856	295624	286925	308811	301681	302894	295047	285569	302365	295614	288905	281292	274176	280460	273686	274337	279564	270001	283826	277782	277319	222705	214034	205494	200227	200389	188854	188370	197571	184496	183319	180508	174809	183557	189384	177417	172020	164951	170699	176498	164744	161859	174378	174918	172232	168618	92647	90455	85067	83386	83259	87523	82062	80259	78976	78908	75920	70788	76623	75978	76146	74304	71298	66973	68936	68989	68588	47229
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	9	18	18	115	138	186	186	186	186	186	186	211	211	235	475	307	408	408	595	739	553	419	588	660	708	398	347	400	0	442
Vốn chủ sở hữu ###Owners equity	296735	303863	307803	307856	295624	286925	308811	301681	302894	295047	285569	302365	295614	288905	281292	274176	280460	273686	274337	279564	270001	283826	277782	277319	222705	214034	205494	200227	200389	188854	188370	197571	184496	183319	180508	174809	183557	189383	177417	172020	164948	170689	176480	164726	161744	174240	174732	172046	168432	92461	90269	84880	83176	83049	87288	81587	79952	78568	78500	75325	70049	76069	75558	75558	73644	70590	66575	68588	68588	0	47016
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10603	0	10427	6769	10372	10266	10266	9733	9733	9967	5969	10807	17868	10779	10739	9793	9793	9718	10116	9996	10039	9955	9955	7115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	613124	611747	624597	627733	632815	656634	654681	664467	672702	670471	671194	650183	623285	622999	615794	0	582842	544344	548902	528586	502133	462662	423514	423514	427599	406462	401466	397610	397610	368071	316134	299645	287287	287287	260758	251956	243490	239054	239054	239054	198669



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q1 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	71681	34708	152869	41568	36667	55694	37344	180228	49105	38223	59146	34252	166704	41498	30812	58887	35507	160090	37235	41123	46153	35579	163673	43245	38354	49198	32876	141034	36477	38835	41625	24096	125121	26359	33199	40311	25251	124490	39985	23828	36427	24472	102253	24527	24337	40346	11450	75749	19857	28827	21627	5434	57959	9683	46030	12137	4168	37809	11313	12491	10139	3866	35655	7611	28044	15496	5339	35228	35228	35228	35277
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	71681	34708	152869	41568	36667	55694	37344	180228	49105	38223	59146	34252	166704	41498	30812	58887	35507	160090	37235	41123	46153	35579	163673	43245	38354	49198	32876	141034	36477	38835	41625	24096	125121	26359	33199	40311	25251	124490	39985	23828	36427	24472	102253	24527	24337	40346	11450	75749	19857	28827	21627	5434	57959	9683	46030	12137	4168	37809	11313	12491	10139	3866	35655	7611	28044	15496	5339	35228	35228	35228	35277
Giá vốn hàng bán###Cost of goods sold	40902	17123	71303	19721	22184	24327	23474	119716	36803	22026	28022	20780	88073	27284	19363	29946	21479	91329	21407	23578	24652	21727	91198	28089	19608	26714	16913	72587	17551	23577	17721	13738	52926	12004	14271	14967	12613	49605	21088	8112	11795	9736	38520	9799	8431	17941	3501	33368	14100	5296	4745	1196	22440	4109	16735	3467	3085	14875	4581	3646	3320	3352	13758	3307	10489	6740	3404	13365	13365	13365	12655
Lợi nhuận gộp###Gross profit	30779	17585	81566	21847	14483	31367	13870	60512	12302	16196	31124	13472	78630	14214	11449	28941	14028	68761	15827	17545	21501	13853	72475	15156	18747	22484	15962	68447	18926	15258	23905	10358	72195	14355	18928	25344	12638	74885	18897	15716	24631	14736	63733	14727	15906	22405	7949	42381	5756	23531	16882	4239	35519	5574	29295	8669	1083	22934	6732	8845	6819	513	21898	4304	17556	8757	1935	21863	21863	21863	22622
Doanh thu hoạt động tài chính###Financial activities Revenues	109	139	1160	286	279	509	87	847	151	200	257	239	2941	356	2347	232	92	740	143	25	301	270	1954	276	638	631	627	2643	653	658	675	657	3283	798	811	-2826	4500	5506	1449	859	3611	28	494	1451	95	12	869	1726	1432	149	10	5	2498	1274	1223	527	680	2502	1437	321	338	405	2621	1949	673	661	11	2198	2198	2198	2208
Chi phí tài chính###Financial Expenses	1401	1794	9342	1907	2257	2194	2984	13745	2666	3626	3599	3853	18613	4372	4412	5034	4768	21642	5550	5540	5212	5445	30792	5420	8537	8288	8695	41534	9950	10244	14589	6751	49214	10537	12458	11213	13553	41940	10422	10929	11458	9424	38566	10980	13567	9502	3642	33847	8152	16209	9374	2278	23602	4866	18736	6718	0	14267	3766	3664	6837	0	16093	3903	12164	6835	3816	17052	17052	17052	17333
Chi phí bán hàng###Selling Expenses	251	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	1736	2377	8348	1515	2011	2407	2370	-2914	2449	2241	2501	2350	8468	2473	1498	2667	1829	20861	14299	1720	2594	2197	9985	3894	1671	2987	2047	5293	825	1351	1751	1365	6947	1786	1689	2418	1054	8893	2315	1219	3999	1233	9620	2849	2509	3570	1232	5547	2564	782	1990	211	2586	64	2750	606	370	1394	645	199	152	413	1208	232	940	507	246	1238	1238	1278	1103
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	27500	13553	65035	18710	10494	27275	8603	50157	7338	10530	25280	7508	54490	7726	7887	21472	7522	26997	-3878	10311	13996	6480	33653	6118	9177	11841	5848	24264	8804	4321	8240	2899	19318	2830	5592	8887	2532	29558	7609	4427	12786	4106	16042	2349	-76	9345	3944	4713	-3528	6690	5528	1756	11829	1918	9033	1873	1394	9775	3757	5303	168	506	7218	2118	5125	2076	-2116	5771	5771	5732	6394
Thu nhập khác###Other incomes	2560	5	2388	15	12	2355	7	201	172	8	9	12	50	16	23	0	10	47	20	6	20	2	5142	5104	16	-7542	7593	597	405	1	187	4	2888	259	14	9	2605	2612	103	2255	22	0	35	23	27	6	8	35	0	0	0	3	0	0	85	40	0	39	4	8	23	20	59	3	9	4	0	605	605	1091	0
Chi phí khác###Other Expenses	172	91	5344	5149	8	181	6	65	15	6	38	6	1727	11	0	1709	6	693	658	23	6	6	2721	839	31	-6217	8067	1255	498	227	530	0	536	49	6	487	0	734	340	69	150	104	189	2	8	108	19	103	0	103	0	0	10	0	95	1	9	23	23	0	0	15	88	70	0	0	0	76	76	131	150
Lợi nhuận khác###Other profits	2388	-86	-2956	-5134	4	2174	1	136	157	3	-29	5	-1678	4	23	-1709	4	-645	-638	-18	14	-4	2421	4265	-16	-1325	-474	-658	-93	-226	-343	4	2352	211	8	-478	2605	1878	-237	2186	-128	-104	-154	21	19	-102	-11	-68	0	-103	0	3	-10	0	-10	39	-9	17	-19	8	23	5	-29	-67	9	4	0	530	530	959	-150
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	29888	13467	62080	13576	10498	29449	8604	50293	7496	10532	25251	7513	52812	7730	7910	19763	7526	26352	-4516	10293	14010	6477	36073	10383	9161	10515	5373	23606	8711	4095	7897	2903	21670	3041	5600	8409	5137	31437	7371	6613	12658	4003	15888	2370	-57	9243	3933	4645	-3528	6587	5528	1759	11818	1918	9022	1912	1384	9792	3739	5311	191	511	7189	2051	5133	2079	-2116	6301	6301	6691	6244
Chi phí thuế TNDN###Corporate Income Tax Expenses	6496	2708	10326	1344	1799	5705	1473	6028	825	1054	2674	762	6821	159	807	1985	752	3646	637	731	1033	432	2295	440	490	1016	107	2458	834	115	1417	93	381	229	105	1224	0	2964	0	0	0	0	301	1331	-158	310	116	-132	-274	17	628	0	334	461	552	0	0	552	545	35	0	0	130	-129	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	6496	2708	11645	2824	1799	5544	1473	5162	750	1054	2668	762	4539	129	777	1891	752	2375	637	731	960	432	2133	440	490	936	107	2297	753	115	1336	93	1551	229	105	1222	156	2749	1880	106	1807	0	1510	-46	284	737	116	1920	27	17	0	0	146	324	0	0	0	365	358	35	0	0	0	0	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	-1318	-1479	0	161	0	866	75	0	7	0	2283	30	30	94	0	1272	0	0	73	0	161	0	0	81	0	161	81	0	81	0	-1170	0	0	2	0	215	94	0	77	0	-1209	1378	-442	-1164	0	-2053	-301	0	0	0	187	187	0	0	0	187	187	0	0	0	130	0	0	0	0	0	0	123	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	23281	10743	54407	15173	8680	23574	7045	44015	6549	9480	22577	6732	45958	7567	7099	17791	6727	19730	-5153	9563	12977	6044	34061	9943	8671	9499	5267	21485	7877	3980	6480	2810	21289	2811	5495	7185	4981	28473	5397	6507	10774	4003	15587	1039	101	9670	3818	4777	-3254	6570	5528	1759	11485	1407	9022	1912	1384	9239	3194	5276	191	511	7059	2051	5133	2079	-2116	6301	6301	6568	6244
---Cac Chi So Tai Chinh---																																																																							
EBITDA	0.37	0.13	0.12	0.12	0.08	0.22	0.21	0.06	0.06	-0.08	-0.11	-0.42	0.00	0.00	1.19	0.91	0.45	0.39	0.39	0.13	0.59	0.69	0.43	0.43	0.36	0.08	0.22	0.30	0.30	0.41	0.35	0.25	0.78	0.78	0.73	0.92	1.14	1.31	1.31	1.39	1.53	1.53	1.65	1.65	1.43	1.49	1.67	1.57	1.57	1.61	1.17	0.80	0.67	0.67	0.46	0.36	0.34	0.57	0.57	0.70	0.95	0.84	-0.02	-0.02	-0.07	-0.08	-0.08	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	23.04	20.16	21.41	21.41	22.80	22.45	22.00	18.98	18.98	20.02	17.33	17.82	17.90	17.90	15.98	14.69	12.11	13.02	13.02	11.35	12.87	10.19	10.89	10.89	8.45	7.44	6.99	6.76	6.76	6.14	5.75	6.40	5.43	5.43	4.51	4.41	3.74	3.28	3.28	3.06	3.06	2.53	1.86	1.86	2.88	2.63	3.22	4.47	4.47	6.00	6.61	4.06	4.32	4.32	4.40	4.49	3.03	2.69	2.69	3.01	3.21	4.24	6.44	6.44	5.86	6.09	11.60	6.56	6.56	0.00	0.00
