CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	 2011	 2010
Nợ dài hạn###Long term Liabilities	760	874	862	862	2394	2136	3489	5530	4176	6987	8453	10170	15421	12212	17460	27779	43116	20974	20974	45122	52325	55852	59044	54903	73199	86207	59153	67237	67239	98280	81236	90053	89113	89113	91478	91539	113651	121443	108073	65888
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	563502	587427	569521	568487	564897	549535	532941	548019	548019	530996	519743	572488	567925	568269	563673	560287	567711	563457	563457	554454	548112	564641	564275	547565	531598	533298	543606	439797	509274	499973	305476	295643	305876	305876	288154	293436	285567	170913	150536	152520
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	563502	587427	569521	568487	564897	549535	532941	548019	548019	530996	519743	572488	567925	568269	563673	560287	567711	563457	563457	554454	548112	564641	564275	547565	531598	533298	543606	439797	509274	499973	305476	295643	305876	305876	288154	293436	285567	170913	150536	152520
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101719	69524	70403	65741	6640	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	665176	638496	573559	567243	546559	540579	512214	404518	331342	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	99343	173480	750844	177608	174972	212010	185654	886132	276974	146094	215097	247967	779250	239328	154810	233529	151584	692652	159093	185972	195693	149244	528578	158629	93865	142846	133238	486509	244343	33679	48420	160371	425537	169844	22693	118279	114721	265425	234190	84930
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	300	0	0	-131	131	1945	405	478	1037	26	331	42	249	39	0	166	124	15	0	27	1853	0	0	0	1853	792	0	0	0	792	2052	0	0	2052	0	0	672	0
Doanh thu thuần###Net Sales	99343	173480	750544	177608	174972	212141	185523	884187	276569	145616	214061	247941	778920	239286	154561	233489	151584	692486	158969	185957	195693	149217	526724	158629	93865	142846	131385	485717	244343	33679	48420	159579	423485	169844	22693	116227	114721	265425	233519	84930
Giá vốn hàng bán###Cost of goods sold	87602	144423	648449	157453	150056	178338	163278	764616	233918	122171	216060	191240	620369	204085	122335	180789	112916	563003	121535	151714	167217	119462	399659	133830	67989	100156	97871	320403	162862	15544	22745	119258	309868	137585	17078	79660	75545	184742	168280	68227
Lợi nhuận gộp###Gross profit	11741	29057	102095	20155	24916	33803	22245	119571	42651	23445	-2000	56701	158550	35200	32227	52700	38667	129483	37433	34243	28476	29755	127065	24799	25876	42690	33514	165313	81481	18136	25675	40322	113617	32260	5615	36566	39175	80683	65239	16703
Doanh thu hoạt động tài chính###Financial activities Revenues	64	209	691	71	209	206	204	545	152	133	193	67	538	147	71	143	176	449	66	82	282	187	411	119	108	-51	238	634	219	381	13	15	1289	83	311	394	501	722	147	1057
Chi phí tài chính###Financial Expenses	3221	3618	16625	3600	4152	4819	4055	24164	5176	4424	10559	4005	20731	5372	5361	5407	4591	18895	5507	5033	4584	3949	24635	5814	6421	6612	5811	22713	7239	5848	5455	4171	21142	6323	4917	4468	5434	23934	20807	4590
Chi phí bán hàng###Selling Expenses	577	528	3685	1166	914	235	1369	3725	2117	1564	-33509	34779	71139	18209	15418	14909	22571	47856	13474	13589	8795	11998	51511	6182	12455	20968	11659	89590	53002	7343	13149	16405	40310	4077	3894	16118	16221	27417	14468	4035
Chi phí quản lý doanh nghiệp###Managing Expenses	5175	3043	26392	10144	1553	8869	6031	36276	15010	5915	8656	6696	27967	6156	6270	9674	5495	26512	7415	6037	6492	6198	24485	4077	6880	7224	6218	20816	9364	5704	3068	2737	10673	2848	2318	3170	2338	6391	9709	5166
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	2833	22078	56084	5315	18507	20086	10993	55950	20499	11676	12487	11288	39251	5612	5249	22852	6187	36669	11104	9667	8887	7796	26845	8844	229	7835	10064	32828	12095	-379	4016	17024	42781	19096	-5203	13204	15684	23663	20403	3970
Thu nhập khác###Other incomes	433	235	2702	833	306	-6308	7847	3566	174	2182	1021	189	1133	655	156	221	606	21925	7453	8635	4769	319	20222	9306	5458	5453	306	39868	38911	173	-775	1559	6110	6101	0	0	9	7643	6	0
Chi phí khác###Other Expenses	73	23	1198	677	311	-6906	7057	11349	44	18	11161	127	314	34	1	279	505	10982	7885	1084	1909	141	17818	8773	5180	3911	232	40153	39266	-615	-1099	2601	886	789	79	17	1	7432	60	118
Lợi nhuận khác###Other profits	360	212	1504	155	-6	599	790	-7783	130	2164	-10139	62	819	621	155	-57	101	10942	-432	7551	2861	178	2404	533	277	1542	74	-285	-355	788	324	-1042	5224	5311	-79	-16	8	211	-54	-118
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	3193	22290	57587	5471	18501	20685	11783	48168	20630	13840	2348	11350	40070	6233	5403	22794	6288	47612	10672	17218	11748	7974	29248	9377	506	9376	10138	32543	11740	409	4340	15982	48005	24407	-5282	13188	15692	23874	20349	3852
Chi phí thuế TNDN###Corporate Income Tax Expenses	679	4137	10144	1475	3058	3844	1637	11455	3443	2341	3868	1803	9798	1454	1948	4825	1651	6694	1411	2039	1528	1717	5564	2078	398	1605	1751	5664	1152	690	1275	3720	12220	4998	0	0	0	6025	2674	548
Chi phí thuế TNDN###Corporate Income Tax Expenses	679	4137	10144	1475	3058	3844	1637	13209	3623	2341	5441	1803	8045	314	1321	4825	1651	7597	1411	2942	1528	1717	5833	2670	398	1013	1751	5123	759	689	1126	3720	10695	3473	0	3285	3937	6025	2674	548
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	-1753	-180	0	-1573	0	1753	1139	627	0	0	-903	0	-903	0	0	-269	-592	0	592	0	541	393	1	149	0	1525	1525	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1868	19187	51981	3778	17489	17835	11859	36468	19421	12798	-1520	10483	26140	4348	1312	17452	3721	41928	9261	15179	10220	6257	25578	7299	108	7771	8387	29194	10589	-282	3065	12262	35786	19409	-5282	9903	11756	17850	17675	3304
---Cac Chi So Tai Chinh---																																								
EBITDA	0.17	0.32	0.28	0.28	0.79	1.29	0.78	0.68	0.68	0.43	0.29	0.52	0.64	0.64	1.65	0.86	0.92	0.75	0.75	0.67	0.47	0.74	0.90	0.90	0.94	1.55	1.52	1.55	1.55	1.80	1.72	0.93	0.78	0.78	0.06	-1.68	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	5.88	5.05	5.80	5.80	6.20	6.27	6.55	5.78	5.78	6.83	5.39	4.45	4.89	4.89	5.98	4.45	3.95	3.80	3.80	3.95	3.44	3.66	4.25	4.25	4.31	4.84	5.55	6.60	6.60	8.23	8.95	9.63	5.90	5.90	5.14	7.41	0.00	0.00	0.00	0.00
