CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	 2017
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	 2017
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	655337	1059414	3680920	1274533	750819	1156816	498752	4061275	1470872	547150	1532607	2700975
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	655337	1059414	3680920	1274533	750819	1156816	498752	4061275	1470872	547150	1532607	2700975
Giá vốn hàng bán###Cost of goods sold	622163	786908	3292435	1105236	693952	1053816	439431	3727403	1344924	476353	1430715	2520296
Lợi nhuận gộp###Gross profit	33174	272506	388485	169296	56867	103000	59322	333871	125948	70797	101892	180680
Doanh thu hoạt động tài chính###Financial activities Revenues	30957	1736	5196	4412	741	406	511	1012	441	621	-35	18196
Chi phí tài chính###Financial Expenses	40004	50290	74763	21436	18950	14909	19468	46873	15619	9818	14447	22578
Chi phí bán hàng###Selling Expenses	4286	58651	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	23024	18231	92537	36585	19937	17155	18448	58278	21890	13791	10086	36120
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-3184	147070	226328	114659	18752	71343	21835	230027	88958	48738	77407	140353
Thu nhập khác###Other incomes	15176	0	12710	12662	29	19	0	1798	102	1044	643	23
Chi phí khác###Other Expenses	9713	2	914	249	239	426	0	1933	357	133	1401	539
Lợi nhuận khác###Other profits	5462	-1	11795	12413	-210	-407	0	-135	-254	911	-758	-516
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	2278	147068	238124	127071	18541	70936	21835	229892	88704	49648	76648	139837
Chi phí thuế TNDN###Corporate Income Tax Expenses	3345	29626	51047	27447	3973	13833	5317	47313	17972	9961	15858	30087
Chi phí thuế TNDN###Corporate Income Tax Expenses	2455	30207	52300	27652	3973	14881	5317	49422	16421	10451	18788	32379
Chi phí thuế TNDN###Corporate Income Tax Expenses	889	-581	-1253	-205	0	-1048	0	-2109	1551	-490	-2930	-2292
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-2294	123068	187034	99582	14554	56946	16404	182208	70679	39734	60790	109333
---Cac Chi So Tai Chinh---												
EBITDA	0.68	0.50	0.24	0.24	0.33	0.34	0.44	0.03	0.03	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	18.15	15.00	17.65	17.65	17.35	18.13	17.53	18.71	18.71	0.00	0.00	0.00
