CAN DOI KE TOAN	 2019	 2018	 2017	Q2 2017	 2016	Q4 2016	 2015	Q4 2015	Q2 2015	 2014	Q2 2014	 2013	Q4 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	18812	19146	19698	22782	27885	27885	187119	187119	186698	189082	189119	189302	189302	201785	201652	201899	204047	204479	209474	205349	205325	204298	211996	214218	213026	220883	244518	239310	243604	279781	282608	243027
Nợ phải trả ###Liabilities	6194	6494	6839	8546	12409	12409	124904	124904	120483	119644	116772	115945	115945	125445	123460	121902	123536	121333	114975	110943	109880	108131	110775	113714	111727	112401	137676	132711	135669	171986	189285	210376
Nợ ngắn hạn###Short term Liabilities	5954	2954	3099	8546	12409	12409	124904	124904	120483	119304	116432	115430	115430	49059	48951	47487	51089	50926	46558	47769	109326	107518	110104	113029	111727	112401	137676	132711	135669	171986	168725	184819
Nợ dài hạn###Long term Liabilities	240	3540	3740	0	0	0	0	0	0	340	340	515	515	76386	74510	74415	72447	70408	68417	63174	554	612	671	685	0	0	0	0	0	0	20560	25558
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	12617	12651	12860	14236	15475	15475	62215	62215	66214	69438	72346	73356	73356	76340	78192	79997	80511	83146	94499	94406	95445	96168	101221	100504	101299	108482	106842	106599	107936	107796	93323	32650
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	985	0	0	0	0	1063	0	0	1063	0	1063	1063	0	0	0	0	0	0	0	163	4	0
Vốn chủ sở hữu ###Owners equity	12617	12651	12860	14236	15475	15475	62215	62215	66214	69438	71361	73356	73356	76340	78192	78934	80511	83146	93436	94406	94382	95105	101221	100504	101299	108482	106842	106599	107936	107633	93319	32650
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	201785	201652	201899	204047	204479	209474	205349	205325	204298	211996	214218	213026	220883	244518	244105	243604	279781	282608	243027



KET QUA KINH DOANH	 2019	 2018	 2017	 2016	 2015	 2014	 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q3 2009	 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	932	847	115	141412	7420	15773	17447	894	7121	1506	627	4119	588	22680	3577	4613	14153	337	23113	4457	4106	7202	3601	45040	11725	85153	60950
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	932	847	115	141412	7420	15773	17447	894	7121	1506	627	4119	588	22680	3577	4613	14153	337	23113	4457	4106	7202	3601	45040	11725	85153	60950
Giá vốn hàng bán###Cost of goods sold	266	266	816	158323	7301	11366	10137	345	5329	460	840	3589	201	20475	2674	4541	13075	147	26640	8345	3040	6083	2808	37435	9819	74238	50749
Lợi nhuận gộp###Gross profit	666	581	-700	-16911	118	4407	7310	549	1792	1046	-212	530	387	2205	903	72	1078	190	-3527	-3888	1067	1119	793	7605	1907	10915	10201
Doanh thu hoạt động tài chính###Financial activities Revenues	0	0	2	183	166	614	143	46	273	53	37	68	4	85	6	2	69	8	136	19	71	14	32	72	46	161	129
Chi phí tài chính###Financial Expenses	323	351	619	74	4510	4836	6276	2098	9184	2147	2150	4097	669	6407	765	782	597	127	485	2801	0	0	0	4131	0	8571	5944
Chi phí bán hàng###Selling Expenses	0	77	0	818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	260	333	968	2198	2981	4058	6066	348	8971	530	308	6887	611	2664	865	524	894	768	8803	0	768	823	521	2335	1380	1594	1572
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	83	-180	-2286	-19818	-7206	-3873	-4889	-1851	-16090	-1578	-2633	-10386	-889	-6781	-722	-1232	-343	-698	-12678	-6671	370	310	303	1211	572	911	2816
Thu nhập khác###Other incomes	0	0	0	2230	64	0	56	0	10	2	0	0	0	0	0	0	0	0	24105	7153	0	0	0	38584	0	2222	3714
Chi phí khác###Other Expenses	117	28	294	16458	80	46	2	0	134	0	2	1	81	112	2	11	3	97	16114	29	15	1	0	23576	1	27	40
Lợi nhuận khác###Other profits	-117	-28	-294	-14227	-17	-46	54	0	-125	2	-2	-1	-81	-112	-2	-11	-3	-97	7991	7123	-15	-1	0	15008	-1	2196	3674
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-34	-208	-2581	-34045	-7223	-3918	-4835	-1851	-16214	-1577	-2635	-10387	-970	-6893	-723	-1243	-346	-795	-4688	453	355	309	303	16218	572	3107	6489
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	35	12694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	1608	0	487	174
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	35	12694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1608	0	487	174
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-34	-208	-2616	-46740	-7223	-3918	-4835	-1851	-16214	-1577	-2635	-10387	-970	-6893	-723	-1243	-346	-795	-4688	453	355	309	303	14611	572	2619	6315
---Cac Chi So Tai Chinh---																											
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	0.60	0.90	1.00	0.90	1.20	0.90	0.90	1.00	0.70	0.70	1.80	1.90	2.70	1.40	1.40	3.80	4.40	9.00	14.10	14.10	22.00	27.00	0.00	0.00	0.00	0.00	0.00
