CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1816	-1759	-1702	-1702	-1668	-1652	-1636	-1621	-1621	-1599	-1574	-1533	-1480	-1480	-1419	-1355	-1287	-1200	-1200	-1107	-1029	-1088	-1010	-1010	-938	-868	-800	-732	-732	-662	-580	-533	-462	-462	-402	-343	-305	-286	-286	-270	-255	-248	-241	-241	-10908	-10254	-9607	-8967	-8967	-8313	-7659	-7012	-6372	-6372	0	0	-4530	-3897
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	12000	12000	12000	12000	12000	12000	12000	12000	12000	12000	12000	12000	12000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1560	1560	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	185018	191403	194543	194543	192805	210810	189788	191884	192279	202021	215586	187463	190504	186983	166691	172774	169277	174422	174422	120432	127244	134593	142153	112098	101965	253918	44108	50660	51461	41848	46154	52739	57171	55810	47277	50397	52831	55362	55391	42898	41709	42556	43172	43172	717	586	1095	2467	2467	1973	940	1710	2905	2905	2507	1244	2193	2186
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1585816	1633581	1530042	1530042	1679810	1742827	1751476	1680927	1680481	1687148	1746139	1769444	1643791	1643806	1862643	1911749	1890907	1754287	1740773	1889910	1808848	1853767	1862737	1862530	2052004	1951763	2000455	1855761	1857569	1895700	1977654	1925523	2006543	2004769	2051984	2090994	2129883	2144832	2145590	2124212	2150388	2091202	2121500	2123626	2110766	2140987	2197767	2139841	2147728	2199275	2164040	2129639	2249464	2248001	2349035	2366422	2401360	2389849
Nợ phải trả ###Liabilities	638247	679995	576776	576776	734647	801378	807783	740844	739831	763997	824332	847825	722515	722422	941847	991456	929346	792689	779068	944645	874082	913369	940237	939565	1145865	1062080	1103992	967305	970092	1019590	1106103	1077999	1159767	1157861	1206462	1269501	1209107	1213163	1213909	1250675	1288566	1254635	1209225	1211685	1252096	1307058	1321638	1282591	1285622	1328385	1347567	1267383	1391345	1390529	1491251	1540895	1625931	1592198
Nợ ngắn hạn###Short term Liabilities	601455	635397	532670	532670	693372	760452	769041	702247	701234	726581	787278	813774	688555	688462	908924	957771	896771	759051	745430	912145	840566	880887	906464	905818	1113441	1028525	968043	832391	835178	834634	920163	835921	918828	916922	861958	924998	867389	871445	872191	804378	842230	810886	765423	767884	727730	782625	894279	857555	864968	693913	716869	636639	763027	762210	689297	739036	718881	685147
Nợ dài hạn###Long term Liabilities	36791	44599	44105	44105	41275	40926	38742	38597	38597	37416	37054	34051	33960	33960	32923	33685	32575	33638	33638	32500	33516	32482	33772	33747	32423	33554	135949	134914	134914	184956	185939	242078	240939	240939	344503	344503	341718	341718	341718	446297	446336	443749	443801	443801	524366	524433	427360	425037	420654	634472	630698	630744	628318	628318	801954	801859	907051	907051
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	8	0
Vốn chủ sở hữu ###Owners equity	947570	953586	953266	953266	945163	941449	943693	940083	940650	923150	921807	921618	921276	921384	920796	920293	961561	961597	961705	945266	934766	940398	922500	922965	906140	889684	896463	888456	887477	876110	871552	847523	846776	846908	845523	821493	920776	931669	931681	873537	861822	836568	912275	911941	858670	833929	876129	857249	862106	870890	816474	862256	858119	857473	857784	825527	775428	797651
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	0
Vốn chủ sở hữu ###Owners equity	947570	953586	953266	953266	945163	941449	943693	940083	940650	923150	921807	921618	921276	921384	920796	920293	961561	961597	961705	945266	934766	940398	922500	922965	906140	889684	896463	888456	887477	876110	871552	847523	846776	846908	845523	821493	920776	931669	931681	873537	861822	836568	912275	911941	858670	833929	876129	857249	862106	870890	816474	862256	858119	857473	857784	825527	772428	797651
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1977654	1925523	2006543	2004769	2051984	2090994	2129883	2144832	2145590	2124212	2150388	0	2121500	2123626	2110766	2139546	2197767	2139841	2147728	2199275	2164040	2129639	2249464	2248001	2349035	2366422	2401360	2389849



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	427371	404166	1668966	458964	395699	411060	386986	1734376	509899	405760	446383	372183	1421718	394978	340352	381050	305338	1581420	351791	351781	476418	401430	1770253	468046	470430	498939	380790	1804524	462932	463078	452522	425992	1623732	482910	374881	396675	369265	1650776	504196	354532	390597	374557	1476532	421440	338253	293460	415581	1270434	325627	297061	331043	316703	1380567	373496	320782	414717	271572	830429
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	16256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17176	17047	13729	58816	19106	16187	12306	11217	61926	18061	10982	15250	17632	124200	37195	27899	28832	30317	64511	27683	8959	12511	16118	15862	10667	3252	1616	327	0	0	0	0	0	0
Doanh thu thuần###Net Sales	427371	404166	1652709	458964	395699	411060	386986	1734376	509899	405760	446383	372183	1421718	394978	340352	381050	305338	1581420	351791	351781	476418	401430	1770253	468046	453254	481892	367061	1745708	443826	446891	440216	414776	1561806	464849	363899	381425	351633	1526576	467000	326633	361766	371177	1412021	393757	329293	290131	399463	1254572	314960	293808	329427	316376	1380567	373496	320782	414717	271572	830429
Giá vốn hàng bán###Cost of goods sold	372597	363308	1468984	407893	359869	360774	343715	1524900	434294	361307	387876	341572	1232080	341419	294818	335128	260715	1322327	292495	286025	414789	328746	1465947	408763	349946	404210	301254	1461140	365491	382295	353763	360552	1339809	382972	297453	345675	313369	1168409	341934	258935	273450	295536	1018885	275214	243171	189315	314252	926071	264379	171450	246500	243893	1025469	294461	250932	288818	193171	577703
Lợi nhuận gộp###Gross profit	54774	40857	183726	51071	35830	50286	43272	209476	75605	44453	58507	30611	189638	53559	45534	45923	44623	259093	59296	65756	61628	72684	304305	59284	103308	77682	65806	284568	78335	64596	86452	54224	221998	81877	66447	35750	38264	358167	125066	67698	88316	75641	393135	118543	86122	100816	85211	328500	50581	122358	82927	72484	355098	79035	69850	125899	78401	252726
Doanh thu hoạt động tài chính###Financial activities Revenues	314	1120	1338	406	291	357	283	1138	391	244	482	21	851	45	9	-15	812	3428	2069	36	30	1293	3962	2342	1104	151	366	2206	692	646	576	291	3256	802	817	852	785	4344	1047	785	1085	1427	5164	2242	419	2244	199	8144	951	1756	1080	2043	12825	2868	1963	944	7050	6513
Chi phí tài chính###Financial Expenses	5419	4560	22697	6115	5657	5760	5165	19914	4774	4365	5402	5374	24859	6386	6265	6144	6064	26025	6563	5428	6214	7820	37483	10408	8915	8492	9698	53144	15688	11823	11979	13655	73698	17849	15636	20594	19623	103665	24602	25520	26418	27126	117768	30990	27921	29873	28983	105301	27079	29730	22952	25562	110204	27170	22627	31575	28200	101319
Chi phí bán hàng###Selling Expenses	28876	19033	65231	17241	14505	17310	16175	99909	35401	21293	31059	11528	78649	22833	19000	17318	19447	84854	16417	24258	23616	20562	91013	2841	41361	21837	24798	97818	25874	24227	29409	18540	79299	33426	14222	16058	15593	65727	14679	15617	17319	17996	65065	10591	18148	19965	16331	63453	7200	15924	20491	18934	55880	8138	3278	30019	14283	27770
Chi phí quản lý doanh nghiệp###Managing Expenses	20696	18221	74965	18483	12574	21557	19338	71161	17550	16810	20901	15914	82793	24786	18792	20753	18406	94180	22260	23872	20931	25721	103566	30674	29338	23204	22075	92767	23497	23989	24420	20761	69018	29465	14563	10736	14254	65393	20671	13123	16607	13649	68661	19786	13026	16494	16871	64606	13800	20110	14482	14488	54300	13541	11216	16534	12939	44323
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	97	164	22170	9638	3386	6016	2877	19629	18272	2229	1627	-2185	4188	-401	1485	1694	1518	57461	16125	12234	10897	19875	76206	17703	24797	24298	9600	43044	13968	5204	21221	1558	3238	1939	22842	-10786	-10421	127725	66162	14222	29057	18298	146806	59419	27447	36726	23226	103283	3454	58351	26082	15542	147539	33054	34693	48715	30028	85827
Thu nhập khác###Other incomes	275	156	3124	542	938	1164	480	3863	264	171	601	2827	2207	1659	58	311	180	4148	3032	206	-1263	1716	2024	1115	12	1047	140	4081	248	2721	1503	337	6031	2373	1717	1207	529	7972	3051	539	2428	1953	7114	2915	2194	1086	1135	5309	1734	505	1137	1933	4749	2181	620	1502	435	3189
Chi phí khác###Other Expenses	0	0	656	3	610	43	0	300	0	0	0	300	288	22	4	262	0	499	1710	147	-1095	1116	4977	-1194	5927	43	162	1513	672	500	332	9	1865	339	530	721	275	3238	949	1186	976	127	2398	974	1355	12	58	1287	7	1112	146	23	240	71	37	34	99	30503
Lợi nhuận khác###Other profits	275	156	2467	539	328	1120	480	3563	264	171	601	2527	1919	1637	54	49	180	3650	1322	58	-167	601	-2953	2310	-5916	1004	-23	2568	-424	2221	1172	327	4166	2035	1188	485	254	4734	2102	-647	1452	1826	4716	1941	839	1074	1077	4022	1727	-607	992	1909	4509	2110	583	1468	336	-27314
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	372	320	24637	10176	3714	7137	3357	23192	18536	2400	2228	342	6107	1236	1539	1743	1698	61111	17447	12292	10730	20475	73253	20012	18882	25302	9578	45613	13544	7425	22393	1886	7404	3974	24029	-10300	-10167	132459	68265	13575	30510	20123	151522	61359	90389	37801	24303	107305	5182	57744	27073	17451	152049	35164	35276	50183	30364	58513
Chi phí thuế TNDN###Corporate Income Tax Expenses	-37	0	4112	2073	0	2039	0	4133	1037	1057	2039	0	4502	1037	1037	1084	1345	8550	2283	1793	1623	2577	10529	3187	2426	3401	1571	2479	2177	1413	-1635	1139	5902	2588	0	0	0	19750	0	0	0	2515	21945	10241	3536	5077	3044	5137	0	0	0	0	8	0	8	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	103	0	0	0	0	0	0	20	0	20	0	0	389	0	0	59	330	4425	1246	743	612	1551	6542	2175	1503	2384	536	2472	1142	378	1566	0	726	0	0	0	726	14574	7533	1860	2668	2515	16768	5064	3536	5077	3044	0	0	0	0	0	8	0	8	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-141	0	4112	2073	0	2039	0	4112	1037	1037	2039	0	4113	1037	1037	1025	1015	4124	1037	1050	1011	1026	3988	1012	923	1018	1035	7	1035	1035	-3202	1139	5176	2588	0	2588	0	5176	2588	0	2588	0	5178	5178	0	0	0	5137	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	410	320	20525	8103	3714	5097	3357	19060	17499	1343	189	342	1605	199	502	659	353	52561	15164	10499	9107	17898	62724	16825	16456	21901	8007	43134	11367	6012	24028	747	1503	1386	24029	-12888	-10893	112709	58144	11715	25254	17608	129577	51118	24750	32724	21259	102168	5182	57744	27073	17451	152041	35164	35268	50183	30364	58513
---Cac Chi So Tai Chinh---																																																										
EBITDA	0.52	0.68	-0.06	-0.06	-0.23	-0.12	0.08	0.22	0.22	0.25	0.27	0.16	0.04	0.04	-0.07	0.16	0.08	0.27	0.27	0.39	0.36	0.40	0.44	0.44	0.35	0.61	1.01	1.27	1.27	1.59	1.48	1.62	1.19	1.19	1.00	1.09	1.27	1.39	1.39	1.37	1.34	1.12	0.68	0.68	0.58	0.55	0.47	0.68	0.68	0.71	0.78	0.84	0.71	0.71	0.92	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	2.88	2.50	3.46	3.46	3.37	3.46	2.98	3.37	3.37	3.56	3.85	3.75	3.94	3.94	4.23	4.93	5.45	5.54	5.54	5.28	5.81	6.25	6.25	6.25	5.72	5.98	7.16	7.84	7.84	7.50	5.73	6.91	5.06	5.06	4.30	4.37	4.86	4.02	4.02	3.59	4.09	3.67	2.19	2.19	2.56	2.70	3.57	4.58	4.58	4.68	5.74	6.25	6.66	6.66	7.43	0.00	0.00	0.00
