CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	 2013
Vốn chủ sở hữu ###Owners equity	1403523	1383467	1336104	1340449	1380970	1362090	1315757	1279046	1282700	1316132	1336201	1305332	1252272	1256803	1280908	1255959	1307104	1199225	1182900	1186612	1192623	1195913	1171154	1173461	1212045	1177452	1151828	1082220	1103703	1118675	1097448	757534
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	248	0
Vốn chủ sở hữu ###Owners equity	1403523	1383467	1336104	1340449	1380970	1362090	1315757	1279046	1282700	1316132	1336201	1305332	1252272	1256803	1280908	1255959	1307104	1199225	1182900	1186612	1192623	1195913	1171154	1173461	1212045	1177452	1151828	1082220	1103703	1118552	1097201	757534
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295398
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	735482	634927	2599466	610800	701998	724370	562297	2547971	587723	639182	701957	619109	2714038	619122	710532	707706	676678	2715750	617502	740329	740975	623256	2642141	715358	730890	770459	549320	2593743	675992	694975	813538	1369017
Các khoản giảm trừ doanh thu###Deduction revenues	544	1546	3987	1322	978	814	874	3100	843	553	1073	631	2388	1030	137	-12992	14213	3120	3117	13735	14702	17293	1695	30038	30888	33502	27448	100546	23535	24741	27878	37671
Doanh thu thuần###Net Sales	734937	633380	2595479	609478	701021	723557	561423	2544871	586880	638629	700884	618478	2711650	618092	710396	720697	662465	2712630	614385	726595	726273	605963	2640446	685320	700002	736957	521872	2493197	652457	670234	785660	1331346
Giá vốn hàng bán###Cost of goods sold	517070	455543	2114972	482251	573100	605424	454198	2077415	487274	537380	557429	495710	2280256	535416	594904	608378	541461	2240962	556196	598228	586282	499632	2266648	595328	577444	635993	461742	2207526	551092	523793	628155	1088922
Lợi nhuận gộp###Gross profit	217867	177837	480506	127227	127921	118133	107225	467456	99606	101249	143455	122768	431394	82676	115491	112319	121004	471667	58189	128367	139991	106332	373798	89992	122558	100964	60130	285672	101364	146441	157505	242424
Doanh thu hoạt động tài chính###Financial activities Revenues	21764	16176	68479	19891	16010	21020	11558	85269	19552	25596	22548	17573	57281	18734	9875	20503	8157	50297	21593	13566	7517	7538	39518	13110	15866	6661	3893	33227	10352	10923	-1109	18453
Chi phí tài chính###Financial Expenses	2293	0	-3066	-7851	0	274	268	51	-104	4597	-4506	65	1196	255	408	102	431	2217	-885	5824	4916	382	5247	9995	299	956	405	4222	-2409	756	4796	-1225
Chi phí bán hàng###Selling Expenses	154108	127699	322164	89708	82814	84080	65561	278978	81586	60876	70453	65685	241322	66544	59301	55622	61249	235096	27339	66453	50332	51560	160506	56565	48921	29572	25501	124085	84730	80134	92830	167767
Chi phí quản lý doanh nghiệp###Managing Expenses	6721	10025	39151	15507	8437	6762	8445	43524	12970	10036	9710	10808	46834	12430	11369	8765	12718	57400	25778	17847	3977	17583	54467	17846	15991	11299	12031	51467	19264	11693	15916	33808
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	74379	56289	190626	49753	52681	48394	44510	230737	26265	51336	88936	63783	192685	18738	54288	65419	54762	218675	27550	51809	88284	44345	189895	18695	73213	65798	26086	143590	14597	64781	42855	60527
Thu nhập khác###Other incomes	630	770	19303	11697	2709	4324	573	13003	8681	560	363	1373	21053	6437	9633	-679	5062	23293	4408	4585	2055	12245	26051	9396	4520	2210	10426	14838	7523	4886	4597	17437
Chi phí khác###Other Expenses	1811	1186	23277	14150	3916	2659	2552	15227	3738	2891	2539	4033	11160	129	7125	-637	3525	12589	683	4280	2671	4916	15735	4927	5158	2499	3631	14295	6752	5869	3867	11421
Lợi nhuận khác###Other profits	-1180	-416	-3975	-2453	-1207	1665	-1979	-2224	4943	-2331	-2175	-2661	9893	6308	2508	-42	1537	10704	3725	305	-616	7328	10316	4469	-637	-289	6794	542	771	-983	729	6016
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	73199	55872	186652	47300	51474	50058	42531	228513	31208	49005	86761	61122	202579	25046	56796	65377	56299	229378	31276	52114	87668	51673	200211	23164	72576	65509	32880	144133	15369	63798	43584	67042
Chi phí thuế TNDN###Corporate Income Tax Expenses	6928	5983	13732	-459	4980	5559	4018	19936	2614	4280	7624	5418	14589	473	3799	6915	3487	15306	1422	2789	5213	4300	11553	-2680	6225	3721	2830	11913	-3	4050	3787	8443
Chi phí thuế TNDN###Corporate Income Tax Expenses	7413	5969	18665	4717	4967	5405	4004	20162	2098	4266	8394	5404	11771	-966	3785	6244	3487	13146	1580	2789	5353	4300	10110	-2680	6225	3721	2830	9300	-3	4050	3787	8443
Chi phí thuế TNDN###Corporate Income Tax Expenses	-484	14	-4933	-5176	14	154	14	-227	516	14	-770	14	2819	1440	14	672	0	2160	-158	0	-140	0	1443	0	0	0	0	2613	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	94808	72964	254722	68988	70077	63830	56171	297049	40186	62670	79137	79372	293722	42918	79877	93071	78608	313949	29854	49325	82456	47372	277077	25844	66351	61787	30050	200511	15372	59748	39797	58599
---Cac Chi So Tai Chinh---																																
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	30.50	15.73	17.39	17.39	17.49	18.07	17.88	17.10	17.10	17.93	18.59	16.89	17.36	17.36	15.10	15.57	15.75	15.21	15.21	13.80	15.63	18.08	13.10	13.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
