CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	10128339	10672069	10965520	10967611	11148881	11587703	11976154	12384810	12384810	12492469	13546392	13792530	14048763	14048620	14271106	14675612	15045700	15459303	15459000	15600307	16160911	16403700	17187835	19968517	20285222	18215497
Nợ phải trả ###Liabilities	5324760	5782938	6070356	6070186	6672229	7137706	7679695	8269533	8269340	8719914	9494656	9861711	10337613	10368943	10882737	11602745	12084303	12585941	12586439	12644038	13376014	13797858	14810152	15754235	16102673	13168118
Nợ ngắn hạn###Short term Liabilities	2479355	2491757	2318962	2318793	2521944	2482464	2536031	2627691	2627497	2487427	2816016	2740662	2721508	2752838	3107787	3311206	3312006	3299489	3299987	3048800	3276039	3278596	3698601	4059566	3777777	1935697
Nợ dài hạn###Long term Liabilities	2845405	3291182	3751393	3751393	4150285	4655242	5143664	5641842	5641842	6232488	6678640	7121048	7616104	7616104	7774950	8291539	8772297	9286452	9286452	9595238	10099975	10519262	11111551	11694669	12324897	11232421
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	4803579	4889131	4895164	4897425	4476652	4449996	4296459	4115277	4115470	3772555	4051736	3930820	3711150	3679678	3388369	3072866	2961397	2873362	2872561	2956269	2784897	2605842	2377683	4214282	4182549	5047378
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	4803579	4889131	4895164	4897425	4476652	4449996	4296459	4115277	4115470	3772555	4051736	3930820	3711150	3679678	3388369	3072866	2961397	2873362	2872561	2956269	2784897	2605842	2377683	4214282	4182549	5047378
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	2359294	2635850	10126640	2741830	2267874	2590972	2525983	9017683	2465214	1503003	2505547	2543920	8210345	2030810	1764942	2294604	2119989	8738014	2234587	2125181	2387855	1990392	7703175	7550820	2751515	3425233
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	2359294	2635850	10126640	2741830	2267874	2590972	2525983	9017683	2465214	1503003	2505547	2543920	8210345	2030810	1764942	2294604	2119989	8738014	2234587	2125181	2387855	1990392	7703175	7550820	2751515	3425233
Giá vốn hàng bán###Cost of goods sold	2299828	2469881	8855675	2202740	2148781	2290305	2211571	7814816	1998832	1513186	2170910	2131695	6731176	1630718	1273881	2001014	1850466	7286591	1876668	1754708	1994447	1661071	6660107	6427138	2723880	2354092
Lợi nhuận gộp###Gross profit	59466	165970	1270965	539090	119093	300667	314412	1202867	466382	-10183	334637	412225	1479169	400092	491060	293590	269523	1451423	357919	370472	393407	329321	1043068	1123682	27635	1071142
Doanh thu hoạt động tài chính###Financial activities Revenues	10131	10263	26934	10276	8764	5953	1941	3616	1567	1073	426	550	30175	10760	5936	8563	4915	15437	-60112	3615	-87778	159711	102633	72916	66360	15277
Chi phí tài chính###Financial Expenses	23057	164691	561724	122658	117889	169378	150784	856674	128383	284865	232993	210433	803549	190404	199922	240528	172697	1014467	430737	190265	143396	250069	2370032	1147193	644407	779061
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	17635	16264	71170	27870	14262	14838	15215	72104	27312	16214	15025	13552	72838	40432	12765	13744	12475	67949	32507	12529	12485	10925	101351	47572	39311	29829
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	28905	-4723	665004	398838	-4295	122403	150354	277705	312253	-310189	87045	188790	632956	180016	284309	47881	89266	384444	-165437	171293	149749	228038	-1325682	1833	-589723	277529
Thu nhập khác###Other incomes	603	431	2493	687	670	691	444	5470	918	578	3505	470	87066	84977	543	1205	351	2154	-1568	513	2715	664	5366	80613	54603	3553
Chi phí khác###Other Expenses	1829	1741	7546	1995	1945	1783	1841	7949	2480	1795	1859	1815	11133	5910	1575	2067	1582	19978	16520	434	2651	543	525	75887	54017	96
Lợi nhuận khác###Other profits	-1227	-1310	-5054	-1308	-1274	-1091	-1397	-2479	-1562	-1217	1646	-1346	75932	79067	-1032	-862	-1230	-17824	-18088	79	64	121	4842	4726	586	3457
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	27678	-6033	659950	397530	-5569	121312	148957	275226	310691	-311406	88691	187444	708889	259084	283278	47019	88036	366620	-183525	171372	149813	228159	-1320840	6559	-589137	280986
Chi phí thuế TNDN###Corporate Income Tax Expenses	1104	0	8963	8983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	1104	0	8963	8983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	26574	-6033	650987	388547	-5569	121312	148957	275226	310691	-311406	88691	187444	708889	259084	283278	47019	88036	366620	-183525	171372	149813	228159	-1320840	6559	-589137	280986
---Cac Chi So Tai Chinh---																										
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	11.70	10.60	11.40	11.40	11.30	10.60	8.90	10.90	10.90	9.40	11.10	9.80	8.40	8.40	8.10	10.00	10.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
