CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q2 2011	 2010	Q4 2010	 2009	Q4 2009	 2008	Q4 2008
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2462072	2287523	2782902	2783643	2705082	2508974	2383987	2758123	2753444	2337688	2101247	0	2228883	2223353	0	1861907	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	 2009	 2008
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	664927	537835	3028881	892287	509016	970346	657231	3799840	1236528	610560	997456	955295	4099604	1269983	628693	1151701	1052100	4193899	1346294	703151	1170700	973753	4810095	1320525	642807	1475701	1367410	5305312	1552352	573545	1355115	1825475	4770054	612882	1022468	1261949	1872891	4496114	817101	811172	935242	1932600	4056715	707132	1274172	611451	1463961	3609314	983709	3366533	2786442
Các khoản giảm trừ doanh thu###Deduction revenues	26735	13377	179828	54990	27501	46672	50665	234371	90459	40288	54138	49485	214058	66129	30375	81336	38017	229238	68296	50596	44937	65409	158860	42794	29503	61930	24632	320244	319105	231	584	323	1577	381	309	724	163	1263	123	0	951	189	553	31	271	161	90	811	0	1266	386
Doanh thu thuần###Net Sales	638193	524457	2849053	837297	481516	923674	606566	3565469	1146070	570272	943318	905810	3885546	1203854	598318	1070365	1014083	3964661	1277998	652555	1125763	908345	4651235	1277731	613303	1413771	1342778	4985068	1233247	573314	1354531	1825151	4768477	612501	1022159	1261226	1872728	4494851	816978	811172	934291	1932411	4056162	707100	1273901	611290	1463871	3608503	983709	3365267	2786056
Giá vốn hàng bán###Cost of goods sold	537511	419421	2343774	715648	380139	764868	484977	2838674	919868	440876	713412	757697	3103892	957389	467416	818092	855552	3233437	1050483	518256	909156	755541	3673450	951508	462121	1163384	1096641	3856523	791754	443391	1119143	1503677	3668449	291214	842941	994625	1539065	3495007	541585	646974	697034	1609335	3257306	513965	1108930	465972	1173969	2884445	673430	2801864	2377374
Lợi nhuận gộp###Gross profit	100682	105036	505279	121649	101376	158805	121589	726795	226201	129396	229906	148113	781654	246465	130903	252273	158531	731224	227515	134298	216607	152804	977785	326223	151182	250387	246137	1128545	441493	129923	235387	321475	1100028	321287	179218	266601	333663	999844	275393	164198	237257	323076	798856	193135	164971	145318	289902	724058	310278	563403	408682
Doanh thu hoạt động tài chính###Financial activities Revenues	544	19	1298	22	1221	24	31	1744	57	843	689	155	2269	204	724	1168	173	3070	290	353	2063	363	4474	851	1680	1581	362	11895	763	3128	3964	4040	11445	2015	3197	4550	1682	11921	2937	1108	5977	1899	17525	7696	3385	3139	3264	11361	2912	16432	15465
Chi phí tài chính###Financial Expenses	13403	17425	91431	19288	24170	25112	22862	63696	22065	14891	14115	12625	39154	10725	7945	9501	10982	46757	10866	11475	11922	12494	28290	7618	6863	7295	6514	21841	6274	4030	3700	7837	64820	16208	14508	16078	17964	71492	23379	11204	10228	26674	98811	25478	24035	23797	25501	99529	24787	149125	146022
Chi phí bán hàng###Selling Expenses	71786	40027	259859	81026	45538	85161	48285	325966	105276	55206	113655	51830	338104	96647	55425	124384	51499	335378	106431	57168	118438	53342	377777	137870	63637	79908	96362	384194	109420	61830	126736	86209	311336	109797	58545	53683	89311	290069	110456	52472	32290	94851	219905	64248	40345	25961	89351	178234	65662	237458	171601
Chi phí quản lý doanh nghiệp###Managing Expenses	29457	42774	145868	30776	31272	38080	45589	184854	58894	34973	50404	44924	213741	80287	33587	57280	42587	180473	48806	32214	50275	49178	184859	48935	45604	48354	41965	181401	70179	34212	36753	40032	154947	41995	36509	44441	32264	140519	44327	32469	31529	32195	110016	30733	28413	28347	22523	82655	6920	101187	61911
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-13420	4830	9417	-9419	1617	10477	4885	154022	40023	25169	52421	38888	192925	59010	34669	62277	53636	171686	61702	33795	38036	38153	391334	132651	36758	116412	101658	553003	256383	32980	72162	191436	580370	155301	72853	156950	195806	509684	100168	69162	169187	171254	387648	80371	75563	70352	155791	375001	215821	92064	44614
Thu nhập khác###Other incomes	170	190	3068	3574	129	1048	175	2881	1487	198	449	747	1368	276	114	591	1774	1916	1326	228	-174	537	7371	1042	2409	7368	408	14623	3445	4360	3726	3092	17719	7565	3012	3458	3685	19166	3065	2640	4898	3433	14363	9543	1657	1312	1851	10250	3907	7375	6653
Chi phí khác###Other Expenses	2546	0	192	114	0	0	77	1018	587	0	45	0	1989	1747	40	8	195	1122	243	400	266	213	6223	1050	1539	196	3437	5561	2362	1173	212	1814	2994	1105	538	118	1233	4161	161	1244	264	2492	3040	2309	226	451	54	1621	159	3576	2701
Lợi nhuận khác###Other profits	-2376	190	2876	3460	129	1048	98	1863	901	198	404	747	-622	-1471	74	583	1579	794	1083	-172	-440	324	1148	-8	870	7172	-3030	9062	1083	3187	3514	1278	14726	6460	2474	3339	2453	15005	2903	1396	4635	941	11322	7234	1431	860	1797	8629	3748	3799	3952
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-15796	5021	12294	-5959	1745	11525	4983	155885	40924	25367	52825	39635	192303	57539	34743	62860	55215	172480	62785	33622	37596	38477	392482	132643	37628	123583	98628	562065	257466	36167	75676	192714	595095	161761	75326	160290	198259	524689	103071	70558	173822	172195	398971	87605	76994	71213	157588	383630	219569	95863	48566
Chi phí thuế TNDN###Corporate Income Tax Expenses	-1004	1004	9883	5459	110	3317	997	33188	8811	5358	11538	7927	40430	13769	6840	12389	11043	34330	12636	6724	7273	7695	86197	28902	8060	26978	21698	123342	56444	7957	16438	42397	148276	39942	18832	0	0	130597	0	0	0	43049	99321	21479	19249	17640	39397	95907	54892	24157	13590
Chi phí thuế TNDN###Corporate Income Tax Expenses	-1004	1004	9883	5459	110	3317	997	33188	8811	5358	11538	7927	40430	13769	6840	12389	11043	34330	12636	6724	7273	7695	86197	28902	8060	26978	21698	123342	56444	7957	16438	42397	148276	39942	18832	40072	49565	130597	25193	17639	42881	43049	99321	21479	19249	17640	39397	95907	54892	18700	19047
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5457	-5457
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-14792	4017	2411	-11418	1635	8208	3987	122697	32113	20009	41287	31708	151873	43770	27903	50471	44172	138150	50149	26898	30322	30781	306285	103742	29568	96606	76930	438723	201022	28210	59238	150317	446820	121819	56495	120217	148694	394091	77879	52918	130941	129146	299650	66126	57746	53573	118191	287722	164677	71706	34976
---Cac Chi So Tai Chinh---																																																			
EBITDA	0.21	0.19	0.45	0.45	0.52	0.28	0.31	0.28	0.28	0.24	0.25	0.12	0.17	0.17	0.44	1.25	1.41	1.42	1.42	1.45	0.82	0.54	0.40	0.40	0.38	0.30	0.81	0.70	0.70	0.77	0.83	0.61	1.03	1.03	0.83	0.69	0.81	0.79	0.79	0.87	0.96	0.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	5.90	5.00	6.90	6.90	6.90	6.90	9.13	11.06	11.06	10.84	10.48	11.77	12.28	12.28	12.74	11.35	10.31	10.23	10.23	10.59	14.30	14.58	15.32	15.32	14.79	12.96	13.32	14.48	14.48	14.06	14.31	18.21	14.05	14.05	12.96	12.89	10.54	8.01	8.01	8.12	7.07	5.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
