CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	 2011	 2010	 2009
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-401	-393	-385	-385	-377	-369	-361	-353	-353	-345	-337	-329	-321	-321	-313	-305	-297	-289	-289	-281	-273	-265	-257	-285	-277	-269	-261	-253	-253	-245	-237	-229	-221	-221	-213	-208	-197	-189	-189	-181	-173	-157	-115	-74
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	1815	1123	2676	1205	115	3177	3181	2794	458	3763	3235	2294	3741	2893	3192	4322	2658	3704	2968	3423	3950	3244	2929	3661	1398	662	877	216	216	244	239	178	186	186	51	51	52	57	57	79	102	148	85	100
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	443070	391583	405767	411509	452642	429828	425686	434370	442436	443591	431322	420254	428006	430717	417165	429400	432515	422253	422284	409277	413485	432645	459190	459190	473339	399977	348011	350849	350849	355271	332648	388913	419220	419220	459232	402214	389779	325677	326386	311997	325498	277171	205699	185869
Nợ phải trả ###Liabilities	189723	133309	147604	153215	194868	172138	168796	176495	184391	185366	175171	168988	176870	179590	167442	180632	184731	175119	175125	162461	163458	173740	200411	200411	216087	227145	184885	176487	176487	238252	216969	279725	313382	313382	353982	297167	285981	222411	222964	207236	221905	174499	101548	86662
Nợ ngắn hạn###Short term Liabilities	189723	133309	147604	153215	194868	172138	168796	176495	184391	185366	175171	168688	176570	178290	165892	179582	183717	173819	172298	159838	161049	171404	197430	196930	94149	224236	181280	176160	176160	237399	215591	277820	311422	311422	351532	294178	282451	218342	218863	202580	217200	174117	99539	85912
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	300	300	1300	1550	1050	1014	1300	2827	2623	2409	2336	2981	3481	121938	2909	3605	326	326	852	1379	1905	1960	1960	2450	2989	3529	4069	4101	4656	4705	382	2008	750
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	253348	258274	258162	258294	257773	257690	256890	257876	258045	258225	256151	251267	251137	251127	249723	248768	247784	247134	247159	246816	250027	258905	258778	258779	257252	172832	163126	174363	174363	117019	115679	109188	105838	105838	105250	105046	103798	103266	103422	104761	103594	102672	104152	99207
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	253348	258274	258162	258294	257773	257690	256890	257876	258045	258225	256151	251267	251137	251127	249723	248768	247784	247134	247159	246816	250027	258905	258778	258779	257252	172832	163126	174363	174363	117019	115679	109188	105838	105838	105250	105046	103798	103266	103422	104761	103594	102672	104152	99207
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332648	388913	419220	419220	459232	402214	389779	325677	326386	311997	325498	277171	205699	185869



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	100674	92513	459068	156157	122037	96635	84240	457130	136775	120111	121341	78903	403976	113056	89423	109941	91596	394951	128253	93322	89441	83934	534596	130157	111726	153509	139204	556590	121278	141205	173977	120129	472812	164621	105192	135796	67202	471840	147604	95642	106108	380135	278280	286170
Các khoản giảm trừ doanh thu###Deduction revenues	156	0	634	0	69	565	0	558	143	278	54	83	715	151	87	415	62	261	178	0	83	0	18	0	0	0	18	2334	397	1598	32	307	3115	16	2599	58	442	5232	3456	802	781	973	17	0
Doanh thu thuần###Net Sales	100518	92513	458434	156157	121967	96070	84240	456572	136633	119833	121287	78819	403262	112905	89336	109526	91534	394689	128075	93322	89358	83934	534578	130157	111726	153509	139186	554255	120881	139607	173946	119822	469697	164606	102593	135738	66761	466608	144147	94839	105327	379162	278263	286170
Giá vốn hàng bán###Cost of goods sold	94515	86872	433494	149990	114969	89285	79251	420965	127464	111673	108795	73032	373465	103811	82878	101552	85238	371236	121625	91021	80097	78493	490260	120036	104785	135640	129799	513609	105766	134292	162114	111438	449411	160664	97672	129380	61695	445988	142228	88864	97996	353030	254656	272373
Lợi nhuận gộp###Gross profit	6003	5641	24940	6167	6999	6785	4989	35608	9169	8160	12492	5787	29796	9094	6458	7975	6296	23453	6450	2301	9261	5441	44318	10121	6941	17869	9387	40646	15116	5314	11832	8384	20286	3941	4921	6359	5065	20620	1919	5976	7331	26132	23607	13797
Doanh thu hoạt động tài chính###Financial activities Revenues	471	191	1261	669	125	611	27	1307	481	96	295	235	1210	324	151	698	38	2283	1282	107	390	521	2044	1033	267	271	474	16	7	5	3	2	11	2	3	3	3	963	21	121	220	2874	922	29
Chi phí tài chính###Financial Expenses	1827	1322	7498	1667	1884	2336	1610	8613	1906	2210	2565	1762	7967	1949	1902	2384	1733	9478	2918	1950	2251	2369	11348	4132	3055	2366	1794	7040	2310	1360	1650	1720	10262	2033	2391	3096	2742	14012	2680	3154	4214	16136	14083	10228
Chi phí bán hàng###Selling Expenses	1680	1717	7598	2728	1737	1493	1640	7934	3304	1491	1544	1593	6361	1791	1417	1666	1487	5363	2015	1505	948	916	4834	2006	837	929	1061	3394	877	854	901	761	2048	438	472	599	539	1852	514	343	473	2042	2139	1056
Chi phí quản lý doanh nghiệp###Managing Expenses	3028	2697	10201	1713	3519	2389	2687	12085	4356	2490	2656	2582	11297	3842	2181	2974	2300	9819	3077	2453	1653	2598	7907	2851	1973	1504	1578	5892	1976	1295	1216	1406	4741	1317	1186	1061	1176	4500	942	1046	1134	4507	2823	4292
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-61	96	904	727	-16	1178	-923	8284	84	2065	6021	84	5381	1836	1109	1649	814	1076	-278	-3500	4800	79	22273	2165	1342	13340	5428	24336	9959	1810	8068	4499	3245	155	874	1605	611	1218	-2196	1554	1730	6321	5484	-1749
Thu nhập khác###Other incomes	155	147	334	129	120	93	108	579	67	292	657	79	390	916	85	97	74	633	114	292	144	83	708	333	0	329	45	853	384	105	137	228	296	33	36	129	98	185	106	2	0	26	1199	277
Chi phí khác###Other Expenses	0	23	84	0	0	-74	171	59	0	71	508	0	480	930	1	330	41	101	98	3	0	0	456	355	0	1	0	1093	758	45	29	260	1	0	0	0	0	1	4	0	0	484	14	0
Lợi nhuận khác###Other profits	155	124	250	129	120	167	-63	520	67	221	149	78	-89	-14	85	-233	33	531	15	289	144	83	252	-22	0	328	45	-240	-374	59	107	-32	296	32	36	129	98	183	102	2	0	-458	1185	277
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	95	220	1154	855	104	1345	-986	8803	151	2286	6170	162	5292	1822	1194	1416	847	1607	-263	-3211	4944	162	22526	2143	1342	13668	5473	24096	9585	1870	8175	4466	3541	187	911	1734	709	1402	-2094	1556	1730	5862	6669	-1472
Chi phí thuế TNDN###Corporate Income Tax Expenses	73	44	406	220	21	198	0	1861	89	457	1286	32	1232	418	239	402	169	455	0	0	1025	36	5037	515	295	3022	1204	5301	2109	411	1665	1117	885	47	228	0	0	350	0	0	0	1466	1667	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	73	44	406	220	21	198	0	1861	89	457	1286	32	1232	418	239	402	169	455	0	0	1025	36	5037	515	295	3022	1204	5301	2109	411	1665	1117	885	47	228	434	177	350	0	389	542	1466	1667	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	22	176	748	635	83	1147	-986	6942	62	1829	4884	0	4060	0	0	0	0	1152	-263	-3211	3918	126	17488	1628	1047	10646	4269	18795	7476	1458	6510	3350	2656	140	683	1301	532	1051	-2094	1167	1188	4397	5002	-1472
---Cac Chi So Tai Chinh---																																												
EBITDA	0.76	0.64	0.60	0.60	0.14	0.47	0.66	0.62	0.62	0.70	0.80	0.92	1.06	1.06	1.32	1.27	1.53	1.89	1.89	2.00	1.38	1.62	1.70	1.70	1.45	1.53	0.69	0.65	0.65	0.98	1.04	2.10	1.16	1.16	0.21	-0.13	-0.39	-0.08	-0.08	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	2.40	2.20	2.00	2.00	2.40	2.70	3.10	3.40	3.40	3.60	3.50	3.00	3.00	3.00	3.50	3.20	3.20	3.00	3.00	3.50	6.20	7.00	5.32	5.32	7.84	9.43	15.81	25.30	25.30	8.20	7.78	5.64	4.53	4.53	4.02	6.24	10.95	12.31	12.31	0.00	0.00	0.00	0.00	0.00
