CAN DOI KE TOAN	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	 2015
KET QUA KINH DOANH	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	 2015
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	18582	2288	3552	334	12407	51255	2315	5064	-11362	55697	126480	23247	45145	23965	34123	291244	44334
Các khoản giảm trừ doanh thu###Deduction revenues	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7445
Doanh thu thuần###Net Sales	18522	2228	3552	334	12407	51255	2315	5064	-11362	55697	126480	23247	45145	23965	34123	291244	36889
Giá vốn hàng bán###Cost of goods sold	20577	1024	5522	1777	12274	45947	1716	3354	-12363	48038	99097	22234	35174	7487	30113	256459	23365
Lợi nhuận gộp###Gross profit	-2055	1205	-1970	-1443	133	5308	598	1710	1001	7659	27383	1013	9971	16478	4010	34785	13523
Doanh thu hoạt động tài chính###Financial activities Revenues	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	3	20
Chi phí tài chính###Financial Expenses	1659	-6	0	1612	52	6339	14	330	1255	2677	11043	2241	2669	4409	892	1487	14
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	4621	1205	0	3416	0	10067	0
Chi phí quản lý doanh nghiệp###Managing Expenses	7901	1146	971	4542	1416	8708	1236	2194	1463	2238	8292	2172	3509	2117	1281	6227	3626
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-11613	64	-2940	-7597	-1334	-9738	-653	-814	-1717	2744	3428	-4605	3794	6537	1838	17006	9903
Thu nhập khác###Other incomes	120	-10	12	34	84	1363	108	986	124	0	407	51	83	273	0	227	0
Chi phí khác###Other Expenses	1123	416	33	747	1	15380	1	500	1	0	434	0	94	184	0	1140	882
Lợi nhuận khác###Other profits	-1003	-426	-21	-713	83	-14017	106	486	123	0	-27	51	-12	89	0	-913	-882
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-12616	-361	-2961	-8311	-1251	-23755	-546	-328	-1594	2744	3402	-4554	3783	6626	1838	16094	9021
Chi phí thuế TNDN###Corporate Income Tax Expenses	1272	1272	0	0	0	0	0	0	-309	549	831	0	775	1341	368	3219	2372
Chi phí thuế TNDN###Corporate Income Tax Expenses	1272	1272	0	0	0	0	0	0	-309	549	831	0	775	1341	368	3219	2372
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-13889	-1634	-2961	-8311	-1251	-23755	-546	-328	-1285	2195	2571	-4554	3007	5285	1471	12875	6649
---Cac Chi So Tai Chinh---																	
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	1.10	1.10	1.52	1.64	1.66	1.89	1.89	2.48	2.57	2.90	4.45	4.45	7.01	0.00	0.00	0.00	0.00
