CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	 2009	Q4 2009	 2008	Q4 2008	 2007	Q4 2007
Thu nhập khác###Other incomes	-90	775	110	99	871	23	11	167	84	18	55	9	1224	128	57	281	779	450	518	369	21	24	878	57	245	638	14	1035	113	475	353	94	1692	665	430	590	7	277	251	30	61	24	574	287	159	104	25	1852	803	1574	20	55	533	482	67
Chi phí khác###Other Expenses	110	166	1683	201	1095	1352	53	714	539	5	69	101	715	5	81	60	576	198	63	90	4	47	95	78	16	57	12	658	98	604	7	7	1862	1507	205	138	12	103	121	33	34	8	344	32	171	128	14	1460	0	2008	14	37	274	119	51
Lợi nhuận khác###Other profits	-200	609	-1574	-102	-224	-1329	-42	-547	-455	13	-14	-92	509	123	-25	221	203	252	455	279	17	-23	783	-21	229	581	2	378	15	-130	346	88	-170	-843	225	452	-5	174	129	-3	27	16	230	255	-12	-24	11	393	803	-434	6	18	259	363	16
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-8583	-1902	15801	1210	5100	4281	4591	25065	3376	9645	6273	5821	15567	3090	6922	2072	3450	13438	2820	4823	620	5178	12355	-1462	4758	2638	6500	24036	5131	4003	6430	8571	27962	4504	5152	7239	11112	45436	10421	11276	9213	14419	36133	11758	7096	5207	11887	35355	10722	7577	6938	10119	33379	23371	16817
Chi phí thuế TNDN###Corporate Income Tax Expenses	193	0	3202	-10	1041	869	959	5410	702	1967	1293	1202	3973	1350	1419	473	725	2824	565	1005	157	1088	2902	0	1104	724	1488	5520	1148	938	1502	1943	7313	1126	1288	0	0	11611	0	0	0	3605	8015	2571	2527	2510	0	6166	0	0	0	0	4256	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	193	0	3559	176	1041	869	959	5584	875	1967	1293	1202	3643	1020	1419	473	725	2125	565	1005	157	1088	2902	0	1104	724	1488	5520	1148	938	1502	1943	7313	1126	1288	1879	2843	11611	2676	2882	2420	3605	8015	2571	2527	0	0	6166	5555	0	0	0	4256	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	-356	-185	0	0	0	-174	-174	0	0	0	330	330	0	0	0	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-8777	-1902	12599	1220	4059	3413	3632	19655	2674	7678	4981	4619	11594	1740	5504	1599	2725	10614	2255	3817	463	4090	9453	-1462	3654	1914	5013	18516	3983	3065	4928	6627	20649	3378	3864	5361	8269	33825	7745	8394	6792	10814	28119	9188	4570	5207	11887	29189	5167	7577	6938	10119	29123	23371	16817
---Cac Chi So Tai Chinh---																																																							
EBITDA	0.58	0.40	0.04	0.04	0.46	0.53	1.02	1.04	1.04	0.38	0.32	-0.31	-1.38	-1.38	0.00	-0.41	-0.93	-0.56	-0.56	-0.45	-0.15	-0.14	-0.11	-0.11	-0.09	-0.26	-0.11	0.23	0.23	0.33	0.57	0.92	0.25	0.25	0.22	-0.06	-0.16	0.21	0.21	0.40	0.46	0.63	0.65	0.65	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	46.00	25.20	49.34	49.34	31.31	34.90	28.16	19.81	19.81	26.02	33.18	33.10	15.80	15.80	28.25	28.07	23.35	25.34	25.34	23.56	20.69	19.93	20.73	20.73	22.16	22.16	24.28	20.62	20.62	20.47	19.42	20.27	17.52	17.52	18.56	17.31	19.32	16.90	16.90	18.47	17.96	18.59	10.65	10.65	9.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
