CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	 2014	 2013
Nợ ngắn hạn###Short term Liabilities	3142124	3416173	3873277	3874097	3888478	4587397	4473674	5012856	5000703	4711722	4557006	3957833	3984022	3984102	3795411	3640066	3633615	3857391	3857391	3450100	3573824	3866169	2993701	2989816
Nợ dài hạn###Long term Liabilities	21389	25639	26205	26234	27398	107117	109124	179779	179779	259702	259944	260076	260357	267753	266789	49004	121327	125702	125702	280968	281869	435378	700033	61042
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	2583960	2589142	2626243	2625699	2604435	2561570	2566238	2515066	2511044	2344750	2297472	2409825	2343245	2326075	2183184	2103038	2291773	2176012	2176012	2100499	1995552	2104462	2008920	1631310
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	2583960	2589142	2626243	2625699	2604435	2561570	2566238	2515066	2511044	2344750	2297472	2409825	2343245	2326075	2183184	2103038	2291773	2176012	2176012	2100499	1995552	2104462	2008920	1631310
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10441
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1501483	751200	8714244	2117081	1996755	2954960	1645447	9403070	2771587	2055131	3090666	1545153	8982963	2922084	1815942	2589321	1656663	8001622	2366348	2007906	1796156	8026991	8986349	7855061
Các khoản giảm trừ doanh thu###Deduction revenues	34623	18457	404685	126015	57168	144598	76904	371637	104266	43088	201368	22915	296143	108378	20297	160725	9899	218573	107500	25006	42093	171105	129428	419284
Doanh thu thuần###Net Sales	1466861	732742	8309559	1991066	1939588	2810362	1568543	9031433	2667321	2012043	2889298	1522238	8686820	2813706	1795645	2428596	1646764	7783049	2258848	1982900	1754063	7855887	8856921	7435777
Giá vốn hàng bán###Cost of goods sold	1068116	554967	6608472	1609623	1591156	2181690	1226004	7097746	2012357	1620825	2353611	1168926	6805813	2261803	1363329	1933202	1277647	6167136	1886588	1433665	1443707	6118626	6802704	5665238
Lợi nhuận gộp###Gross profit	398745	177776	1701087	381443	348432	628672	342540	1933688	654964	391217	535687	353312	1881007	551903	432316	495394	369117	1615913	372260	549235	310356	1737261	2054218	1770540
Doanh thu hoạt động tài chính###Financial activities Revenues	8413	4114	19375	2267	5782	8629	2697	20437	6139	6763	5120	3488	14902	3594	3166	3380	6287	24944	5521	3724	4605	24436	29813	34072
Chi phí tài chính###Financial Expenses	42259	57370	241547	48365	61878	72224	59080	193547	49307	42717	56990	33764	135989	40625	31748	39138	29478	149851	48364	34331	34569	205459	106364	71411
Chi phí bán hàng###Selling Expenses	151700	98290	735168	178664	176622	223346	156537	865833	243964	230126	230449	173136	889316	259921	247406	225815	159070	627867	93298	296572	69606	690449	792198	622453
Chi phí quản lý doanh nghiệp###Managing Expenses	63529	66814	324155	95685	61011	100853	66668	349487	99232	75487	104477	70291	320703	71770	50295	92533	82986	426943	91540	134680	124747	440978	522996	463937
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	150682	-40540	423332	62601	55520	242118	63031	544199	267581	50275	148226	79609	549901	183181	106034	141288	103869	436197	144580	87376	86040	424811	662472	646810
Thu nhập khác###Other incomes	12667	8446	62293	29740	14163	6589	14509	21760	12171	4409	-4913	8854	19754	12868	3868	15465	-3453	30131	3617	22279	122	26159	42960	41887
Chi phí khác###Other Expenses	3547	4170	22576	17575	7105	538	65	17009	14171	1509	414	198	2962	4628	4595	-12	2703	2674	-3352	4059	620	26134	4673	13708
Lợi nhuận khác###Other profits	9120	4276	39718	12165	7057	6051	14445	4751	-2000	2900	-5326	8655	16792	8240	-727	15477	-6156	27457	6968	18220	-498	25	38287	28179
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	159802	-36264	463050	74766	62577	248169	77476	548950	265581	53175	142900	88264	566693	191421	105306	156765	97714	463654	151549	105595	85542	424837	700760	674989
Chi phí thuế TNDN###Corporate Income Tax Expenses	9255	697	127901	32228	20925	56119	19212	134864	88910	8444	24864	14750	120574	38818	21676	32560	25917	114910	42637	25324	15293	105417	198443	175570
Chi phí thuế TNDN###Corporate Income Tax Expenses	8090	697	127761	36517	20925	51365	19212	135931	88314	8444	25718	14750	119401	40090	21676	33257	25917	115665	43392	28886	11731	103396	191892	175894
Chi phí thuế TNDN###Corporate Income Tax Expenses	1165	0	140	-4290	0	4755	0	-1067	596	0	-854	0	1174	-1272	0	-696	0	-755	-755	-3562	3562	2021	6551	-324
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	151214	-35363	338907	42615	42675	193048	60104	416599	176613	44943	118036	73829	446314	152886	83928	123839	72021	350458	108912	80271	70248	319831	501050	499419
---Cac Chi So Tai Chinh---																								
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	19.20	13.20	21.00	21.00	22.08	21.61	24.13	24.22	24.22	28.20	29.30	30.11	33.27	33.27	36.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
