CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	 2017	Q2 2017	 2016	Q2 2016	 2015	 2014	 2013
Nợ ngắn hạn###Short term Liabilities	448947	857161	892621	882942	1127652	1026647	1329240	1416394	1525808	1671998	1497806	1683728	1777391	2042709	2161638	2307024	2461331
Nợ dài hạn###Long term Liabilities	510765	175853	174074	176110	338601	340988	339378	340340	343957	362227	348235	326373	591345	643553	743266	808886	1606447
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	2279888	2327395	2323875	2338370	2402681	2398561	2393113	2426433	2425185	2377680	2381593	1976810	2173046	2165924	2128703	967617	747660
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	2279888	2327395	2323875	2338370	2402681	2398561	2393113	2426433	2425185	2377680	2381593	1976810	2173046	2165924	2128703	967617	747660
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99855
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	 2017	 2016	 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	242670	329536	2275284	364411	485694	662876	758086	4265065	776118	1018398	4003073	4263783	4736886	5813865	5166864
Các khoản giảm trừ doanh thu###Deduction revenues	3536	9	35182	7192	10675	10988	6326	20717	2389	6193	18756	15302	25436	52007	37948
Doanh thu thuần###Net Sales	239133	329527	2240102	357219	475019	651888	751760	4244349	773729	1012205	3984317	4248480	4711449	5761858	5128916
Giá vốn hàng bán###Cost of goods sold	207695	287703	1907842	302943	388601	575222	635939	3804606	670701	908086	3546121	3868559	4111438	4665193	4483740
Lợi nhuận gộp###Gross profit	31438	41823	332260	54276	86418	76666	115820	439743	103028	104118	438196	379922	600012	1096665	645176
Doanh thu hoạt động tài chính###Financial activities Revenues	22480	25721	199562	122256	19060	31164	15057	99837	25322	22145	85698	294639	218835	204995	151093
Chi phí tài chính###Financial Expenses	18458	14632	76252	10582	14728	19370	17278	86675	20536	27685	75390	98575	213798	317290	155340
Chi phí bán hàng###Selling Expenses	17631	22880	165300	25823	43821	33530	62784	249717	61267	60102	238274	267116	309162	335232	359995
Chi phí quản lý doanh nghiệp###Managing Expenses	19338	24971	148764	26830	36406	44376	41074	175758	39867	31310	173143	260819	265782	298672	184426
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-1988	5061	138276	113297	9288	9657	9742	31767	6680	7167	37087	48050	30106	350467	96507
Thu nhập khác###Other incomes	685	1419	13570	2860	4731	4321	1659	14936	4612	1696	7910	51870	15916	37388	24145
Chi phí khác###Other Expenses	100	12	1751	292	754	455	248	7250	1848	562	4157	37192	10608	30998	20861
Lợi nhuận khác###Other profits	584	1408	11820	2568	3977	3867	1410	7686	2764	1133	3753	14678	5308	6389	3284
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-1403	6468	150096	115865	13265	13524	11152	39454	9444	8300	40839	62729	35414	356857	99791
Chi phí thuế TNDN###Corporate Income Tax Expenses	-36	1063	29892	23177	2219	2000	2420	6263	2083	1731	4439	15512	13423	78076	26067
Chi phí thuế TNDN###Corporate Income Tax Expenses	-36	1063	28831	23177	2219	2000	2420	6263	2083	1731	4439	15512	13423	78076	26067
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	1061	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-1965	4338	126423	92269	13140	14125	10687	38272	8253	8102	48007	48583	17697	279784	78489
---Cac Chi So Tai Chinh---															
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	11.28	10.30	16.58	16.58	14.71	7.46	8.24	8.83	8.83	8.63	0.00	0.00	0.00	0.00	0.00
