CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	 2013	 2012	 2011	 2010
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	564255	535359	572103	572103	564609	599131	600123	638420	638214	582347	625751	598665	656048	656220	607130	610822	608599	699153	699198	565557	632875	604208	717165	717172	574143	626386	602788	703537	703509	559051	657876	733751	673127	511692	472248
Nợ phải trả ###Liabilities	117738	83988	127962	127962	123586	150677	112294	158464	158562	100596	155150	94299	172886	173034	142804	152724	122993	233605	233897	104352	179284	115522	248527	248527	114789	179533	124010	246716	245573	130932	243608	310110	282187	165188	148055
Nợ ngắn hạn###Short term Liabilities	117738	83988	127962	127962	123586	150677	112294	158464	158562	100596	155150	94299	172886	173034	142804	152724	122993	233605	233897	104352	179284	115522	248527	248527	114789	179533	124010	246716	245573	130932	243608	310110	282187	165188	148055
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	446517	451371	444141	444141	441023	448454	487829	479956	479653	481751	470601	504365	483162	483186	464326	458098	485607	465548	465301	461205	453591	488687	468638	468645	459354	446854	478778	456821	457936	428119	414267	423642	390941	346504	324193
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	446517	451371	444141	444141	441023	448454	487829	479956	479653	481751	470601	504365	483162	483186	464326	458098	485607	465548	465301	461205	453591	488687	468638	468645	459354	446854	478778	456821	457936	428119	414267	423642	390941	346504	324193
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	 2013	 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	206400	265888	792539	145913	100735	232657	313234	945617	110622	152730	230998	451266	943172	29564	210393	284187	419027	907609	27299	238056	245417	396837	956801	61394	191659	298906	404841	929122	32316	229430	227879	959652	875652	716995	595922
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	206400	265888	792539	145913	100735	232657	313234	945617	110622	152730	230998	451266	943172	29564	210393	284187	419027	907609	27299	238056	245417	396837	956801	61394	191659	298906	404841	929122	32316	229430	227879	959652	875652	716995	595922
Giá vốn hàng bán###Cost of goods sold	152629	209135	614611	109174	87066	174044	244326	748392	81347	135827	160183	371316	719460	13746	168789	193443	343311	689058	4271	195987	159333	329467	722029	44893	145440	193543	338153	713894	-3585	188343	149976	731878	659152	541023	454055
Lợi nhuận gộp###Gross profit	53771	56753	177928	36738	13669	58612	68909	197226	29275	16903	70816	79950	223711	15818	41605	90744	75716	218551	23028	42069	86084	67370	234772	16501	46219	105363	66689	215228	35901	41087	77902	227774	216500	175972	141867
Doanh thu hoạt động tài chính###Financial activities Revenues	1106	381	2825	367	687	1370	401	8277	1730	2472	3289	786	8733	3096	1378	3030	1229	12072	4014	2357	4142	1559	11031	4766	1442	3467	1355	16954	5368	5635	5318	22665	27624	24385	20745
Chi phí tài chính###Financial Expenses	222	338	855	143	221	280	212	1024	329	224	176	295	660	192	47	61	360	1765	624	101	279	762	1985	810	213	250	712	3264	1257	382	746	6811	5574	1795	1136
Chi phí bán hàng###Selling Expenses	43943	39683	125435	26462	5307	46168	47498	119114	24237	2266	46058	46554	134995	-8091	31467	67225	44394	152384	14759	32221	68673	36732	142126	7272	28351	71569	34934	122076	15629	27816	50972	112261	127033	107647	78968
Chi phí quản lý doanh nghiệp###Managing Expenses	5542	8278	25692	7140	4978	6352	7223	26595	8861	3293	7050	7489	24727	5097	3699	8860	7213	22076	2992	4643	8291	6459	20055	1887	3189	10157	4822	19223	10256	1664	3832	21699	20970	15186	13953
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	5171	8836	28771	3361	3850	7183	14377	58769	-2422	13592	20821	26399	72063	21715	7770	17629	24978	54398	8668	7461	12983	24977	81636	11298	15908	26854	27577	87618	14127	16861	27670	109668	90547	75730	68554
Thu nhập khác###Other incomes	-160	178	1249	97	920	138	94	596	55	347	89	105	641	431	19	96	95	5972	1081	48	4758	85	1940	613	118	636	573	21627	20038	898	438	1952	1187	4347	4129
Chi phí khác###Other Expenses	21	0	12053	5037	0	3313	3703	88	87	2	0	0	662	478	4	0	0	4830	4630	77	123	0	0	0	0	0	0	0	0	0	0	4	0	4	0
Lợi nhuận khác###Other profits	-182	178	-10804	-4940	920	-3174	-3610	508	-32	346	89	105	-21	-47	15	96	95	1141	-3548	-29	4635	85	1940	613	118	636	573	21627	20038	898	438	1948	1187	4343	4129
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	4989	9014	17967	-1579	4770	4008	10767	59277	-2454	13938	20910	26504	72042	21668	7785	17725	25073	55540	5119	7432	17618	25061	83577	11911	16026	27490	28150	109245	34165	17758	28108	111616	91734	80073	72683
Chi phí thuế TNDN###Corporate Income Tax Expenses	998	1803	6004	691	954	1464	2894	12026	-320	2788	4182	5301	14696	4432	1557	3545	5015	11108	1024	1486	3524	5012	18394	2620	3526	6048	6193	24034	7516	3907	6184	27904	22933	18918	19271
Chi phí thuế TNDN###Corporate Income Tax Expenses	998	1803	6004	691	954	1464	2894	11261	-1085	2788	4182	5301	13431	3320	1557	3545	5015	8863	-1222	1486	3524	5012	17612	1839	3526	6048	6193	23015	6497	3907	6184	29112	26827	19893	19271
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	765	765	0	0	0	1265	1112	0	0	0	2245	2245	0	0	0	782	782	0	0	0	1019	1019	0	0	-1209	-3894	-975	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	3991	7211	11963	-2270	3816	2544	7873	47251	-2134	11150	16728	21203	57346	17236	6228	14180	20058	44432	4096	5946	14094	20049	65183	9291	12500	21442	21957	85211	26649	13852	21924	83712	68800	61155	53413
---Cac Chi So Tai Chinh---																																			
EBITDA	0.02	-0.09	0.39	0.39	-0.44	-0.49	-0.39	-0.30	-0.30	-0.02	0.04	0.15	0.04	0.04	-0.77	-0.40	-0.41	0.41	0.41	0.52	0.54	0.61	0.26	0.26	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	8.52	5.08	9.44	9.44	9.51	10.18	10.82	10.96	10.96	9.69	8.89	8.47	8.26	8.26	9.43	10.81	10.20	9.63	9.63	9.22	9.85	9.87	9.82	9.82	8.20	8.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
