CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	Q4 2014	Q2 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	Q4 2011
Tài sản dài hạn khác###Other long term assets	729	631	399	309	501	721	902	1076	1513	1168	1322	1076	1540	2044	3226	3828	5941	7451	7451	8333	4798	4001	4380	4940	2654	1622	2287	2483	1371	907	907	802	802	934	934
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	2115581	1048713	1020799	1023937	963801	1284207	1324562	942038	950788	993569	803446	756938	747111	745296	735291	758718	585923	566601	566512	448737	402243	355680	362574	360204	343279	280882	274381	274381	189434	198305	198305	158346	158346	146319	146319
Nợ phải trả ###Liabilities	1850349	839799	822737	826215	766439	1088075	1152067	784926	793676	849973	662239	616597	610088	608451	604876	632790	462503	439320	439297	319544	275421	230391	237967	235624	218912	208169	207679	207679	128342	138934	138934	99864	99864	91518	91518
Nợ ngắn hạn###Short term Liabilities	1756793	761233	753285	755113	706230	1017047	1073312	743118	751869	800658	614331	578208	570013	568377	559066	588000	421951	400116	400281	280254	251244	206427	214442	212100	193665	191664	195244	195244	115533	128153	128153	88669	88669	79615	79615
Nợ dài hạn###Long term Liabilities	93556	78566	69452	71102	60209	71028	78755	41808	41808	49315	47908	38389	40075	40075	45810	44790	40552	39204	39016	39291	24178	23964	23524	23524	25247	16505	12435	12435	12809	10781	10781	11195	11195	11902	11902
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	265232	208913	198062	197723	197363	196132	172495	157112	157112	143596	141207	140341	137023	136844	130416	125928	123419	127281	127215	129193	126821	125289	124608	124579	124367	72713	66702	66702	61092	59371	59371	58482	58482	54801	54801
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	265232	208913	198062	197723	197363	196132	172495	157112	157112	143596	141207	140341	137023	136844	130416	125928	123419	127281	127215	129193	126821	125289	124608	124579	124367	72713	66702	66702	61092	59371	59371	58482	58482	54801	54801
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	Q2 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	255070	180679	1316316	167022	221808	532192	395283	1014330	421999	199879	217869	174583	873865	444374	143081	194250	92160	357658	135648	113231	75830	33353	292273	74663	59193	218967	49468	184411	182774	95969
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	540	162	0
Doanh thu thuần###Net Sales	255070	180679	1316316	167022	221808	532192	395283	1014330	421999	199879	217869	174583	873865	444374	143081	194250	92160	357658	135648	113231	75830	33353	292273	74663	59193	218967	49449	183871	182612	95969
Giá vốn hàng bán###Cost of goods sold	164772	106426	1197456	143374	219499	475463	359918	941017	391008	183561	207980	158338	804118	421529	125591	176788	80210	315104	122109	101024	67289	24683	250070	67832	44442	185299	42405	158815	156282	79346
Lợi nhuận gộp###Gross profit	90299	74254	118860	23647	2310	56730	35365	73313	30992	16318	9889	16244	69747	22845	17491	17462	11950	42554	13539	12208	8541	8670	42204	6831	14751	33668	7044	25056	26330	16624
Doanh thu hoạt động tài chính###Financial activities Revenues	5128	656	13212	1997	7002	3427	700	4470	2024	1273	562	592	2585	1115	183	716	571	5537	776	361	4391	18	4218	3498	699	52	8	135	251	260
Chi phí tài chính###Financial Expenses	4646	41659	42168	12612	7697	15277	6581	23289	6551	6635	5556	5037	22978	6209	4599	7898	4455	13380	4199	3082	3583	2516	11036	3389	2691	6574	1546	6203	5439	4315
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	8	0	174	44	94	521	37
Chi phí quản lý doanh nghiệp###Managing Expenses	20456	19954	35671	12103	64	12841	10060	28790	9593	7828	3361	7629	29956	9684	7387	6644	6242	30480	12649	6347	6376	5188	16652	5704	4175	13266	3333	9872	11608	6421
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	70325	13296	54233	929	1550	32039	19424	25704	16871	3128	1534	4171	19398	8066	5688	3636	1823	4231	-2532	3140	2973	984	18689	1228	8584	13706	2128	9021	9012	6110
Thu nhập khác###Other incomes	64	256	356	274	255	66	17	809	15	518	741	0	138	100	0	37	0	1235	389	289	400	156	225	4	0	98	25	628	497	141
Chi phí khác###Other Expenses	3	5	2127	606	276	1289	212	224	-8	620	57	22	320	111	31	157	20	544	324	10	225	27	790	597	7	2633	20	522	461	34
Lợi nhuận khác###Other profits	61	250	-1771	-332	-21	-1223	-195	584	24	-102	684	-21	-183	-10	-31	-120	-20	691	65	279	175	129	-565	-593	-7	-2535	5	106	36	108
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	70386	13546	52462	597	1529	30816	19229	26288	16895	3026	2219	4149	19215	8056	5657	3516	1803	4921	-2468	3419	3148	1113	18123	635	8576	11171	2133	9128	9048	6218
Chi phí thuế TNDN###Corporate Income Tax Expenses	14067	2695	10504	237	298	6172	3846	5298	3379	637	451	831	3878	1627	1137	712	365	892	-490	686	500	192	4068	291	1888	3028	474	2412	1615	1559
Chi phí thuế TNDN###Corporate Income Tax Expenses	14252	3047	10594	237	298	6172	3846	5298	3379	637	451	831	3878	1627	1137	712	365	892	-490	686	500	192	4068	291	1888	3028	474	2412	1615	1559
Chi phí thuế TNDN###Corporate Income Tax Expenses	-185	-352	-90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	56319	10851	41958	360	1231	24644	15383	20991	13516	2389	1768	3318	15337	6429	4520	2804	1438	4030	-1977	2733	2649	921	14056	344	6688	8143	1660	6715	7433	4658
---Cac Chi So Tai Chinh---																														
EBITDA	0.73	0.54	-1.65	-1.65	-1.27	-0.66	0.93	0.91	0.91	1.09	1.21	0.05	0.04	0.04	-0.22	-0.13	-0.33	-0.66	-0.66	-0.82	-0.72	-0.22	-0.04	-0.04	0.09	0.26	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	14.50	6.80	12.60	12.60	16.00	15.00	7.55	6.09	6.09	6.55	6.12	5.45	7.44	7.44	7.44	7.02	4.96	6.03	6.03	7.66	7.19	9.28	8.12	8.12	9.28	8.47	7.06	0.00	0.00	0.00
