CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	 2013	Q4 2013
Vốn chủ sở hữu ###Owners equity	543686	554546	563773	563290	566135	564980	562325	557951	557951	554810	551803	549448	544963	544963	539857	529110	526018	524815	524815	523812	513228	180503	177789	177789	177394	176238	169551	165328	165328	42879	42879
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	543686	554546	563773	563290	566135	564980	562325	557951	557951	554810	551803	549448	544963	544963	539857	529110	526018	524815	524815	523812	513228	180503	177789	177789	177394	176238	169551	165328	165328	42879	42879
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q2 2014	Q1 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	46124	60177	636002	157847	160402	169120	148633	644466	169795	171897	157705	145069	586676	151832	175099	122607	137138	525685	147730	171442	107229	99283	429130	110803	94905	115029	108392	362747	81116	75224	372838
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	4	4	0	0	0	2993	0	2903	90	0	0	0	0	0	0	82	0	0	0	82	0	0	0	578
Doanh thu thuần###Net Sales	46124	60177	636002	157847	160402	169120	148633	644462	169791	171897	157705	145069	583683	151832	172196	122517	137138	525685	147730	171442	107229	99283	429048	110803	94905	115029	108310	362747	81116	75224	372259
Giá vốn hàng bán###Cost of goods sold	49044	61897	598160	152091	151951	156617	137423	588133	155612	158693	144294	129534	512806	134958	149175	107969	120703	459724	134527	146716	92700	85782	374023	99858	82797	98526	92841	298321	67382	64570	332928
Lợi nhuận gộp###Gross profit	-2920	-1720	37842	5755	8451	12503	11210	56328	14178	13204	13411	15535	70877	16874	23020	14547	16434	65961	13203	24726	14530	13502	55025	10945	12108	16502	15470	64426	13734	10654	39331
Doanh thu hoạt động tài chính###Financial activities Revenues	67	73	4359	967	1127	1192	1074	4363	1080	1113	1138	1032	3737	1276	948	963	549	898	691	89	87	31	272	7	33	36	197	104	13	2	105
Chi phí tài chính###Financial Expenses	5576	5498	25932	6813	6391	6791	5937	27153	7099	6264	7332	6459	25716	7328	5753	6919	5716	21738	6286	5404	5324	4724	20594	5237	5284	5288	4786	23015	5968	6147	16706
Chi phí bán hàng###Selling Expenses	147	163	2217	385	510	690	633	3192	736	754	824	878	4609	943	1038	1255	1373	5352	1503	1267	1194	1389	5452	1281	1408	1422	1341	4918	1222	1368	8147
Chi phí quản lý doanh nghiệp###Managing Expenses	1955	1881	11113	2342	2627	2883	3239	14430	3485	3562	3678	3705	14646	3477	3373	3389	4406	17316	4534	4392	4364	4027	16136	3956	3960	4095	4125	12614	3072	2962	11630
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-10532	-9189	2939	-2817	50	3332	2475	15916	3939	3736	2716	5525	29643	6403	13805	3948	5487	22452	1572	13753	3734	3393	13114	478	1489	5734	5414	23983	3486	180	2955
Thu nhập khác###Other incomes	1	0	4632	600	1647	5	3205	607	0	87	438	82	48	159	4	10	0	1331	0	1351	6	0	7114	877	3077	3160	0	5888	0	4019	2628
Chi phí khác###Other Expenses	161	39	66	628	247	15	2	63	10	52	1	0	300	33	300	74	19	2021	117	1737	193	0	4183	848	3085	250	0	5482	0	4018	3556
Lợi nhuận khác###Other profits	-160	-39	4566	-28	1399	-9	3203	544	-10	35	438	82	-252	126	-296	-64	-19	-690	-117	-386	-187	0	2931	29	-7	2910	0	406	0	1	-928
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-10692	-9228	7505	-2845	1450	3323	5678	16460	3929	3771	3154	5607	29391	6530	13509	3884	5468	21763	1455	13368	3547	3393	16046	506	1482	8644	5414	24389	3486	181	2027
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	1514	0	294	667	1136	3304	788	765	631	1121	6075	1424	2762	792	1097	4662	452	2784	748	679	3585	111	326	1957	1191	2052	767	40	507
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	1514	0	294	667	1136	3304	788	765	631	1121	6075	1424	2762	792	1097	4662	452	2784	748	679	3585	111	326	1957	1191	2052	767	40	507
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-10692	-9228	5990	-2845	1155	2655	4542	13156	3141	3006	2523	4485	23316	5106	10747	3092	4371	17100	1003	10584	2799	2714	12461	395	1156	6687	4223	22337	2719	141	1520
---Cac Chi So Tai Chinh---																															
EBITDA	0.23	0.43	0.93	0.93	0.22	0.45	0.76	0.67	0.67	0.88	1.12	1.14	1.77	1.77	3.06	1.73	1.57	0.69	0.69	-0.18	0.71	0.66	0.82	0.82	0.85	-0.06	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	1.10	0.70	1.20	1.20	1.20	1.20	1.30	1.10	1.10	1.60	1.80	2.50	2.90	2.90	3.50	2.60	2.50	2.10	2.10	12.50	11.90	10.21	9.54	9.54	7.84	25.04	0.00	0.00	0.00	0.00	0.00
