CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q2 2015	 2014	Q4 2014	 2013	Q4 2013
Nợ ngắn hạn###Short term Liabilities	269889	229820	273090	273356	306710	270396	197312	224758	224366	261930	236080	184894	248057	248105	220211	181152	155324	195628	197217	185212	153913	128570	184089	200177	237776	237776	158284	158284
Nợ dài hạn###Long term Liabilities	5621	5386	5723	5691	74564	64370	84316	88778	89074	91269	92997	90114	91254	90232	90514	89345	78756	75984	75984	61148	51821	36564	37879	17169	8296	8296	7292	7292
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	202039	203508	208340	209269	201430	190942	195075	205110	205010	200778	191474	197779	209660	209794	201888	187189	193536	201708	203458	200807	186798	200672	204758	99052	80200	80200	52307	52307
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	202039	203508	208340	209269	201430	190942	195075	205110	205010	200778	191474	197779	209660	209794	201888	187189	193536	201708	203458	200807	186798	200672	204758	99052	80200	80200	52307	52307
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q1 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	107367	80117	538739	199646	176507	91349	71615	468768	164259	164800	72469	67259	433499	164010	142081	64990	62417	346335	121119	123317	41632	60320	457885	127682	150608	94951	423120	330643
Các khoản giảm trừ doanh thu###Deduction revenues	50	5	53	22	2	9	23	925	15	19	26	865	13	3	1	9	0	1761	39	1	0	1722	5281	4666	615	0	2128	1368
Doanh thu thuần###Net Sales	107317	80112	538686	199624	176505	91340	71593	467844	164244	164781	72444	66394	433485	164007	142080	64981	62417	344574	121080	123317	41632	58598	452605	123016	149993	94951	420992	329276
Giá vốn hàng bán###Cost of goods sold	93220	70156	447961	163466	144286	75376	64324	389419	132394	134477	61988	60745	377261	139685	122669	58034	57233	292812	105949	96209	40449	50367	363675	109531	115674	70431	344285	280584
Lợi nhuận gộp###Gross profit	14098	9956	90725	36157	32218	15964	7269	78425	31850	30304	10456	5649	56224	24322	19411	6947	5185	51762	15131	27108	1184	8231	88930	13485	34319	24520	76707	48691
Doanh thu hoạt động tài chính###Financial activities Revenues	2229	3464	12287	9391	1123	486	1003	4490	1635	1232	779	844	4402	844	1119	616	1730	5625	1415	1307	1069	1786	6293	1749	1832	1219	3222	2881
Chi phí tài chính###Financial Expenses	2971	3325	19542	5563	5450	4543	4236	19613	4637	6026	4790	4160	13738	4326	3736	2628	2954	7614	2594	1621	1532	1868	16088	5327	3767	2502	10633	8921
Chi phí bán hàng###Selling Expenses	4667	3585	14704	1955	5866	3450	3428	16243	4744	5074	3253	3173	12794	1558	4587	3442	3508	9754	222	4133	2598	2722	8964	1891	3046	1942	9473	4359
Chi phí quản lý doanh nghiệp###Managing Expenses	9035	9192	42614	11808	10840	10434	9376	40705	11505	10280	8848	10093	32860	8647	7703	7792	8574	38596	10557	7901	8803	9504	34480	12527	7845	7051	24889	16762
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-686	-4678	26152	26222	11185	-1976	-8769	6354	12598	10157	-5656	-10933	1236	10636	4504	-6299	-8123	1424	3173	14761	-10680	-4078	35690	-4511	21494	14244	34935	21531
Thu nhập khác###Other incomes	86	18	137	2	70	37	28	171	4	89	74	5	226	145	13	17	0	406	1733	0	209	25	11	4	6	2	1052	880
Chi phí khác###Other Expenses	0	87	2952	92	2354	-275	628	707	81	100	-59	586	190	36	33	57	42	1230	1914	701	143	33	144	34	36	35	580	697
Lợi nhuận khác###Other profits	86	-70	-2815	-90	-2284	312	-600	-536	-77	-11	134	-581	36	109	-20	-40	-42	-824	-181	-701	66	-8	-132	-30	-31	-33	472	183
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-600	-4748	23337	26132	8901	-1664	-9369	5818	12521	10146	-5522	-11514	1272	10744	4484	-6339	-8164	600	2993	14059	-10613	-4086	35558	-4541	21464	14210	35408	21714
Chi phí thuế TNDN###Corporate Income Tax Expenses	457	0	6567	5237	924	2545	7	4738	2819	842	976	7	3429	2366	226	15	0	389	342	49	0	0	3011	1560	846	107	2821	1788
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	5189	3982	924	393	0	4068	2576	835	547	0	1791	1704	204	0	0	477	342	49	0	0	3011	1560	846	107	2821	1788
Chi phí thuế TNDN###Corporate Income Tax Expenses	457	0	1378	1256	0	2152	7	671	244	7	429	7	1638	663	22	15	0	-88	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-1168	-4865	10627	18028	4274	-5161	-11046	-5216	8415	7558	-6498	-13518	-8034	6507	2760	-7684	-9352	-674	2651	14010	-10614	-4086	32056	-6101	20618	14104	32587	19926
---Cac Chi So Tai Chinh---																												
EBITDA	-0.64	-1.03	-2.58	-2.58	-2.14	-1.56	-0.39	-0.31	-0.31	-0.11	0.15	-0.05	0.32	0.32	0.03	1.88	1.94	1.64	1.64	1.83	0.20	0.49	0.93	0.93	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	4.80	5.20	4.20	4.20	4.57	4.57	6.04	6.22	6.22	4.03	4.20	4.20	4.29	4.29	5.49	5.15	5.83	6.43	6.43	7.98	9.15	14.92	18.35	18.35	0.00	0.00	0.00	0.00
