CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	 2013	 2012
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q3 2015	Q2 2015	Q1 2015	 2014	 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	603153	978407	4254527	1031149	1125247	1018160	1080733	4346085	979736	1219815	1057945	1087872	3877104	940228	1138283	939611	859045	3198584	895472	861732	772264	669116	3005032	880389	760489	608377	2593478	2454787	1978140
Các khoản giảm trừ doanh thu###Deduction revenues	115	632	920	283	264	167	206	1190	178	186	481	345	1618	145	192	1174	107	591	162	125	166	138	3142	352	93	809	70	494	1465
Doanh thu thuần###Net Sales	603038	977775	4253607	1030866	1124983	1017993	1080527	4344895	979559	1219629	1057465	1087527	3875486	940083	1138091	938437	858938	3197993	895310	861607	772098	668977	3001891	880036	760396	607569	2593408	2454293	1976675
Giá vốn hàng bán###Cost of goods sold	566461	888933	3905683	935582	1039269	931636	999959	3963259	890952	1111692	962306	998068	3530238	838969	1049057	856937	785337	2882242	801184	773330	692727	615025	2656957	779857	667273	547232	2336302	2217252	1775085
Lợi nhuận gộp###Gross profit	36577	88842	347924	95284	85714	86357	80569	381636	88607	107937	95159	89459	345249	101114	89034	81500	73601	315751	94126	88277	79372	53952	344934	100179	93123	60336	257105	237040	201590
Doanh thu hoạt động tài chính###Financial activities Revenues	7833	5595	25720	6512	9888	5332	3988	22617	5159	9290	3810	4167	38311	5411	5372	7301	6546	21116	5744	3902	3182	8294	21887	10774	3110	2840	7166	9403	5016
Chi phí tài chính###Financial Expenses	5827	14416	42258	8125	9850	14195	10088	67765	13653	26432	15134	12219	43878	9982	-5028	12610	12632	48914	25538	6099	7737	9427	66014	24953	12672	11570	34243	33984	28361
Chi phí bán hàng###Selling Expenses	14849	20152	87659	23569	23846	20443	19801	87549	20458	23025	20811	23255	116931	26499	28539	33248	28645	90013	24545	26004	22472	16992	107899	26647	32417	18196	82537	70805	63833
Chi phí quản lý doanh nghiệp###Managing Expenses	23221	31878	123727	32380	30893	30924	29508	141305	37562	35461	35185	33087	136131	30203	37281	35101	33543	119504	26739	33695	32807	25862	114281	31610	31045	22110	79718	86102	64055
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1858	28635	122928	38379	31288	27641	25556	107635	22093	32308	27839	25064	86619	39840	33614	7841	5327	78132	22332	26381	18957	9966	76980	27743	18904	11300	67775	55553	50358
Thu nhập khác###Other incomes	1876	197	2072	747	268	705	352	4956	642	762	1217	2334	2954	1042	1074	546	292	2677	1047	524	643	557	7274	764	5912	485	9098	2713	6234
Chi phí khác###Other Expenses	247	595	2304	322	720	343	919	4080	1334	1170	687	894	3527	1493	866	615	545	4828	2283	692	580	1220	4081	1145	1732	571	2515	1755	1139
Lợi nhuận khác###Other profits	1629	-398	-233	426	-452	361	-568	877	-692	-408	530	1439	-574	-451	208	-69	-253	-2151	-1236	-168	62	-663	3193	-380	4179	-86	6583	959	5095
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	3488	28236	122695	38804	30836	28003	24988	108512	21401	31900	28369	26503	86045	39389	33822	7772	5074	75981	21096	26213	19020	9303	80173	27363	23083	11214	70497	53077	55453
Chi phí thuế TNDN###Corporate Income Tax Expenses	607	2620	6042	2191	1545	1294	1034	7910	2468	1952	1942	1466	6627	2667	2179	936	849	4737	1267	1584	1343	678	6155	1466	2225	748	6014	4738	5348
Chi phí thuế TNDN###Corporate Income Tax Expenses	607	2620	6042	2191	1545	1294	1034	7910	2468	1952	1942	1466	6627	2667	2179	936	849	4737	1267	1584	1343	678	6155	1466	2225	748	6014	4738	5348
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	3249	26125	112661	37472	28257	25671	21174	104958	16858	32971	26427	26826	78967	38821	33158	4549	2449	71244	19828	24628	17676	8625	75918	25896	20858	10466	68006	48339	50105
---Cac Chi So Tai Chinh---																													
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	19.37	13.26	17.68	17.68	17.51	18.22	17.38	17.77	17.77	16.43	15.64	15.80	12.95	12.95	11.94	15.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
