CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản dài hạn khác###Other long term assets	6160	5863	5724	5724	6308	5835	6125	5504	5504	5933	5404	5306	4983	4983	5002	5098	5373	5727	5730	6421	7291	7685	7637	7787	6249	5101	5569	7318	7466	14461	13065	12861	13315	13315	10881	5976	8438	10519	11809
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1014669	999874	1097802	1099043	1097814	1099598	1103319	1139472	1139164	1126879	1136769	1055335	1030261	1030376	1066636	1032047	999332	977674	975229	1079108	1097896	1103218	1170222	1173687	1188785	1188353	1159799	1246026	1255865	1572127	1556709	1473566	1578466	1578466	1758878	1647149	1785424	1792617	1562594
Nợ phải trả ###Liabilities	684274	668404	766877	768185	764923	767490	769982	806302	805994	769925	784063	700991	680141	680078	689153	660262	627020	600953	599943	718929	728952	739015	807476	809897	845458	852195	824190	916991	926279	1266281	1254374	1171743	1264915	1264915	1442883	1361947	1499085	1539493	1342731
Nợ ngắn hạn###Short term Liabilities	379541	356626	465520	466828	386396	385326	388049	453408	453100	454314	429079	397023	416951	416888	411291	382023	367943	347700	346779	426238	419865	427734	481822	484243	491863	506436	475073	511188	520476	447553	508939	647883	568127	568127	964928	929499	1111194	1166740	983535
Nợ dài hạn###Long term Liabilities	304733	311777	301357	301357	378527	382165	381933	352894	352894	315612	354985	303968	263191	263191	277863	278238	259077	253252	253164	292691	309087	311282	325654	325654	353595	345759	349118	405803	405803	818728	745435	523860	696788	696788	477956	432449	387891	372753	359195
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	330395	331470	330925	330858	332891	332108	333337	333170	333170	356954	352706	354344	350119	350298	377482	371786	372312	376721	375286	360180	368944	364203	362746	363791	343327	336157	335609	235903	329585	305846	302335	301823	233912	233912	236429	285202	286339	253124	141417
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-177
Vốn chủ sở hữu ###Owners equity	330395	331470	330925	330858	332891	332108	333337	333170	333170	356954	352706	354344	350119	350298	377482	371786	372312	376721	375286	360180	368944	364203	362746	363791	343327	336157	335609	235903	329585	305846	302335	301823	233912	233912	236429	285202	286339	253124	141595
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93132	93028	78366	78360	79216	79639	79639	79565	79967	84170	84026	78446
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q3 2013	Q2 2013	 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	90058	67409	346907	201209	65937	70215	9545	358081	149557	84011	27486	96747	184914	37406	62089	49857	35562	349582	122544	90876	76266	60002	505573	130021	140567	91680	143306	834227	619474	80472	73507	60773	749702	140930	149445	781473	1018015	1707865	1445923
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	373	10
Doanh thu thuần###Net Sales	90058	67409	346907	201209	65937	70215	9545	358081	149557	84011	27486	96747	184914	37406	62089	49857	35562	349582	122544	90876	76266	60002	505573	130021	140567	91680	143306	834227	619474	80472	73507	60773	749702	140930	149445	781473	1017780	1707492	1445913
Giá vốn hàng bán###Cost of goods sold	84032	62168	326797	183196	70384	64327	8610	323791	138355	72699	19371	92595	161931	32605	51633	43833	33860	324581	98312	83103	69022	51364	427276	95890	122927	77457	128492	743757	554909	68633	70214	50418	677538	129843	133333	734104	913873	1569243	1333583
Lợi nhuận gộp###Gross profit	6026	5240	20109	18014	-4447	5888	935	34291	11203	11312	8115	4152	22983	4801	10456	6024	1702	25001	24232	7773	7244	8638	78297	34131	17640	14223	14814	90469	64565	11839	3294	10356	72165	11087	16112	47369	103907	138249	112330
Doanh thu hoạt động tài chính###Financial activities Revenues	1316	1223	20698	1528	13679	1546	3787	9767	1661	1483	1773	4949	10499	2225	2878	4114	1282	13947	2509	1630	8828	1423	12279	3147	3118	3236	2760	11905	1517	1627	6753	2026	13941	5185	4338	14607	15136	13738	10406
Chi phí tài chính###Financial Expenses	3338	3191	15330	4646	3242	4203	3239	17801	5519	3973	5095	3313	14249	3694	3859	4024	2672	14345	3959	3477	3766	3130	16271	4398	3761	4056	4038	20412	4809	5115	5348	5143	33100	7587	9411	45078	63294	44666	33080
Chi phí bán hàng###Selling Expenses	0	0	107	13	24	41	30	587	218	0	63	306	691	173	43	279	196	1825	492	216	602	515	4199	733	1103	982	1282	12362	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	3743	3139	17939	7408	3698	3901	3053	15886	4738	3146	4301	4192	18261	5136	4057	4689	4379	19967	8791	4465	5330	4588	15524	7014	4282	-251	4478	20268	18616	4082	5057	4853	27932	4688	8280	22481	29757	54853	42905
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	260	133	3945	7475	-1219	-710	-1601	10508	3211	5675	340	1290	-58	-1707	5375	719	-4263	2647	13928	708	6373	1827	54135	23940	11556	12535	7767	49332	42293	4138	-536	2292	25074	3997	2760	-5324	26624	54296	46751
Thu nhập khác###Other incomes	552	750	9277	4512	2008	986	1771	3060	10	0	0	3050	1985	274	609	909	191	28400	5202	213	605	917	4939	1258	1237	1624	931	7614	2337	1061	3671	545	12371	6223	1855	34710	26002	1956	10232
Chi phí khác###Other Expenses	3	46	403	388	6	5	3	316	11	2	301	1	1709	1144	218	194	153	3093	676	211	1961	928	4066	1704	965	810	670	3207	1542	607	731	334	6285	508	1871	1955	14443	1620	5501
Lợi nhuận khác###Other profits	549	704	8874	4123	2002	981	1768	2744	-1	-2	-301	3049	276	-870	390	715	38	25306	4526	2	-1357	-11	873	-447	272	815	261	4407	796	454	2940	210	6086	5715	-16	32755	11559	336	4731
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	809	838	12819	11598	784	271	167	13252	3210	5673	39	4339	218	-2577	5765	1433	-4225	27953	18454	710	5016	1816	55008	23493	11828	13350	8028	52264	43089	4592	2404	2502	29632	9768	2737	27431	38183	54632	50548
Chi phí thuế TNDN###Corporate Income Tax Expenses	178	172	2970	2970	0	0	0	1803	489	1042	157	115	100	-353	68	200	184	5391	3311	685	486	359	11111	2963	4658	2616	1454	10775	9089	1014	-204	730	6918	1786	998	5993	7647	12783	12375
Chi phí thuế TNDN###Corporate Income Tax Expenses	178	172	2970	2970	0	0	0	1803	489	1085	118	110	52	-325	0	193	184	4991	3311	285	486	359	11016	2912	4646	2586	1452	10472	9087	986	-395	648	6359	1786	879	5993	7647	12783	12375
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	-43	38	5	48	-27	68	7	0	400	0	400	0	0	95	51	12	30	2	303	2	28	192	82	559	0	119	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	631	666	7863	6642	784	271	167	11449	2721	4838	-303	4201	-96	-2828	5368	1589	-4048	23852	15144	25	4531	1456	58822	20530	7170	10734	6574	55049	34000	3578	2608	1772	22714	7982	1739	21438	30536	41849	38173
---Cac Chi So Tai Chinh---																																							
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	7.30	7.00	8.00	8.00	7.50	7.68	7.32	6.95	6.95	6.05	5.80	5.63	5.96	5.96	5.73	5.80	5.65	4.90	4.90	5.20	6.24	7.63	6.24	6.24	4.27	4.53	5.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
