CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	 2007	 2006	 2005	 2004
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	147948	151628	148605	147703	138991	133819	136974	130425	128222	135092	239679	131086	128003	127452	120613	116981	114342	118119	117473	105051	155007	95984	94121	92880	86647	82456	73387	72486	69875	68010	71863	67751	0	0	0	0	0	0	0	0	1398	1357	3489	3663	3754	5933	7080	7434	7434	7593	8035	61581	7753	3676	4130	7475	8159	8159	8159	17064	3210	3225	2850	2858
Tài sản dài hạn khác###Other long term assets	39564	40490	40711	40577	40874	41549	39251	40431	40382	38331	39293	37284	38096	38508	38292	38720	38058	38471	38471	37090	37310	37404	37994	38067	38492	38502	40017	40147	41324	41602	42230	43148	44057	44426	41872	42292	40320	40267	40267	41488	41943	42433	43743	45482	43537	44532	45126	44953	44813	6887	8332	9323	9385	4122	3989	3999	4028	4082	4082	3838	4228	7247	648	744
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1759817	1837319	1909712	1920659	1821080	1638922	1559890	1633814	1630389	1633629	1696087	1740166	1701454	1699377	1391769	1288518	1267231	1335147	1334501	1206671	1125412	1141299	1100662	1099493	962277	984466	960177	926776	924878	872792	838439	749353	729106	728961	667868	696322	714321	703502	694522	718363	720310	725167	718478	720808	619548	591695	623527	591040	587477	626227	670617	663147	680457	668133	563403	534244	501811	476238	476238	499621	483227	218651	178886	243781
Nợ phải trả ###Liabilities	1275023	1323011	1404714	1410893	1306582	1167153	1078752	1127146	1126185	1180775	1255431	1313672	1219877	1218600	949696	857183	855969	887328	887328	781362	727204	763053	686553	686580	570280	606074	572195	540217	541349	495823	469847	390329	364601	364799	318584	345040	421093	404627	395776	413969	411549	401244	398831	401291	308807	292391	316309	282928	278979	316018	363298	347054	367272	353333	255139	225294	204296	186619	186619	205533	197843	162379	139007	208633
Nợ ngắn hạn###Short term Liabilities	1183973	1230381	1313102	1319280	1233663	1151742	1062576	1110719	1105158	1159371	1234642	1292641	1200437	1199331	930264	837738	836719	868061	868061	769408	718249	754018	677369	677395	561758	597358	562664	527619	528751	481646	438529	337932	329120	334388	295110	308444	369359	365202	359386	353897	355845	342549	356542	359292	259216	242905	265584	232339	219418	259478	331032	309624	360640	346700	251002	220746	200214	182487	182487	202949	194359	157570	131509	198846
Nợ dài hạn###Long term Liabilities	91049	92630	91613	91613	72919	15411	16177	16427	21027	21405	20789	21030	19439	19268	19431	19444	19251	19267	19267	11954	8954	9035	9184	9186	8521	8715	9531	12598	12598	14177	31318	52397	35481	30411	23474	36596	51734	39425	36390	60073	55704	58695	42289	41999	49590	49487	50725	50590	59560	56540	32266	37430	6633	6633	4137	4548	4082	4132	4132	2584	3484	4809	7498	9786
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	484795	514308	504998	509766	514498	471769	481138	506668	504204	452854	440655	426494	481578	480777	442074	431336	411262	447818	447172	425310	398209	378246	414109	412913	391997	378393	387981	386559	383530	376969	368592	359024	364505	364162	349284	351281	293228	298875	298746	304394	308761	323923	319648	319517	310742	299304	307217	308111	308499	310208	307319	316094	313185	314800	308265	308950	297515	289619	289619	294088	285384	56272	39879	35148
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1585	1650	3264	2047	2787	2787	3187	0	0	3003	3170
Vốn chủ sở hữu ###Owners equity	484795	514308	504998	509766	514498	471769	481138	506668	504204	452854	440655	426494	481578	480777	442074	431336	411262	447818	447172	425310	398209	378246	414109	412913	391997	378393	387981	386559	383530	376969	368592	359024	364505	364162	349284	351281	293228	298875	298746	304394	308761	323923	319648	319517	310742	299304	307217	308111	308499	310208	307319	316094	313185	313215	306615	305686	295469	286832	286832	290901	285384	56272	0	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	838439	749353	729106	728961	667868	696322	714321	703502	694522	718363	720310	725167	718478	720808	619548	0	623527	591040	587477	626227	670617	663147	680457	668133	563403	534244	501811	476238	476238	499621	483227	218651	178886	243781



KET QUA KINH DOANH	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	 2005	 2004
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	205995	1706087	718776	456482	366194	175351	1732517	711530	277149	547483	196355	1449515	650011	306341	322144	167213	1316477	490934	357883	308823	158837	1044789	404721	254593	297897	87579	839556	372854	187977	166285	112440	565880	145999	83824	192802	143435	653360	213359	157133	186613	97121	597818	258744	145786	134772	58516	518731	179004	102887	146556	90284	399595	101874	125851	114875	56985	391994	160892	88888	92364	49850	399478	198036	378150	259161	306816
Các khoản giảm trừ doanh thu###Deduction revenues	0	84	84	0	0	0	123	123	0	0	0	807	274	12	414	106	115	0	0	-1873	1988	506	10	0	496	0	2270	932	0	0	1338	0	0	0	0	0	9	9	0	0	0	79	0	79	0	0	61	0	0	61	0	1593	105	1477	0	0	181	156	0	25	0	157	-9	2699	512	30
Doanh thu thuần###Net Sales	205995	1706003	718691	456482	366194	175351	1732395	711408	277149	547483	196355	1448708	649736	306329	321729	167108	1316362	490934	357883	310696	156849	1044283	404711	254593	297401	87579	837286	371921	187977	166285	111102	565880	145999	83824	192802	143435	653351	213350	157133	186613	97121	597739	258744	145708	134772	58516	518670	179004	102887	146495	90284	398003	101769	124374	114875	56985	391813	160736	88888	92339	49850	399321	198045	375451	258648	306786
Giá vốn hàng bán###Cost of goods sold	185233	1538576	666210	395277	322600	163486	1584814	636719	251029	519241	177824	1310810	586653	278426	293983	148436	1176539	445496	311773	279265	140005	907206	351498	221140	258694	75873	709675	315179	162438	136845	95250	458701	100832	65552	171886	120237	559540	177094	137606	161204	84347	506944	220071	130109	107060	50080	431767	148390	81291	122783	79303	335366	79004	108460	100438	47300	331456	137428	75895	77202	40394	335659	168486	322956	227686	274764
Lợi nhuận gộp###Gross profit	20762	167427	52481	61206	43594	11865	147581	74689	26120	28242	18531	137899	63083	27903	27746	18672	139824	45439	46110	31431	16843	137077	53213	33453	38706	11705	127611	56743	25539	29440	15852	107179	45167	18273	20915	23199	93811	36256	19527	25410	12775	90795	38673	15599	27712	8436	86903	30615	21596	23712	10981	62636	22765	15914	14436	9685	60357	23308	12992	15138	9456	63662	29560	52495	30962	32022
Doanh thu hoạt động tài chính###Financial activities Revenues	3130	13421	3630	3300	2645	3760	34096	15801	5842	7058	5475	18891	5488	4634	4578	4191	21293	6758	4601	4602	5332	14723	4305	3631	3829	2959	18019	6691	9554	3902	4680	23261	5587	5909	5391	6374	23048	5473	5437	6079	6059	27172	6505	6435	7653	6579	27317	5590	5572	9355	6800	34823	7030	5389	8015	5376	24258	7934	8340	4721	3263	9134	3839	5708	826	1290
Chi phí tài chính###Financial Expenses	10912	37906	10363	9505	9587	8364	39226	10205	9711	11372	8017	24544	7357	5750	5330	6108	20518	5600	4975	4745	5197	16011	3841	4553	4071	3545	12869	4682	2919	3420	1851	10998	1907	2238	3142	3721	11976	3076	2616	3551	3051	15540	2834	2055	4388	6320	14106	2413	4767	4368	2558	12146	54	-70	1945	1205	29423	13546	324	12161	3391	10343	5276	6317	5231	6104
Chi phí bán hàng###Selling Expenses	202	741	291	61	321	67	785	266	147	261	111	110	6	41	63	0	23	3	0	16	3	37	937	14	7	10	1813	464	427	480	442	333	112	-66	137	150	949	173	175	286	314	614	196	140	159	120	664	182	110	235	137	582	200	141	119	122	768	182	239	137	210	582	210	420	484	254
Chi phí quản lý doanh nghiệp###Managing Expenses	7396	85204	34902	22834	21996	4782	66716	27850	13449	14169	11248	84137	50648	10961	11443	10842	83626	42282	16798	13423	11123	93424	37469	20614	24354	10078	86121	38936	18231	20445	8938	70570	30874	13811	14638	12255	61535	24909	11219	15603	9862	41344	16759	6456	8731	9132	49907	17318	12988	11699	8068	35114	14038	7386	8508	5182	32371	13645	6083	6479	6164	30662	14053	26245	16719	18585
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	8405	79260	17017	37278	19412	7060	97005	58902	14068	16322	7713	67520	17401	20821	20871	7625	73237	9132	31982	25625	7715	59932	21502	16093	19140	1932	44827	21217	9664	13108	25658	48538	17860	8199	8389	13448	42399	13571	10955	12048	5606	60469	25388	13383	22087	-556	49543	16291	9304	16764	7018	49617	15503	13846	11880	8551	22054	3869	14687	1081	2954	31209	13860	25221	9354	8369
Thu nhập khác###Other incomes	1748	2927	806	421	871	31	525	-44	67	38	35	30621	27017	192	3298	114	41685	50203	129	3	175	19756	25019	319	3	2	961	214	655	82	10	1154	436	-130	477	371	3730	3646	40	42	3	485	29	290	112	32	1222	408	198	540	76	2917	1284	894	402	184	1089	398	40	114	0	444	224	285	379	88
Chi phí khác###Other Expenses	651	597	589	7	1	1	59	-391	0	18	3	323	140	22	158	3	261	8911	154	12	10	381	5686	225	55	3	778	4	736	16	22	195	12	100	49	34	674	451	215	5	3	90	-31	8	45	34	272	69	88	23	92	906	898	2	3	2	727	279	70	286	93	707	548	722	607	120
Lợi nhuận khác###Other profits	1096	2330	217	414	870	30	466	347	67	20	32	30298	26877	169	3141	111	41424	41292	-25	-9	165	19375	19334	94	-52	-1	183	209	-81	67	-12	959	424	-230	429	336	3056	3195	-175	36	0	395	60	282	67	-2	950	339	111	517	-16	2012	386	891	399	182	361	119	-30	-172	-93	-263	-324	-437	-228	-32
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	9502	81590	17234	37692	20282	7090	97471	59249	14136	16342	7745	97818	44278	20990	24012	7736	114661	50425	31957	25616	7881	79306	40836	16188	19088	1931	72907	21426	9583	13175	25646	49498	18285	7969	8818	13784	45455	16766	10780	12085	5606	60864	25448	35262	22155	-558	50493	16630	9415	17281	7001	51629	15889	14737	12279	8733	22415	3988	14657	909	2861	30945	13536	24785	9126	8337
Chi phí thuế TNDN###Corporate Income Tax Expenses	1407	9124	765	3571	4608	416	13993	9592	1534	1837	1030	13219	5575	3515	3070	1058	18436	9073	4856	3615	893	13967	7739	2583	3068	509	8134	2684	1206	2084	2112	10926	3406	1844	1893	0	6323	0	0	0	1331	8100	3055	2227	2457	336	5644	563	955	2942	630	11942	3677	7394	754	97	4645	3378	0	0	0	5079	0	3408	1325	2016
Chi phí thuế TNDN###Corporate Income Tax Expenses	1179	8542	1347	3525	4033	-126	17218	12531	1014	3020	653	13390	5320	3501	3611	907	19611	10517	4868	3626	600	14313	8005	2769	3108	436	7800	2926	883	3907	36	12186	5075	1887	1878	3604	4457	1165	39	1402	453	4091	3111	1030	1090	215	2832	507	-861	1862	630	17358	3829	7394	754	97	4711	3312	843	-756	1312	2224	-1147	10229	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	228	582	-582	46	576	542	-3225	-2938	520	-1183	377	-171	255	14	-541	150	-1175	-1444	-12	-12	293	-346	-266	-186	-40	73	333	-242	323	-1823	2076	-1260	-1669	-43	15	-122	1866	839	1347	110	878	4009	-57	1197	1367	121	2812	56	1817	1079	0	-5416	-153	0	0	0	-66	-66	0	0	0	2855	2855	-6821	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	8847	79175	22219	37764	16730	6677	84856	50402	12603	14505	6781	84941	38911	17608	20941	6678	96225	41352	27101	22002	6987	65339	33097	13605	16020	1422	64773	18742	8377	11091	23534	38572	14878	6125	6925	10301	39132	14762	9394	10572	4275	52765	22393	11438	19697	-894	44849	16067	8459	14340	6371	39687	12212	7343	11525	8636	17771	742	13815	1665	1549	25866	11828	21377	7801	6321
---Cac Chi So Tai Chinh---																																																																		
EBITDA	0.55	-0.26	-0.26	-0.12	-0.11	0.37	0.44	0.44	0.54	0.51	0.38	0.53	0.53	0.57	0.92	0.86	0.61	0.61	0.46	-0.09	-0.22	-0.40	-0.40	-0.40	-0.10	0.01	0.34	0.34	0.56	0.26	0.34	0.05	0.05	0.08	0.24	0.26	0.56	0.56	0.57	0.42	0.37	0.10	0.10	0.11	0.34	0.51	0.89	0.89	1.04	1.06	1.16	0.82	0.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	13.20	13.77	13.77	12.81	11.42	12.46	10.19	10.19	11.28	11.80	12.93	14.07	14.07	14.60	14.60	14.66	13.00	13.00	13.01	10.34	7.58	6.13	6.13	6.09	6.91	7.03	6.48	6.48	6.28	5.70	5.66	4.31	4.31	4.60	4.16	3.39	2.87	2.87	2.58	2.55	2.16	1.75	1.75	1.95	2.19	1.90	2.27	2.27	1.97	2.19	2.27	2.07	2.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
