CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q2 2014	 2013	 2012	 2011	 2010
Giá vốn hàng bán###Cost of goods sold	231945	521687	1874854	479601	474655	399045	521570	2072793	546085	497125	517589	512011	1772498	491768	467520	418651	395849	1229542	361434	276318	347365	248340	848224	83835	250525	247132	267028	1244748	314463	300228	1275820	924734	756846	387699
Lợi nhuận gộp###Gross profit	20236	95052	354130	95911	79603	94939	83655	334910	80731	91778	85410	76975	216555	67780	45955	51501	51704	128743	30797	30739	53868	13941	187212	26331	44401	65817	50368	212769	56849	52323	177228	174476	178063	118261
Doanh thu hoạt động tài chính###Financial activities Revenues	1473	3758	14279	3462	7008	1797	1877	11093	7672	4879	2525	954	8019	2342	2217	-580	4826	837	-9110	864	80	8877	13844	3653	1833	4124	3804	2126	590	523	7091	3632	25545	17340
Chi phí tài chính###Financial Expenses	-2783	15734	35205	7848	7766	11087	8370	53408	8500	25559	15328	9709	29770	6748	8924	4803	10123	29522	21172	5114	4771	4013	52915	10160	21333	15914	4493	12542	2200	4252	21066	18699	47493	21158
Chi phí bán hàng###Selling Expenses	4002	9613	26906	8260	6474	6616	5557	33514	8647	7320	8383	9127	31717	8383	8842	7869	6623	25487	5761	6321	8016	5389	24085	3208	6112	6809	7956	31645	8437	7158	34306	28079	19638	8667
Chi phí quản lý doanh nghiệp###Managing Expenses	12532	15592	57921	15007	15998	14450	12465	56235	16250	12682	13206	13835	58660	22213	12554	12104	11789	45154	12211	12260	10491	10192	38150	8857	10477	9545	9272	35290	8975	8192	33520	34125	30207	22201
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	7959	57870	248190	68258	56373	64584	59140	202344	55006	51096	50807	45257	104428	32779	17851	26145	27995	29418	-17458	7909	30671	3223	85905	7759	8312	37673	32452	135417	37826	33243	95426	97206	106271	83575
Thu nhập khác###Other incomes	24	395	1541	350	173	-2544	3561	1352	281	412	246	414	1037	287	268	-3226	3708	1524	3847	282	754	125	946	268	238	294	146	845	217	173	471	181	467	47
Chi phí khác###Other Expenses	-95	533	-3189	-3886	4	-2681	3374	4428	4259	37	-41	164	465	12	285	-3448	3616	273	3484	228	45	0	204	47	89	67	1	97	48	28	657	627	223	497
Lợi nhuận khác###Other profits	119	-138	4730	4237	169	137	187	-3075	-3978	375	287	249	572	275	-18	222	92	1251	363	53	709	125	742	221	149	227	145	747	169	145	-185	-446	245	-450
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	8078	57733	252920	72494	56542	64721	59327	199269	51028	51471	51094	45506	105000	33054	17834	26368	28088	30668	-17094	7962	31380	3348	86647	7980	8461	37901	32596	136164	37995	33389	95241	96761	106516	83124
Chi phí thuế TNDN###Corporate Income Tax Expenses	5203	5697	38497	19097	4968	7027	7438	20917	2758	4707	6786	5406	5384	2040	38	2315	3053	2069	-3105	736	2320	451	15326	-2257	1451	8724	7187	30057	8890	6783	20840	12559	24024	4780
Chi phí thuế TNDN###Corporate Income Tax Expenses	5244	4310	36189	16366	6030	10369	3456	25265	8140	5078	6850	4856	7797	2132	0	2508	2787	60	-3237	736	1621	451	16294	-2257	442	9952	7187	30898	8000	7673	21031	12850	24600	4780
Chi phí thuế TNDN###Corporate Income Tax Expenses	-40	1387	2307	2731	-1062	-3343	3982	-4349	-5382	-372	-64	550	-2413	-92	38	-193	266	2009	132	0	700	0	-968	0	1009	-1228	0	-841	890	-890	-191	-291	-576	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	2875	52035	214423	53397	51574	57707	51877	178352	48270	46765	44307	40082	99615	31013	17796	24052	25035	28599	-13989	7227	29060	2897	71321	10238	7010	29177	25409	106107	29105	26606	74400	84202	82492	78345
---Cac Chi So Tai Chinh---																																		
EBITDA	0.63	0.58	0.83	0.83	0.61	0.84	0.34	0.22	0.22	0.22	0.09	0.27	0.24	0.24	0.62	0.72	0.33	0.49	0.49	0.39	0.56	0.76	0.74	0.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	15.04	12.61	16.10	16.10	17.43	21.92	19.09	12.39	12.39	14.18	11.34	12.01	13.64	13.64	12.45	12.24	12.12	12.96	12.96	12.25	15.63	16.30	17.75	17.75	15.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
