CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Nợ ngắn hạn###Short term Liabilities	480116	527785	484452	508590	398936	507235	425125	423552	451284	545850	598763	585891	504214	504468	398195	429810	386062	353817	355931	363847	387005	339273	355833	355319	295875	334375	339614	350713	500975	427941	443557	461567	511043	511006	414921	542043	479890	337255	242585
Nợ dài hạn###Long term Liabilities	59248	37414	820	0	152055	71055	152055	152055	152055	248342	186342	248342	248342	248342	363342	306433	363433	363433	363433	454216	420751	430466	430466	430466	492220	457432	460361	452575	306943	411815	412372	411218	411218	411173	509007	407152	484897	619155	760861
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	161123	152621	153916	153369	148755	146136	139376	146463	144282	141025	138267	132407	140048	140132	117700	122791	107440	123024	115619	108006	101875	100639	99247	100059	72410	84554	87190	87814	87870	75549	64433	52912	52859	52858	27078	53519	80691	148584	170894
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	161123	152621	153916	153369	148755	146136	139376	146463	144282	141025	138267	132407	140048	140132	117700	122791	107440	123024	115619	108006	101875	100639	99247	100059	72410	84554	87190	87814	87870	75549	64433	52912	52859	52858	27078	53519	80691	148584	170894
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	248053	189204	856978	243454	244699	185316	183468	835991	281535	203812	221548	129088	598807	179535	121827	184865	112595	664450	188787	154626	183046	150606	630514	213803	140916	148321	127474	667597	198215	142949	156224	170208	629892	197281	164693	488085	527519	484493	454938
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	28	19	0	-580	580	235	235	0	0	0	412	326	83	0	3	398	244	153	1	0	188	0	4	0	184	538	538	0	0	0	0	0
Doanh thu thuần###Net Sales	248053	189204	856978	243454	244699	185316	183468	835963	281515	203812	222128	128508	598572	179300	121827	184865	112595	664039	188461	154543	183046	150603	630116	213559	140763	148320	127474	667409	198215	142945	156224	170025	629354	196743	164693	488085	527519	484493	454938
Giá vốn hàng bán###Cost of goods sold	218537	178484	759842	215683	215628	161087	170547	719487	224950	178324	197378	121037	514062	144304	110694	153225	111195	556660	148980	128723	161577	131309	529455	167068	127044	127955	106828	562541	161987	122555	129368	149328	531709	145582	151294	462565	453134	396890	404626
Lợi nhuận gộp###Gross profit	29515	10720	97137	27771	29072	24229	12920	116477	56565	25488	24750	7471	84510	34996	11133	31639	1400	107378	39481	25820	21469	19294	100661	46492	13719	20364	20646	104868	36228	20390	26856	20696	97645	51161	13399	25520	74386	87603	50312
Doanh thu hoạt động tài chính###Financial activities Revenues	1	0	129	17	103	68	33	62	61	0	0	0	25	12	4	9	1	1238	0	7	-12	97	1276	243	681	1	351	255	39	1449	8	6	1230	115	879	1008	289	197	2182
Chi phí tài chính###Financial Expenses	8456	8189	39277	9338	9589	9372	11644	49578	12747	12218	12563	12595	56488	14513	13454	14148	14003	69507	-14442	15368	24391	14681	80489	18967	23142	19360	18810	75530	20802	16811	22040	17162	86177	20094	19722	93586	109393	87672	76996
Chi phí bán hàng###Selling Expenses	6968	1397	29306	5223	13410	5221	5452	30399	19206	7691	3498	4	21	16	4	0	2	1982	1937	23	31	0	102	38	42	22	0	272	37	1	73	160	647	414	65	598	812	1201	0
Chi phí quản lý doanh nghiệp###Managing Expenses	3651	2320	18392	10060	2821	2843	2518	28598	20933	2572	2893	2511	11377	2853	2885	2377	3046	13391	4122	4541	6032	3158	12878	3346	3129	3444	3019	14397	4417	3456	3270	3235	11532	3762	3023	9766	14630	15019	9268
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	10440	-1186	10291	3167	3354	6861	-6661	7963	3741	3008	5796	-7639	16649	17626	-5206	15123	-15651	23736	47864	5895	-8998	1553	8468	24384	-11912	-2461	-832	14925	11011	1571	1482	146	519	27006	-8532	-77421	-50159	-16092	-33769
Thu nhập khác###Other incomes	107	0	266	12	3	324	54	151	13	10	102	5	678	93	220	249	207	556	106	144	50	155	4466	3732	1552	445	223	11205	435	76	10070	81	1182	104	276	2412	2716	13879	1515
Chi phí khác###Other Expenses	165	109	1013	42	165	426	479	76	19	16	38	7	304	44	105	22	139	377	8	22	32	316	1501	351	1784	620	15	474	238	31	32	173	1308	1330	22	229	327	7709	1854
Lợi nhuận khác###Other profits	-58	-109	-747	-29	-162	-102	-426	75	-6	-7	64	-1	374	49	115	228	68	179	98	121	19	-161	2965	3380	-232	-175	208	10731	197	45	10038	-92	-126	-1225	254	2183	2388	6170	-339
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	10382	-1295	9544	3138	3192	6760	-7087	8038	3736	3002	5860	-7641	17024	17675	-5091	15351	-15584	23915	47962	6017	-8979	1392	11432	27764	-12144	-2636	-624	25655	11208	1616	11520	54	394	25780	-8278	-75238	-47771	-9922	-34108
Chi phí thuế TNDN###Corporate Income Tax Expenses	1879	0	2091	1154	573	0	0	1623	814	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	1879	0	2091	1154	573	0	0	1623	814	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	8503	-1295	7453	1984	2619	6760	-7087	6415	2921	2757	5860	-7641	17024	17675	-5091	15351	-15584	23915	47962	6017	-8979	1392	11432	27764	-12144	-2636	-624	25655	11208	1616	11520	54	394	25780	-8278	-75238	-47771	-9922	-34108
---Cac Chi So Tai Chinh---																																							
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	4.40	2.90	2.00	2.00	2.40	1.60	1.60	1.70	1.70	1.70	1.70	1.90	1.80	1.80	2.20	3.70	2.40	2.60	2.60	2.60	3.30	2.70	2.70	2.70	2.60	3.50	4.20	2.40	2.40	2.40	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
