CAN DOI KE TOAN	 2017	 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q1 2010	 2009	Q4 2009	 2008
Vốn chủ sở hữu ###Owners equity	-34823	-27919	-25684	-24218	-23148	-21775	-21775	-21216	-20562	-19915	-19184	-19184	-19304	-18702	-17798	-16336	-16336	-6136	-3984	-4142	-4601	-2510	564	3773	5225	8921	11201	13996	18502	18552	18172	0	19159	19023	0
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0
Vốn chủ sở hữu ###Owners equity	-34823	-27919	-25684	-24218	-23148	-21775	-21775	-21216	-20562	-19915	-19184	-19184	-19304	-18702	-17798	-16336	-16336	-6136	-3984	-4142	-4601	-2510	564	3773	5225	8921	11201	13996	18502	18552	18172	0	19023	19023	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128017	135967	136008	134618	136241	140802	138973	140425	169694	176052	168890	184397	184397	168191	136571	136280	136280	121646



KET QUA KINH DOANH	 2017	 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q3 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	9737	18868	4366	5722	4003	27187	7557	6114	4649	36160	16874	7625	6372	5289	27570	5338	7971	39912	17831	8583	5107	8390	31261	8966	13000	4253	5042	67026	26518	3109	9956	27443	83253	12586	0
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	9737	18868	4366	5722	4003	27187	7557	6114	4649	36160	16874	7625	6372	5289	27570	5338	7971	39912	17831	8583	5107	8390	31261	8966	13000	4253	5042	67026	26518	3109	9956	27443	83253	12586	80069
Giá vốn hàng bán###Cost of goods sold	11511	16964	3964	4903	3495	23964	6650	5280	4059	32811	14891	7008	5756	5155	31607	5422	7906	40253	17205	8359	6254	8394	30734	8359	12373	3464	5159	59840	23065	2354	9049	25372	74688	10822	0
Lợi nhuận gộp###Gross profit	-1774	1904	402	819	509	3223	907	834	591	3349	1982	617	617	134	-4037	-84	65	-341	626	224	-1147	-4	527	607	626	790	-117	7186	3453	755	906	2072	8566	1764	0
Doanh thu hoạt động tài chính###Financial activities Revenues	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	10	3	2	2	3	14	5	1	3	5	18	3	0
Chi phí tài chính###Financial Expenses	4370	6442	1630	1580	1585	4848	1237	1177	1116	5161	1508	1020	1223	1410	6393	1495	1737	6503	76	1951	2011	2465	11372	3854	2522	1782	3215	3487	2246	431	214	596	3204	820	0
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	973	1544	239	309	397	1203	324	304	247	1064	394	198	299	186	1787	322	441	2271	862	343	375	741	3321	453	439	1330	1050	2338	628	158	588	899	2897	728	0
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-7117	-6082	-1467	-1069	-1474	-2827	-654	-648	-771	-2874	81	-601	-905	-1461	-12215	-1901	-2112	-9114	-312	-2069	-3532	-3210	-14157	-3697	-2332	-2320	-4380	1374	584	166	107	582	2482	219	3206
Thu nhập khác###Other incomes	213	100	0	0	100	236	0	0	45	26	39	0	0	0	648	0	636	5170	4546	0	476	0	598	0	53	545	0	164	164	0	0	0	105	0	0
Chi phí khác###Other Expenses	0	162	0	0	0	0	0	0	4	0	0	0	0	0	785	0	676	3813	3774	21	18	0	335	0	0	208	126	47	47	0	0	0	85	0	0
Lợi nhuận khác###Other profits	213	-62	0	0	100	236	0	0	41	26	39	0	0	0	-137	0	-40	1357	771	-21	458	0	263	0	53	337	-126	117	117	0	0	0	20	0	-187
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-6904	-6144	-1467	-1069	-1374	-2590	-654	-648	-730	-2848	119	-601	-905	-1461	-12352	-1901	-2152	-7757	459	-2091	-3074	-3210	-13893	-3697	-2280	-1982	-4506	1491	701	166	107	582	2502	219	3020
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	175	42	27	146	626	55	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	175	42	27	146	626	55	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-6904	-6144	-1467	-1069	-1374	-2590	-654	-648	-730	-2848	119	-601	-905	-1461	-12352	-1901	-2152	-7757	459	-2091	-3074	-3210	-13893	-3697	-2280	-1982	-4506	1118	526	125	80	437	1877	164	2174
---Cac Chi So Tai Chinh---																																			
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	4.20	6.90	8.10	9.50	8.30	1.70	0.80	0.80	2.40	1.50	1.50	1.00	1.00	1.00	1.00	1.00	1.60	2.20	2.20	2.20	2.90	3.30	3.50	3.50	4.30	4.80	7.50	11.20	11.20	16.00	0.00	0.00	0.00	0.00	0.00
