CAN DOI KE TOAN	 2019	 2018	Q2 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012	 2011
Vốn chủ sở hữu ###Owners equity	166300	119136	92599	97902	97902	88978	87917	93312	90746	90746	87461	84796	92727	90081	90081	87913	88964	87239	76219	56363
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	Q2 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1218704	1226088	313200	1156029	355400	271188	274043	255398	908638	254148	204801	224973	224716	975675	223046	250990	973067	1080203	998594	973355
Các khoản giảm trừ doanh thu###Deduction revenues	1027	990	222	2823	284	795	1532	212	2238	418	802	832	186	2680	372	583	3391	11575	4012	3363
Doanh thu thuần###Net Sales	1217677	1225098	312978	1153206	355116	270393	272511	255185	906401	253730	203999	224142	224530	972994	222674	250407	969676	1068628	994582	969992
Giá vốn hàng bán###Cost of goods sold	1045749	1107036	284525	1056375	325807	248973	246697	234898	823917	233591	181994	201637	206695	883285	199988	230135	882413	984606	899869	878772
Lợi nhuận gộp###Gross profit	171928	118062	28453	96831	29309	21420	25815	20287	82483	20139	22005	22505	17835	89709	22686	20272	87263	84022	94714	91221
Doanh thu hoạt động tài chính###Financial activities Revenues	684	129	104	123	8	5	104	6	115	5	6	98	6	136	7	6	29	43	79	120
Chi phí tài chính###Financial Expenses	30118	21236	6224	29018	4913	6437	8877	8791	33348	7444	9188	9324	7393	31694	6850	5788	30857	36065	53156	57579
Chi phí bán hàng###Selling Expenses	26964	24968	6295	22683	6593	5497	5480	5114	17861	4829	4170	4429	4433	22318	5140	5356	23806	18356	16781	12604
Chi phí quản lý doanh nghiệp###Managing Expenses	25364	25337	7926	28151	6673	8634	9199	3645	16570	3996	4326	4863	3386	19395	6775	5061	15723	13232	11727	11120
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	90166	46649	8112	17101	11138	856	2364	2744	14819	3875	4327	3987	2630	16438	3928	4073	16906	16412	13129	10038
Thu nhập khác###Other incomes	1082	830	163	3926	40	593	2590	703	1476	506	213	538	218	990	306	215	961	1126	1279	2394
Chi phí khác###Other Expenses	895	503	105	596	14	122	222	238	963	194	216	352	202	926	326	196	1061	939	678	556
Lợi nhuận khác###Other profits	187	327	59	3330	26	471	2368	465	513	313	-3	186	17	64	-20	18	-101	187	601	1838
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	90353	46976	8171	20431	11164	1326	4732	3208	15332	4188	4324	4174	2646	16502	3907	4091	16805	16599	13730	11876
Chi phí thuế TNDN###Corporate Income Tax Expenses	18392	9405	1634	4093	2240	265	946	642	3090	851	1659	580	0	3640	1740	1400	3754	4289	3477	3036
Chi phí thuế TNDN###Corporate Income Tax Expenses	18392	9405	1634	4093	2240	265	946	642	3090	851	1659	580	0	3640	1740	1400	3754	4289	3477	3036
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	71961	37571	6537	16338	8924	1061	3786	2567	12241	3337	2665	3594	2646	12863	2167	2691	13051	12311	10253	8840
---Cac Chi So Tai Chinh---																				
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	12.41	12.14	5.78	5.65	5.65	4.35	4.78	4.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
