CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	Q4 2015	 2014	Q4 2014	 2013
Bất động sản đầu tư ###Real Estate Investment	4889	4938	4986	4986	5034	5082	5130	5178	5178	5226	5274	5322	5370	5370	5429	5505	5662	5771	5771	150	184	261	261	6400	6400	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	1521795	1607081	1544688	1544688	1467886	1429865	1481861	1401075	1401044	1320416	1377267	1343186	1263274	1263276	1181112	1156082	1141587	1226653	1187024	980816	922925	993992	993992	868250	868250	1233189
Tài sản dài hạn khác###Other long term assets	25	97	474	474	2680	4896	7192	9554	57769	41387	43915	43868	46280	46796	52029	55045	58361	60118	59787	64916	66377	28297	28297	30730	30730	19314
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	2739408	2560534	2624398	2608334	2685485	2982755	3102649	3008099	3017867	3048553	2970764	2914747	3037371	2985465	2915094	2826644	2888953	2816412	2777010	3354303	3433958	3098951	3098951	3337704	3337704	2631387
Nợ phải trả ###Liabilities	646835	361139	490715	474322	510376	843025	995946	964105	959440	901649	886571	880238	1083275	1031520	1052876	900042	1000889	1020579	1020731	1382976	1812799	1645967	1645967	2133667	2133667	1364853
Nợ ngắn hạn###Short term Liabilities	635568	349887	479437	463043	498236	831137	983806	951965	804203	752291	737042	722391	925535	864171	885659	729826	835218	861908	858060	1225838	1659941	1631981	1631981	2119929	2119929	1344523
Nợ dài hạn###Long term Liabilities	11268	11252	11279	11279	12140	11888	12140	12140	155237	149358	149529	157847	157740	167348	167217	170217	165671	158671	162671	157138	152857	13986	13986	13738	13738	20330
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	2092573	2199395	2133683	2134012	2175109	2139730	2106703	2043994	2058427	2146903	2084193	2034509	1954096	1953945	1862218	1926602	1888064	1795833	1756280	1971327	1621159	1452984	1452984	1204037	1204037	1266535
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	2092573	2199395	2133683	2134012	2175109	2139730	2106703	2043994	2058427	2146903	2084193	2034509	1954096	1953945	1862218	1926602	1888064	1795833	1756280	1971327	1621159	1452984	1452984	1204037	1204037	1266535
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	 2015	Q4 2015	Q3 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	605259	767268	2548587	709660	517329	695024	626574	4359085	1092596	1093937	1071512	1101040	4389176	1271015	1126340	898264	1093556	5571510	1547495	1467979	5040728	1334525	1304533	5721846	4192661
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	1290	0	0	1290	0	1801	205	561	711	324	1595	301	722	548	133	4278	1467	1278	5298	2598	1334	9008	0
Doanh thu thuần###Net Sales	605259	767268	2547297	709660	517329	693734	626574	4357283	1092391	1093376	1070800	1100716	4387581	1270714	1125619	897717	1093424	5567233	1546028	1466702	5035430	1331926	1303199	5712837	4192661
Giá vốn hàng bán###Cost of goods sold	594130	745356	2502588	679863	517597	687726	617171	4282767	1097864	1076162	1043960	1064780	4230415	1227610	1082198	866116	1060206	5074848	1476622	1319019	4518317	1187757	1178706	5145799	4050662
Lợi nhuận gộp###Gross profit	11129	21911	44708	29797	-268	6008	9403	74517	-5473	17214	26840	35936	157167	43104	43421	31601	33218	492385	69406	147683	517113	144169	124493	567039	141999
Doanh thu hoạt động tài chính###Financial activities Revenues	142469	6127	157044	5690	26844	118307	5467	214292	34953	144661	28261	6417	151706	9210	45892	59391	37213	223942	-7516	6173	184777	91718	24783	542187	102261
Chi phí tài chính###Financial Expenses	5730	6190	42749	-1022	8921	15853	9197	54865	2870	7787	10535	11203	39087	11386	9808	9265	8628	91781	10108	12112	55552	14263	16947	73105	62347
Chi phí bán hàng###Selling Expenses	10231	11097	44558	11266	9702	12271	11320	56730	15014	14666	13492	13558	74909	22034	19153	16934	16849	240653	30299	83716	272959	65103	72008	375430	68862
Chi phí quản lý doanh nghiệp###Managing Expenses	7289	7470	39733	10157	8740	9723	10395	48133	11873	12924	8167	15169	72108	11740	19224	23898	17360	117868	26611	35171	128864	41049	30073	126290	66912
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	45062	65675	218326	91888	37234	34472	64743	260881	80350	63648	56988	82334	295281	89318	56630	45933	95074	359078	52138	76748	326588	35244	37382	529401	46140
Thu nhập khác###Other incomes	-455	821	32634	21604	127	58	558	3438	3379	882	1281	38	5298	7514	240	3196	169	2680	43	1387	5036	1453	1109	15516	5610
Chi phí khác###Other Expenses	-359	811	8246	6724	11	34	873	3686	5320	221	154	133	707	100	402	102	93	343	-68	162	1428	675	421	1872	3281
Lợi nhuận khác###Other profits	-96	10	24388	14880	116	24	-315	-248	-1941	661	1127	-95	4591	7414	-162	3094	76	2337	111	1226	3608	778	687	13644	2329
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	44966	65686	242713	106769	37350	34495	64428	260633	78409	64309	58115	82240	299872	96732	56468	49026	95150	361415	52249	77974	330196	36022	38069	543044	48469
Chi phí thuế TNDN###Corporate Income Tax Expenses	-19	-26	-14	-14	252	-252	0	517	6826	-121	1818	107	1040	1253	-201	-654	294	15339	2502	5674	18682	6964	1080	17981	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	14152	-505	5159	17942	4542	4300	17673	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-19	-26	-14	-14	252	-252	0	517	6826	-121	1818	107	692	1253	-201	-654	294	1187	3007	515	740	2422	-3220	308	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	45241	65745	240126	112116	34678	30457	63205	240606	70270	62553	56297	77265	279579	89751	50665	45711	91304	378215	49746	72300	345081	29058	36989	555529	48469
---Cac Chi So Tai Chinh---																									
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	14.50	9.61	9.61	9.61	10.04	12.26	11.52	13.49	13.49	13.31	12.55	13.46	15.13	15.13	15.21	18.82	20.63	21.07	21.07	18.82	0.00	0.00	0.00	0.00	0.00
