CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	 2007	 2006
Nợ ngắn hạn###Short term Liabilities	451263	381248	421159	418735	321195	380398	287220	358673	358673	325865	387565	304631	376556	376556	331904	346090	287506	308225	308225	255157	305940	237180	263797	263797	193900	227142	186717	202264	202264	183939	186646	164292	155624	155624	164862	183145	152038	159454	159454	152288	182707	180815	187957	202525	153914	160094	160084	154486	160948	140280	151367	151262	140453	148394	126975	141294	128471	135354	111505
Nợ dài hạn###Long term Liabilities	4897	4802	4915	4915	4802	4684	4580	4452	4452	4351	4199	4068	3963	3963	3861	3717	3566	3394	3394	3214	3050	2512	2617	2617	2184	2175	1988	2357	2357	2190	2060	1404	1255	1255	1116	920	1100	1060	1061	1308	1913	3705	3835	4283	4731	4560	4560	4960	5360	5760	6160	6160	2760	760	7470	10291	10291	20035	8844
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	8	0	0	0	9
Vốn chủ sở hữu ###Owners equity	308691	338295	312147	312147	287989	313570	289981	276000	276000	269894	249335	248742	254190	254190	225282	219944	201404	202348	202348	186269	176872	176089	170152	170152	169124	160420	171428	139550	163201	168971	167448	175205	142196	142196	129129	127443	135631	132517	132517	126928	119474	119573	111692	110845	103458	101210	101220	98126	95121	90518	87237	87341	91461	87683	85986	82996	83142	84393	47683
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	114	184	528	594	594	0	0
Vốn chủ sở hữu ###Owners equity	308691	338295	312147	312147	287989	313570	289981	276000	276000	269894	249335	248742	254190	254190	225282	219944	201404	202348	202348	186269	176872	176089	170152	170152	169124	160420	171428	139550	163201	168971	167448	175205	142196	142196	129129	127443	135631	132517	132517	126928	119474	119573	111692	110845	103458	101210	101220	98126	95121	90518	87237	87237	91346	87499	85458	82402	82549	84393	47683
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24895	24148	23535	24121	26700	27099	25706	25706	25239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356154	340901	324780	324780	296966	311509	288769	293031	293031	280524	304093	304093	303484	317653	262103	265864	265864	257572	261430	236558	244763	244763	234674	236837	220431	234581	221905	239782	168032



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	396557	518923	2042750	549283	576130	502976	401474	1705345	423524	499865	375298	391463	1480340	392661	423526	333895	330257	1207763	347766	319367	284936	273509	969380	254252	275813	224874	214441	823295	202626	214440	192229	214000	745376	198774	200417	178307	167877	677150	140569	180856	630415	164816	167347	165862	140936	543415	137375	140424	171239	124922	586913	145459	145293	159763	136397	588706	142710	545419	391606
Các khoản giảm trừ doanh thu###Deduction revenues	259	2	514	195	82	68	169	0	0	0	0	0	25	1	1	0	23	2323	611	246	674	797	28809	25053	1211	1837	708	3241	1021	563	781	876	2394	958	846	538	52	118	30	36	329	62	121	110	36	240	78	102	70	20	313	133	90	27	63	5054	1369	5381	4604
Doanh thu thuần###Net Sales	396298	518920	2042235	549088	576048	502908	401305	1705345	423524	499865	375298	391463	1480315	392660	423525	333895	330234	1205441	347155	319122	284262	272712	940572	229200	274602	223037	213732	820054	201605	213877	191448	213124	742982	197816	199571	177769	167825	677031	140539	180819	630086	164754	167226	165752	140900	543175	137297	140322	171169	124902	586600	145326	145204	159736	136334	583651	141341	540037	387001
Giá vốn hàng bán###Cost of goods sold	343249	442838	1790835	475806	513254	440609	348279	1464034	353121	442606	315521	337590	1255976	326342	367948	285404	277808	1024672	283524	273839	245640	233314	792221	183945	238207	187096	182974	689838	167692	180877	159166	182104	624594	160331	168085	149069	147110	582898	115866	159618	540419	137733	150770	141632	118832	467143	117788	122831	152936	105785	509903	125125	126057	139281	119440	503382	124613	467208	338637
Lợi nhuận gộp###Gross profit	53048	76083	251401	73281	62794	62299	53026	241311	70403	57259	59776	53872	224339	66318	55577	48492	52426	180769	63631	45283	38622	39398	148351	45255	36396	35942	30759	130215	33914	33000	32282	31020	118388	37486	31486	28701	20715	94133	24672	21201	89666	27021	16456	24120	22069	76032	19510	17491	18233	19116	76697	20201	19147	20455	16894	80270	16728	72830	48364
Doanh thu hoạt động tài chính###Financial activities Revenues	3537	4260	19555	850	6597	5894	6214	20663	2023	4877	4821	4564	11428	4013	3626	1463	2324	8845	-1195	2331	2225	1953	7539	1419	2384	1780	1956	4641	1166	5186	686	1588	5648	480	3075	900	1192	9866	1733	1865	8787	2707	2255	2412	1414	4064	1430	754	1864	707	4971	1448	952	1475	1096	5625	2612	592	390
Chi phí tài chính###Financial Expenses	3133	2975	14775	3743	3993	3589	3450	13454	4163	3485	2899	2907	11840	3597	3752	3882	1903	9353	2586	2217	2576	1974	8819	2496	2060	2701	1562	7590	3741	2045	1306	1782	10543	3607	1852	2729	2355	20047	3179	4000	24196	6611	6479	6156	4950	16158	4573	3786	2629	3520	10104	2444	1512	4277	1871	17018	6296	10369	7744
Chi phí bán hàng###Selling Expenses	12235	24398	86870	25685	26033	19630	15522	81780	25301	19651	21894	14934	70067	17733	18800	14149	19384	58929	11345	21541	11028	15016	55293	16796	15159	12517	10821	49152	15627	13365	10005	10154	43120	11083	11670	11518	8849	35950	8266	8529	30281	9551	5507	6384	8838	27074	8498	6455	6123	6666	29797	9141	7867	7925	4864	33218	8876	30523	15713
Chi phí quản lý doanh nghiệp###Managing Expenses	17461	16019	66371	19553	18178	15760	12880	71068	19393	16903	19497	15275	68932	17287	17817	16275	17553	55906	16045	13515	14011	15067	45745	9962	11315	13190	11278	42605	10787	11485	8634	11699	36978	9553	12643	8231	6550	28944	7598	7614	21584	7543	3389	3956	6697	17635	4223	4365	7469	5461	24193	5292	5971	5496	7434	22478	3456	24108	18090
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	24038	36951	103657	25591	21187	29491	27388	96759	24656	22097	21248	25320	87479	33364	18833	16552	15910	66453	33488	10341	13340	9293	47265	17973	10246	9993	9054	35510	5406	11291	13054	8973	33394	13722	8397	7123	4152	19059	7363	2924	22392	6023	3335	10035	2996	19229	3646	3639	3876	4177	17573	4772	4748	4232	3820	13179	712	8422	7206
Thu nhập khác###Other incomes	1372	3260	9036	721	3646	1282	3387	9129	2138	3479	1491	2021	8750	321	3843	2619	1558	5757	1889	1406	686	1875	3975	1203	705	1413	654	3371	1003	0	1256	0	6136	6070	0	65	0	355	355	0	0	0	0	1	0	56	0	0	0	0	248	248	0	0	0	1032	0	5762	3376
Chi phí khác###Other Expenses	0	0	33	-825	848	10	0	1	0	0	1	0	477	434	0	42	0	675	0	0	675	0	22	22	0	0	0	0	0	0	0	0	238	238	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận khác###Other profits	1372	3260	9003	1546	2798	1273	3387	9128	2138	3479	1490	2021	8273	-113	3843	2577	1558	5082	1889	1406	11	1875	3953	1181	705	1413	654	3370	1002	0	1256	0	5898	5833	0	65	0	355	355	0	0	0	0	1	0	6	0	0	0	0	248	248	0	0	0	1032	0	5762	3376
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	25410	40211	112660	27137	23985	30763	30775	105888	26794	25576	22739	27341	95753	33251	22677	19129	17467	71535	35376	11747	13351	11168	51218	19153	10951	11406	9707	39845	6408	11291	14310	8973	39292	19554	8397	7188	4152	19413	7718	2924	22393	6023	3335	10036	2996	19235	3646	3639	3876	4177	17821	5020	4748	4232	3820	14211	712	14184	10582
Chi phí thuế TNDN###Corporate Income Tax Expenses	5151	7944	22637	6143	4491	6097	5905	20918	6103	5017	4398	5400	18613	6549	4280	3767	3371	14295	7740	2349	2688	2234	10738	3909	2248	2553	2028	8306	2097	1634	2906	1670	8674	4305	1534	0	0	4697	0	0	5612	1442	834	2488	749	3817	689	728	1517	835	3447	887	901	895	764	2833	142	2851	1058
Chi phí thuế TNDN###Corporate Income Tax Expenses	5151	7944	22667	6173	4491	6097	5905	20706	6051	5017	4238	5400	18646	6881	4280	3773	3371	14735	7915	2349	2951	2234	10913	3772	2248	2866	2028	8420	1994	1634	3024	1768	8776	4355	1585	1797	1038	4697	1773	731	5612	1442	834	2488	749	3817	689	728	823	835	3447	887	901	895	764	2833	142	2851	1058
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	-30	-30	0	0	0	213	53	0	160	0	-33	-332	0	-6	0	-440	-175	0	-264	0	-175	138	0	-313	0	-114	103	0	-119	-98	-101	-50	-51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	21922	33157	93813	21496	20711	25485	26119	88858	21773	21661	18341	22519	82141	27724	20697	16207	14931	60682	27636	9398	10663	8935	44172	15244	8703	8853	7680	36780	4311	9657	11405	7304	30617	15249	6862	5391	3114	14716	5944	2193	16780	4581	2502	7548	2247	15418	2957	2911	3052	3341	14373	4133	3847	3338	3056	11379	570	11333	9524
---Cac Chi So Tai Chinh---																																																											
EBITDA	0.09	0.00	1.03	1.03	0.13	-0.04	-0.31	-0.24	-0.24	-0.27	-0.39	0.06	0.04	0.04	0.53	0.97	0.31	0.15	0.15	0.32	0.43	0.30	0.28	0.28	0.23	0.22	0.78	0.43	0.43	0.43	0.44	-0.33	0.16	0.16	0.52	-0.07	-0.27	-0.16	-0.16	-0.09	0.82	0.82	0.37	0.39	0.11	-0.03	-0.03	0.22	0.31	0.58	0.62	0.62	0.62	0.59	0.21	-0.09	-0.09	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	45.50	43.10	47.61	47.61	45.06	28.65	31.33	35.54	35.54	32.38	30.74	35.67	35.24	35.24	36.82	43.50	24.64	14.33	14.33	13.09	11.62	9.64	8.96	8.96	7.48	7.52	7.36	7.91	7.91	6.91	6.09	6.86	4.61	4.61	4.21	4.12	4.31	4.98	4.98	5.39	6.15	6.15	4.71	3.32	4.48	4.96	4.96	7.23	7.74	3.72	3.55	3.55	3.64	3.32	2.19	2.86	2.86	0.00	0.00
