CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	 2005
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1758	-1597	-1409	-1242	-1096	-1096	-908	-752	-564	-376	-219	-125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-751	-697	-633	-568	-515	-515	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	3547	3547	3547	3547	3547	3547	3547	3200	3200	3200	3200	3200	3200	3200	3200	3200	3200	3200	4057
Tài sản dài hạn khác###Other long term assets	14471	13767	13512	13512	13910	13591	12410	11371	3966	4676	13459	4880	5249	5249	4872	4176	3825	4243	4243	5128	5860	6410	7053	7053	6189	5915	5252	5462	5462	5927	5319	5771	6491	6491	6080	9484	13130	12915	13139	13137	13432	12475	12794	12702	12730	12932	13049	9264	9206	9679	9871	4647	4815	4931	5140	5578	1053	524	13	62	245	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	233184	230612	227725	227737	239226	233712	220873	219514	219786	205653	198755	189311	186537	186115	198423	188767	174177	179969	179956	166172	181109	177641	168654	168654	161343	155984	162989	161271	162699	167221	177280	174000	171199	172605	187751	236173	231193	238808	367285	238572	240954	245736	261364	265329	277176	289066	289903	296012	297197	284804	288171	292780	307185	284047	283881	285454	285437	297803	295759	313071	314146	316323	322196	315330
Nợ phải trả ###Liabilities	152669	152315	150484	150541	163315	160400	151186	151201	151291	141420	137719	132523	131366	131356	141133	135030	125521	132702	132692	121657	141139	142890	136875	136875	131914	131969	143538	142932	144301	155209	166122	163816	161420	161414	268824	241915	232698	231758	398584	258114	251851	253506	257964	253011	254118	257676	257071	242839	241882	223296	221486	224207	232674	209677	203105	207256	206309	252601	251628	268607	271758	272206	278777	269505
Nợ ngắn hạn###Short term Liabilities	137493	141003	138522	138416	134039	136743	127529	128094	128184	124263	125462	120966	122309	122299	117309	114502	107882	118396	118386	92969	116867	117418	111502	111502	98655	98709	110779	110172	111541	111068	121241	119935	117539	117533	256197	228973	196201	188316	355539	215098	208885	209820	197796	192783	193920	197514	196908	169166	168310	154357	154188	156909	160108	157578	150967	157168	156220	189918	189665	209168	213008	206724	218471	187643
Nợ dài hạn###Long term Liabilities	15176	11312	11962	12125	29275	23657	23657	23107	23107	17157	12257	11557	9057	9057	23823	20529	17639	14306	14306	28687	24272	25472	25372	25372	33260	33260	32760	32760	32760	44141	44881	43881	43881	43881	12627	12942	36497	43442	43045	43017	42966	43685	60168	60229	60198	60163	60163	73673	73571	68939	67298	67298	72566	52099	52138	50088	50088	62683	61963	59439	58750	65482	60306	81862
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2147483647	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Vốn chủ sở hữu ###Owners equity	80515	78297	77241	77196	75912	73313	69687	68314	68495	64233	61037	56788	55171	54759	57291	53737	48657	47267	47264	44515	39970	34751	31779	31779	29428	24015	19450	18339	18398	12012	11158	10185	9779	11191	-81073	-5742	-1505	7050	-31299	-19542	-10898	-7770	3400	12317	23058	31390	32832	53172	55315	61508	66685	68573	74511	74370	80776	78198	79129	45202	44132	44464	42389	44116	43419	45825
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	282	398	630	674	674	726	1037	879	0	931	1022	1838	1673	0	1892	1938	5489
Vốn chủ sở hữu ###Owners equity	80515	78297	77241	77196	75912	73313	69687	68314	68495	64233	61037	56788	55171	54759	57291	53737	48657	47267	47264	44515	39970	34751	31779	31779	29428	24015	19450	18339	18398	12012	11158	10185	9779	11191	-81073	-5742	-1505	7050	-31299	-19542	-10898	-7770	3400	12317	23058	31390	32591	52891	54917	60878	66011	67900	73785	73333	79897	78198	78198	44180	42294	42791	42389	42225	41480	40336
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236173	231193	0	0	238572	240954	245736	261364	265329	277176	289066	289903	296012	297197	284804	288171	292780	307185	284047	283881	285454	285454	297803	295759	313071	314146	314146	322196	315330



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	80115	63760	287100	77579	73757	85769	49995	373310	101839	96702	108384	66385	323583	75418	89202	105231	53732	336148	78462	80676	98191	78819	303735	70460	90239	80923	62112	287222	80053	77022	86885	43261	253678	58114	58359	255941	234509	63499	55416	52856	141266	49011	33426	40003	18827	90311	22303	29700	24112	14197	166713	26024	29016	50876	60797	312243	81116	61796	98238	71093	317059	75787	78967	94118	68187	279741
Các khoản giảm trừ doanh thu###Deduction revenues	1170	59	539	294	89	75	80	430	189	70	78	93	562	114	159	84	82	394	106	95	134	60	163	48	61	29	25	260	96	37	79	48	119	60	14	39	0	0	0	0	1110	29	0	921	159	1262	613	31	0	618	1174	525	53	19	578	624	169	441	13	0	818	329	315	38	137	403
Doanh thu thuần###Net Sales	78945	63701	286562	77285	73668	85694	49915	372880	101650	96632	108306	66292	323020	75303	89042	105147	53650	335754	78356	80581	98058	78759	303572	70412	90178	80893	62088	286961	79957	76985	86806	43213	253559	58053	58345	255902	234509	63499	55416	52856	140156	48981	33426	39081	18668	89050	21690	29669	24112	13579	165538	25499	28962	50857	60220	311620	80947	61355	98225	71093	316241	75458	78653	94080	68051	279338
Giá vốn hàng bán###Cost of goods sold	70857	56386	249884	69424	63961	73272	43268	328145	88204	85718	95623	58601	287934	71887	78171	91266	46807	293986	68871	70131	85651	69348	263840	60647	78115	70112	54966	259287	71814	69547	79447	38480	253276	59153	55986	234180	229032	57721	53947	54403	151189	48506	35408	42957	21575	101230	33596	26514	25662	14905	147752	26725	23585	44610	51899	273970	69294	52946	87639	64091	275915	65526	68318	80515	61561	239197
Lợi nhuận gộp###Gross profit	8088	7315	36677	7861	9707	12422	6647	44735	13446	10915	12683	7692	35086	3417	10871	13881	6843	41768	9485	10450	12407	9411	39732	9765	12063	10781	7122	27674	8143	7439	7359	4733	283	-1100	2359	21721	5476	5778	1468	-1547	-11032	476	-1982	-3875	-2907	-12180	-11906	3155	-1550	-1326	17786	-1225	5377	6247	8320	37650	11653	8409	10586	7002	40327	9933	10334	13565	6490	40141
Doanh thu hoạt động tài chính###Financial activities Revenues	257	39	389	60	13	275	41	377	42	84	224	27	463	56	47	301	58	791	369	79	287	56	1172	211	322	504	136	940	383	71	336	150	926	429	338	417	391	38	160	142	536	87	14	161	274	1398	238	609	387	164	1198	324	287	383	205	503	135	82	130	156	2258	239	67	1689	17	686
Chi phí tài chính###Financial Expenses	818	821	3506	894	860	928	782	2280	505	433	622	719	3402	851	767	961	822	3149	717	814	780	839	4770	1160	961	1243	1406	6711	1460	1676	1746	1773	5720	-4848	3383	16398	24028	6709	5824	5341	17810	4821	4921	5230	4518	14195	4363	3665	3151	3042	18519	6651	4238	4291	3339	14698	3604	3640	4338	3117	16259	5184	3747	3745	3566	13347
Chi phí bán hàng###Selling Expenses	3145	3249	14506	3505	4054	4611	2336	15908	5077	3874	4131	2826	12465	2979	3367	3865	2203	12824	3531	2982	3292	3019	10426	2585	3326	1781	2735	9114	2678	2581	2815	1040	9849	2363	1891	6078	4666	1442	1078	840	3118	632	684	1060	614	2548	437	1052	787	272	3489	675	679	694	1441	10770	2478	2033	3489	2770	21217	3499	5550	6811	5337	21444
Chi phí quản lý doanh nghiệp###Managing Expenses	2336	1913	8306	2028	1925	2505	1846	10207	2860	2562	2733	2053	9118	2105	2326	2633	2053	10008	2082	2116	3200	2610	10282	3374	2616	2343	1949	8245	2484	2186	2076	1498	6897	1552	1865	8476	6141	1366	2889	1186	9129	5898	1455	600	537	9031	6606	1013	649	579	3024	923	683	681	737	3250	947	626	873	803	2877	886	756	700	534	3003
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	2046	1371	10749	1494	2880	4653	1725	16718	5046	4130	5421	2121	10563	-2462	4457	6723	1823	16579	3524	4617	5423	3000	15426	2857	5482	5919	1168	4544	1905	1067	1058	572	-21256	262	-4443	-8812	-28969	-3702	-8164	-8773	-40553	-10788	-9028	-10604	-8302	-36556	-23073	-1966	-5750	-5055	-6047	-9151	64	964	3009	9435	4759	2192	2016	468	2231	603	347	3998	-2930	3033
Thu nhập khác###Other incomes	863	52	982	560	466	13	103	448	429	6	6	7	139	10	108	14	7	166	71	300	14	81	112	27	42	-34	95	5340	4755	416	105	65	72837	72080	94	5039	197456	197242	0	0	726	67	651	0	7	4953	4278	114	561	0	19183	5079	12733	296	1137	8	0	1	7	0	337	323	2	12	0	281
Chi phí khác###Other Expenses	128	104	476	293	112	120	111	512	148	141	116	108	462	79	123	375	92	579	171	372	219	108	2098	533	111	1320	152	1324	274	629	190	231	972	78	121	829	144719	141422	3159	66	2266	201	274	403	37	1931	413	175	771	79	17850	2245	12271	270	2170	53	21	0	11	0	198	182	16	0	0	130
Lợi nhuận khác###Other profits	735	-52	506	267	354	-107	-8	-64	281	-135	-110	-100	-323	-69	-15	-362	-85	-413	-100	-72	-205	-27	-1986	-507	-69	-1354	-57	4017	4481	-213	-85	-166	71865	72002	-27	4210	52737	55821	-3159	-66	-1541	-133	377	-403	-30	3023	3865	-60	-210	-79	1333	2834	461	26	-1033	-45	-21	1	-4	0	139	141	-14	12	0	151
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	2781	1320	11254	1761	3234	4546	1717	16655	5328	3995	5311	2021	10240	-2531	4442	6361	1737	16165	3424	4545	5218	2972	13440	2351	5413	4565	1111	8560	6385	854	974	406	50609	72264	-4470	-4602	23769	52119	-11322	-8838	-42094	-10921	-8651	-11007	-8332	-33533	-19208	-2027	-5960	-5133	-4714	-6317	526	990	1976	9389	4738	2193	2012	468	2369	744	333	4010	-2930	3184
Chi phí thuế TNDN###Corporate Income Tax Expenses	563	264	2327	477	647	921	343	3512	1066	799	1062	404	2335	0	888	1281	347	678	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14205	14205	0	0	0	0	0	0	0	1031	1035	0	0	0	0	-489	74	139	276	1326	192	307	281	65	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	563	264	2327	477	647	921	343	3512	1066	799	1062	404	2335	0	888	1281	347	678	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14205	14205	0	0	0	0	0	0	0	1031	1035	0	0	0	0	-489	74	139	277	1326	193	307	282	66	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	2218	1056	8928	1284	2588	3626	1374	13142	4262	3196	4249	1616	7905	-2531	3554	5080	1390	15488	2749	4545	5218	2972	13440	2351	5413	4565	1111	8560	6385	854	974	406	50609	72264	-4470	-4602	9564	37914	-11322	-8838	-42094	-10921	-8651	-11007	-8332	-34565	-20243	-2027	-5960	-5133	-4714	-5828	452	852	1699	8064	4545	1886	1731	402	2369	744	333	4010	-2930	3184
---Cac Chi So Tai Chinh---																																																																		
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	5.10	4.90	5.60	5.60	5.60	7.80	5.70	6.40	6.40	5.90	7.80	6.60	8.20	8.20	7.20	5.20	6.00	5.90	5.90	7.20	7.30	7.40	6.70	6.70	6.00	6.00	6.00	6.20	6.20	5.60	3.80	4.50	2.40	2.40	2.60	0.00	1.40	1.90	1.90	3.30	5.20	5.20	7.10	11.00	8.80	10.90	10.90	11.30	10.00	5.40	6.50	6.50	9.80	9.60	14.80	23.05	23.05	20.04	22.48	26.74	17.00	17.00	0.00	0.00	0.00	0.00
