CAN DOI KE TOAN	 2019	 2017	 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006
Nợ phải trả ###Liabilities	11585	6098	710	1830	1731	1689	1576	2582	537	502	655	443	406	430	424	424	1182	839	601	754	789	1565	1565	1865	2518	2678	1642	1579	2130	2989	2393	3726	5211	5110	5597	4722	4493	3234	4318	4461	3704	2699	4195	4687	5803	18915
Nợ ngắn hạn###Short term Liabilities	11585	6098	710	830	731	1689	1576	1582	537	502	655	443	406	430	424	424	745	339	437	506	506	1199	1115	1831	2484	2644	1608	1545	2096	2955	2359	3692	4677	4545	4562	3717	3493	1984	2818	2678	1920	699	1911	2154	3020	15152
Nợ dài hạn###Long term Liabilities	0	0	0	1000	1000	0	0	1000	0	0	0	0	0	0	0	0	438	500	164	248	282	366	450	34	34	34	34	34	34	34	34	34	534	565	1034	1005	1000	1250	1500	1783	1783	2000	2283	2533	2783	3763
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	38429	43246	53502	66343	67339	67169	67526	68170	69167	69835	71789	72979	74078	74842	75385	84283	84214	85390	85688	86809	86822	86501	86639	86785	86976	86816	87213	86985	86949	86907	88516	86727	62299	61174	61136	62294	63896	63182	63761	63815	63055	62361	62319	62303	62203	2630
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	217	222	601	688	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	38429	43246	53502	66343	67339	67169	67526	68170	69167	69835	71789	72979	74078	74842	75385	84283	84214	85390	85688	86809	86822	86501	86639	86785	86976	86816	87213	86985	86949	86907	88516	86727	62299	61174	61136	62091	63679	62960	63160	63126	63055	62361	62319	62303	62203	2630
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	74484	75273	75810	84707	85397	86229	86290	87563	87611	88066	88203	0	89494	89494	88855	0	89079	89895	90909	90453	67510	66284	66733	67015	68390	66417	68079	68276	68007	65060	66513	66990	68006	21546



KET QUA KINH DOANH	 2019	 2017	 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	375	3510	3783	635	2459	796	687	745	233	2764	253	367	1376	765	5071	1987	639	1699	747	11104	2832	3556	2103	3049	8632	1995	2005	2626	2007	12701	4905	2128	3973	2164	8022	2507	1868	2568	1079	8562	1822	1937	2827	1926	12214	3014
Các khoản giảm trừ doanh thu###Deduction revenues	0	5	26	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	375	3504	3757	635	2459	794	687	745	233	2764	253	367	1376	765	5071	1987	639	1699	747	11104	2832	3556	2103	2613	8565	1928	2005	2626	2007	12701	4905	2128	3973	2164	8022	2507	1868	2568	1079	8562	1822	1937	2827	1926	12214	3014
Giá vốn hàng bán###Cost of goods sold	632	2185	2322	840	3313	838	894	1023	686	3200	732	524	1689	172	4181	1212	762	1396	987	7479	2639	2491	1043	1307	4722	1459	1005	1074	694	5276	1671	733	1013	1203	3877	1519	800	1116	442	2216	471	503	872	392	7477	1249
Lợi nhuận gộp###Gross profit	-257	1319	1434	-205	-854	-44	-207	-278	-453	-436	-479	-157	-313	592	890	776	-124	302	-240	3625	193	1065	1060	1306	3843	468	1001	1552	1312	7425	3234	1395	2960	961	4145	988	1068	1452	638	6346	1351	1434	1955	1534	4737	1765
Doanh thu hoạt động tài chính###Financial activities Revenues	8	2	1	0	3	0	0	-24	26	510	1	59	451	0	1775	578	408	408	380	2336	1224	311	387	415	2267	1169	385	28	345	877	829	48	0	0	446	1	24	16	6	1460	319	0	1	4	4377	3
Chi phí tài chính###Financial Expenses	0	406	8747	15	60	38	8	15	0	676	0	497	0	0	6179	20	15	6	8	565	12	17	172	290	132	16	17	0	0	494	0	15	34	0	0	0	0	0	0	0	0	0	0	0	0	1
Chi phí bán hàng###Selling Expenses	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	117	0	0	62	55	136	48	48	39	0	111	0	59	47	4	101	0	0	0	101	0	0	0	0	0	321	0
Chi phí quản lý doanh nghiệp###Managing Expenses	1286	11181	6488	606	1580	276	271	674	242	4948	712	504	902	1136	7797	1262	1445	975	1172	5204	1025	1499	1321	1384	5242	1384	1261	1487	1607	6041	1578	1286	1764	926	5640	1385	828	1515	541	6091	1239	1425	1939	1422	1616	1489
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-1535	-10267	-13799	-826	-2496	-357	-485	-996	-668	-5550	-1190	-1099	-764	-543	-11311	72	-1176	-270	-1041	74	380	-141	-108	9	600	189	59	54	51	1657	2485	82	1114	31	-1150	-396	263	-47	1	1715	431	9	18	116	7177	278
Thu nhập khác###Other incomes	42	39	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	50	3	6	21	181	100	56	18	6	253	216	6	11	20	222	0	13	103	0	5	0	0	4	0	264	401
Chi phí khác###Other Expenses	0	27	149	0	0	0	0	0	0	0	0	0	0	0	112	4	0	22	0	136	108	0	29	0	214	573	36	0	0	494	494	0	0	0	47	0	1	1	0	0	0	0	0	0	0	0
Lợi nhuận khác###Other profits	42	11	-100	0	0	0	0	0	0	0	0	0	0	0	-112	-4	0	-22	0	-22	-58	3	-22	21	-33	-472	20	18	6	-241	-278	6	11	20	175	0	12	102	0	5	0	0	4	0	264	401
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-1493	-10256	-13899	-826	-2496	-357	-485	-996	-668	-5550	-1190	-1099	-764	-543	-11423	68	-1176	-292	-1041	53	322	-138	-130	13	566	-284	79	73	56	1415	2207	88	1125	50	-976	-396	275	55	1	1720	926	9	22	116	7441	678
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	411	72	10	67	14	0	418	15	2	13	83	0	69	14	0	0	121	2	6	16	1768	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3	3	411	72	10	18	14	0	418	15	0	13	83	0	69	14	0	0	121	2	6	16	1768	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-1493	-10256	-13946	-826	-2496	-357	-485	-996	-668	-5550	-1190	-1099	-764	-543	-11423	68	-1176	-292	-1041	53	322	-138	-127	10	156	-356	70	55	42	1415	1789	73	1125	38	-1059	-396	206	41	1	1720	805	6	16	100	5672	678
---Cac Chi So Tai Chinh---																																														
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	0.90	1.50	1.10	2.20	2.40	2.40	1.90	2.10	2.40	3.10	3.10	3.30	3.10	4.90	2.90	2.90	1.80	2.00	2.40	2.60	2.60	2.40	4.00	4.10	3.20	3.20	6.30	5.40	8.40	14.40	14.40	18.40	17.00	7.10	8.10	8.10	9.10	8.30	3.90	4.39	4.39	6.77	7.04	11.28	0.00	0.00
