CAN DOI KE TOAN	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	 2009	Q4 2009	 2008	Q4 2008
Tài sản dài hạn khác###Other long term assets	14362	13935	12055	5016	3466	6658	4163	7836	5562	5837	3566	6607	7589	3920	0	9021	9021	4026	4026
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	2044748	2063253	2031525	1943674	1954519	2009016	2212248	2314872	2285139	2627581	2712694	2894069	3025338	1764558	2669487	2458061	2458061	1631062	1631062
Nợ phải trả ###Liabilities	2173748	2112826	2043237	1995967	1935639	1889093	1964385	1959888	1922106	2028635	2091668	2215337	2368790	1168963	2016725	2055036	2056676	1347860	1347925
Nợ ngắn hạn###Short term Liabilities	2045560	1978899	1909955	1883381	1826575	1802000	1872625	1853432	1809324	1841201	1909850	2007476	2151735	1124836	1799794	1915160	1916800	1223288	1223354
Nợ dài hạn###Long term Liabilities	128188	133927	133282	112585	109065	87093	91760	106456	112782	187433	181818	207861	217054	44127	216931	139876	139876	124572	124572
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	-128999	-51736	-13876	10035	70464	159056	274454	378077	385716	569220	585346	622571	601393	595595	652762	361238	359598	245103	245038
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1640	0	66	0
Vốn chủ sở hữu ###Owners equity	-128999	-51736	-13876	10035	70464	159056	274454	378077	385716	569220	585346	622571	601393	595595	0	359598	359598	245038	245038
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	-26591	0	-22683	29726	35681	56161	0	0	0	0	41787	38099	38099
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	2063253	2031525	1943674	1954519	2009016	2212248	2314872	2285139	2627581	0	2894069	3025338	3025338	2669487	2458061	2458061	1631062	1631062



KET QUA KINH DOANH	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	 2009	 2008
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	30668	280636	39673	61798	110235	50459	1358536	263857	184424	301536	706298	2227470	340109	3232382	1283746
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	5680	0	69742	45540	0	0	0	2	0	0	0
Doanh thu thuần###Net Sales	30668	280636	39673	61798	104554	50459	1288793	218317	184424	301536	706298	2227468	340109	3232382	1283746
Giá vốn hàng bán###Cost of goods sold	28078	414427	60738	72463	130574	62734	1234897	324610	169479	250757	610565	1896340	297954	3069544	1249578
Lợi nhuận gộp###Gross profit	2590	-133791	-21065	-10665	-26020	-12274	53896	-106293	14945	50779	95733	331128	42155	162838	34168
Doanh thu hoạt động tài chính###Financial activities Revenues	437	6101	78	10	326	64	46602	34853	1426	3026	8835	41227	1501	65174	35528
Chi phí tài chính###Financial Expenses	36853	220571	50271	56977	66213	42906	286453	82797	47219	42903	56480	230797	35196	138309	77805
Chi phí bán hàng###Selling Expenses	266	4469	410	683	2801	345	18568	3639	4858	3710	9508	36298	913	55956	9567
Chi phí quản lý doanh nghiệp###Managing Expenses	3967	57646	15008	13899	37223	38564	82179	42287	5427	8155	14139	46207	2167	34302	16968
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-38058	-410376	-86676	-82214	-131931	-94025	-286702	-200162	-41132	-963	24440	59053	5380	-556	-34645
Thu nhập khác###Other incomes	319	53271	159	895	49062	1052	9995	2532	2540	1509	2399	5247	2370	3796	2183
Chi phí khác###Other Expenses	90	36148	762	1038	37198	806	4133	1641	618	188	1402	10983	1877	2252	1355
Lợi nhuận khác###Other profits	230	17123	-602	-143	11863	246	5862	891	1923	1321	997	-5735	493	1544	828
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-37829	-393253	-87279	-82357	-120068	-93779	-280840	-265435	-29865	358	25438	53318	5872	988	-33817
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	-128	-1640	128	49	1982	2264	11292	756	-335	389
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	121	0	133	3547	2179	13567	1305	3969	967
Chi phí thuế TNDN###Corporate Income Tax Expenses	94	-377	0	392	-1465	-128	-1761	128	-84	84	84	-2275	0	-4304	-579
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-37923	-392876	-87279	-82749	-118603	-93651	-279200	-199399	-39258	-3273	23174	42026	4567	1323	-34206
---Cac Chi So Tai Chinh---															
EBITDA	1.80	1.68	1.68	1.85	1.91	1.52	1.32	1.32	0.93	0.80	0.44	0.58	0.58	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	0.90	0.90	0.90	1.30	1.80	3.50	2.50	2.50	5.71	6.86	9.62	11.43	11.43	0.00	0.00
