CAN DOI KE TOAN	 2019	 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	 2005
Nợ ngắn hạn###Short term Liabilities	228949	206759	202152	190086	213779	202101	219657	205017	182890	183549	196467	202768	221931	221201	197779	179418	183114	181114	224111	218944	210993	227750	179566	154619	132378	129157	142583	156178	147397	143164	116078	131309	142150	156920	160164	161805	153237	131763	99863	111730	102699	95070	170807	175476	198451	187321	170256	154966	98274	102914	174980	179920	148484	136421	145752	145752	135175	108851	91181	111056	111056	158295	141656	158295
Nợ dài hạn###Long term Liabilities	32987	44114	54200	54200	54200	65058	65058	65125	65125	65125	47723	47723	47723	48087	56610	68450	73753	73753	68406	68238	76339	76339	76339	75742	75742	80910	80910	80910	80548	87373	104691	106826	109038	111121	111071	111071	105623	106484	106359	109109	115638	107250	29475	27723	30493	40144	41581	41268	103599	105502	30391	28281	27175	29463	23362	23362	18930	11974	7441	8391	8391	11574	11629	11574
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
Vốn chủ sở hữu ###Owners equity	-23383	-8856	11827	27517	43578	58411	58316	55990	55529	56680	67622	68467	66705	66335	65602	71608	88600	93458	97770	103093	110737	113719	112338	115548	116537	119157	113356	114068	107970	106925	110051	110021	103046	100952	104785	104148	103360	103193	102292	103659	108592	102550	119956	120186	119382	124208	118906	118902	122059	122197	128948	131686	127203	115123	110180	110180	107923	106818	106524	106494	106494	105247	102169	105247
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	-23383	-8856	11827	27517	43578	58411	58316	55990	55529	56680	67622	68467	66705	66335	65602	71608	88600	93458	97770	103093	110737	113719	112338	115548	116537	119157	113356	114068	107970	106925	110051	110021	103046	100952	104785	104148	103360	103193	102292	103659	108592	102550	119956	120186	119382	124208	118906	118902	122059	122197	128948	131686	127203	115123	110180	110180	107923	106818	106524	106494	106494	105247	102169	113991
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368242	345909	324658	329224	336849	351156	335916	337463	330819	348156	354234	368993	376019	377024	362219	0	308514	326928	326928	304869	311034	323384	348325	351673	330743	312812	323932	330613	334319	339887	302862	281006	279294	279235	262028	227642	205146	225941	225858	275115	255453	275116



KET QUA KINH DOANH	 2019	 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	256333	260194	59664	55435	303402	90786	83545	77791	51279	292553	83727	95021	74205	39682	326366	98705	74584	89591	63487	347743	94588	97351	93694	62938	377499	107353	88658	109025	74398	304368	100688	78963	72269	54747	306592	70748	88597	74113	75638	279886	85795	75614	65648	55197	260619	69312	72731	70296	49292	273141	51468	51483	101178	69012	166210	51765	37832	46583	29742	151118	40987	39546	69706	228505
Các khoản giảm trừ doanh thu###Deduction revenues	359	1061	584	435	2157	958	106	721	372	2275	820	388	740	328	1413	42	908	99	365	642	239	14	0	40	2540	428	0	14	17	1671	228	16	1412	16	203	149	0	0	55	272	1622	1719	191	34	974	0	0	284	690	4205	356	1067	1897	885	3102	219	1225	1005	324	355	0	217	138	639
Doanh thu thuần###Net Sales	255975	259133	59080	55000	301245	89829	83439	77070	50907	290278	82907	94634	73465	39355	324953	98663	73676	89492	63122	347101	94348	97336	93693	62898	374960	106926	88658	109011	74381	302697	100460	78947	70858	54731	306389	70599	88597	74113	75583	279614	84174	73895	65457	55163	259645	69312	72731	70012	48602	268936	51112	50416	99281	68127	163108	51545	36607	45578	29418	150763	40987	39329	69569	227866
Giá vốn hàng bán###Cost of goods sold	232030	270001	65590	63927	285759	84470	73894	69666	45776	272482	77155	87487	66458	32576	318813	96432	70445	82966	59822	321351	87359	87338	84897	55010	322670	88139	82233	92391	60469	255021	80969	63787	61344	48594	255579	54803	74147	59626	69105	239377	67647	59072	67186	44700	219027	54530	57961	62181	44851	230464	45254	41310	79721	58925	150645	46058	33516	44240	26912	145784	36667	32924	72996	190964
Lợi nhuận gộp###Gross profit	23944	-10868	-6510	-8927	15486	5358	9546	7404	5131	17796	5752	7147	7007	6779	6140	2231	3231	6526	3300	25750	6989	9998	8796	7887	52290	18786	6425	16620	13912	47677	19491	15160	9514	6138	50809	15796	14450	14487	6478	40237	16527	14822	-1729	10463	40618	14781	14771	7831	3751	38472	5857	9107	19561	9202	12463	5488	3091	1337	2506	4979	4321	6405	-3427	36902
Doanh thu hoạt động tài chính###Financial activities Revenues	354	235	11	84	581	126	366	12	64	1475	60	38	1301	3	739	557	16	18	52	330	146	4	136	9	950	430	39	441	40	329	46	23	49	211	4182	880	411	464	2427	4480	1232	1025	813	1410	3804	2373	591	166	152	1596	226	479	693	63	803	427	153	145	43	1689	935	339	416	544
Chi phí tài chính###Financial Expenses	8774	10070	2253	572	7226	1480	2870	1007	1197	9389	293	967	3857	1210	18833	3109	2894	4180	3841	10364	2626	2341	3361	1870	9732	2343	1718	3726	1800	11082	2304	2736	2813	3172	24821	13015	4026	6233	3209	20014	3832	4757	15953	4433	13650	4555	7347	2389	1550	7308	1436	1020	1639	757	1120	609	333	88	74	2358	532	410	1416	2797
Chi phí bán hàng###Selling Expenses	14708	12563	2612	3238	11041	2409	2587	3149	1884	7313	2435	1420	1444	1651	10417	2520	2230	3285	2381	11732	3340	2354	2484	3597	13622	5209	3133	3568	3042	13607	3630	2965	2436	4576	19051	4577	5546	4913	4082	14746	4455	3355	4757	2948	19534	4510	3748	5785	949	5368	719	1128	1310	695	4468	1063	524	398	1781	4341	734	742	3475	7380
Chi phí quản lý doanh nghiệp###Managing Expenses	11995	11915	2374	2645	12118	2490	2696	2540	3183	11638	2548	2784	2772	3030	12159	13990	2691	2790	2596	15283	3741	3650	3788	3332	19529	4585	2539	3027	8233	19091	13521	1569	2262	1714	12461	3425	2622	2960	3054	8443	2625	1692	2567	3542	6839	1891	4178	1671	1477	6348	3984	1457	1542	1304	5059	1606	1244	1339	1162	7916	1518	2635	4074	5662
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-11178	-45181	-13738	-15298	-14317	-895	1759	721	-1048	-9070	536	2014	235	890	-34530	-16830	-4568	-3711	-5466	-11298	-2572	1658	-701	-904	10357	7078	-926	6740	877	4225	83	7913	2052	-3113	-1342	-4342	2667	846	-1439	1515	6847	6043	-24192	950	4400	6198	89	-1849	-73	21046	-55	5981	15762	6509	2619	2637	1142	-342	-468	-7947	2472	2956	-11977	21607
Thu nhập khác###Other incomes	75	140	33	3	3971	2830	1133	8	0	1156	385	201	288	9	217	0	-118	28	307	5020	183	531	3074	87	2555	607	619	974	356	1278	244	402	305	326	6880	5664	346	278	151	1077	320	9	2580	2	446	127	68	361	6	1766	840	173	576	485	2152	1152	25	649	600	808	145	126	1110	1630
Chi phí khác###Other Expenses	2202	6505	1985	766	2755	1840	566	246	102	1008	198	453	154	166	1985	162	173	629	164	7166	245	808	5583	172	1216	861	404	540	3	1716	297	110	665	645	2950	391	2415	64	79	890	43	126	716	6	1805	88	152	11	71	5950	457	80	3279	2052	1084	227	108	14	101	102	94	5	698	3093
Lợi nhuận khác###Other profits	-2128	-6365	-1952	-763	1216	990	567	-238	-102	147	187	-252	135	-157	-1768	-162	-291	-600	143	-2145	-62	-277	-2509	-85	1339	-254	215	433	352	-438	-52	292	-359	-319	3930	5273	-2069	213	72	186	277	-116	1864	-4	-1358	39	-84	350	-64	-4184	383	93	-2702	-1567	1068	925	-83	635	499	706	50	122	412	-1463
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-13306	-51546	-15690	-16061	-13101	95	2326	483	-1150	-8922	723	1762	369	733	-36298	-16992	-4859	-4311	-5324	-13444	-2634	1381	-3210	-989	11696	6825	-712	7174	1229	3787	31	8205	1693	-3432	2589	931	-231	1059	-1367	1701	7124	5927	-22329	946	3042	6237	5	-1498	-138	16862	329	6074	13060	4942	3687	3561	1059	293	31	-7241	2523	3078	-11565	20144
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1193	0	0	0	0	0	0	0	0	0	2084	1024	0	0	0	1646	0	0	0	0	1318	153	58	0	0	2165	1082	889	-142	142	910	936	1	0	0	1803	25	456	979	0	0	0	0	0	0	0	1014	0	0	1664
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1193	0	0	0	0	0	0	0	0	0	2084	1024	0	1076	184	1060	0	1231	0	0	678	153	58	159	0	2756	1082	889	-142	142	1096	936	1	0	0	1935	25	456	979	0	0	0	0	0	0	0	1014	0	0	1664
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	586	0	0	0	0	640	0	0	0	0	-590	0	0	0	0	-186	0	0	0	0	-132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-13306	-51546	-15690	-16061	-13101	95	2326	483	-1150	-8922	723	1762	369	733	-37491	-16992	-4859	-4311	-5324	-13444	-2634	1381	-3210	-989	9612	5801	-712	6098	1045	2140	31	6974	1693	-3432	1271	778	540	901	-1367	-464	6042	5038	-22187	804	2132	5302	4	-1498	-138	15059	304	5619	12080	4942	3687	3561	1059	293	31	-7241	1508	3078	-11565	18480
---Cac Chi So Tai Chinh---																																																																
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	0.50	1.10	1.80	2.00	2.00	2.00	2.00	2.30	4.06	3.46	3.46	4.69	3.50	3.00	3.60	3.60	3.20	3.80	3.60	3.50	3.50	4.70	4.30	8.00	4.90	4.90	5.30	2.80	2.70	2.20	2.20	2.20	2.30	2.60	3.10	3.10	2.60	3.90	4.50	6.60	6.60	7.40	9.30	8.50	8.90	8.90	10.30	10.90	7.00	9.50	9.50	18.00	10.70	12.00	18.00	18.00	16.40	17.00	23.00	15.00	15.00	21.00	0.00	0.00
