CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	467222	315609	316880	327447	318488	314657	309398	311255	311884	309510	308275	314140	317360	319294	314670	315133	314570	317246	321552	297498	297301	304520	306143	303942	303357
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	66605	8784	157420	73402	29759	33143	23153	49611	14952	17537	15750	5788	156428	81942	22537	24608	19708	173941	29242	67364	75092	9021	403893	71039	88098
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	6484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	506	506	0	0	0	0	0	0
Doanh thu thuần###Net Sales	66605	8784	150936	73402	29759	33143	23153	49611	14952	17537	15750	5788	156428	81942	22537	24608	19708	173435	28736	67364	75092	9021	403893	71039	88098
Giá vốn hàng bán###Cost of goods sold	60051	8997	126700	49977	27276	30355	22997	40447	11690	14475	13939	5118	140290	73630	18722	21143	19262	163376	23316	64017	72044	8593	450062	60459	76967
Lợi nhuận gộp###Gross profit	6554	-213	24236	23425	2483	2788	156	9164	3263	3062	1811	670	16138	8312	3815	3466	446	10059	5420	3348	3048	427	-46168	10580	11131
Doanh thu hoạt động tài chính###Financial activities Revenues	8905	9700	28466	2016	10094	11113	4633	19353	7230	3670	7524	929	13042	2906	1925	4033	5031	47368	29674	6118	6299	4601	73769	468	508
Chi phí tài chính###Financial Expenses	7489	7016	20493	7292	4824	5154	3194	9502	4428	1830	2461	783	7778	880	1257	2323	3351	27711	4434	4837	13504	3607	2878	0	0
Chi phí bán hàng###Selling Expenses	205	694	6855	2268	516	57	182	475	125	94	44	212	1231	462	154	156	420	1499	532	321	225	333	1545	1120	1804
Chi phí quản lý doanh nghiệp###Managing Expenses	3867	3020	16595	6731	3272	2552	3553	14213	3159	4369	2787	3858	18118	4396	4878	4127	4279	13558	6328	3756	2875	2715	13702	9569	14009
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	3899	-1243	8759	9151	3965	6137	-2140	4326	2781	438	4044	-3254	2053	5480	-549	892	-2572	14659	23799	551	-7257	-1626	9476	358	-4174
Thu nhập khác###Other incomes	23	3	566	2	62	-11	514	485	115	131	128	111	15	0	5	8	2	452	270	17	48	4	267	433	4234
Chi phí khác###Other Expenses	346	31	588	145	196	52	231	754	428	182	68	77	153	0	18	22	106	60	15	0	10	1	7302	60	0
Lợi nhuận khác###Other profits	-323	-28	-22	-143	-134	-63	283	-269	-313	-50	60	34	-137	0	-13	-14	-103	393	255	17	38	3	-7035	373	4234
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	3576	-1270	8737	9008	3831	6074	-1857	4057	2468	388	4104	-3220	1916	5480	-562	878	-2675	15052	24054	568	-7219	-1623	2441	731	59
Chi phí thuế TNDN###Corporate Income Tax Expenses	1963	0	3112	5	0	814	0	1041	94	0	846	0	1801	730	0	315	0	3950	0	0	0	0	239	146	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	1963	0	3112	5	0	814	0	1041	94	0	846	0	1801	730	0	315	0	3950	0	0	0	0	239	146	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1612	-1270	5625	9003	3831	5260	-1857	3016	2374	388	3257	-3220	115	4749	-562	563	-2675	11102	24054	568	-7219	-1623	2202	585	59
---Cac Chi So Tai Chinh---																									
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	3.90	4.20	4.20	4.20	4.70	2.90	3.20	3.30	3.30	3.80	3.30	2.65	2.92	2.92	3.18	5.31	6.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
