CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	 2011
Lợi thế thương mại	1237	1502	1767	1767	2032	2297	2562	2827	2827	3092	3357	3622	3887	3887	4152	4417	4682	4947	4947	5212	0	757	1514	1514	4542	4542	0	7570	9545	12272
Bất động sản đầu tư ###Real Estate Investment	22734	22995	23257	23257	23519	23781	24043	24305	3955	3955	3955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	33951	33820	58752	33752	33886	7845	8034	8024	7364	7192	6597	6936	116870	115743	5605	7927	7941	7926	9660	8636	8222	47799	12218	12218	7585	7585	7685	7685	8934	10126
Tài sản dài hạn khác###Other long term assets	8565	9790	3413	3413	2537	2924	3440	3965	3739	4380	5007	5682	6302	6291	6939	6775	7843	8951	8815	10144	5739	4874	7125	5611	15092	12408	9248	9248	5229	6521
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	743155	755435	858040	859880	724478	792503	735182	831814	830207	702662	656677	723922	710255	706721	645979	1165126	1094240	1178802	1186313	1121555	1083685	1086080	903869	903869	751886	751886	779747	779747	773164	828123
Nợ phải trả ###Liabilities	153736	175753	289498	290990	160752	218105	163655	268839	268366	149939	109430	176242	165273	163085	107427	233329	398558	489246	495024	456550	447811	403975	288128	288128	160023	160023	185972	185972	214677	357255
Nợ ngắn hạn###Short term Liabilities	146837	168805	282517	284009	153699	211126	156690	261933	261702	142996	102640	169542	158572	156384	100814	226806	392029	482888	488666	449961	441212	403390	287573	287573	159881	159881	185855	185855	211107	355128
Nợ dài hạn###Long term Liabilities	6900	6948	6981	6981	7053	6980	6965	6906	6664	6943	6790	6699	6701	6701	6613	6523	6530	6358	6358	6588	6598	585	555	555	143	143	118	118	3571	2127
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	589419	579681	568542	568889	563727	574398	571527	562975	561841	552724	547247	547681	544982	543636	538552	931797	695682	689555	691289	665005	635874	682105	615741	615741	591863	591863	567909	593774	558486	470868
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	589419	579681	568542	568889	563727	574398	571527	562975	561841	552724	547247	547681	544982	543636	538552	931797	695682	689555	691289	665005	635874	682105	615741	615741	591863	591863	567909	593774	558486	470868
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25865	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q3 2015	Q2 2015	Q1 2015	 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	924810	1032527	2294308	955739	672805	315836	349810	936196	404959	108711	129167	236558	4236201	369964	326983	1421726	2115272	7306200	2003889	1950204	1809791	1542527	4103927	1088402	933609	804200	2361712	2664761	1570849	770829
Các khoản giảm trừ doanh thu###Deduction revenues	892	643	208	228	0	0	0	228	0	0	228	0	131	5	126	0	0	3	0	0	0	3	342	0	55	0	2	722	42	32
Doanh thu thuần###Net Sales	923918	1031884	2294100	955511	672805	315836	349810	935968	404959	108711	128939	236558	4236069	369959	326857	1421726	2115272	7306197	2003889	1950204	1809791	1542524	4103585	1088402	933554	804200	2361710	2664039	1570807	770797
Giá vốn hàng bán###Cost of goods sold	900444	1007096	2234305	938030	655281	303441	335291	901901	390990	100732	122241	231667	4191916	367528	324170	1404005	2094842	7161273	1965220	1913025	1772242	1510954	3973914	1054311	901572	774150	2248034	2534773	1427804	609834
Lợi nhuận gộp###Gross profit	23474	24788	59794	17481	17523	12395	14519	34067	13970	7979	6699	4891	44154	2431	2687	17721	20431	144924	38669	37179	37549	31570	129671	34091	31983	30051	113676	129266	143003	160963
Doanh thu hoạt động tài chính###Financial activities Revenues	8065	5052	24178	8154	4006	6964	5280	28477	11195	5505	6000	5754	452753	10090	11685	424886	6040	30832	10434	7846	8083	4469	81424	2802	6708	3973	34342	41025	68236	40067
Chi phí tài chính###Financial Expenses	429	894	2097	772	335	376	614	1171	377	80	604	98	47926	165	277	46287	1198	3012	1052	728	724	511	670	143	103	144	318	317	879	192
Chi phí bán hàng###Selling Expenses	4744	4874	14066	6867	2648	3872	2158	6797	2652	1142	1148	1167	9888	1060	899	3092	4777	13098	4336	3319	3573	2756	57671	17653	13802	12464	25944	5204	42	1264
Chi phí quản lý doanh nghiệp###Managing Expenses	9483	10435	30022	10178	6562	6213	7060	22776	6709	5590	5365	5992	31555	6443	5068	7114	12310	39070	12174	9374	9320	7360	44875	11536	8845	10142	39392	32242	28131	26177
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	17013	13705	37944	7829	12025	8992	9977	31892	15598	6586	5535	3455	406484	4992	6966	386107	8201	115738	31545	32018	30903	21978	105568	7677	16618	11503	82390	132528	183653	176029
Thu nhập khác###Other incomes	1017	-77	2053	1913	44	73	0	155	31	107	17	0	2038	1359	0	602	78	444	8	7	393	35	1079	1	0	41	63	167	1389	184
Chi phí khác###Other Expenses	844	-391	2687	2641	84	4	0	1222	393	7	815	7	94	0	0	-17	112	12	12	0	0	0	4	73	0	0	4	23	70	32
Lợi nhuận khác###Other profits	173	314	-634	-728	-40	69	0	-1067	-362	100	-798	-7	1944	1359	0	619	-33	431	-4	7	393	35	1076	-72	0	40	59	144	1320	153
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	17186	14019	37310	7102	11984	9061	9977	30824	15236	6686	4737	3448	408428	6350	6966	386726	8168	116169	31541	32026	31296	22013	106644	7605	16618	11544	82450	133061	184972	176181
Chi phí thuế TNDN###Corporate Income Tax Expenses	3443	2882	7321	1419	2266	2303	1425	6353	3708	725	1104	749	86964	1266	1465	82154	2042	24802	6277	6482	6338	5701	23592	6485	6585	4677	22422	31146	45769	45205
Chi phí thuế TNDN###Corporate Income Tax Expenses	3443	2882	7541	1639	2266	2303	1425	6594	3950	725	1104	749	86964	1266	1465	82154	2042	18802	6277	6482	338	5701	23592	6485	6585	4677	22422	31146	45769	45205
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	-220	-220	0	0	0	-242	-242	0	0	0	0	0	0	0	0	6000	0	0	6000	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	15925	13790	32714	5683	12257	6136	10012	24902	11718	5739	3633	2729	326262	5112	5341	306657	8932	100301	25264	25544	24958	16312	87786	1120	10033	6867	64974	101915	139203	130976
---Cac Chi So Tai Chinh---																														
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	9.32	7.15	8.87	8.87	8.60	8.05	7.57	7.66	7.66	8.07	6.01	12.60	12.18	12.18	14.74	23.30	15.57	19.60	19.60	15.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
