CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006
Chi phí quản lý doanh nghiệp###Managing Expenses	3653	1135	11854	2757	4122	3781	1194	12146	3312	0	4535	1930	10480	2675	3316	3159	1330	10229	3454	2834	2450	1509	9074	2760	2277	2287	1749	6310	1491	1217	2831	770	5906	1370	1603	1930	1039	4525	1241	859	1214	1091	3986	1785	718	628	926	3307	1338	778	519	683	2214	920	319	373	633	1703	420	332	438	513	1927	711	475	1541
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	647	471	15360	2103	5150	5576	2532	23570	1455	10100	7806	4210	26094	1214	5812	10906	8148	26952	4822	6569	8914	6547	20976	299	8050	7893	4735	11282	3287	4867	3089	55	3007	819	1791	987	71	12934	2462	4711	3951	2340	15069	3453	6363	4144	2224	11710	2074	3191	3600	2871	10574	3465	2938	2228	1920	8902	2389	2045	2541	1928	5058	548	1904	5496
Thu nhập khác###Other incomes	0	10	264	0	0	264	0	1536	0	636	0	900	518	18	0	0	500	1664	0	1664	0	0	489	82	136	271	0	0	0	0	0	0	65	0	0	0	65	354	349	0	5	0	318	61	330	0	0	9	0	9	0	0	26	0	0	0	26	2	0	0	2	0	0	0	0	0
Chi phí khác###Other Expenses	94	93	485	109	111	178	87	485	136	154	96	99	798	352	177	95	173	497	164	110	87	136	730	121	79	431	98	365	93	100	160	12	1021	90	729	160	42	319	81	76	87	75	499	89	94	303	13	151	6	134	8	3	77	2	7	24	43	23	2	3	11	7	9	0	3	10
Lợi nhuận khác###Other profits	-94	-83	-221	-109	-111	86	-87	1051	-136	482	-96	801	-279	-334	-177	-95	327	1167	-164	1554	-87	-136	-241	-40	57	-160	-98	-365	-93	-100	-160	-12	-956	-90	-729	-160	23	35	267	-76	-82	-75	-181	-28	235	-303	-13	-142	-6	-125	-8	-3	-51	-2	-7	-24	-18	-21	-2	-3	-9	-7	-9	0	-3	-10
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	553	389	15139	1993	5039	5662	2445	24621	1319	10582	7709	5011	25814	880	5634	10811	8476	28118	4658	8122	8826	6411	20736	259	8107	7733	4637	10917	3194	4766	2928	42	2051	729	1062	827	95	12969	2730	4635	3869	2265	14888	3424	6599	3841	2210	11568	2068	3066	3592	2868	10523	3462	2931	2204	1902	8882	2387	2042	2532	1921	5049	547	1900	5485
Chi phí thuế TNDN###Corporate Income Tax Expenses	99	48	2409	71	984	854	500	4528	119	1985	1402	1022	4808	227	1101	1820	1657	5428	959	1625	1598	1240	4698	94	1532	2163	909	1309	529	561	219	3	577	104	405	0	0	1585	0	0	0	553	2392	-14	1132	383	322	2425	438	755	0	0	1432	0	0	0	306	0	443	447	492	364	0	81	205	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	99	48	2396	58	984	854	500	4515	106	1985	1402	1022	4795	214	1101	1820	1657	5415	952	1625	1591	1240	4829	90	1532	2297	909	1309	529	561	219	3	577	104	405	233	40	1585	305	233	568	553	2392	-14	1132	471	322	2425	438	755	679	558	1432	431	336	321	306	1880	443	447	492	365	607	82	205	563
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	13	13	0	0	0	13	13	0	0	0	13	13	0	0	0	13	6	0	6	0	-130	4	0	-134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	454	341	12730	1922	4055	4807	1945	20093	1200	8596	6308	0	21007	0	0	0	0	22690	3700	6498	7229	5171	16037	165	6574	5570	3728	9608	2665	4206	2709	40	1473	625	657	593	54	11384	2425	4402	3300	1712	12496	3439	5466	3370	1889	9143	1630	2311	2913	2311	9091	3032	2595	1883	1596	7002	1944	1594	2040	1556	4442	466	1695	4922
---Cac Chi So Tai Chinh---																																																																		
EBITDA	0.47	0.28	-0.26	-0.26	0.03	-0.01	0.28	0.25	0.25	0.28	0.33	0.20	0.27	0.27	0.25	0.35	0.87	0.22	0.22	0.00	0.32	0.23	0.57	0.57	0.43	0.28	0.56	0.46	0.46	0.60	0.48	0.24	0.04	0.04	-0.13	0.36	0.57	0.71	0.71	0.99	0.95	0.51	0.09	0.09	0.20	0.34	0.71	0.80	0.80	0.91	0.91	0.80	0.75	0.75	0.79	0.67	0.70	0.79	0.79	0.73	0.87	0.67	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	11.50	9.50	11.10	11.10	12.50	13.08	11.83	12.08	12.08	11.42	11.38	11.72	12.21	12.21	19.01	16.86	15.00	14.30	14.30	15.33	11.86	9.45	10.71	10.71	10.16	6.43	5.19	3.94	3.94	3.49	3.72	3.69	2.89	2.89	3.15	3.78	3.91	3.47	3.47	2.49	3.22	2.38	1.34	1.34	3.17	5.27	4.83	5.94	5.94	4.52	4.18	2.71	2.48	2.48	2.22	1.46	1.06	1.07	1.07	1.55	0.99	1.34	3.86	3.86	0.00	0.00
