CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	143295	158419	699467	190048	178202	168601	162616	689611	174755	181637	158701	174519	719520	206477	181034	162937	169071	688859	177030	162838	168274	180717	798580	196494	188985	198538	211735	678102	189347	171693	148666	168396	574520	144520	426049	346992	260994
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	143295	158419	699467	190048	178202	168601	162616	689611	174755	181637	158701	174519	719520	206477	181034	162937	169071	688859	177030	162838	168274	180717	798580	196494	188985	198538	211735	678102	189347	171693	148666	168396	574520	144520	426049	346992	260994
Giá vốn hàng bán###Cost of goods sold	75272	84737	362849	108796	87695	88272	78086	344766	102451	83927	80363	78130	326739	101789	77079	75526	72344	296864	74378	74464	73167	75138	345804	98409	88195	79996	79204	295566	97409	77030	63659	57375	233378	55537	197990	154875	89647
Lợi nhuận gộp###Gross profit	68023	73682	336618	81252	90507	80329	84530	344846	72304	97710	78338	96388	392781	104688	103956	87410	96727	391995	102652	88375	95107	105579	452776	98086	100789	118542	132531	382536	91938	94663	85007	111021	341142	88983	228059	192116	171346
Doanh thu hoạt động tài chính###Financial activities Revenues	4174	9542	17241	3077	2421	8391	3352	29181	4072	3745	17925	3440	22596	4334	12648	2919	2696	12598	3334	3226	2939	3099	14061	2681	6593	2538	2249	17131	5498	3938	5556	2147	24005	7679	28430	23628	17043
Chi phí tài chính###Financial Expenses	53	3	33	-9	25	9	8	19	17	1	0	1	66	4	1	40	20	25	5	-34	42	13	65	16	10	23	16	5	7	2	0	2	21	2	131	113	199
Chi phí bán hàng###Selling Expenses	1454	1017	8364	4333	1901	1402	727	9282	4203	1498	2180	1399	8451	2581	2512	905	2454	4944	2007	547	1922	469	6242	2919	1930	731	662	4870	2284	1267	259	1061	4445	1431	3837	3492	3424
Chi phí quản lý doanh nghiệp###Managing Expenses	13998	16362	71459	22491	17160	17382	14426	66997	11322	18258	19321	18177	67444	22281	12397	18595	14170	61383	22792	12843	13219	12529	63489	26454	11503	11420	14112	53274	17168	11599	12385	12163	50936	9865	54185	35500	21764
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	56692	65842	274002	57513	73841	69927	72721	297730	60833	81698	74762	80251	339417	84155	101693	70790	82778	338240	81183	78246	82863	95667	397041	71378	93940	108906	119991	341518	77976	85732	77919	99942	309745	85365	198336	176639	163002
Thu nhập khác###Other incomes	3	1	1773	1189	577	0	7	45	42	0	2	0	256	252	2	1	2	658	22	423	141	71	3594	1036	28	4622	29	638	52	0	374	211	39	1	832	8	468
Chi phí khác###Other Expenses	0	0	34	33	0	0	0	3	0	1	0	2	150	0	4	143	2	125	2	69	24	31	106	0	0	2179	18	297	186	0	0	0	5	0	0	486	0
Lợi nhuận khác###Other profits	3	1	1740	1155	577	0	7	41	42	-1	2	-2	106	252	-3	-143	-1	532	20	354	117	41	3488	1036	28	2443	11	341	-135	0	374	211	34	1	832	-477	468
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	56695	65843	275742	58668	74419	69927	72728	297771	60875	81697	74764	80250	339524	84407	101691	70648	82778	338773	81203	78600	82980	95707	400529	72414	93968	111349	120002	341859	77842	85733	78293	100153	309778	85365	199167	176162	163469
Chi phí thuế TNDN###Corporate Income Tax Expenses	11382	11782	55362	12443	14924	13029	14589	56771	12252	16383	11948	16094	66707	17301	18552	14255	16599	68468	16338	15791	17148	19136	87829	16381	19874	24575	26400	68252	15941	16586	15963	20078	62274	16549	23405	20728	18363
Chi phí thuế TNDN###Corporate Income Tax Expenses	11677	12033	55906	12985	14927	13029	14587	56774	12275	16370	11943	16091	66718	17301	18553	14262	16602	68463	16327	15782	17155	19142	87823	16395	19887	24551	26391	68252	15941	16586	15963	20078	62274	16549	23405	20728	18363
Chi phí thuế TNDN###Corporate Income Tax Expenses	-295	-251	-543	-542	-3	-1	2	-2	-23	13	4	3	-11	0	-1	-7	-3	5	10	9	-7	-7	6	-14	-13	24	10	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	45313	54061	220379	46225	59495	56899	58138	241000	48623	65314	62816	0	272816	0	0	0	0	270304	64866	62809	65832	76572	312701	56034	74094	86774	93601	273607	61901	69146	62330	80075	247504	68816	175762	155433	145107
---Cac Chi So Tai Chinh---																																					
EBITDA	0.79	0.83	0.13	0.13	0.23	0.27	0.11	0.01	0.01	0.18	0.12	0.23	0.46	0.46	0.20	0.17	0.32	0.43	0.43	0.27	0.46	0.61	0.66	0.66	0.75	0.99	0.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	57.67	41.06	60.82	60.82	61.58	58.56	55.59	56.06	56.06	61.07	69.27	72.88	80.52	80.52	58.73	54.51	55.18	55.81	55.81	59.76	67.42	74.58	83.05	83.05	73.32	54.01	51.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
