CAN DOI KE TOAN	 2019	 2018	 2017	 2016	 2015	Q4 2015	 2014	 2013	Q4 2013	 2012	Q4 2012	Q2 2012	Q1 2012	 2011
Nợ phải trả ###Liabilities	299659	365071	297462	200932	181357	181357	156315	145998	145998	177955	177955	172197	170635	135143
Nợ ngắn hạn###Short term Liabilities	191487	236493	215790	198432	178847	178847	150271	136317	136317	169488	169488	157834	155395	119298
Nợ dài hạn###Long term Liabilities	108172	128577	81673	2500	2510	2510	6044	9681	9681	8467	8467	14363	15240	15845
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	323669	281730	253173	204465	164006	164006	123501	99993	99993	90453	90453	84196	80828	82027
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	323669	281730	253173	204465	164006	164006	123501	99993	99993	90453	90453	84196	80828	82027
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	 2017	 2016	 2015	 2014	 2013	 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	666959	744064	862175	772174	744554	708127	743317	688022	197047	186243	675338	189062	179619	177926
Các khoản giảm trừ doanh thu###Deduction revenues	4713	2993	3492	6729	3542	2359	1231	3592	714	723	2366	683	741	709
Doanh thu thuần###Net Sales	662245	741071	858683	765444	741012	705769	742086	684429	196333	185520	672972	188379	178877	177217
Giá vốn hàng bán###Cost of goods sold	506089	588929	678846	601893	588876	576359	615038	582585	173198	165942	589751	166775	157518	154578
Lợi nhuận gộp###Gross profit	156156	152142	179837	163551	152136	129410	127049	101845	23135	19578	83222	21604	21360	22638
Doanh thu hoạt động tài chính###Financial activities Revenues	292	422	155	144	1603	814	640	1441	359	353	2611	1025	505	654
Chi phí tài chính###Financial Expenses	10425	3366	1809	1579	1314	2015	3672	4781	1367	1417	3939	1240	907	1066
Chi phí bán hàng###Selling Expenses	48318	45856	43597	41812	31417	35218	32653	33171	7702	6250	27788	7688	7148	7370
Chi phí quản lý doanh nghiệp###Managing Expenses	65116	62487	73522	69018	62451	57087	53816	40539	9934	8054	33873	7216	9857	9479
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	32590	40855	61064	51286	58557	35904	37549	24795	4491	4210	20232	6484	3953	5378
Thu nhập khác###Other incomes	966	735	724	816	556	883	77	2140	0	0	40	0	40	0
Chi phí khác###Other Expenses	250	6	32	151	128	301	1208	0	0	0	14	14	0	0
Lợi nhuận khác###Other profits	716	729	691	665	428	582	-1132	2140	0	0	26	-14	40	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	33306	41584	61755	51951	58984	36486	36417	26935	4491	4210	20258	6470	3993	5378
Chi phí thuế TNDN###Corporate Income Tax Expenses	6790	8299	12517	10442	13027	7997	8455	6143	1123	1053	2588	-859	998	1344
Chi phí thuế TNDN###Corporate Income Tax Expenses	6790	8299	12517	10442	13027	8096	9406	6734	1123	1053	2588	-859	998	1344
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	-99	-951	-591	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	26516	33285	49238	41509	45957	28489	27962	20792	3368	3158	17670	7329	2994	4033
---Cac Chi So Tai Chinh---														
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	23.26	29.26	24.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
