CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	 2016	 2015	 2014
Vốn chủ sở hữu ###Owners equity	235425	231929	227394	227111	219441	217116	215623	213842	214503	212348	213890	208817	200623	201686	193421	95120	88284	88160
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	 2016	 2015	 2014
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	104751	107539	337809	96434	84314	93559	63498	308433	149603	43820	60226	50303	164779	52140	52001	70163	33366	27191
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	113	0	0	0	0	27	0	0	0	0	0
Doanh thu thuần###Net Sales	104751	107539	337809	96434	84314	93559	63498	308320	149603	43820	60226	50303	164752	52140	52001	70163	33366	27191
Giá vốn hàng bán###Cost of goods sold	97328	99916	314381	87710	78527	89314	58827	277259	143352	36378	52522	40010	139726	41779	45654	60721	31276	25176
Lợi nhuận gộp###Gross profit	7423	7624	23429	8724	5787	4245	4671	31061	6251	7442	7704	10293	25026	10361	6347	9442	2090	2016
Doanh thu hoạt động tài chính###Financial activities Revenues	491	61	47	-202	218	-1068	1100	1765	2088	934	127	93	2228	61	903	1516	1243	1492
Chi phí tài chính###Financial Expenses	2660	1893	4729	1708	1285	-38	1773	5048	3278	1579	1206	462	3288	35	553	1100	1130	1904
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	1611	1070	5787	1466	1983	1457	1163	5111	1947	972	1220	972	4782	1049	1428	2300	1977	2711
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	3740	4636	12962	5385	2742	1711	2840	22602	3131	5839	5381	8960	19231	9375	5272	7558	226	-1107
Thu nhập khác###Other incomes	0	0	1429	1188	240	2	0	136	0	133	3	0	378	235	11	1019	19	1
Chi phí khác###Other Expenses	143	52	421	138	56	173	53	836	445	55	69	65	263	136	45	1	9	70
Lợi nhuận khác###Other profits	-143	-52	1008	1050	183	-172	-53	-699	-445	78	-66	-65	115	100	-34	1018	11	-69
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	3597	4584	13971	6435	2925	1540	2787	21902	2685	5917	5315	8895	19346	9474	5238	8577	237	-1176
Chi phí thuế TNDN###Corporate Income Tax Expenses	101	49	418	87	95	207	29	1484	399	235	242	701	2838	1145	1055	1741	112	15
Chi phí thuế TNDN###Corporate Income Tax Expenses	101	49	418	87	95	207	29	1484	399	235	242	701	2838	1145	1055	1741	112	15
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	3504	4535	13658	6351	2857	1371	2792	20656	2294	5755	5073	8271	16629	8330	4194	6836	124	-1191
---Cac Chi So Tai Chinh---																		
EBITDA	0.60	0.14	1.29	1.29	0.93	0.69	0.47	0.39	0.39	0.19	0.20	-0.39	-3.38	-3.38	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	6.68	4.37	4.53	4.53	4.50	5.35	6.00	6.85	6.85	7.06	14.54	15.10	11.16	11.16	0.00	0.00	0.00	0.00
