CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	3127333	3023611	11301250	3221012	2325763	3312592	2441882	9526838	2476061	1761797	2587294	2701685	9094895	2039882	1954880	2525480	2574653	9157246	2272369	1752307	2842754	2290377	9110956	2088389	8295818	3927073	3688315
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	3127333	3023611	11301250	3221012	2325763	3312592	2441882	9526838	2476061	1761797	2587294	2701685	9094895	2039882	1954880	2525480	2574653	9157246	2272369	1752307	2842754	2290377	9110956	2088389	8295818	3927073	3688315
Giá vốn hàng bán###Cost of goods sold	2537942	2630278	9544862	2510463	2115828	2697175	2201274	7934538	1914385	1608930	2170869	2234302	7389366	1563023	1580887	2090923	2145960	7799078	1844968	1669726	2285302	1983309	7529526	1660774	6763453	2795784	2057055
Lợi nhuận gộp###Gross profit	589391	393333	1756387	710549	209936	615417	240608	1592300	561676	152867	416426	467384	1705529	476858	373993	434557	428693	1358168	427401	82582	557452	307068	1581430	427615	1532366	1131289	1631260
Doanh thu hoạt động tài chính###Financial activities Revenues	10844	10622	33792	15363	3901	5806	8722	23994	17538	4093	1215	1148	23635	9042	4972	140	9482	33763	10853	12562	-6210	16557	9689	5703	277533	325297	337515
Chi phí tài chính###Financial Expenses	3560	168283	397079	71596	74555	146560	104367	997368	277110	266701	187725	265836	1157522	389230	225785	273925	275949	981024	129372	258576	366432	242365	1101757	249421	1386286	1113736	1871022
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	21307	24588	153222	27662	43199	39103	40362	169278	44378	38499	39648	45713	157991	42070	40470	45240	28680	107392	29905	28454	29879	16776	96844	30014	93065	58012	54966
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	575368	211084	1239879	626653	96083	435561	104600	449648	257726	-148240	190267	156983	413651	54601	112709	115531	133546	303516	278977	-191887	154931	64485	392518	153884	330548	284839	42788
Thu nhập khác###Other incomes	670	796	7028	867	4781	531	850	3205	259	1186	614	1146	9507	684	-351	1675	7500	5509	1644	843	1578	1444	7714	3330	5085	9491	9318
Chi phí khác###Other Expenses	1557	1363	4696	1718	1107	976	896	4108	892	1007	1331	878	3489	865	921	889	814	6160	1859	1550	1546	1206	8662	4797	5033	14879	9414
Lợi nhuận khác###Other profits	-886	-567	2332	-851	3674	-445	-46	-903	-633	179	-717	268	6019	-181	-1273	786	6686	-651	-215	-706	32	239	-948	-1467	52	-5388	-96
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	574482	210516	1242211	625802	99757	435116	104554	448745	257093	-148061	189550	157251	419670	54420	111437	116318	140232	302864	278762	-192593	154963	64724	391570	152417	330600	279450	42692
Chi phí thuế TNDN###Corporate Income Tax Expenses	28700	10500	69502	30000	7000	20000	5000	23860	5200	0	10300	8599	24062	4793	5000	5500	7000	15550	4700	0	7031	3819	0	-31	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	28700	10500	69502	30000	7000	20000	5000	23860	5200	0	10300	8599	24062	4793	5000	5500	7000	15550	4700	0	7031	3819	0	-31	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	545782	200016	1172708	595802	92757	415116	99554	424885	251893	-148061	179250	148652	395608	49627	106437	110818	133232	287314	274062	-192593	147932	60905	391570	152448	330600	279450	42692
---Cac Chi So Tai Chinh---																											
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	17.10	12.89	12.71	12.71	13.25	11.34	8.98	8.49	8.49	8.91	9.33	11.17	10.67	10.67	8.76	7.57	7.54	8.85	8.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
