CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
Chi phí khác###Other Expenses	8	3	278	-5	13	131	139	67	4	335	9	273	245	58	83	142	0	8	8	0	0	0	34	0	10	523
Lợi nhuận khác###Other profits	-8	-3	-252	5	-13	-250	3	-67	-4	-335	-9	-273	1278	1103	575	-142	0	439	396	11	32	0	183	273	458	-474
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-7468	-880	4991	805	792	751	2546	5850	-6257	3030	735	7283	26414	2901	10201	5583	6370	21294	16148	72	1908	223	17459	209	8395	4187
Chi phí thuế TNDN###Corporate Income Tax Expenses	-80	343	4976	1112	731	1781	1205	5062	-649	974	2147	2294	6459	969	2721	1648	1375	5078	4202	20	531	218	3670	351	1952	1368
Chi phí thuế TNDN###Corporate Income Tax Expenses	-80	343	4976	1112	731	1781	1205	5062	-649	974	2147	2294	6459	969	2593	1648	1375	5078	4202	20	531	218	3670	351	1747	1374
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	206	-6
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-7429	-1235	608	16	237	-1031	1468	901	-6072	2718	-1412	6471	20694	2878	9350	4101	4998	16240	11946	52	1377	5	13789	-141	6443	2819
---Cac Chi So Tai Chinh---																										
EBITDA	0.00	-0.03	-0.73	-0.73	-0.32	-0.18	0.06	0.10	0.10	0.06	0.18	0.14	0.40	0.40	2.76	-311.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	14.60	16.40	15.10	15.10	17.20	18.10	17.20	18.80	18.80	18.85	19.00	19.40	20.40	20.40	19.70	29.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
