CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006
Lợi nhuận gộp###Gross profit	-141	2014	9584	405	1829	3907	3241	14934	982	2089	5120	6719	33058	9693	8719	1219	13657	64421	10320	12688	26563	14568	-3531	-1125	-6034	707	2469	39820	5423	8230	11961	13791	32825	10019	10704	7335	5615	22652	9438	2781	6733	3960	36257	8933	3730	9108	14486	35723	9096	7441	13960	5401	19275	14901	7730	4807	-8247	68789	6920	19237	42600	37651	18359
Doanh thu hoạt động tài chính###Financial activities Revenues	133	911	3851	910	1558	1365	12	2442	824	2	287	1329	6420	1295	1742	2069	1312	1900	838	597	195	270	996	157	293	43	566	927	134	432	6	355	3251	2	1059	946	1167	3160	987	667	340	929	3116	815	483	1239	617	2893	823	139	93	1053	9751	619	-35079	41431	2777	8695	2629	3692	2374	3576	2530
Chi phí tài chính###Financial Expenses	-796	5487	9413	1870	3229	3121	1047	10659	4581	884	4915	279	6039	648	930	1353	1136	6171	1128	1592	2303	1165	8262	1569	2360	2026	2326	11602	3865	3173	3152	1525	8039	2104	2622	2090	1196	5282	1599	537	1458	1411	11652	3187	2173	3604	2667	12653	3419	2514	3673	3238	-14934	5509	-33705	6463	6013	66328	46468	11143	8686	6829	10923
Chi phí bán hàng###Selling Expenses	1079	1028	4731	1111	953	1400	1154	4471	1171	1058	1221	1021	5270	1209	953	-206	2708	6642	1509	2000	1747	1387	5955	1392	1620	1677	1298	4791	1871	1217	912	758	3425	1078	943	957	447	3909	1391	844	1098	576	3915	910	1072	963	970	3468	936	1308	662	812	3189	1053	883	774	658	3955	680	1155	2120	3011	1841
Chi phí quản lý doanh nghiệp###Managing Expenses	1459	1254	5894	1656	1243	1652	1384	6516	1026	1295	2409	1736	8245	3852	3561	819	3353	10556	2687	3108	2932	1803	6089	840	1419	1856	1501	9364	2436	2227	2032	1938	5910	1775	1604	2205	1071	6743	2286	1248	2002	1208	6904	2055	1180	2398	1237	6110	1242	2386	1793	1440	5397	1836	1306	1029	1226	6232	1509	1340	3382	3965	2950
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-1750	-4843	-6603	-3323	-2038	-900	-332	-4270	-4973	-1145	-3138	5012	19924	5280	5016	1322	7773	42951	5834	6585	19775	10482	-22841	-4769	-11140	-4809	-2091	14990	-2613	2046	5871	9926	18702	5064	6596	3030	4066	9878	5150	820	2514	1695	16902	3596	-212	3381	10230	16385	4323	1371	7924	963	35373	7122	4166	37972	-13368	968	-39109	9292	30786	27422	5175
Thu nhập khác###Other incomes	1469	0	1625	676	0	343	573	330	0	0	330	0	3	0	0	0	0	240	91	0	20	0	369	1	0	337	0	7815	90	0	7615	110	144	65	7	8	64	970	704	0	0	134	15496	1251	0	890	13354	729	1	545	182	0	5056	0	90	4965	0	15725	965	2840	11919	10406	1311
Chi phí khác###Other Expenses	0	0	65	17	3	-459	472	56	9	0	6	41	59	18	2	15	53	153	31	67	66	1	173	23	5	92	7	7465	10	3	7447	6	44	12	0	32	0	326	282	0	29	15	16205	2763	-2	91	13354	335	6	51	192	0	3981	5	160	3816	0	15296	612	2836	11848	8011	618
Lợi nhuận khác###Other profits	1469	0	1560	659	-3	802	101	274	-9	0	324	-41	-56	-18	-2	-15	-53	87	60	-67	-46	-1	196	-22	-5	245	-7	350	80	-2	168	105	100	53	7	-24	64	643	422	0	-29	119	-709	-1511	2	800	0	394	-5	495	-10	0	1075	-5	-69	1150	0	428	353	5	71	2394	694
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-281	-4843	-5043	-2665	-2041	-98	-232	-3996	-4982	-1145	-2814	4971	19867	5262	5014	1307	7720	43038	5894	6518	19729	10481	-22644	-4790	-11145	-4564	-2098	15340	-2533	2043	6038	10031	18802	5117	6603	3006	4130	10521	5572	820	2485	1813	16193	2085	-210	4181	10230	16779	4318	1866	7914	963	36448	7116	4096	39122	-13368	1397	-38756	9296	30857	29816	5869
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	-288	0	-706	994	4069	1140	938	308	1563	4328	1372	1304	1634	0	0	0	0	0	0	3396	-555	447	1339	2207	4733	1286	1568	0	0	1848	0	0	0	453	2841	-753	0	1045	2557	4195	1080	467	1979	241	6349	918	3537	5028	0	391	-10852	2603	0	8348	491
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	-288	0	-706	994	4069	1140	938	308	1563	4328	1372	1304	1634	0	0	0	0	0	0	3396	-555	447	1339	2207	4733	1286	1568	827	1032	1848	602	208	621	453	2841	-753	0	1045	2557	4195	1080	467	1979	241	6349	1125	3537	5028	0	391	-10852	2603	0	8348	491
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-281	-4843	-5043	-2665	-2041	-98	-232	-3996	-4694	-1145	-2108	3977	15798	4121	4077	999	6157	38710	4522	5215	18095	10481	-22644	-4790	-11145	-4564	-2098	11945	-1978	1596	4700	7824	14069	3831	5034	2179	3097	8674	4970	612	1864	1360	13351	2838	-210	3136	7672	12584	3239	1400	5936	722	30099	5991	559	34093	-13368	1006	-27904	6693	22217	21467	5378
---Cac Chi So Tai Chinh---																																																															
EBITDA	0.18	0.52	0.76	0.76	0.37	0.22	0.17	0.13	0.13	0.13	0.17	0.19	0.42	0.42	0.64	0.53	1.28	1.14	1.14	0.61	0.91	0.60	0.37	0.37	0.54	0.31	0.67	0.64	0.64	0.54	0.58	0.28	0.81	0.81	0.65	0.65	0.99	1.02	1.02	1.10	1.33	1.25	1.44	1.44	1.57	1.59	1.82	1.73	1.73	1.47	1.32	1.15	1.21	1.21	1.27	1.26	1.18	1.07	1.07	0.78	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	5.20	4.50	7.50	7.50	8.40	9.00	9.30	10.20	10.20	11.80	11.80	12.90	12.18	12.18	12.87	12.96	14.51	11.95	11.95	12.71	10.51	6.11	5.77	5.77	6.73	8.45	10.17	11.16	11.16	12.84	11.59	9.29	7.49	7.49	5.47	5.47	5.08	3.87	3.87	3.91	4.90	5.04	3.31	3.31	4.98	4.92	5.53	7.29	7.29	10.07	13.62	10.37	9.05	9.05	16.30	6.75	3.75	5.58	5.58	17.88	0.00	0.00	0.00
