CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	 2015	 2014	 2013
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1889650	1624068	1588021	1592588	1521199	1640922	1514867	1569492	1571921	1523596	1436627	1183422	1364529	1364934	1147723	1353625	1129984	1274408	1031441	812435	796949
Nợ phải trả ###Liabilities	1527326	1222323	1196952	1201553	1146243	1284306	1124681	1194869	1197309	1161344	1091784	818398	995396	995549	790347	1025706	788641	1047634	819086	628766	647868
Nợ ngắn hạn###Short term Liabilities	1342769	1050448	1031332	1040552	947303	1087185	885965	956107	967165	871111	864665	609554	805090	804718	596387	835128	574287	833635	661683	493297	564830
Nợ dài hạn###Long term Liabilities	184558	171875	165620	161001	198940	197122	238716	238763	230144	290234	227119	208844	190307	190831	193960	190578	214354	213999	157403	135470	83038
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	362324	401745	391069	391035	374955	356616	390186	374623	374612	362251	344843	365024	369133	369385	357376	327919	341343	226774	212355	182967	148332
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	362324	401745	391069	391035	374955	356616	390186	374623	374612	362251	344843	365024	369133	369385	357376	327919	341343	226774	212355	182967	148332
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	702	749
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1033452	771614	3351258	903688	897221	837489	712314	2980318	804376	906834	660008	609721	3028555	779584	867744	740596	639591	2923679	2712756	2344629	1842578
Các khoản giảm trừ doanh thu###Deduction revenues	3804	110	422	361	22	23	16	294	17	32	120	125	548	266	88	210	53	477	268	475	429
Doanh thu thuần###Net Sales	1029648	771504	3350836	903327	897199	837465	712298	2980024	804359	906802	659888	609596	3028007	779318	867657	740386	639538	2923202	2712488	2344154	1842149
Giá vốn hàng bán###Cost of goods sold	907958	671792	2838517	763785	769177	706520	599035	2513677	676078	774233	544397	519579	2584207	658461	751662	632343	533392	2483343	2335784	2012030	1571519
Lợi nhuận gộp###Gross profit	121690	99712	512319	139542	128022	130945	113263	466347	128282	132569	115491	90017	443800	120857	115995	108043	106146	439859	376704	332123	270630
Doanh thu hoạt động tài chính###Financial activities Revenues	11550	4313	17152	4469	7384	4750	4902	18180	2746	8792	3326	3833	16546	2967	4874	3931	5139	18517	21274	14712	8008
Chi phí tài chính###Financial Expenses	2247	14364	33896	7178	8898	10956	11218	37514	8179	15026	8943	5540	20160	4454	5056	4664	5996	22776	30495	14125	10141
Chi phí bán hàng###Selling Expenses	40565	40712	197967	58241	52595	47713	39568	172275	44679	51200	39984	34666	175182	49689	48843	42729	40756	167863	138880	121713	105685
Chi phí quản lý doanh nghiệp###Managing Expenses	62788	38036	218764	60038	52496	56435	49893	213202	65299	54894	54049	40705	202504	54367	50421	46976	50740	207818	171692	164004	124189
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	27640	10913	78843	18553	21418	20593	17486	61536	12871	20241	15841	12939	62500	15314	16548	17605	13793	59918	56911	46993	38623
Thu nhập khác###Other incomes	-321	1993	4372	2501	444	265	1162	7572	5366	696	1029	481	1710	490	690	513	650	2160	6681	8040	12857
Chi phí khác###Other Expenses	-515	554	1123	370	1	1	0	2749	1817	188	728	16	1699	845	65	1418	4	532	4128	3629	6724
Lợi nhuận khác###Other profits	194	1439	3249	2131	443	263	1162	4823	3549	507	301	466	11	-354	625	-906	646	1628	2553	4411	6133
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	27833	12353	82092	20684	21861	20856	18648	66358	16420	20748	16142	13405	62511	14960	17173	16699	14440	61546	59464	51558	45136
Chi phí thuế TNDN###Corporate Income Tax Expenses	5670	1677	13665	3907	3521	3282	2946	10633	3155	3337	2218	1998	10020	1798	3016	3124	2235	9598	10904	6346	13478
Chi phí thuế TNDN###Corporate Income Tax Expenses	5670	1677	13665	3907	3521	3282	2946	10633	3155	3337	2218	1998	10020	1798	3016	3124	2235	9598	10904	6346	13478
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	22276	10676	68905	16776	18339	17677	15702	56125	13265	17411	13924	11407	52928	13162	14157	13794	12204	52457	49322	45908	31657
---Cac Chi So Tai Chinh---																					
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	16.30	18.50	18.00	18.00	18.00	17.00	19.14	15.95	15.95	22.99	21.70	20.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
