CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	 2016	 2015	 2014
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1654501	1689660	1808460	1808420	1783527	1748609	1745723	1821970	1821487	1828648	1812753	1793053	1935982	1936024	1863919	1901066	1925217	1928675	1922964
Nợ phải trả ###Liabilities	988302	985362	1096461	1096445	1117899	1132328	1126538	1207394	1207076	1230030	1263071	1241293	1350715	1348847	1359299	1435501	1516194	1570609	1572584
Nợ ngắn hạn###Short term Liabilities	211479	192872	242988	242972	258298	223614	217904	226771	226454	239786	216141	196778	239756	237887	243124	254264	273096	280647	262703
Nợ dài hạn###Long term Liabilities	776823	792490	853473	853473	859601	908714	908634	980623	980623	990244	1046929	1044516	1110960	1110960	1116176	1181237	1243098	1289962	1309881
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	666198	704298	711999	711974	665628	616281	619185	614576	614410	598618	549682	551760	585267	587176	504620	465565	409023	358067	350380
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	666198	704298	711999	711974	665628	616281	619185	614576	614410	598618	549682	551760	585267	587176	504620	465565	409023	358067	350380
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	 2016	 2015	 2014
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	32665	31682	318712	114259	113145	38007	53302	277016	77354	101328	43500	54834	400059	136039	118317	85093	246256	163759	238656
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	32665	31682	318712	114259	113145	38007	53302	277016	77354	101328	43500	54834	400059	136039	118317	85093	246256	163759	238656
Giá vốn hàng bán###Cost of goods sold	55125	24098	120767	34917	36438	24450	24962	112049	30806	31404	24434	25404	122901	37260	31304	28349	102965	93175	96952
Lợi nhuận gộp###Gross profit	-22460	7584	197945	79342	76707	13556	28340	164966	46547	69924	19066	29430	277158	98780	87014	56744	143291	70584	141705
Doanh thu hoạt động tài chính###Financial activities Revenues	318	516	780	-3936	191	4132	393	8379	6466	605	656	652	2908	1738	644	172	988	824	462
Chi phí tài chính###Financial Expenses	11286	12676	59729	14044	21125	14954	20866	64984	15521	15689	15135	18640	60675	13687	18144	13701	55477	45690	54688
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	-2919	2919	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	2536	3110	15125	4735	3814	6664	0	14630	4722	3313	3985	2676	14486	4214	3660	3194	15555	11710	9021
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-35964	-7686	123871	56628	51958	-1011	4949	93731	32771	51527	603	8766	204905	82617	65854	40020	73247	14008	78458
Thu nhập khác###Other incomes	219	0	211	120	0	0	91	0	0	0	0	0	2	0	1	0	5	157	2
Chi phí khác###Other Expenses	12	3	175	0	0	0	175	0	175	0	0	0	31	7	1	9	95	29	0
Lợi nhuận khác###Other profits	207	-3	36	120	0	0	-84	0	-175	0	0	0	-29	-7	-1	-9	-90	128	2
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-35757	-7689	123907	56748	51958	-1011	4865	93731	32596	51527	603	8766	204876	82610	65853	40011	73156	14136	78460
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	6310	3708	2610	-31	257	4749	1660	2591	42	448	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	6310	3708	2610	-31	257	4749	1660	2591	42	448	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-35757	-7689	117598	53039	49348	-979	4608	88982	30936	48936	561	8318	204876	82610	65853	40011	73156	14136	78460
---Cac Chi So Tai Chinh---																			
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	12.00	11.29	11.20	11.20	12.95	13.30	13.38	14.58	14.58	15.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
