CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	501157	465664	491099	479711	447449	510339	458094	470982	490844	410782	392997	340590	340333	316969	225193	219336	219285	239699	242455	227362	157269	133166	138683	137558	142587	168838	172059	210496	179936



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	359529	170280	1581182	472187	489216	378128	239261	1553029	505184	444081	363648	249005	1257213	352216	384933	324990	195634	1189560	390651	317898	278378	171338	721903	245443	196518	152434	163285	620855	200656	170058	183224	118479	607582	167128	168134	136562	96588	298464	84519	107244	80918	62626	287164	89008	92255	83295	59699	270908	88764	93774	57510	53467	262939	77396	110977	87391	37298	191757	179444
Các khoản giảm trừ doanh thu###Deduction revenues	15265	8615	113121	47648	27858	24998	14129	102129	43884	30347	22867	9773	76124	27323	21491	20959	6451	71840	29803	25224	9478	8270	41699	13778	8796	8401	10646	13501	6425	2060	3326	1699	16561	6858	5041	4133	405	6391	469	1547	1996	1535	4526	2082	1089	271	1116	3294	565	449	1116	1052	5865	1851	2167	982	1380	12725	12658
Doanh thu thuần###Net Sales	344263	161665	1468061	424539	461358	353130	225132	1450900	461300	413734	340781	239232	1181090	324893	363441	304030	189182	1117721	360848	292674	268900	163068	680204	231665	187722	144032	152638	607353	194230	167999	179898	116780	591021	160270	163094	132429	96183	292072	84050	105696	78923	61091	282637	86927	91166	83024	58582	267614	88199	93325	56394	52415	257074	75545	108809	86409	35919	179031	166786
Giá vốn hàng bán###Cost of goods sold	277613	151986	1182580	330167	380495	299807	171738	1164516	366960	342344	270995	180006	899580	248638	275322	221789	142681	854551	258779	238113	200272	120227	548634	195210	154898	114636	125976	483267	153864	141840	144983	97750	510867	135568	145954	111137	83743	242610	71074	93764	65411	50797	231980	73312	78499	68421	49246	209477	68126	76521	39819	43258	208956	57481	83077	75641	30861	138940	138962
Lợi nhuận gộp###Gross profit	66650	9679	285481	94372	80863	53323	53395	286384	94339	71390	69786	59226	281510	76255	88119	82241	46502	263170	102068	54561	68628	42841	131570	36455	32824	29396	26662	124086	40367	26159	34915	19030	80154	24702	17139	21292	12440	49462	12976	11932	13512	10295	50657	13615	12667	14604	9336	58137	20074	16804	16574	9157	48118	18064	25732	10768	5058	40091	27824
Doanh thu hoạt động tài chính###Financial activities Revenues	-82	112	973	182	15	791	30	900	75	205	99	678	3812	830	910	720	967	1925	1053	276	84	505	1305	40	35	176	93	663	52	21	28	17	236	33	57	85	46	261	63	45	72	82	5325	390	244	964	1080	3604	1200	109	128	43	367	241	171	132	10	1720	101
Chi phí tài chính###Financial Expenses	4877	4888	29225	5443	5313	9744	7840	37508	7910	10308	11335	7824	27540	7613	4868	10130	5949	36884	9196	9715	13856	4728	20522	4739	4346	4130	5672	22258	6052	6052	4709	5259	25857	4632	7683	5479	6942	14941	4327	4072	2831	3308	13720	4152	3098	1342	3035	8829	2621	2193	2686	888	9177	1263	3574	2067	2782	16966	11719
Chi phí bán hàng###Selling Expenses	2298	1557	12548	3930	1760	5094	1420	11137	8220	1362	2987	338	7806	542	4440	2127	1198	5160	368	1808	3795	863	6560	1606	1882	2315	671	6181	1151	1231	2749	624	8345	1445	967	752	3268	5683	1537	1823	1262	543	5746	1690	1136	1145	1018	5241	2934	687	1997	630	5866	2255	2627	1651	255	8629	4100
Chi phí quản lý doanh nghiệp###Managing Expenses	7859	3606	40962	16102	11849	8058	9252	39112	12406	8700	7743	10082	41120	13326	16316	11892	7294	41489	15930	8706	12080	6999	29749	7378	5799	5302	5252	29350	10156	1812	8630	6459	22780	7195	4928	8691	1697	15679	3850	3563	3851	2624	14132	3879	3132	4863	1351	13692	7133	3132	2717	2879	11848	5094	5596	2603	617	7787	7520
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	51534	-260	203719	69079	61957	31218	34912	199527	65877	51225	47820	41661	208857	55603	63405	58813	33027	181562	77628	34608	38981	30757	76045	22772	20832	17825	15160	66961	23059	17085	18855	6705	23408	11462	3618	6455	579	13419	3325	2519	5640	3902	22385	4283	5545	8218	5013	33979	8586	10901	9302	4803	21594	9694	14106	4579	1415	8430	4586
Thu nhập khác###Other incomes	-1812	1814	2381	2965	3743	2737	1497	5955	1254	1799	2307	926	8740	1216	2053	36	2696	9364	3225	2245	3616	570	4572	1433	1147	1597	500	2762	993	896	481	533	2426	494	711	1126	52	4076	660	491	854	172	1717	431	508	345	345	979	902	260	151	149	1398	821	300	163	105	753	3404
Chi phí khác###Other Expenses	5	0	54	0	3	47	0	2309	158	1223	1344	6	125	6	2	117	0	590	526	61	0	0	126	553	0	65	0	3512	2394	0	1188	0	517	3	3	255	104	921	2	3	188	0	145	0	0	15	0	141	68	49	118	0	810	101	118	15	0	179	865
Lợi nhuận khác###Other profits	-1817	1814	2327	2965	3740	2689	1497	3646	1096	577	963	920	8615	1210	2051	-82	2696	8773	2699	2185	3616	570	4446	881	1147	1532	500	-750	-1401	896	-706	533	1909	491	708	871	-52	3154	659	488	666	172	1573	431	508	330	345	838	834	211	33	149	588	720	182	147	105	574	2539
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	49717	1554	206046	72045	65697	33907	36409	203173	66973	51802	48783	42581	217472	56814	65457	58731	35723	190336	80327	36793	42597	31327	80491	23653	21979	19357	15660	66211	21658	17981	18149	7238	25317	11954	4326	7326	527	16573	3983	3006	6306	4074	23958	4714	6053	8548	5358	34817	9421	11112	9335	4952	22182	10414	14287	4726	1519	9004	7126
Chi phí thuế TNDN###Corporate Income Tax Expenses	10029	311	41386	14061	13102	6863	7282	41186	12396	10394	10068	8567	43693	11617	13091	11863	7116	38293	15928	7426	8673	6265	17824	5204	4835	4313	3445	15517	5292	5082	4037	1810	6453	2988	1081	0	0	4800	0	0	0	1019	3299	589	757	979	670	4486	1178	1389	1194	619	2799	0	0	0	0	0	138
Chi phí thuế TNDN###Corporate Income Tax Expenses	10029	311	41386	14061	13102	6863	7282	41186	12396	10394	10068	8567	43693	11617	13091	11863	7116	38293	15928	7426	8673	6265	17824	5204	4835	4313	3445	15517	5292	5082	4037	1810	6453	2988	1081	1895	132	4800	996	752	1587	1019	3299	589	757	1069	670	4486	1178	1389	1194	619	2799	1302	1813	0	0	0	138
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	39688	1244	164660	57984	52595	27044	29127	161986	54577	41408	38715	34013	173779	45197	52365	46868	28607	152042	64399	29367	33924	25061	62667	18449	17144	15044	12215	50695	16367	12898	14112	5429	18863	8965	3244	5431	395	11773	2987	2255	4719	3056	20659	4125	5296	7480	4688	30332	8243	9723	8141	4333	19383	9112	12474	4726	1519	9004	6987
---Cac Chi So Tai Chinh---																																																											
EBITDA	0.96	1.03	1.30	1.30	1.55	1.64	1.31	1.02	1.02	0.79	0.64	0.30	0.69	0.69	1.85	1.42	1.47	1.57	1.57	1.16	0.89	1.00	0.90	0.90	1.26	1.54	1.34	1.39	1.39	0.80	0.75	0.53	0.09	0.09	0.28	0.69	0.77	1.24	1.24	1.35	1.33	1.22	0.79	0.79	1.10	1.22	2.08	2.13	2.13	1.71	1.63	0.93	0.85	0.85	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	15.92	13.84	18.96	18.96	20.86	16.98	20.35	15.77	15.77	23.61	23.03	31.41	33.07	33.07	31.60	28.65	24.18	16.68	16.68	20.25	12.93	9.18	9.18	9.18	9.02	8.78	8.38	7.73	7.73	7.59	2.92	3.21	2.00	2.00	1.52	1.54	1.52	1.44	1.44	1.44	1.69	1.59	1.14	1.14	1.50	1.58	2.08	2.82	2.82	3.02	3.23	1.96	1.20	1.20	0.00	0.00	0.00	0.00	0.00
