CAN DOI KE TOAN	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q1 2013	 2012	 2011	 2010	 2009
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	20000	20000	20000	20000	20000	20000	20000	160000	160000	20000	20000	20000	59000	59000	20000	59000	20000	120000	30000	120000	120000	120000	220000	100000	30000	30800	30800	30800	30800	30800	30800	0	0	0
Tài sản dài hạn khác###Other long term assets	0	0	0	0	0	0	0	70000	70000	0	0	0	90997	91000	0	0	0	142	220142	71	142	142	232	232	11069	11318	11445	11445	11662	11721	11721	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	321682	321797	321797	321909	321931	322155	332103	346142	317770	394547	402353	402197	411183	423842	446001	429932	350849	347591	370209	377544	427211	340149	337634	165351	213997	221568	219015	219015	218278	220934	210706	33901	9071	2746
Nợ phải trả ###Liabilities	99826	99826	99826	99826	99777	99956	109821	109761	82288	160655	163044	162994	166163	179005	201523	185437	106852	103019	127229	135002	184737	179792	179320	7420	38063	45874	44773	44773	43878	50874	52082	786	1113	929
Nợ ngắn hạn###Short term Liabilities	99826	99826	99826	99826	99777	99956	109821	109761	82288	157155	163044	162994	166163	179005	201523	185437	106852	103019	127229	134992	184727	179782	129310	7420	29239	35286	32420	32420	29760	26168	25612	786	1113	929
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	3500	0	0	0	0	0	0	0	0	0	10	10	10	50010	0	8824	10588	12353	12353	14118	24706	26471	0	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	221857	221971	221971	222084	222154	222199	222282	236381	235482	233891	239310	239203	245020	244836	244478	244495	243997	244571	242980	242542	242474	160357	158314	157931	175934	175694	174242	174242	174400	170061	158623	33115	7958	1818
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	221857	221971	221971	222084	222154	222199	222282	236381	235482	233891	239310	239203	245020	244836	244478	244495	243997	244571	242980	242542	242474	160357	158314	157931	175934	175694	174242	174242	174400	170061	158623	33115	7958	1818
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213997	221568	219015	0	0	0	210706	0	0	0



KET QUA KINH DOANH	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q1 2013	 2012	Q2 2012	Q1 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	0	1014	0	103	155	756	135662	32743	21078	81227	614	142352	3614	11653	68218	58866	69713	53285	6284	5432	4712	76318	72157	4162	5346	9100	50380	6906	22334	65853	29388	0	0	2209
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	0	1014	0	103	155	756	135662	32743	21078	81227	614	142352	3614	11653	68218	58866	69713	53285	6284	5432	4712	76318	72157	4162	5346	9100	50380	6906	22334	65853	29388	0	0	2209
Giá vốn hàng bán###Cost of goods sold	0	869	0	61	84	723	135248	31670	19361	80813	404	139932	3360	11128	67182	58263	67022	51665	5697	5168	4489	75696	71613	4059	3339	5289	26866	3460	9061	50495	16242	0	0	2136
Lợi nhuận gộp###Gross profit	0	146	0	41	71	33	415	1073	1717	414	210	2419	254	525	1037	603	2691	1620	587	264	223	622	544	102	2006	3810	23514	3446	13273	15358	13146	0	0	73
Doanh thu hoạt động tài chính###Financial activities Revenues	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	62	0	0	62	0	2636	0	3	54	608	1270	574	0	2279	382	1170	3962	267
Chi phí tài chính###Financial Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1004	985	4112	1114	968	4026	63	0	0	0
Chi phí bán hàng###Selling Expenses	39	156	39	39	39	39	132	39	39	27	27	81	3	27	27	27	156	39	39	39	39	57	27	30	464	880	710	-44	52	95	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	76	300	73	73	77	76	9223	135	88	1952	77	4770	68	140	1400	79	495	81	110	166	68	834	104	56	696	461	1919	805	526	1136	226	87	127	153
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-115	-310	-112	-70	-45	-82	-8940	899	1591	-1564	107	-2431	184	358	-390	498	2102	1500	438	120	116	2367	414	19	-104	2093	18044	2145	11727	12380	13239	1083	3836	187
Thu nhập khác###Other incomes	0	0	0	0	0	0	0	0	0	1669	0	500	0	0	500	0	0	0	0	0	0	989	0	0	989	0	0	-349	0	0	0	0	300	0
Chi phí khác###Other Expenses	0	0	0	0	0	0	2458	0	0	0	0	2863	0	0	0	0	0	0	0	0	0	1285	0	0	644	640	1925	1626	0	1244	1379	0	309	0
Lợi nhuận khác###Other profits	0	0	0	0	0	0	-2458	0	0	1669	0	-2363	0	0	500	0	0	0	0	0	0	-296	0	0	344	-640	-1925	-1975	0	-1244	-1379	0	-9	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-115	-310	-112	-70	-45	-82	-11398	899	1591	105	107	-4794	184	358	110	498	2102	1500	438	120	116	2071	414	19	240	1453	16119	170	11727	11135	11859	1083	3827	187
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	462	0	0	52	0	414	0	0	0	0	500	0	290	3094	2731	302	670	47
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	462	0	0	52	0	414	0	0	0	0	500	0	290	3094	2731	302	670	47
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-115	-310	-112	-70	-45	0	-11398	0	0	0	0	-4794	184	358	-17	498	1639	1500	438	68	116	1657	414	19	240	1453	15618	170	11437	8041	9129	781	3157	140
---Cac Chi So Tai Chinh---																																		
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	0.30	0.30	0.30	0.40	0.50	1.10	1.30	1.30	1.70	1.30	1.10	1.10	1.10	1.10	2.00	3.30	1.70	1.70	1.90	2.70	3.80	5.10	5.10	6.80	13.80	14.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
