CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	Q4 2007	Q3 2007	 2006
Nợ phải trả ###Liabilities	868953	863964	863964	891667	891498	932602	891999	894257	961371	888155	898025	881122	881122	895436	819921	809466	780269	780341	646227	617198	624114	604170	604170	585670	557640	523072	510161	511217	519663	526340	515997	490264	490264	481127	460771	450484	433712	433718	416414	413080	387619	359281	361965	355559	314012	326379	293579	293579	237671	194642	172520	181057	181123	165902	143747	131077	135914	136041	134703	120490	64283	65412	79217	77761
Nợ ngắn hạn###Short term Liabilities	852243	847254	847254	866825	866605	906879	866267	838525	906938	832216	840414	842033	848532	875151	755338	711361	680577	680649	623826	593493	598775	577154	577154	557006	527556	473836	452385	453442	455407	454783	440505	408606	408606	392083	367191	350909	330011	330017	307028	299466	272736	241952	244635	241106	215183	227106	198699	198699	157778	142850	128475	133738	133804	119832	96182	84689	90260	90388	100653	93378	61453	62582	74194	74243
Nợ dài hạn###Long term Liabilities	16710	16710	16710	24842	24892	25723	25732	55732	54433	55939	57611	39089	32590	20285	64582	98105	99692	99692	22401	23705	25340	27016	27016	28664	30083	49237	57776	57776	64256	71558	75493	81659	81659	89044	93580	99575	103701	103701	109386	113615	114883	117329	117329	114454	98830	99273	94880	94880	79894	51792	44045	47319	47319	46070	47565	46388	45654	45654	34050	27111	2830	2830	5022	3518
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	8	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	-449186	-438498	-438492	279272	282255	284560	283790	293611	281708	278035	274278	272192	272192	262197	256241	255197	254700	254700	245633	239175	235718	235804	235804	234873	232221	229693	229312	229239	225962	223439	221698	228258	228258	224728	221909	225250	225440	225507	222315	218675	215313	229900	234470	227571	226101	226752	159993	159993	161774	152317	150742	138487	139671	77727	72164	74014	76559	77932	76788	74535	73000	71871	20579	16807
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	107	161	161	0	-1129	-1132	-1133
Vốn chủ sở hữu ###Owners equity	-449186	-438498	-438492	279272	282255	284560	283790	293611	281708	278035	274278	272192	272192	262197	256241	255197	254700	254700	245633	239175	235718	235804	235804	234873	232221	229693	229312	229239	225962	223439	221698	228258	228258	224728	221909	225250	225440	225507	222315	218675	215313	229900	234470	227571	226101	226752	159993	159993	161774	152317	150742	138487	139671	77727	72164	74014	76452	77825	76627	0	73000	73000	21711	17941
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	749779	737695	718522	718522	705854	682681	675734	659152	659226	638729	631756	0	589181	596435	583130	540113	553131	453572	453572	399445	346960	323261	319544	320793	243628	215911	205091	212473	213973	211491	195025	137283	137283	99795	94569



KET QUA KINH DOANH	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	 2007	Q4 2007	Q3 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	0	255924	1159	2303	144479	107982	1106700	298306	240285	261946	306162	1049543	240796	308764	258135	241847	916403	301348	228205	202552	184298	815041	198681	213914	225141	177305	787588	194177	184089	260671	148651	572213	172855	172999	136518	89841	451788	117916	118877	115921	99066	423118	117022	113401	105357	87339	339091	99722	83124	85103	71142	239828	75742	66269	54757	43060	175954	50225	48762	127777	50991	17599	123740
Các khoản giảm trừ doanh thu###Deduction revenues	0	574	99	0	475	0	1852	580	230	755	286	2358	483	218	626	1030	3141	838	191	1642	469	1595	330	1019	84	162	41975	178	827	40132	838	427	185	85	80	78	1411	137	110	875	289	2955	1421	617	565	352	2577	289	432	1727	130	720	208	294	136	82	1296	276	130	2565	2121	1	357
Doanh thu thuần###Net Sales	0	255350	1060	2303	144004	107982	1104848	297726	240055	261191	305876	1047185	240313	308546	257509	240817	913262	300509	228014	200910	183829	813446	198351	212895	225057	177143	745613	193998	183262	220539	147813	571786	172671	172914	136438	89763	450377	117779	118766	115046	98785	420163	115601	112785	104792	86986	336514	99433	82692	83376	71013	239108	75534	65975	54621	42977	174657	49949	48632	125212	48869	17598	123384
Giá vốn hàng bán###Cost of goods sold	0	624455	383171	2235	137014	102034	975502	266276	205353	232081	278660	925384	207589	274645	227089	216060	792573	261613	198519	172429	160012	707109	167034	186211	199305	154559	644814	167379	149519	197699	130217	479795	151636	146651	111432	70076	359558	92379	96728	92333	78118	307804	84569	81869	75954	65412	252272	71820	60536	63060	56856	197575	61980	52403	46303	35941	145234	41771	39741	101386	40150	13329	103737
Lợi nhuận gộp###Gross profit	0	-369105	-382111	68	6990	5948	129347	31450	34702	29111	27215	121801	32724	33901	30419	24757	120688	38896	29494	28481	23817	106338	31318	26684	25753	22584	100799	26619	33743	22840	17596	91991	21035	26263	25006	19688	90818	25400	22038	22713	20667	112359	31032	30915	28838	21574	84242	27613	22156	20316	14156	41533	13555	13572	8318	7036	29423	8178	8891	23826	8720	4269	19646
Doanh thu hoạt động tài chính###Financial activities Revenues	1	872	-75	96	415	436	1727	985	241	242	259	1116	250	240	423	203	1340	358	383	247	352	544	179	205	84	76	1305	516	263	515	10	71	17	24	16	14	244	45	45	127	27	2264	170	171	801	1122	1419	255	77	59	1027	1953	1251	94	459	149	2531	864	1261	233	184	3	12
Chi phí tài chính###Financial Expenses	711	23200	18478	735	1824	2163	74655	11123	19669	15621	16046	57519	13517	16514	13781	13707	49199	14804	9550	12794	12052	46043	13872	9830	10610	11731	45537	11857	12941	13098	7642	43315	9277	12571	11933	9533	44825	12843	10208	11946	9821	60691	14818	14886	13005	12603	28622	10816	6618	6020	5168	15218	5284	3406	2869	3612	12801	4371	4360	9662	3615	1778	6934
Chi phí bán hàng###Selling Expenses	95	2666	412	456	684	1115	10939	2578	2231	3268	2862	17917	2136	4642	7151	3988	23177	6372	6369	5832	4604	24623	7225	6819	6719	3860	22235	4124	12420	3110	2580	12462	2116	3835	3691	2820	11932	3193	2756	2715	3263	12543	2772	4098	3074	2599	11521	4522	2235	2319	2445	7510	2568	1739	1760	1444	6526	2299	1081	2759	1040	39	486
Chi phí quản lý doanh nghiệp###Managing Expenses	8640	325342	314760	2645	4917	3021	27861	5816	4929	5777	5380	20973	5413	5121	5654	4784	23262	6596	5574	5478	5615	23125	6261	6752	5100	5012	23346	6678	5428	5437	5752	21943	5073	5759	5769	5341	22995	6095	5127	5219	6486	22520	6158	6515	4542	4203	14471	5185	3157	3334	2796	11566	3420	2663	2924	2306	7986	1686	2141	6700	2731	1199	8882
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-9445	-719441	-715836	-3671	-20	86	17618	12918	8114	4686	3186	26509	11907	7863	4257	2481	26390	11482	8385	4624	1899	13091	4138	3489	3408	2056	10987	4477	3218	1710	1633	14343	4586	4121	3629	2007	11311	3314	3993	2960	1123	18870	7454	5587	9018	3292	31047	7346	10223	8702	4775	9192	3534	5859	1224	-175	4642	686	2570	4938	1518	1256	3356
Thu nhập khác###Other incomes	0	1963	0	120	-473	2315	332	15	53	52	212	1625	1074	105	279	167	572	75	142	269	86	773	471	169	32	102	13040	28	79	12882	51	603	148	245	17	193	1724	156	31	1282	254	737	22	28	178	509	255	164	0	87	4	539	0	21	518	0	1057	716	65	102	7	2	430
Chi phí khác###Other Expenses	407	2944	1935	204	-185	991	971	4	77	16	82	630	87	467	32	44	819	74	364	290	90	563	311	67	128	57	12932	290	24	12352	266	703	17	524	24	138	811	7	19	623	161	957	18	78	10	850	471	403	0	49	20	319	4	9	25	281	93	61	26	158	0	0	506
Lợi nhuận khác###Other profits	-407	-981	-1935	-84	-287	1325	-639	11	-24	36	130	995	988	-362	247	123	-246	1	-222	-21	-4	210	160	101	-96	45	109	-263	56	530	-214	-100	130	-279	-7	55	913	149	12	659	93	-220	4	-50	168	-341	-217	-239	0	38	-15	220	-4	12	493	-281	964	655	39	-56	7	2	-76
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-9851	-720422	-717770	-3755	-307	1410	16979	12929	8091	4722	3316	27504	12895	7501	4504	2604	26143	11483	8163	4603	1895	13301	4298	3590	3312	2101	11095	4214	3274	2240	1419	14242	4716	3842	3622	2062	12224	3463	4005	3619	1216	18650	7457	5536	9186	2951	30831	7107	10223	8740	4760	9411	3529	5871	1716	-456	5606	1341	2610	4882	1525	1258	3280
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	131	641	4540	3420	1690	965	721	5932	2900	1544	937	550	5521	2360	1705	1014	443	3050	974	825	784	467	2607	938	751	499	358	3685	1186	1024	0	0	928	0	0	0	93	1410	560	424	398	222	2345	564	767	657	357	495	185	308	67	0	454	148	196	467	206	0	247
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	131	641	4540	3420	1690	965	721	5932	2900	1544	937	550	5521	2360	1705	1014	443	3050	974	825	784	467	2607	938	751	499	358	3685	1186	1024	917	559	928	265	304	273	93	1410	560	424	690	222	2345	564	767	657	357	495	185	308	67	0	454	148	196	467	206	0	247
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-9851	-720422	-717770	-3755	-438	770	12440	9509	6400	3757	2595	21572	9994	5957	3567	2054	20622	9124	6458	3589	1452	10251	3324	2765	2528	1634	8489	3277	2523	1741	1061	10557	3530	2818	2705	1503	11296	3198	3701	3347	1123	17240	6897	5112	8496	2729	28486	6544	9457	8083	4403	8917	3344	5563	1650	-456	5153	1193	2414	4415	1318	1258	3034
---Cac Chi So Tai Chinh---																																																															
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	0.90	1.90	1.90	2.40	3.30	3.80	3.90	3.90	5.10	4.34	4.83	11.72	11.72	16.48	13.32	13.69	11.35	11.35	9.34	6.10	4.72	6.05	6.05	3.22	3.32	3.51	3.75	3.75	3.41	3.41	4.41	3.46	3.46	2.85	3.08	3.08	2.99	2.99	2.99	4.96	7.64	9.61	9.61	10.72	11.53	10.93	13.24	13.24	10.02	12.86	11.17	9.72	9.72	12.26	4.02	2.91	4.22	4.22	13.79	0.00	0.00	0.00	0.00
