CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q1 2009	 2008	Q3 2008	Q2 2008	 2007	 2006
Nợ ngắn hạn###Short term Liabilities	279055	237428	251827	250159	244563	241699	220246	212737	200164	181719	187214	185609	195374	195240	161874	161099	233332	486488	486488	211524	214199	222235	221830	222158	239449	219381	266893	241579	243601	241000	256646	235704	236154	221740	233694	450138	454209	460483	456849	450367	471335	465424	452631	458089	460726	440654	395317	382181	384957	337061	317812	305218	235681	194137	185724	143010	132377	66204	41210
Nợ dài hạn###Long term Liabilities	9157	19459	13306	14833	23504	13288	13937	11871	10674	10339	3968	4961	4696	4827	5325	5325	6042	0	0	223574	223574	223574	223574	222903	222903	222903	222903	222903	222903	222903	222903	222941	222941	222959	222903	0	0	0	27	58	58	58	58	172	295	442	193	199	103	127	159	168	168	38358	42046	26128	35593	2040	1590
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	760295	759546	757232	757359	752925	751148	750450	748273	762043	757769	754486	753591	751324	751363	745237	743317	743088	721509	721509	732866	728956	721188	713622	717739	714925	711693	703276	694065	708882	700215	687180	671517	658694	674722	683848	673856	666141	655190	655418	649477	633831	608915	590452	623963	615691	623411	615879	602224	601202	561294	537259	514528	242543	209361	199269	181810	175309	151014	93961
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	760295	759546	757232	757359	752925	751148	750450	748273	762043	757769	754486	753591	751324	751363	745237	743317	743088	721509	721509	732866	728956	721188	713622	717739	714925	711693	703276	694065	708882	700215	687180	671517	658694	674722	683848	673856	666141	655190	655418	649477	633831	608915	590452	623963	615691	623411	615879	602224	601202	561294	537259	514528	242543	0	199269	181810	0	151014	93961
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1166729	1130162	1117790	1119420	1140444	1123994	1120349	1115673	1112295	1099902	1105224	0	1043141	1082224	1076712	1064506	1011389	984604	986262	898482	855231	819913	478392	441855	427039	350948	343279	219257	136761



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q3 2008	Q2 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	153809	135359	555756	149358	149293	116570	140535	444963	120655	116609	121723	85976	712983	122530	121120	151539	317793	547085	155595	140891	119401	131198	723771	204359	154246	191307	173859	656883	203338	178357	136675	138513	521298	144726	146169	120476	109928	460710	122704	102334	140410	96198	350603	88900	87329	105077	69297	369187	105274	99944	83892	80077	266980	76721	73193	71409	45657	218440	54875	95496	202550	145661
Các khoản giảm trừ doanh thu###Deduction revenues	9477	20763	63279	11386	20634	10451	20809	54239	14002	13676	18721	7840	76960	16077	28693	17542	14648	86329	23766	36214	9724	16625	121275	51910	28650	23831	16884	99146	44148	19196	18950	16852	80167	13018	30616	11957	18200	30703	12885	4773	4916	8130	28404	3551	13790	7267	3797	19514	6672	8674	3275	892	12286	6780	2762	1694	1050	6079	2367	1512	6118	3795
Doanh thu thuần###Net Sales	144332	114596	492476	137972	128659	106119	119726	390724	106653	102932	103002	78136	636023	106453	92428	133997	303145	460756	131829	104676	109678	114572	602496	152449	125596	167476	156975	557738	159191	159161	117725	121661	441131	131708	115552	108519	91728	430007	109820	97561	135494	87132	322199	85349	73540	97810	65500	349673	98602	91269	80617	79185	254694	69941	70431	69715	44607	212361	52508	93984	196432	141865
Giá vốn hàng bán###Cost of goods sold	117102	88985	397554	111768	107370	81292	97124	297401	82648	80491	81837	52425	543886	78283	71448	111591	282563	358011	98239	85240	81785	92747	500734	134459	107477	133696	125103	423847	119610	126276	86895	91066	356885	111099	91056	83130	71260	335200	87549	74690	107793	65168	224093	61411	47557	70008	45117	231033	71273	59321	51683	48756	156521	47753	38787	41997	27878	125084	32086	56718	100902	70943
Lợi nhuận gộp###Gross profit	27230	25611	94922	26204	21289	24828	22602	93323	24005	22441	21165	25712	92137	28170	20979	22406	20582	102745	33590	19437	27893	21825	101762	17991	18119	33780	31872	133891	39580	32885	30830	30596	84246	20609	24497	25389	20467	94807	22271	22871	27701	21964	98106	23939	25983	27802	20383	118639	27328	31948	28934	30429	98173	22188	31644	27718	16729	87277	20422	37266	95530	70922
Doanh thu hoạt động tài chính###Financial activities Revenues	23	4	60	35	1	24	1	1367	96	56	1226	1	3298	1614	5	533	1147	3802	2679	903	949	1070	4951	1733	1000	1294	975	6340	1968	501	4477	163	14997	2816	3514	3887	4781	42157	5844	5939	21178	9034	29079	8089	9053	7413	4523	68920	60591	4699	2770	210	540	378	-3	132	33	615	46	193	196	80
Chi phí tài chính###Financial Expenses	3813	3652	12498	3554	3181	3620	2143	9312	2786	2036	2697	1804	7830	2370	1485	2384	1592	34776	29341	2102	3017	2113	11736	3497	2532	2737	2970	25420	4462	3035	3845	3748	30196	16684	4309	4565	4235	23387	4097	5251	7895	5702	23504	5949	6037	6302	4927	13551	3618	3073	1350	5282	16299	9053	3044	2417	1786	7215	3423	2022	2979	4328
Chi phí bán hàng###Selling Expenses	16436	12205	39790	8953	8104	12561	10173	46043	10721	9828	11640	13853	41253	11964	10430	9796	9063	34552	10029	9494	7910	7119	49833	8075	7697	17418	16643	55922	23110	11741	11701	9369	37199	12799	10282	13754	6740	34255	16265	4111	11047	2832	33414	15033	6289	8254	3838	18501	6193	5358	4948	2003	11068	4622	2246	3795	383	13304	2483	6087	24250	21028
Chi phí quản lý doanh nghiệp###Managing Expenses	6061	6776	30692	8048	7695	7330	7467	28107	7167	6795	7072	7073	27328	7743	6054	10697	2059	23189	8722	3034	7926	3781	20495	4573	3360	6511	2752	18151	4040	3159	2674	2551	11479	2733	2652	2428	2411	10195	2778	2556	2425	2436	8798	2395	2176	2231	1996	9030	1875	3143	1732	1757	7557	2170	1783	2446	1180	7726	1918	3227	5935	3853
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	944	2981	12003	5683	2310	1341	2820	11229	3428	3837	982	2982	19024	7707	3015	62	9015	14031	-11823	5709	9989	9881	24648	3577	5531	8408	10482	40738	9937	15450	17087	15090	20369	-8791	10768	8528	11862	69127	4976	16892	27513	20027	61468	8650	20533	18429	14145	146478	76234	25072	23675	21597	63788	6721	24569	19191	13413	59647	12643	26123	62563	41795
Thu nhập khác###Other incomes	22	55	16	0	15	1	0	1924	1479	0	444	1	375	32	9	317	16	280	108	6	-35	202	53	8	551	8	32	207	185	14	1	7	111	18	25	53	14	244	276	39	42	33	276	139	18	92	28	720	241	91	236	152	396	482	141	113	44	1301	231	980	415	437
Chi phí khác###Other Expenses	-29	90	265	28	61	167	10	443	17	1	106	319	1202	697	803	17	426	4362	1078	1082	810	1225	2457	0	2301	0	0	91	1	91	0	0	254	0	122	0	0	83	0	0	0	1	172	2	34	98	39	358	8	0	348	2	0	-169	122	233	198	1831	277	482	400	1502
Lợi nhuận khác###Other profits	52	-36	-250	-28	-46	-166	-10	1480	1461	-1	339	-319	-827	-665	-793	301	-410	-4082	-971	-1076	-846	-1023	-2404	8	-1751	8	32	116	185	-77	1	7	-143	18	-97	53	14	161	276	39	42	32	104	137	-17	-6	-11	362	232	91	-112	150	396	651	19	-120	-154	-531	-46	498	15	-1065
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	995	2946	11753	5655	2264	1175	2811	12709	4889	3837	1320	2664	18197	7042	2222	363	8604	9949	-12794	4633	9144	8858	22245	3585	3780	8416	10514	40854	10122	15374	17088	15097	20226	-8773	10671	8580	11876	69288	5251	16931	27554	20059	61572	8788	20516	18423	14135	146839	76467	25163	23563	21747	64184	7371	24588	19071	13259	59116	12597	26621	62578	40729
Chi phí thuế TNDN###Corporate Income Tax Expenses	246	631	2795	1221	487	477	635	1931	614	553	367	396	2495	916	303	134	1138	2062	-1436	723	1376	1292	2687	771	549	-1	1303	5153	1162	2338	1389	2275	2722	354	679	0	0	4549	0	0	0	1596	1964	516	641	855	479	15644	13926	1165	484	965	1796	0	0	0	986	4802	945	1997	5525	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	239	631	2799	1215	487	472	635	1865	656	553	260	396	2510	930	303	136	1138	2052	-1411	723	1340	1292	2756	648	549	-87	1303	5422	619	2188	2361	2275	2545	245	702	756	926	4644	-745	1285	2638	1596	2103	639	749	606	479	15549	13926	1165	484	965	1796	-2484	1863	1430	987	4802	945	0	5525	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	7	0	-3	6	0	5	0	66	-41	0	107	0	-15	-13	0	-2	0	11	-25	0	36	0	-69	123	0	86	0	-268	543	150	-972	0	177	109	-23	109	0	-94	55	0	0	0	-139	-123	-108	249	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	749	2314	8958	4434	1776	699	2176	10779	4274	3283	953	2267	15702	6126	1919	229	7466	7886	-11358	3910	7768	7566	19557	2814	3232	8417	9211	35700	8960	13035	15699	12823	17504	-9126	9992	7716	10950	64739	5942	15646	24916	18463	59608	8272	19875	17568	13656	131195	62541	23998	23079	20782	62388	9855	22724	17641	12273	54315	11652	24624	57053	40729
---Cac Chi So Tai Chinh---																																																														
EBITDA	0.15	0.31	-0.06	-0.06	-0.04	-0.22	-0.06	-0.07	-0.07	-0.01	0.08	0.24	0.31	0.31	0.19	0.35	0.18	0.05	0.05	-0.11	0.05	0.13	0.25	0.25	0.30	0.11	0.08	-0.12	-0.12	-0.15	-0.10	0.05	-0.07	-0.07	-0.11	0.05	0.12	-0.28	-0.28	-0.39	-0.34	-0.19	0.14	0.14	0.14	0.03	-0.25	-0.19	-0.19	-0.09	-1.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	11.15	12.00	12.45	12.45	11.95	12.90	13.60	10.45	10.45	12.34	11.52	12.42	11.74	11.74	12.81	13.71	13.45	13.50	13.50	14.69	15.50	13.04	13.19	13.19	16.65	18.26	19.10	21.63	21.63	18.87	15.50	16.95	20.56	20.56	16.11	21.63	24.47	24.47	24.47	19.94	27.16	27.54	36.44	36.44	36.05	31.37	40.66	44.11	44.11	50.97	58.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
