CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	-39	-163	-109	-111	-111	328	328	-150	-136	-136	-18	6	211	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	6	6
Vốn chủ sở hữu ###Owners equity	559185	550458	556730	556278	557417	561804	582665	580023	580498	618129	612051	612410	589027	588986	607291	589241	587993	566356	566303	572532	558227	596969	579261	578898	567281	551740	621238	591309	592233	569554	551908	613107	585328	585328	571096	540520	477611	405621
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	513366	365435	1639404	317949	338961	716435	266059	2264539	560020	417711	814808	472001	2392264	574608	670836	703303	443516	2347139	674725	449173	803111	431090	2344224	546574	568742	741693	476020	2242437	461488	551335	700516	529098	2651389	158381	751114	2842008	3112159	628049
Các khoản giảm trừ doanh thu###Deduction revenues	8011	121	12332	8093	732	2153	1354	23383	5729	2764	13395	1496	9683	4209	1412	3975	86	8776	6011	476	2207	82	6274	5230	0	185	0	4454	3283	158	675	339	12532	4039	3585	1727	2366	1975
Doanh thu thuần###Net Sales	505355	365313	1627072	309856	338229	714282	264704	2241156	554291	414947	801413	470505	2382581	570399	669424	699328	443431	2338362	668714	448697	800904	431008	2337950	541343	568742	741508	476020	2237982	458206	551177	699841	528758	2638857	154342	747529	2840282	3109793	626073
Giá vốn hàng bán###Cost of goods sold	452493	350288	1524341	300230	320036	654090	252495	2034786	524013	381463	716712	414487	2150368	535222	614793	606844	393298	2105100	612109	403246	706528	399401	2118099	507645	514602	662888	421557	1962180	407918	477864	600586	475831	2343321	98072	670210	2544853	2811819	570119
Lợi nhuận gộp###Gross profit	52862	15026	102730	9626	18193	60192	12209	206370	30277	33484	84701	56018	232213	35177	54631	92484	50133	233262	56605	45452	94376	31607	219852	33699	54140	78620	54463	275802	50288	73313	99255	52928	295535	56269	77319	295429	297974	55954
Doanh thu hoạt động tài chính###Financial activities Revenues	492	847	6331	3478	539	-5739	7665	24817	569	3752	5076	14509	24607	3596	2212	5365	13189	18757	2876	320	327	15190	21184	2032	570	988	17642	20337	1395	661	710	17335	30867	3548	4336	26038	21070	523
Chi phí tài chính###Financial Expenses	7461	5970	36012	10246	7311	10833	7636	45833	13194	10611	16195	6052	29269	9511	7560	6426	5656	23619	6574	5483	5562	6017	27715	8269	7442	5702	6301	39869	8524	8287	11091	11809	67703	14638	13357	101438	94903	12714
Chi phí bán hàng###Selling Expenses	18735	10776	54934	10423	12510	22201	6895	82694	12998	15027	22885	31785	93916	6927	22786	34875	29510	100200	28963	18291	34490	18197	93298	14102	23058	30861	27147	117862	16996	39112	37979	23774	83223	17068	19231	71867	57904	13879
Chi phí quản lý doanh nghiệp###Managing Expenses	18010	6508	25073	-2274	6194	16783	4366	27330	7010	5965	7521	7161	27267	6179	4688	11315	5038	25691	5048	4804	10291	5549	20185	1228	5704	6840	6675	23094	5538	5490	5792	4992	34962	14855	6852	29055	45014	5994
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	9148	-7380	-6958	-5291	-7283	4636	976	75330	-2355	5634	43176	25530	106368	16156	21808	45233	23118	102510	18896	17194	44360	17035	99837	12131	18506	36205	31982	115315	20625	21085	45104	29687	140514	13256	42215	119108	121223	23891
Thu nhập khác###Other incomes	784	1212	9182	5483	1801	892	1006	8850	3288	3451	1295	819	5812	2448	977	1219	1169	8289	10482	1513	721	1458	6263	2966	1564	1190	1717	9737	5799	1597	1116	1202	7233	3582	1048	8760	4812	3986
Chi phí khác###Other Expenses	31	104	170	85	1	41	43	1769	73	1488	55	157	1025	384	222	145	274	643	269	79	63	70	609	203	146	102	161	391	284	60	0	29	763	450	298	3534	493	410
Lợi nhuận khác###Other profits	754	1108	9011	5398	1800	851	963	7081	3214	1964	1240	663	4786	2064	755	1074	895	7646	10213	1434	658	1388	5654	2763	1419	1088	1556	9346	5515	1537	1116	1173	6469	3132	750	5226	4319	3576
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	9901	-6272	2053	107	-5484	5487	1939	82411	859	7598	44417	26193	111154	18220	22563	46307	24013	110156	29110	18628	45018	18423	105492	14894	19924	37293	33538	124661	26140	22622	46219	30860	146983	16388	42964	124334	125542	27467
Chi phí thuế TNDN###Corporate Income Tax Expenses	731	0	514	544	0	1515	0	13510	172	1520	8276	2809	19200	3645	4513	8657	2376	19567	5953	3729	9004	715	19446	3277	4383	8205	3610	23762	5751	4977	10209	3081	31585	4182	10039	25543	28841	6867
Chi phí thuế TNDN###Corporate Income Tax Expenses	731	0	0	31	0	1515	0	13170	-169	1520	8276	2809	18560	2867	4513	8657	2376	21062	5953	3729	9004	715	19446	3277	4383	8205	3610	23422	5751	4977	9869	3081	31925	4522	10039	25543	28841	6867
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	514	514	0	0	0	340	340	0	0	0	641	778	0	0	0	-1495	0	0	0	0	0	0	0	0	0	340	0	0	340	0	-340	-340	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	9170	-6272	1540	-437	-5484	3972	1939	68900	687	6078	36141	23383	91954	14575	18050	37650	21637	90589	23157	14899	36014	17708	86046	11618	15541	29089	29928	100898	20389	17645	36010	27778	115398	12207	32926	98791	96701	20600
---Cac Chi So Tai Chinh---																																						
EBITDA	0.54	0.45	1.10	1.10	0.75	0.70	0.41	0.40	0.40	0.35	0.36	0.27	0.11	0.11	0.23	0.51	0.18	0.15	0.15	0.13	0.13	0.32	0.21	0.21	0.32	0.24	0.16	1.54	1.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	5.89	4.70	6.09	6.09	7.05	12.80	13.33	13.14	13.14	12.25	10.97	11.27	10.49	10.49	11.61	11.19	10.26	9.27	9.27	9.43	8.88	8.83	8.59	8.59	8.65	9.38	9.79	9.52	9.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
