CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	 2013	Q4 2013	 2012
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1029969	970047	924848	922588	890489	837023	806942	766479	766158	734412	699495	708936	689435	689503	663771	636632	638165	629579	630291	618822	595051	583525	608544	609102	590498	588245	529509	334759	334759	250050	250050	296490
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1029969	970047	924848	922588	890489	837023	806942	766479	766158	734412	699495	708936	689435	689503	663771	636632	638165	629579	630291	618822	595051	583525	608544	609102	590498	588245	529509	334759	334759	250050	250050	296490
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q3 2014	Q2 2014	 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	2556475	2356749	8603203	2587620	2629392	2010584	1372872	5998267	1585601	1759820	1371619	1276495	3865385	1142595	1156668	797542	767860	3843909	1020278	1050063	950538	822130	4246390	958571	1178593	1169369	939857	4956070	1361329	1101238	3151279	2250132
Các khoản giảm trừ doanh thu###Deduction revenues	-25502	46034	115134	87813	14844	8430	1077	60896	24881	17670	-999	11979	44441	18480	12714	7018	6368	43836	10833	9731	11441	11030	43034	13241	11975	10120	6983	79505	16695	15386	94010	110456
Doanh thu thuần###Net Sales	2581976	2310715	8488069	2499806	2614548	2002154	1371794	5937371	1560720	1742151	1372619	1264517	3820944	1124115	1143954	790523	761492	3800073	1009444	1040331	939097	811100	4203356	945329	1166618	1159249	932874	4876565	1344634	1085852	3057268	2139675
Giá vốn hàng bán###Cost of goods sold	2416433	2167451	7939942	2333603	2435405	1881041	1291073	5568464	1448853	1638803	1290898	1192249	3546193	1034535	1061088	732455	717610	3559312	939112	982486	887789	749061	3938889	882306	1111477	1083658	862399	4589221	1259805	1020927	2900603	1988237
Lợi nhuận gộp###Gross profit	165543	143264	548126	166204	179142	121114	80721	368906	111867	103348	81720	72267	274750	89579	82867	58068	43882	240762	70333	57846	51308	62040	264466	63024	55141	75591	70475	287344	84829	64926	156666	151439
Doanh thu hoạt động tài chính###Financial activities Revenues	27554	14374	60625	14707	21343	12630	11684	32405	12612	8968	6412	4412	24487	7175	6308	5432	5572	19266	5487	5211	3327	5290	14114	5676	5408	1920	1111	10738	5033	2035	5982	14499
Chi phí tài chính###Financial Expenses	9461	12636	51400	3679	19040	18043	11865	38818	12986	11053	7212	7566	23869	8623	3879	6943	4423	27892	9030	4041	9359	5511	40205	6715	10796	13923	8771	42672	9710	10298	36243	32657
Chi phí bán hàng###Selling Expenses	111053	64100	248283	72956	89471	55107	29322	134531	41242	33437	32886	28327	125927	48480	34457	23220	21049	98267	39975	15444	18257	24590	64317	21921	4790	18573	18084	67229	13195	9166	31512	28141
Chi phí quản lý doanh nghiệp###Managing Expenses	9685	28178	100527	34835	24588	16555	23376	91238	29133	23887	18800	17396	55722	18317	14022	9241	13281	53826	14705	14514	13340	11230	45439	15567	11828	9302	8742	38940	8946	8260	32030	35977
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	63582	53879	209917	68002	68567	45393	29197	137313	41708	44428	29261	23105	93444	21679	36817	24095	10700	80043	12108	29057	13679	25999	128620	24497	33135	35713	35989	149241	58011	39237	62863	69163
Thu nhập khác###Other incomes	367	180	4819	537	292	305	2691	4272	636	1919	393	1287	9443	4562	2001	2387	493	5940	3019	1281	1409	231	6038	46	239	1488	4265	19820	1301	1399	7386	17035
Chi phí khác###Other Expenses	393	298	4383	1581	1516	676	768	1949	387	510	588	426	3321	464	1964	464	429	1700	437	470	437	356	1303	322	317	349	315	1128	247	173	1215	1106
Lợi nhuận khác###Other profits	-26	-118	437	-1044	-1224	-371	1924	2323	249	1409	-195	861	6122	4098	37	1922	65	4240	2582	811	972	-125	4735	-276	-78	1139	3950	18692	1426	1226	6172	15929
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	63556	53760	210354	66957	67343	45022	31120	139636	41957	45836	29066	23966	99566	25777	36854	26018	10765	84283	14691	29868	14651	25874	133355	24221	33057	36852	39939	167933	59438	40463	69034	85093
Chi phí thuế TNDN###Corporate Income Tax Expenses	15220	8977	47174	16084	16705	12341	6632	30111	10234	10471	6028	4464	21121	3575	9715	5604	2179	17556	3221	6098	3125	5200	29784	5603	7273	8265	8787	39993	12977	9001	17631	21400
Chi phí thuế TNDN###Corporate Income Tax Expenses	15220	8977	60340	27942	16705	12341	6632	31503	11265	10471	6028	4464	21178	4597	9715	5604	2179	17556	3221	6098	3125	5200	29784	5603	7273	8265	8787	39993	12977	9001	17631	21400
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	-13166	-11858	0	0	0	-1391	-1031	0	0	0	-57	-1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	48228	44610	161901	51634	49295	31902	23948	108119	31143	34101	23039	447	77704	-197	-632	0	0	66727	11469	23770	11526	20674	103571	18619	25784	28587	31153	127940	72415	31462	51403	63693
---Cac Chi So Tai Chinh---																																
EBITDA	1.52	1.39	1.03	1.03	0.92	1.21	0.93	0.83	0.83	0.77	0.54	0.51	0.59	0.59	0.40	0.82	0.32	0.35	0.35	0.33	0.10	0.09	-0.04	-0.04	-0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	37.40	17.28	22.46	22.46	23.79	20.01	21.78	21.97	21.97	26.13	24.89	22.95	19.65	19.65	16.07	13.75	14.69	14.33	14.33	13.76	15.40	19.63	21.59	21.59	22.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00
