CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	 2010	 2009
Nợ ngắn hạn###Short term Liabilities	258926	219082	236526	236354	410440	314266	304350	315442	315064	362603	362961	419251	261906	260025	148242	158927	116639	121550	121550	166279	220295	175890	178357	178357	186776	191578	206100	251898	252146	230140	274171	221707	206822	206822	242233	304728	381696	446685	446976	651954	648751	836994	431623
Nợ dài hạn###Long term Liabilities	28789	31878	34966	34966	38054	45372	46690	51206	51206	57294	60072	67083	74093	74093	81377	83438	88314	99304	99304	105988	107759	106529	105101	105101	103639	100949	23488	19566	19566	15844	9333	0	0	0	0	0	0	0	0	23000	23000	37617	240
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	472131	466971	457807	457980	400907	418040	413965	408011	408390	359641	355067	337874	497277	497284	438377	438349	468923	465433	465433	460045	441252	462402	453552	453552	436316	429279	454210	438468	436033	384928	380673	400261	384366	384366	354217	339966	350414	332745	332839	292397	262268	164895	40293
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	472131	466971	457807	457980	400907	418040	413965	408011	408390	359641	355067	337874	497277	497284	438377	438349	468923	465433	465433	460045	441252	462402	453552	453552	436316	429279	454210	438468	436033	384928	380673	400261	384366	384366	354217	339966	350414	332745	332839	292397	262268	164895	40293
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	664176	621968	591188	591188	596450	644694	732110	779430	779815	967351	934019	1039506	472156



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	40001	47700	420135	172373	140685	59345	47732	438743	248005	45237	114548	30953	382845	362586	1097	13931	5231	125173	12785	39517	44598	28273	341550	87742	68765	79649	105394	474224	243084	22431	103198	105512	452245	113912	68249	158936	111148	560108	241757	73144	802516	345779	0
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	40001	47700	420135	172373	140685	59345	47732	438743	248005	45237	114548	30953	382845	362586	1097	13931	5231	125173	12785	39517	44598	28273	341550	87742	68765	79649	105394	474224	243084	22431	103198	105512	452245	113912	68249	158936	111148	560108	241757	73144	802516	345779	0
Giá vốn hàng bán###Cost of goods sold	24418	29343	298877	142271	81051	41996	33559	312599	176528	35020	84286	16765	260337	269665	1020	-3274	-7074	53331	-2078	11468	26975	16965	258053	53846	56427	63904	83876	379704	195151	17805	83931	82818	335481	62557	49717	135542	87665	421237	183603	54636	633920	254158	0
Lợi nhuận gộp###Gross profit	15584	18357	121258	30102	59634	17349	14172	126144	71477	10218	30261	14188	122507	92921	77	17205	12305	71842	14863	28048	17623	11308	83497	33896	12338	15745	21518	94520	47933	4626	19267	22694	116764	51355	18532	23394	23483	138871	58154	18509	168596	91621	0
Doanh thu hoạt động tài chính###Financial activities Revenues	5542	614	16616	14301	1231	708	376	12476	5387	3518	2517	1054	4463	424	1836	1291	911	10115	2686	2586	1998	2846	6622	2110	1870	1428	1214	3570	730	915	1067	857	5868	901	1505	1293	2169	6788	1755	2552	5808	1210	1360
Chi phí tài chính###Financial Expenses	6371	0	5806	1343	1470	1496	1496	7762	1596	1966	2115	2084	14658	4799	1833	4067	3959	4788	1134	1854	1801	0	541	0	0	0	541	-1531	657	0	0	0	1403	0	896	140	367	1445	83	833	315	14	0
Chi phí bán hàng###Selling Expenses	3042	1652	7257	6221	57	591	388	10012	3185	553	4805	1468	11086	4521	0	5858	706	859	0	0	383	476	5745	5206	153	83	303	1165	61	0	173	932	1527	1526	1	0	0	0	0	20	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	5388	5945	31398	14499	5667	5999	5233	29097	15612	5500	4337	4775	28950	19843	0	5405	3701	18843	7864	5216	3214	2549	17699	7997	4558	3483	1662	18232	13393	16	2588	2236	14802	10410	4	2663	1726	13723	5902	550	8544	6311	1360
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	6325	11373	93413	22340	53671	9971	7431	91750	56471	5717	21522	6914	72275	64182	80	3165	4849	57468	8552	23564	14222	11129	66134	22803	9497	13607	20227	80224	34554	5525	17573	20383	104901	40320	19137	21885	23559	130491	53924	19658	165545	86506	0
Thu nhập khác###Other incomes	156	0	483	471	0	0	13	6	6	0	0	0	597	0	27	569	0	0	0	0	0	0	2	0	0	1	1	29802	29802	0	0	0	3	3	0	0	0	47	0	0	151	30	0
Chi phí khác###Other Expenses	1	0	313	313	0	0	0	1	0	0	1	0	182	-80	0	261	0	227	206	0	21	0	409	0	408	1	0	6	0	6	0	0	79	34	45	0	0	157	0	3	0	8	0
Lợi nhuận khác###Other profits	155	0	170	158	0	0	12	6	6	0	-1	0	415	80	27	307	0	-226	-206	0	-21	0	-407	0	-408	0	1	29796	29802	-6	0	0	-76	-31	-45	0	0	-110	0	-3	151	21	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	6480	11373	93583	22498	53671	9971	7443	91755	56477	5717	21521	6914	72690	64262	107	3472	4850	57241	8346	23564	14202	11129	65727	22803	9089	13607	20228	110020	64355	5520	17574	20383	104825	40289	19092	21885	23559	130381	53924	19655	165697	86527	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	1148	2260	17718	3186	10799	2071	1490	18351	11297	1143	4304	1383	14892	12845	21	694	1324	12670	2891	4713	2840	2226	14460	5017	2000	2994	4450	24204	14158	1214	3866	4484	26206	10072	4773	0	0	32583	0	0	41424	21632	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	1148	2260	17718	3186	10799	2071	1490	18351	11297	1143	4304	1383	14892	12845	21	694	1324	12670	2891	4713	2840	2226	14460	5017	2000	2994	4450	24204	14158	1214	3866	4484	26206	10072	4773	5471	5890	32583	13481	4914	41424	21632	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	5332	9113	75865	19312	42872	7900	5953	73404	45180	4573	17217	51416	57797	0	0	0	0	44572	5456	18851	11361	8903	51267	17786	7090	10613	15778	85816	50197	4305	13708	15899	78618	30217	14319	16414	17669	97797	40443	14741	124272	64895	0
---Cac Chi So Tai Chinh---																																											
EBITDA	0.22	0.27	0.94	0.94	0.97	0.59	0.37	0.34	0.34	0.18	0.21	0.16	0.00	0.00	-0.04	0.14	0.05	0.05	0.05	0.30	0.82	0.85	1.04	1.04	1.17	1.09	1.44	1.21	1.21	1.17	1.06	0.59	0.91	0.91	0.89	1.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	20.40	17.70	16.50	16.50	13.25	12.11	11.86	9.25	9.25	10.91	10.10	9.89	6.95	6.95	5.48	5.35	5.57	5.26	5.26	5.04	5.67	5.75	6.90	6.90	6.43	8.02	8.22	6.45	6.45	6.53	6.06	7.65	6.16	6.16	4.79	4.87	4.69	0.00	0.00	0.00	0.00	0.00	0.00
