CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006	 2005
Nợ phải trả ###Liabilities	504897	546950	549232	543602	579263	619148	608934	675517	675517	727264	827752	859341	871718	871718	891790	894722	888109	870780	870780	857652	863320	867874	879869	879869	898159	911804	914832	985374	985538	1006767	999265	987165	992421	992421	1008762	1003526	1033756	996107	996107	1032084	1040016	1061800	1047412	1047028	1108839	1120796	1138165	828349	824347	886835	928231	953332	762352	756501	512390	528378	505929	395098	395098	402454	437165	407826	220456	198151
Nợ ngắn hạn###Short term Liabilities	246365	265854	260003	265002	247031	265069	233951	289499	289499	265676	296574	380734	380860	380405	452706	440432	410769	376229	376229	352225	339481	325880	321138	321138	344693	340284	329966	371881	372033	386166	373309	349511	366748	366748	375349	356774	374881	337653	337653	360631	404865	455760	401817	401434	452091	427151	361631	318055	316061	341812	353663	355735	333203	327352	216249	237687	199401	209638	209638	208800	221242	204921	123155	84535
Nợ dài hạn###Long term Liabilities	258531	281095	289230	278600	332231	354079	374983	386018	386018	461588	531179	478606	490858	491313	439084	454290	477340	494551	494551	505427	523839	541995	558731	558731	553466	571519	584866	613493	613505	620602	625955	637655	625673	625673	633414	646753	658875	658453	658453	671452	635151	606040	645594	645594	656748	693644	776535	510294	508286	545023	574568	597597	429149	429149	296141	290691	306527	185460	185460	193654	215923	202905	97300	113616
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	8	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	65375	47446	63072	65529	62911	61464	70131	34796	34796	16321	-13948	-12564	1572	1572	-9075	9020	48310	77456	77456	128703	146640	167596	176069	176069	156441	176468	196125	215775	213990	165831	187730	202755	212405	212405	234138	254128	286168	314901	314901	294176	307089	301629	344603	344986	339117	333322	358891	351064	355066	356811	319507	314931	310817	316669	301426	283459	301205	300893	300893	337538	317347	297469	200000	139610
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5851	5050	5113	5509	6722	6722	3835	4758	0	0	10865
Vốn chủ sở hữu ###Owners equity	65375	47446	63072	65529	62911	61464	70131	34796	34796	16321	-13948	-12564	1572	1572	-9075	9020	48310	77456	77456	128703	146640	167596	176069	176069	156441	176468	196125	215775	213990	165831	187730	202755	212405	212405	234138	254128	286168	314901	314901	294176	307089	301629	344603	344986	339117	333322	358891	351064	355066	356811	319507	314931	310817	310817	296376	278347	295696	294171	294171	333703	312589	297469	200000	128744
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1186994	1189920	1204826	1204826	1242900	1257654	1319924	1311008	1311008	1326259	1347105	1363429	1392014	1392014	1447956	1454118	1497057	1179413	1179413	1243646	1247738	1268263	1073170	1073170	813816	811837	807133	695991	695991	739992	754512	705295	420456	337762



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	Q2 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	107401	138196	697653	166589	170415	173710	186939	765280	216013	187799	180469	180999	558845	165155	140937	121779	130974	532186	117033	136465	123270	155417	695323	226574	143494	171560	153695	761180	226770	190438	170499	173195	681506	179817	174006	160969	166714	820899	186851	174565	234468	225016	1024777	277941	250159	261990	234687	938149	220234	212448	251310	254157	659383	186439	163921	158259	150765	899511	205168	251835	232121	644722	162065	460576	442551
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	107401	138196	697653	166589	170415	173710	186939	765280	216013	187799	180469	180999	558845	165155	140937	121779	130974	532186	117033	136465	123270	155417	695323	226574	143494	171560	153695	761180	226770	190438	170499	173195	681506	179817	174006	160969	166714	820899	186851	174565	234468	225016	1024777	277941	250159	261990	234687	938149	220234	212448	251310	254157	659383	186439	163921	158259	150765	899511	205168	251835	232121	644722	162065	460576	442551
Giá vốn hàng bán###Cost of goods sold	109912	136871	667916	174256	165385	168123	163325	729764	211709	177357	163618	177080	598149	167925	142040	142858	144871	549745	135307	137397	129917	147124	642408	170964	158203	160320	152920	701423	184236	190800	161691	164696	679463	174613	169013	166404	169433	763138	163729	165986	190734	242690	884580	217200	242057	226080	199244	799686	174682	197082	215613	212753	623028	170634	146004	163143	143246	757830	184920	215455	194535	508566	125702	415013	392160
Lợi nhuận gộp###Gross profit	-2511	1325	29738	-7668	5030	5587	23615	35516	4304	10441	16851	3919	-39304	-2770	-1103	-21079	-13897	-17559	-18274	-932	-6647	8294	52915	55609	-14709	11240	775	59757	42534	-362	8807	8499	2043	5204	4993	-5435	-2719	57761	23122	8579	43734	-17674	140197	60741	8103	35911	35443	138463	45552	15366	35697	41404	36356	15804	17917	-4884	7519	141681	20248	36380	37586	136156	36362	45564	50390
Doanh thu hoạt động tài chính###Financial activities Revenues	162	7	1727	376	1075	226	50	5912	1914	180	3417	401	3238	275	540	1331	640	7632	567	866	5254	944	1601	504	441	383	273	2947	552	1835	128	523	2579	261	1676	153	489	2223	531	185	444	1063	5105	420	758	992	2935	3870	856	1978	462	574	43677	19081	13415	3673	7508	18570	6247	3030	5151	8460	1269	1574	882
Chi phí tài chính###Financial Expenses	1164	10650	22952	5932	6275	5847	4772	38267	5533	10641	12341	9753	30394	2424	9212	10475	8286	52822	21539	9953	10850	10480	70434	27965	10721	21670	10078	56340	18796	14333	14474	9874	68542	15019	12707	25122	15693	61281	16239	10891	20532	13619	130370	40305	33846	28906	26887	92615	37566	21155	20732	13162	32433	13268	3629	8164	5062	31745	9746	5557	14235	7368	1087	5430	5545
Chi phí bán hàng###Selling Expenses	842	1565	10930	2577	2102	2868	3383	13231	4471	3212	2009	3539	10976	3510	2642	2723	2102	6416	2449	2085	1111	771	10207	1739	1733	3655	3079	14158	4805	2782	3452	3119	16552	4697	3941	3160	4753	21395	3705	4341	7525	5824	22167	6357	5840	4864	5105	20716	4945	5585	5655	4531	13286	3873	4365	2214	2834	16150	3920	4598	3347	10590	2558	4860	12142
Chi phí quản lý doanh nghiệp###Managing Expenses	3765	4667	23680	7264	4530	5888	5998	22625	6195	5893	5375	5162	24257	6785	5679	6292	5501	28777	9872	5651	7108	6146	27540	8487	6986	6390	5677	27408	9615	5997	6368	5679	26780	7526	7641	6111	5501	28170	6523	5835	8671	7142	31656	8345	8292	8155	6864	28304	7620	6882	6559	7243	25288	7480	6313	5791	5704	30778	7434	8504	7568	25861	6172	21861	20849
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-8121	-15549	-26097	-23065	-6801	-8790	9511	-32695	-9980	-9124	543	-14134	-101693	-15214	-18096	-39237	-29146	-97942	-51567	-17755	-20462	-8159	-53665	17923	-33709	-20092	-17786	-35202	9868	-21639	-15358	-9650	-107251	-21777	-17621	-39675	-28178	-50863	-2814	-12303	7449	-43195	-38890	6153	-39118	-5023	-478	698	-3722	-16278	3213	17041	9026	10264	17026	-17381	1427	81578	5395	20752	17587	100797	27814	14987	12734
Thu nhập khác###Other incomes	26050	0	56587	26075	10000	122	25894	77465	28465	49000	0	0	26022	25865	0	156	0	451	446	0	1	4	14290	51	13803	436	1	39002	38678	0	2382	0	54	46	0	0	8	25265	24209	76	975	5	90607	968	61648	316	27675	55529	0	54869	659	0	14143	12961	1006	33	143	1932	27	41	45	2252	18	160	4584
Chi phí khác###Other Expenses	0	77	1217	393	754	0	70	11546	9	9608	1927	2	213	4	0	209	0	1121	126	182	495	318	332	131	121	2	79	431	387	170	2050	1	698	1	1	134	563	2694	1541	536	412	205	15915	115	-1224	58	16966	2775	18	2498	255	4	168	118	3	1	46	2058	488	0	0	1862	11	27	0
Lợi nhuận khác###Other profits	26050	-77	55370	25682	9246	122	25824	65919	28456	39392	-1927	-2	25809	25861	0	-53	0	-670	320	-182	-495	-314	13958	-79	13682	434	-78	38571	38291	-170	333	-1	-644	45	0	-134	-555	22572	22668	-460	563	-200	74691	853	62871	258	10709	52754	-17	52371	404	-3	13975	12843	1004	32	98	-126	-461	41	44	390	7	133	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	17930	-15626	29273	2617	2445	-8667	35335	33224	18476	30268	-1384	-14136	-75884	10648	-18096	-39290	-29146	-98612	-51246	-17937	-20956	-8473	-39706	17843	-20027	-19658	-17865	3370	48159	-21808	-15026	-9650	-107895	-21733	-17621	-39809	-28733	-28291	19854	-12763	8012	-43395	35801	7007	23754	-4764	10231	53452	-3739	36093	3617	17038	23001	23106	18029	-17349	1524	81452	4934	20792	17632	101187	27821	15120	17319
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3459	635	1678	-1215	2403	12878	1380	4480	442	2130	5358	5358	0	0	0	73	0	0	0	0	0	2918	2940
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3459	635	1678	-1215	2403	12878	1380	4480	442	2130	5358	5358	0	0	0	73	0	0	0	0	0	2918	2940
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	17930	-15626	29273	2617	2445	-8667	35335	33224	18476	30268	-1384	-14136	-75884	10648	-18096	-39290	-29146	-98612	-51246	-17937	-20956	-8473	-39706	17843	-20027	-19658	-17865	3370	48159	-21808	-15026	-9650	-107895	-21733	-17621	-39809	-28733	-28291	19854	-12763	8012	-43395	32342	6371	22076	-3549	7828	40574	-5119	31612	3175	14908	17644	17749	18029	-17349	1524	81379	4934	20792	17632	101187	27821	12203	14378
---Cac Chi So Tai Chinh---																																																																	
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	2.30	1.90	3.10	3.10	4.50	2.80	1.10	1.10	1.10	1.20	1.30	1.40	1.60	1.60	1.20	1.50	0.98	1.68	1.68	1.75	2.40	2.60	2.30	2.30	2.50	3.20	4.40	3.60	3.60	3.40	3.00	3.70	3.20	3.20	2.60	2.60	2.90	2.80	2.80	2.90	4.20	5.20	3.70	3.70	6.80	6.74	8.60	11.92	11.92	13.65	18.47	12.86	13.89	13.89	14.21	13.42	9.86	11.68	11.68	27.43	0.00	0.00	0.00	0.00	0.00
