CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006	 2005
Nợ ngắn hạn###Short term Liabilities	1638	2099	3791	3609	4924	4425	4833	4191	4720	3503	2328	34	7293	5433	7596	7287	4584	6886	5647	571	2583	4122	11263	10414	14648	11031	10140	10720	11197	14093	10909	12830	15546	15546	22541	33759	28026	27069	27069	23535	21876	25831	28727	28579	20788	21288	26085	26029	21502	23151	25810	23534	31799	30461	31561	32919	36119	23082	23082	16976	21572	15446	16380	15847	16640
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	219	248	248	431	555	502	535	535	568	700	749	798	798	870	431	78	53	53	35	11	-4	907	900	983	151	230	1891	7060	5544
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	812	8	0	0	0	0	0	0	9	0
Vốn chủ sở hữu ###Owners equity	34349	39969	39646	39646	36395	36267	36365	36318	36313	44474	44057	51162	55394	55601	24680	23635	23605	25406	25406	28790	29691	29718	29683	30616	28112	27041	26460	25940	25858	22081	21771	21689	21341	21341	22815	22658	20756	20597	23013	29743	30025	31169	30998	31008	27993	29343	31407	31270	31390	31535	31429	30465	29349	29759	26161	23418	22184	21116	21123	33271	33256	33016	31583	7211	6210
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	479	482	489	494	494	505	507	512	0	0	79
Vốn chủ sở hữu ###Owners equity	34349	39969	39646	39646	36395	36267	36365	36318	36313	44474	44057	51162	55394	55601	24680	23635	23605	25406	25406	28790	29691	29718	29683	30616	28112	27041	26460	25940	25858	22081	21771	21689	21341	21341	22815	22658	20756	20597	23013	29743	30025	31169	30998	31008	27993	29343	31407	31270	31390	31535	31429	30465	29349	29349	25683	22935	21694	20623	20629	32765	32748	32504	31583	7211	6130
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32680	34519	36887	36887	45356	56547	49001	47914	50330	53709	52456	57502	60260	60122	49349	51331	58241	58097	53690	55556	57670	54077	61201	60273	57758	56347	58299	45105	45105	51230	54978	48692	49854	30118	28394



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	616	2046	11936	3009	4976	3189	762	9474	3426	1502	1459	3086	25906	9933	9737	3409	1297	15476	2096	1395	4714	7270	46499	16091	13282	8553	8557	29962	13491	5143	2807	8540	54201	12159	12979	20838	8225	35935	12024	10513	9558	3703	32864	16047	6038	6718	4079	41566	6298	6671	11518	10048	66163	21181	14910	19899	10172	34243	12906	9403	2942	8991	33695	25674	22907
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	56	0	441	77	72	280	11	187	95	0	62	30	208	53	0	155	0	571	394	0	177	0	24	0	0	24	0	13	13	0	0	0	0	0	0
Doanh thu thuần###Net Sales	616	2046	11936	3009	4976	3189	762	9474	3426	1502	1459	3086	25906	9933	9737	3409	1297	15476	2096	1395	4714	7270	46499	16091	13282	8553	8557	29906	13491	5143	2751	8540	53760	12082	12907	20558	8214	35748	11929	10513	9496	3674	32656	15994	6038	6563	4079	40995	5904	6671	11341	10048	66138	21181	14910	19875	10172	34230	12893	9403	2942	8991	33695	25674	22907
Giá vốn hàng bán###Cost of goods sold	1111	1395	11012	2313	4043	3537	1118	14559	3924	3849	1248	5540	26946	12637	8030	2519	2427	17147	5346	1446	3920	6435	38034	12365	11132	7373	7205	25213	10635	4312	2115	8186	47526	10658	11598	18413	6858	41379	16803	9597	10139	2425	26465	11264	6196	6138	2922	36084	3903	5719	10198	8002	57621	17312	12963	19285	8061	34065	19019	5672	1977	7397	28830	20702	18845
Lợi nhuận gộp###Gross profit	-495	651	924	695	933	-348	-356	-5085	-497	-2347	212	-2453	-1040	-2704	1707	890	-1131	-1672	-3250	-51	794	835	8465	3726	2150	1179	1352	4694	2856	831	637	354	6234	1424	1309	2145	1356	-5631	-4874	917	-643	1249	6191	4730	-158	425	1156	4911	2001	952	1143	2046	8517	3868	1948	590	2111	164	-6126	3732	964	1593	4865	4973	4063
Doanh thu hoạt động tài chính###Financial activities Revenues	224	257	1663	1099	97	396	71	1572	410	1	1141	20	105	8	7	48	42	287	192	0	91	4	221	16	13	121	71	340	111	73	103	53	165	70	20	39	66	617	106	86	177	247	622	160	165	296	0	1866	191	42	1095	340	3047	176	1414	1306	152	971	179	198	461	133	4461	274	13
Chi phí tài chính###Financial Expenses	4796	0	-2422	-2029	396	290	-1079	9143	3033	-3239	8019	1330	92	60	32	0	0	1	0	0	0	0	10	6	2	2	0	-104	4	13	6	-127	326	-88	208	-165	401	1793	699	426	-17	686	3940	1292	551	1625	433	2036	1415	340	95	303	1411	908	199	141	163	9125	5434	3203	183	304	1045	1906	1265
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	552	583	1829	729	503	-147	745	6651	5039	469	431	717	3321	-83	826	911	710	3365	615	916	1037	797	3884	1093	1072	792	897	3098	1027	680	579	872	4526	1335	942	1381	868	3631	1165	974	802	662	3345	1027	806	892	683	3501	945	659	762	1140	3162	799	640	693	1029	3023	960	706	842	507	3817	2542	1360
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-5620	325	3180	3095	131	-94	49	-19307	-8160	426	-7098	-4480	-4348	-2672	856	26	-1799	-4750	-3674	-967	-152	42	4792	2643	1089	506	527	2039	1935	210	155	-339	1547	247	179	968	152	-10438	-6632	-397	-1251	147	-471	2570	-1350	-1796	40	1240	-168	-5	1380	943	6992	2337	2522	1061	1072	-11012	-12342	20	401	915	4465	799	1450
Thu nhập khác###Other incomes	0	0	157	156	0	1	0	250	0	0	0	250	4663	3686	235	5	1	587	269	66	246	6	372	16	2	370	0	3853	2340	228	1415	733	2274	461	5	1759	50	232	66	1	136	29	831	634	3	132	98	1362	600	112	340	173	1188	193	700	298	0	241	0	0	21	159	838	1290	0
Chi phí khác###Other Expenses	1	2	9	0	3	4	2	19	1	8	8	2	129	94	45	1	3	114	6	0	94	14	625	155	20	295	7	1293	499	127	1489	46	1482	587	27	839	30	196	138	22	30	5	242	189	3	49	1	40	20	2	63	0	701	110	472	118	0	105	0	1	40	0	319	471	1
Lợi nhuận khác###Other profits	-1	-2	148	156	-3	-3	-2	231	-1	-8	-8	248	4534	3593	189	4	-2	474	263	66	152	-8	-252	-139	-19	76	-7	2560	1841	101	-74	687	792	-127	-22	920	20	37	-71	-21	106	24	588	445	0	84	96	1322	580	111	277	173	488	83	228	180	0	136	0	-1	-19	0	520	819	-1
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-5620	323	3328	3251	128	-98	47	-19076	-8161	417	-7106	-4232	186	920	1045	30	-1801	-4277	-3411	-901	0	35	4540	2504	1070	581	520	4599	3776	311	81	348	2339	121	157	1888	173	-10401	-6703	-418	-1145	171	117	3015	-1350	-1712	137	2561	412	106	1657	1116	7480	2420	2750	1241	1072	-10876	-12342	19	382	1074	4984	1618	1449
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-27	0	0	0	797	0	0	0	0	0	0	0	0	0	1595	1595	0	0	0	0	0	0	0	0	37	0	0	0	0	640	163	0	550	0	-1247	-1247	0	61	0	0	-207	3	53	150	698	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-27	0	0	0	797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	278	0	928	928	0	0	0	0	-206	3	53	150	698	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1595	1595	0	0	0	0	0	0	0	0	37	0	0	0	0	544	163	0	272	0	-2175	-2175	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-5620	323	3328	3251	128	-98	47	-19076	-8161	417	-7106	-4232	186	920	1045	30	-1801	-4277	-3384	-901	0	35	3743	2504	1070	581	520	4599	3776	311	81	348	744	-1474	157	1888	173	-10401	-6703	-418	-1145	171	80	3015	-1350	-1712	137	1921	249	106	1107	1116	8726	3667	2750	1241	1072	-10876	17	17	924	4287	4287	1618	0
---Cac Chi So Tai Chinh---																																																																	
EBITDA	0.19	0.28	0.07	0.07	0.38	0.87	0.65	0.76	0.76	0.70	0.57	0.06	-0.21	-0.21	0.03	-0.60	0.49	0.51	0.51	0.16	0.53	0.87	0.73	0.73	0.75	0.52	1.06	1.31	1.31	1.58	1.77	1.80	1.68	1.68	1.49	1.29	1.17	1.16	1.16	1.32	1.45	1.59	1.76	1.76	1.74	1.74	1.79	1.67	1.67	1.66	1.43	1.19	1.15	1.15	1.00	0.87	0.54	0.48	0.48	-0.42	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	7.60	8.90	8.30	8.30	8.80	9.60	15.40	9.30	9.30	10.90	13.70	18.70	19.10	19.10	10.00	7.80	8.00	5.70	5.70	8.00	7.80	8.20	8.00	8.00	5.00	5.60	6.30	4.00	4.00	3.80	3.50	4.90	3.50	3.50	2.20	2.70	2.10	2.60	2.60	3.00	3.80	3.50	2.50	2.50	4.80	5.70	8.50	13.80	13.80	21.00	25.40	15.10	12.50	12.50	11.50	10.00	5.10	6.70	6.70	11.80	0.00	0.00	0.00	0.00	0.00
