CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Nợ ngắn hạn###Short term Liabilities	29624	43922	25835	26604	37349	24701	40189	47199	47524	53259	56413	38989	36831	36928	41377	48541	36237	37625	38456	34799	28731	36784	32190	40169	52337	34767	27296	27660	29414	33609	37778	39224	55372	55813	66802	66124	42771	48678	48621	66504	37719	57311	48164	48626	58017	79520	55500	47052	50788	61852	52577	65023	55871	55223	73920	55115	35076	35818	30788	38341
Nợ dài hạn###Long term Liabilities	889	833	833	833	2233	2215	3055	3035	3038	2909	2953	2526	2651	0	0	1183	0	0	0	0	0	0	0	0	0	0	4129	0	105	225	474	0	0	0	0	0	0	0	0	3	41	50	78	138	67	67	31	7	8	0	18	25	46	0	124	11	0	0	0	59
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	9
Vốn chủ sở hữu ###Owners equity	45461	44861	44307	44757	42892	47640	48023	46493	46901	42757	41503	46492	45096	45733	45961	43634	48559	46217	46202	44572	48825	47151	45872	45787	42487	40006	43274	43164	43136	39721	44204	44614	44586	45035	37799	35405	44459	44586	44493	32921	31236	38112	38186	35454	29054	27556	31773	32843	33279	28182	26411	27999	27820	26309	24023	23398	23467	23705	23730	22290
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	406	406	406	406	406	406	406	406	406	406	406	406	406	406	406	406	406	406	406	406	406	406	406	406	406	406	406	409	409	414	419	424	455	455	471	491	508	526	526	543	568	586	604	604	622	641	659	681	681	715	758	802	873	1038	1117	1166	856	1132	1533	2012
Vốn chủ sở hữu ###Owners equity	45054	44455	43900	44351	42486	47234	47617	46086	46495	42351	41097	46086	44690	45327	45555	43228	48153	45811	45796	44166	48419	46745	45466	45381	42081	39600	42868	42755	42727	39307	43785	44189	44131	44580	37327	34914	43951	44060	43968	32377	30668	37527	37582	34850	28431	26916	31114	32163	32599	27467	25653	27197	26947	25270	22905	22232	22611	22574	22197	20278
Lợi ích của cổ đông thiểu số	282	282	282	282	282	282	282	282	282	282	282	0	282	0	0	0	0	282	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82457	83838	99958	100848	104600	101530	87230	93264	93115	99427	68996	95473	86428	84218	87138	107143	87305	79903	84075	90034	79007	93046	83737	81531	98067	78524	58543	59524	54519	60690



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	48872	17865	163690	63559	30084	44830	24497	149364	70359	26792	29163	23050	150045	32432	46041	38403	33170	140253	42717	26649	41049	29776	132664	37402	48186	31516	16260	120027	37521	29678	36784	15142	153110	66956	58922	15847	11047	139796	67517	26724	32453	13102	101691	53841	21802	21545	6781	100993	54577	24383	23670	1827	71290	39707	14940	15555	1088	56780	73424	40601
Các khoản giảm trừ doanh thu###Deduction revenues	0	15	400	116	182	0	102	281	0	187	92	2	320	55	33	234	0	1232	777	151	207	97	1700	160	455	1067	18	627	495	55	76	0	2872	1942	423	28	92	591	286	0	302	2	460	140	54	263	4	130	52	21	0	0	572	109	463	0	0	1123	15	754
Doanh thu thuần###Net Sales	48872	17851	163291	63443	29902	44830	24395	149083	70359	26605	29071	23048	149725	32377	46008	38170	33170	139021	41939	26498	40842	29679	130964	37242	47730	30449	16242	119400	37026	29622	36708	15142	150239	65013	58499	15819	10956	139205	67231	26724	32151	13100	101231	53701	21748	21282	6777	100862	54525	24362	23670	1827	70718	39598	14477	15555	1088	55657	73409	39848
Giá vốn hàng bán###Cost of goods sold	45814	15622	150113	59936	25945	40700	22085	131115	62775	22947	24454	20430	131267	25521	40484	35409	28768	122118	38506	22265	33949	26517	117262	34508	41675	27307	14414	98075	29859	25592	28580	13143	129738	51882	54200	14467	9546	116484	51122	23813	28302	12954	84321	45704	18839	19206	6044	88283	47145	21918	21523	1243	60488	36024	13054	12923	714	50298	67125	34306
Lợi nhuận gộp###Gross profit	3058	2228	13178	3507	3957	4130	2311	17968	7584	3658	4617	2618	18458	6856	5524	2760	4402	16903	3433	4233	6893	3162	13702	2734	6056	3142	1828	21325	7167	4030	8128	1999	20500	13131	4299	1352	1409	22722	16109	2911	3849	145	16910	7997	2908	2076	733	12579	7380	2444	2147	584	10230	3574	1424	2631	374	5359	6284	5542
Doanh thu hoạt động tài chính###Financial activities Revenues	86	37	217	45	108	53	28	232	52	15	134	31	715	332	30	242	129	531	76	114	275	79	1622	562	37	719	136	855	420	35	398	3	1599	251	327	771	325	2285	596	409	532	570	2756	979	662	650	465	2495	1291	649	1005	486	1255	505	201	213	135	1730	1556	684
Chi phí tài chính###Financial Expenses	68	241	411	31	30	176	192	775	288	251	180	55	334	113	138	73	29	260	61	17	72	122	384	134	162	71	18	551	31	93	123	305	288	102	89	65	16	120	12	52	22	34	112	2	18	29	63	93	32	31	31	0	37	1	32	1	3	27	277	253
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	50	190	165	155	10	0	0	0	0	0	0	0	65	0	10	55	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	1733	1331	7270	1763	2137	2015	1453	9090	3158	1940	2331	1660	13262	7806	2535	1397	1841	10138	2438	2029	3158	1609	8625	2651	1766	2421	1694	12044	4128	1759	5040	1678	9030	3706	1395	1950	1734	7651	3046	1737	1737	1143	5689	2279	1338	696	1181	4807	1919	1061	909	656	3882	1142	860	831	674	2711	2684	2441
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1343	694	5713	1758	1898	1992	694	8334	4189	1481	2240	935	5337	-731	2881	1482	2471	6871	856	2291	3937	1510	6315	511	4165	1370	252	9520	3428	2203	3309	18	12567	9575	3143	108	-15	17235	13646	1530	2622	-463	13864	6695	2215	2000	-47	10173	6720	2002	2212	413	7565	2936	733	2012	-168	4351	4879	3533
Thu nhập khác###Other incomes	818	20	3385	1229	75	45	1837	2416	1315	202	27	871	5180	1508	58	2646	619	4298	1779	41	1040	245	4857	6023	10	1668	0	1703	1372	599	228	61	520	203	188	280	119	2015	434	848	229	547	2379	2009	147	205	90	1206	121	420	55	0	989	141	603	24	222	1091	531	77
Chi phí khác###Other Expenses	0	1	1460	681	111	43	584	347	246	27	61	13	453	240	14	80	118	138	49	146	-51	113	339	2131	994	33	102	657	119	81	353	3	157	107	9	5	0	651	64	305	541	15	1374	1298	82	0	0	17	0	2	0	0	36	12	0	0	4	100	26	55
Lợi nhuận khác###Other profits	818	19	1925	548	-36	2	1253	2068	1069	175	-34	858	4727	1268	44	2566	501	4160	1729	-105	1091	132	4518	3893	-984	1635	-102	1047	1253	518	-126	58	363	96	179	275	119	1364	370	544	-311	532	1005	710	65	205	90	1189	121	418	55	0	953	129	603	24	218	991	505	23
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	2161	712	7638	2306	1862	1994	1947	10403	5258	1656	2207	1793	10064	537	2925	4048	2972	11031	2585	2185	5028	1642	10833	4404	3181	3005	151	10567	4681	2721	3183	76	12929	9671	3322	382	104	18600	14017	2074	2311	70	14869	7405	2280	2206	44	11362	6842	2419	2268	413	8518	3065	1336	2035	50	5342	5384	3555
Chi phí thuế TNDN###Corporate Income Tax Expenses	463	158	1679	441	400	442	417	2258	1114	402	446	397	2815	764	598	905	630	2463	955	499	1070	364	2610	1103	700	761	38	2919	1161	599	1163	18	3351	2419	830	0	0	3424	0	0	0	17	2927	1049	570	499	11	2841	1710	605	567	103	1534	580	77	509	13	692	786	498
Chi phí thuế TNDN###Corporate Income Tax Expenses	463	158	1679	441	400	442	417	2258	1114	402	446	397	2815	764	598	905	630	2463	955	499	1070	364	2610	1103	700	761	38	2919	1161	599	1163	18	3351	2419	830	76	48	3424	2426	364	579	17	2927	1049	570	551	11	2841	1710	605	567	103	1534	580	77	509	13	692	786	498
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1698	555	5959	1865	1463	1552	1530	8145	4144	1254	1760	1395	7249	-227	2326	3143	2342	8568	1630	1687	3958	1279	8223	3300	2481	2244	113	7648	3521	2122	2020	58	9579	7252	2491	306	56	15176	11590	1709	1732	52	11942	6356	1710	1654	33	8521	5131	1815	1701	310	6984	2485	1258	1526	38	4650	4598	3058
---Cac Chi So Tai Chinh---																																																												
EBITDA	0.03	0.44	0.23	0.23	0.28	0.14	0.32	0.24	0.24	0.21	0.26	0.10	0.08	0.08	0.62	0.33	0.57	0.62	0.62	0.20	0.15	0.45	0.42	0.42	0.27	0.23	-0.27	-0.09	-0.09	-0.06	0.17	0.62	0.52	0.52	0.29	0.31	0.71	0.74	0.74	0.67	0.81	0.52	0.61	0.61	0.34	0.16	0.31	0.25	0.25	1.03	0.95	0.45	0.36	0.36	0.04	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	16.90	16.10	15.40	15.40	17.70	16.78	16.78	16.96	16.96	16.96	15.46	17.09	18.04	18.04	18.44	20.27	17.76	19.57	19.57	26.68	17.65	14.82	14.48	14.48	13.47	14.48	16.94	15.15	15.15	16.69	13.34	10.57	9.56	9.56	7.70	9.36	9.93	4.89	4.89	4.17	4.56	3.15	2.59	2.59	2.39	3.52	3.58	3.87	3.87	4.96	3.70	3.37	3.30	3.30	2.70	2.61	2.40	0.00	0.00	0.00
