CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	 2015
KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	 2015
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1114	1568	7174	1093	2346	2006	1728	41145	2702	2907	18689	16847	19232	13528	1578	1649	1211	4693	1327	8754
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	1114	1568	7174	1093	2346	2006	1728	41145	2702	2907	18689	16847	19232	13528	1578	1649	1211	4693	1327	8754
Giá vốn hàng bán###Cost of goods sold	687	889	4022	690	1241	1045	1045	6386	1640	1678	1721	1346	4394	1306	960	1390	738	7725	3174	3875
Lợi nhuận gộp###Gross profit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu hoạt động tài chính###Financial activities Revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí tài chính###Financial Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	610	710	3766	920	1090	885	870	4703	1442	1068	1324	869	2462	1335	716	245	165	1141	332	1645
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thu nhập khác###Other incomes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí khác###Other Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận khác###Other profits	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-159	27	-46	-322	70	244	-93	30746	-133	263	15732	14890	12403	11148	327	195	734	-3057	-1953	6437
Chi phí thuế TNDN###Corporate Income Tax Expenses	-5	5	70	10	14	35	0	6274	10	53	3234	2978	1846	1847	0	0	0	0	30	37
Chi phí thuế TNDN###Corporate Income Tax Expenses	-5	5	70	10	14	35	0	6274	10	53	3234	2978	1846	1847	0	0	0	0	30	37
Chi phí thuế TNDN###Corporate Income Tax Expenses	-5	5	70	10	14	35	0	6274	10	53	3234	2978	1846	1847	0	0	0	0	30	37
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-153	22	-116	-332	56	209	-93	24472	-143	210	12497	11912	10557	9301	327	195	734	-3057	-1982	6400
---Cac Chi So Tai Chinh---																				
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	5.20	4.40	5.00	5.00	6.40	9.00	12.50	9.45	9.45	21.48	62.09	64.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
