CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	 2017	 2016
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	43095	48057	248796	91545	58591	50274	48386	221644	78348	143296	42417	181982	125840
Các khoản giảm trừ doanh thu###Deduction revenues	110	141	1838	876	277	346	339	982	192	790	494	438	2475
Doanh thu thuần###Net Sales	42985	47916	246958	90669	58314	49928	48047	220662	78157	142506	41923	181544	123365
Giá vốn hàng bán###Cost of goods sold	36752	40354	206028	74113	48041	42765	41085	193677	67440	126284	37082	158447	112111
Lợi nhuận gộp###Gross profit	6232	7562	40930	16556	10273	7162	6963	26986	10716	16222	4840	23097	11254
Doanh thu hoạt động tài chính###Financial activities Revenues	275	262	838	276	276	262	24	789	367	422	47	539	156
Chi phí tài chính###Financial Expenses	239	13	19	0	1	8	11	458	39	419	174	113	69
Chi phí bán hàng###Selling Expenses	835	945	5502	1661	1348	1213	1280	5330	1442	3841	1344	5420	2447
Chi phí quản lý doanh nghiệp###Managing Expenses	916	1318	5577	1375	1154	1648	1400	4716	1357	3213	1265	4074	4022
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	4517	5549	30671	13796	8046	4555	4297	17270	8246	9171	2103	14029	4871
Thu nhập khác###Other incomes	903	632	1591	337	473	493	288	2919	400	2519	2348	301	227
Chi phí khác###Other Expenses	0	0	39	6	0	33	0	1	0	1	0	2448	194
Lợi nhuận khác###Other profits	903	632	1552	331	473	460	288	2918	400	2518	2348	-2147	33
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	5420	6181	32223	14127	8519	5015	4585	20188	8646	11690	4452	11882	4904
Chi phí thuế TNDN###Corporate Income Tax Expenses	1092	1239	6526	2833	1736	1040	917	4078	1735	2372	907	2604	1208
Chi phí thuế TNDN###Corporate Income Tax Expenses	1092	1239	6526	2833	1736	1040	917	4078	1735	2372	907	2604	1208
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	4329	4942	25697	11294	6783	3975	3668	16111	6910	9318	3545	9278	3696
---Cac Chi So Tai Chinh---													
EBITDA	0.45	0.38	1.04	1.04	1.48	1.88	2.31	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	16.14	10.22	10.96	10.96	9.74	9.25	9.58	0.00	0.00	0.00	0.00	0.00	0.00
