CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	 2017	 2016	 2015	 2014
Nợ phải trả ###Liabilities	16801	26998	37602	37602	32163	41150	28618	44663	45574	36301	46111	40852	41679	27895	30107
Nợ ngắn hạn###Short term Liabilities	16801	26998	37602	37602	32163	41150	28618	44663	45574	36301	46111	40852	41679	27895	30107
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	102390	106969	97812	97820	106165	100540	109597	103314	101360	96893	91749	103556	91238	93598	87712
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	102390	106969	97812	97820	106165	100540	109597	103314	101360	96893	91749	103556	91238	93598	87712
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	 2016	 2015
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	78153	86830	341993	83165	90724	82070	86034	362026	88638	98853	83990	90546	350215	305675	282272
Các khoản giảm trừ doanh thu###Deduction revenues	2419	2670	11889	2470	2487	2442	3156	12838	3111	3819	3124	2784	13258	7437	8940
Doanh thu thuần###Net Sales	75734	84160	330104	80695	88237	79629	82878	349189	85527	95035	80865	87762	336958	298239	273332
Giá vốn hàng bán###Cost of goods sold	56970	64269	262308	62595	70369	63958	65386	289351	69870	79433	68496	73987	277868	244624	225631
Lợi nhuận gộp###Gross profit	18763	19891	67796	18100	17868	15671	17492	59838	15657	15601	12369	13776	59090	53615	47701
Doanh thu hoạt động tài chính###Financial activities Revenues	488	243	617	122	210	113	172	670	189	271	57	152	900	1841	1204
Chi phí tài chính###Financial Expenses	4145	2053	12192	7882	2555	-173	1852	5480	1124	1540	1211	1605	3255	2617	1689
Chi phí bán hàng###Selling Expenses	2831	2960	15289	3804	4316	4163	4417	17580	5468	4214	4032	3865	15600	16182	15856
Chi phí quản lý doanh nghiệp###Managing Expenses	3696	3881	14472	3246	3933	3761	3524	14399	3655	3679	3613	3460	15259	14274	15401
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	8580	11241	26461	3290	7275	8033	7872	23048	5599	6439	3570	4998	25876	22383	15959
Thu nhập khác###Other incomes	0	223	327	206	77	77	3	0	0	0	0	0	134	165	178
Chi phí khác###Other Expenses	0	0	488	304	1	0	0	0	0	0	0	0	15	20	1
Lợi nhuận khác###Other profits	0	223	-161	-98	76	77	3	0	0	0	0	0	119	145	178
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	8580	11463	26300	3192	7352	8110	7875	23048	5599	6439	3570	4998	25996	22529	16137
Chi phí thuế TNDN###Corporate Income Tax Expenses	1778	2306	5413	655	1509	1659	1591	4655	1132	1295	670	1070	5256	4463	3565
Chi phí thuế TNDN###Corporate Income Tax Expenses	1778	2306	5413	655	1509	1659	1591	4655	1132	1295	670	1070	5256	4463	3565
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	6802	9157	20887	2538	5843	6451	6283	18393	4467	5145	2900	3928	20740	18066	12572
---Cac Chi So Tai Chinh---															
EBITDA	-0.03	-0.36	-1.44	-1.44	-1.30	-1.11	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	26.00	24.84	23.14	23.14	25.05	18.34	15.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
