CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012	 2011
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	6140729	6272366	6470022	6458004	5985243	5849529	5482560	5352709	5350215	5023646	4915734	4649573	4481828	4472021	4241232	4149810	4040337	3911216	3909658	3308009	2968375	2822311	2607715	2607715	2378927	1735063	1725478	1496583	999596
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	500	500	500	500	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
Vốn chủ sở hữu ###Owners equity	6140229	6271866	6469522	6457504	5984743	5849029	5482560	5352709	5350215	5023646	4915734	4649573	4481828	4472021	4241232	4149810	4040337	3911216	3909658	3308009	2968375	2822311	2607715	2607715	2378927	1735063	1725478	1496583	999585
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1833808	1430547	7723134	1650119	1982779	2084224	2005936	8073116	1894461	2175557	2391507	1609274	7672763	1725354	2019761	2100567	1838016	7008334	1724557	1946596	1628389	1707812	7804040	1811006	2087424	6261856	5828511	5062028	4151996
Các khoản giảm trừ doanh thu###Deduction revenues	8837	6065	42245	17503	7513	11548	5681	42078	10773	5270	14110	11924	39875	16423	8602	8039	6812	36229	14751	15137	5766	551	18805	7572	2761	12376	284757	228118	170528
Doanh thu thuần###Net Sales	1824971	1424482	7680889	1632616	1975266	2072676	2000255	8031038	1883688	2170286	2377397	1597350	7632888	1708931	2011159	2092528	1831204	6972104	1709805	1931459	1622623	1707261	7785235	1803434	2084663	6249479	5543754	4833910	3981468
Giá vốn hàng bán###Cost of goods sold	1216630	1066462	5224487	918192	1256395	1421913	1528431	5736791	1177440	1552549	1725032	1190243	5636857	1107392	1532291	1569294	1412784	4696861	987539	1338687	1097139	1239783	5487098	1200326	1457841	4423993	4018391	3520175	2920453
Lợi nhuận gộp###Gross profit	608341	358020	2456402	714424	718871	650763	471824	2294247	706248	617738	652364	407107	1996031	601539	478867	523235	418420	2275243	722266	592773	525485	467478	2298137	603108	626822	1825487	1525363	1313735	1061015
Doanh thu hoạt động tài chính###Financial activities Revenues	31711	37696	138024	41082	36588	30990	29364	87225	28753	25523	20598	12354	37649	13342	8093	9212	7002	72794	10388	13452	24409	24549	71761	32689	7376	62478	70858	78925	43460
Chi phí tài chính###Financial Expenses	22015	22122	77362	18510	16258	21530	21064	96151	20946	27248	28210	19732	78015	15947	19517	22704	19846	77041	18670	15965	22088	20321	62996	19442	10895	80028	70824	59434	61689
Chi phí bán hàng###Selling Expenses	150051	174703	785326	124885	321565	135925	238886	761581	154304	288869	174680	174349	697051	167866	212687	172365	158440	714777	133430	215403	169780	209403	735536	141808	219908	685758	649753	493575	365610
Chi phí quản lý doanh nghiệp###Managing Expenses	81595	56290	214247	83526	74193	79657	52555	175795	80573	63231	54057	41739	146022	59144	37963	35437	33320	44089	-87644	31486	84272	26022	229463	79252	32935	204978	122075	98991	74005
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	386391	142601	1517491	528585	343443	444641	188682	1347945	479178	263913	416016	183640	1112592	371924	216793	301939	213816	1512129	668198	343370	273753	236281	1341902	395294	370459	917201	753569	740660	603171
Thu nhập khác###Other incomes	298	186	32974	26652	241	3529	2514	58184	30823	980	203	25891	28058	1327	1766	31	25674	33217	6787	764	24557	247	22789	-593	286	32938	22432	20291	21460
Chi phí khác###Other Expenses	414	1607	7289	-1372	1333	5024	2286	827	309	208	63	247	2312	163	525	1503	398	2573	1070	77	673	1	2841	2343	102	8657	5104	3052	4145
Lợi nhuận khác###Other profits	-116	-1421	25685	28024	-1092	-1495	228	57357	30514	772	140	25645	25746	1164	1241	-1472	25276	30643	5718	687	23884	246	19947	-2937	184	24281	17329	17239	17315
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	386275	141180	1543176	556609	342351	443146	188910	1405303	509692	264685	416156	209285	1138338	373088	218035	300467	239092	1542773	673915	344057	297637	236528	1361850	392358	370643	941481	770897	757899	620487
Chi phí thuế TNDN###Corporate Income Tax Expenses	65804	24513	251399	83847	55935	77223	34252	164951	59974	33625	47357	21004	111539	39675	23989	33096	16931	132896	72257	28731	20890	21931	131784	45375	33882	167179	188367	49669	42050
Chi phí thuế TNDN###Corporate Income Tax Expenses	65780	24613	251416	83775	55983	77225	34291	164811	59956	33637	47356	20870	111583	39811	23996	33096	16831	132997	72252	28729	20844	21986	131458	45250	33229	167492	188354	49691	42046
Chi phí thuế TNDN###Corporate Income Tax Expenses	24	-101	-16	73	-48	-2	-39	140	18	-12	0	134	-44	-137	-7	0	99	-101	4	1	46	-54	327	125	653	-313	14	-22	4
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	320471	116667	1291777	472761	286416	365923	154658	1240351	449717	231060	368799	188281	1026799	333413	194045	267371	222162	1409876	601659	315326	276748	214596	1230065	346983	336761	774302	582530	708230	578437
---Cac Chi So Tai Chinh---																													
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	28.59	20.72	24.11	24.11	26.52	29.69	30.89	30.31	30.31	28.02	25.84	33.39	31.70	31.70	40.26	48.74	53.88	41.40	41.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
