CAN DOI KE TOAN	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	Q4 2014	Q3 2014	Q2 2014	 2013	 2012
Nợ phải trả ###Liabilities	1217149	1288446	1355527	1322824	581852	527516	464261	557836	557783	620485	528695	685373	563524	521315	609695	605242	829791	829791	704676	634374	871975	542369
Nợ ngắn hạn###Short term Liabilities	1217149	1260586	1327667	1294964	581852	527516	464261	557836	557783	620485	528695	685373	563524	521315	609695	605242	829791	829791	704676	634374	871975	542369
Nợ dài hạn###Long term Liabilities	0	27860	27860	27860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	2309645	2116206	1974082	1998451	901937	873633	842372	816075	816592	804372	768564	710203	848272	843714	786595	718200	621399	621399	746945	693725	382354	337716
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	2309645	2116206	1974082	1998451	901937	873633	842372	816075	816592	804372	768564	710203	848272	843714	786595	718200	621399	621399	746945	693725	382354	337716
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q3 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1418098	1286835	3336484	1008334	773145	846116	752991	2152393	661708	485567	486994	518124	2118285	556021	476812	1810358	500638	438934	420590	1690870	457171	1735228
Các khoản giảm trừ doanh thu###Deduction revenues	456	98	613	613	0	0	0	0	0	0	0	0	81	0	0	0	15659	17942	19244	79463	21607	81719
Doanh thu thuần###Net Sales	1417641	1286736	3335871	1007721	773145	846116	752991	2152393	661708	485567	486994	518124	2118204	556021	476812	1810358	484979	420992	401347	1611407	435565	1653509
Giá vốn hàng bán###Cost of goods sold	1125845	1051522	2978948	802609	712041	763093	697817	1880461	609931	429042	404574	436417	1762666	464338	386811	1516053	405954	361085	316469	1247906	329973	1241639
Lợi nhuận gộp###Gross profit	291796	235214	356923	205112	61103	83023	55174	271932	51776	56526	82420	81707	355538	91683	90001	294305	79025	59906	84878	363501	105592	411871
Doanh thu hoạt động tài chính###Financial activities Revenues	6998	5690	187525	34078	5971	3779	5868	27882	7391	5523	7505	7463	71155	6029	8761	35498	8176	10756	6511	37016	8159	13351
Chi phí tài chính###Financial Expenses	14656	7440	11583	5028	1391	3435	2444	17904	9664	1501	4525	2265	28738	11821	5644	21434	4581	8819	1777	8995	2445	5061
Chi phí bán hàng###Selling Expenses	66975	58213	145002	68048	30244	37311	26312	83867	25841	18346	21151	18484	94981	22287	19341	70403	18280	17158	15158	61651	16954	75155
Chi phí quản lý doanh nghiệp###Managing Expenses	15954	13126	24064	20881	4316	3290	3686	17474	6129	4405	2880	3190	16935	2912	5385	14754	3709	3881	3034	12882	2273	8569
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	201209	162125	363800	145232	31124	42767	28601	180570	17533	37795	61368	65232	286039	60691	68392	223212	60630	40805	71419	316989	92078	336436
Thu nhập khác###Other incomes	257	115	2126	384	480	-1295	2556	1716	287	1326	0	0	0	0	0	9709	0	0	0	0	0	576
Chi phí khác###Other Expenses	133	201	3464	1112	935	-1204	2620	1920	535	1339	0	0	175	90	8	9849	38	60	56	335	0	1170
Lợi nhuận khác###Other profits	124	-87	-1338	-728	-455	-91	-63	-205	-248	-13	0	0	-175	-90	-8	-140	-38	-60	-56	-335	0	-594
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	201333	162038	362462	144504	30668	42676	28538	180365	17285	37782	61368	65232	285864	60601	68384	223072	60592	40745	71364	316654	92078	335842
Chi phí thuế TNDN###Corporate Income Tax Expenses	1776	2203	33005	10447	2364	3095	1060	12153	4542	1974	3007	2893	12592	4480	5805	30725	7371	4855	9518	33999	7011	20563
Chi phí thuế TNDN###Corporate Income Tax Expenses	1776	2203	33005	10447	2364	3095	1060	12153	4542	1974	3007	2893	12592	4480	5805	30725	7371	4855	9518	33999	7011	20563
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	201166	160876	329891	134984	28304	39581	27478	168212	12743	35808	58361	62339	273272	56122	62580	192346	53221	35890	61845	282654	85067	315279
---Cac Chi So Tai Chinh---																						
EBITDA	0.41	1.17	0.63	0.63	0.38	0.39	0.28	0.85	0.85	0.47	0.73	1.02	-2.59	-2.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	31.50	31.00	32.80	32.80	32.13	31.37	35.19	36.15	36.15	46.09	40.36	38.43	38.49	38.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
