CAN DOI KE TOAN	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007
Tài sản dài hạn khác###Other long term assets	0	0	0	0	0	0	31	0	31	31	31	31	31	882	182	182	882	36	2969	1808	1389	1358	1192	1192	4417	1027	846	820	820	494	888	1936	1439	6439	2245	716	759	828	828	362	298	171	66	66	52	47
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1193375	1293218	1274350	1274350	1245620	1191235	1545990	1243915	1260628	1212318	1200613	1167479	1096728	1017415	442185	439057	445409	486956	497961	464713	449993	443703	437736	437736	395221	373359	345562	351681	351681	341180	334813	364195	359915	375991	340767	342708	379494	319394	319394	228285	205881	160317	75878	75878	16871	6297
Nợ phải trả ###Liabilities	196648	296079	278607	278607	250472	204457	320238	259374	276831	229035	217475	187945	118271	40079	28529	25632	16266	59798	76033	45395	31384	34018	37653	37653	113219	108524	81142	99481	99481	95483	91993	124290	123480	136693	101023	114311	153893	109019	109019	34903	39408	15618	22475	22475	5090	459
Nợ ngắn hạn###Short term Liabilities	196648	296079	278607	278607	250472	204457	320238	193415	206382	179762	168202	123765	54091	40079	28529	25632	16266	59798	76033	45058	31017	33620	37224	37224	112759	108044	81142	99481	99481	95483	91993	123948	123138	136351	100628	113917	153893	108802	108802	34903	39408	15108	21960	21960	4549	204
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	65959	70449	49273	49273	64180	64180	0	0	0	0	0	0	337	368	398	429	429	459	480	0	0	0	0	0	342	342	342	395	395	0	217	217	0	0	510	515	515	541	255
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	996727	997139	995743	995743	995148	986778	1225752	984541	983797	983283	983139	979534	978457	977336	413656	413425	429144	427157	421928	419318	418609	409685	395494	395494	206513	204092	213252	252200	216384	213542	210680	206620	236435	199098	199376	206514	204013	210376	196587	181574	160625	142020	52384	52384	9772	5838
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	996727	997139	995743	995743	995148	986778	1225752	984541	983797	983283	983139	979534	978457	977336	413656	413425	429144	427157	421928	419318	418609	409685	395494	395494	206513	204092	213252	252200	216384	213542	210680	206620	236435	199098	199376	206514	204013	210376	196587	181574	160625	142020	52384	52384	9772	5838
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6063	0	4246	4228	4187	4454	4589	4589	75489	60744	51168	35816	35816	32155	32140	33285	31383	40201	40368	21882	21588	13789	13789	11808	5849	2679	1019	1019	2010	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449993	443703	437736	437736	395221	373359	345562	351681	351681	341180	334813	364195	359915	375991	0	0	379494	319394	319394	228285	205881	160317	75878	0	16871	6297



KET QUA KINH DOANH	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	316321	58296	120444	105232	32349	243365	61084	23029	89948	69304	108421	82289	5224	2450	18457	69302	34613	0	6507	51829	28183	635	5676	6660	15212	52099	6644	8067	21275	7568	61115	3485	8067	30011	45934	97163	11613	66612	53045	18393	177339	21041	17472
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	5	8589	8573	0	0	0	11838	0	0	11838	0	1267	0	0	0	1267	27935	0	0
Doanh thu thuần###Net Sales	316321	58296	120444	105232	32349	243365	61084	23029	89948	69304	108421	82289	5224	2450	18457	69302	34613	0	6507	51829	28178	635	5676	6659	15207	43509	-1929	8067	21275	7568	49277	3485	8067	18173	45934	95896	11613	66612	53045	17125	149404	21041	17472
Giá vốn hàng bán###Cost of goods sold	302122	56314	110436	103719	31653	239653	60897	22538	87814	68104	103628	80321	5036	3001	17571	52896	32820	0	4622	39102	11373	523	4889	1545	4416	18794	-6252	3771	13347	2199	25068	1401	3771	11244	31844	41803	3700	30272	20966	4558	128744	19759	16995
Lợi nhuận gộp###Gross profit	14200	1982	10008	1513	696	3713	187	492	2134	1200	4793	1968	188	-551	887	16405	1793	0	1885	12727	16805	112	787	5115	10791	24716	4322	4296	7929	5370	24209	2084	4296	6928	14090	54093	7913	36341	32079	12568	20660	1282	476
Doanh thu hoạt động tài chính###Financial activities Revenues	3051	0	1526	1	1525	6654	827	1997	3129	838	9642	2611	1786	-42573	46675	7253	2160	2791	541	1769	20395	83466	18750	0	1	1164	1005	50	94	64	1113	0	50	1064	54	638	215	66	97	261	188	0	0
Chi phí tài chính###Financial Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	-45885	45885	832	0	58	229	0	3941	68340	15510	741	1173	2916	1209	12	1268	0	1483	0	12	1125	311	128	79	13	2	34	230	0	0
Chi phí bán hàng###Selling Expenses	623	623	0	0	0	0	18	0	-66	66	55	24	24	27	27	130	75	27	6	48	1797	587	327	138	744	1849	-989	109	1644	194	2358	43	109	1079	1094	1563	538	10	607	408	4873	171	0
Chi phí quản lý doanh nghiệp###Managing Expenses	1505	181	393	567	364	2574	353	592	822	626	5233	661	388	1026	896	7046	165	2027	2084	1916	6696	3000	517	1972	1207	6377	3207	3030	1340	539	8960	1772	3030	2507	2332	12901	1496	4198	5781	1426	7859	932	401
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	15123	1178	11141	947	1857	7792	643	1897	4506	1346	9148	3894	1563	309	2152	31170	3713	679	9087	12532	24766	11652	3183	2263	7668	14737	1901	1195	3771	4700	12521	269	1195	3282	10408	40139	6016	32185	25785	10960	7886	180	75
Thu nhập khác###Other incomes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	596	0	0	409	0	136	273	0	7945	7193	0	65	682	5296	-11400	0	2	1	56875	11866	0	0	0	176	384	0
Chi phí khác###Other Expenses	156	0	0	156	0	0	0	0	0	0	1023	0	0	517	0	689	330	655	2	7	354	11	0	343	0	5876	4664	1	112	591	5943	-8901	1	1	10	10317	0	24	82	9	169	421	0
Lợi nhuận khác###Other profits	-156	0	0	-156	0	0	0	0	0	0	-1023	0	0	-517	0	-398	-330	-60	-2	-7	55	-11	136	-70	0	2070	2529	-1	-47	91	-647	-2499	-1	1	-9	46558	11866	-24	-82	-9	7	-37	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	14967	1178	11141	791	1857	7792	643	1897	4506	1346	8125	3894	1563	-208	2152	30772	3384	620	9085	12525	24821	11641	3319	2193	7668	16806	4429	1195	3724	4791	11874	11446	13676	3283	10398	86697	17882	32161	25703	10951	7893	143	75
Chi phí thuế TNDN###Corporate Income Tax Expenses	2758	0	2228	189	371	1565	129	379	901	269	2012	779	303	440	166	3500	774	136	23	2756	6303	3015	823	548	0	4289	0	0	0	1321	3145	-909	299	821	2639	21905	4470	8050	3605	2810	1423	40	21
Chi phí thuế TNDN###Corporate Income Tax Expenses	2758	0	2228	189	371	1565	129	379	901	269	2012	779	303	440	166	3500	774	136	23	2756	6303	3015	823	548	1917	4289	1175	299	808	1321	3145	-909	299	821	2639	21905	4470	8050	6415	2810	1423	40	21
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	12210	1178	8913	652	1486	6392	514	1518	3604	1077	6457	3116	1260	-648	1986	27303	2610	483	9063	9769	18681	8625	2496	1645	5751	12517	3255	896	2916	3470	8729	-1321	896	2462	7759	64792	13411	24111	19288	8142	6470	103	54
---Cac Chi So Tai Chinh---																																											
EBITDA	0.09	0.09	1.72	1.41	0.53	0.40	0.40	0.14	0.76	0.99	1.08	1.08	1.36	1.62	1.81	1.77	1.77	1.70	1.65	1.24	1.00	1.00	1.22	1.45	1.94	2.48	2.48	2.67	2.55	1.95	1.27	1.27	1.33	1.58	2.03	2.56	2.56	3.07	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	1.30	1.30	2.11	2.31	1.82	1.47	1.47	1.45	3.60	6.30	5.40	5.40	4.40	6.00	9.00	9.00	9.00	9.50	8.00	10.18	9.18	9.18	7.91	8.36	9.27	9.36	9.36	9.34	11.18	10.09	3.34	3.34	10.59	9.94	18.56	31.27	31.27	38.57	0.00	0.00	0.00	0.00	0.00
