CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	 2012	 2011	 2010
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-945	-931	-918	-918	-893	-871	-850	-828	-828	-1128	-1106	-1085	-1063	-1063	-1042	-1020	-999	-980	-1009	-969	-958	-947	-929	-929	-910	-892	-874	-856	-856	-848	-841	-827	-820	-820	-800	-773	-763	-683	-661
Lợi thế thương mại	12431	12909	13388	13388	13866	14344	14822	15300	15300	15778	16256	16734	17213	17213	17691	18169	18647	19125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	853	853	853	853	0	0	0	0	33573	0	0	0	1350	1350	1350	1350	1350	1350	1350	1350	0	1000	0
Tài sản dài hạn khác###Other long term assets	13406	13383	13780	15376	15998	15165	15829	16549	16670	17475	17897	18995	19506	19941	20319	19784	20552	21153	1991	790	621	346	333	1734	1977	2147	2303	2325	2325	2367	2596	3411	5051	6333	5834	4767	4976	1187	10415
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	3032895	2818860	1953184	2057256	1953461	1794442	1977759	2189141	2175446	2818147	2319206	2452739	2470097	2446553	2722281	2366075	1889606	2621149	2638367	2328029	1981841	2004508	2360970	2383682	2308965	2322421	2258401	2574840	2609409	2196131	2629781	2896872	3356307	3356365	2554272	2352209	1828683	1942953	2138424
Nợ phải trả ###Liabilities	2666747	2463256	1613668	1717738	1585748	1442567	1650190	1874176	1860276	2492256	2005210	2146384	2177320	2153734	2429856	2090505	1628067	2375291	2388753	2049154	1715488	1753214	2128809	2098241	2038758	2066277	2019414	2355519	2389594	1921973	2385943	2680063	3160551	3121349	2281192	2099872	1681598	1802689	2003636
Nợ ngắn hạn###Short term Liabilities	2666468	2463099	1613390	1714958	1585591	1442209	1650033	1874019	1860119	2492099	2004903	2145877	2176713	2153127	2428949	2089598	1627860	2373885	2388423	2048722	1715056	1752807	2128602	2098034	2038556	2066075	2019162	2354978	2389053	1921106	2385156	2679021	3160119	3120917	2274002	2097820	1679696	1799416	2002656
Nợ dài hạn###Long term Liabilities	278	157	278	2779	157	357	157	157	157	157	307	507	607	607	907	907	207	1406	329	432	432	407	207	207	202	202	252	541	541	867	787	1042	432	432	7190	2052	1902	3273	980
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	366149	355604	339516	339518	367713	351875	327569	314964	315170	325891	313995	306355	292777	292819	292425	275571	253746	245858	242264	278875	266353	251294	232162	285441	270206	256144	238987	219321	219815	274158	243838	216809	195755	235015	273080	252337	147086	140263	134788
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	366149	355604	339516	339518	367713	351875	327569	314964	315170	325891	313995	306355	292777	292819	292425	275571	253746	245858	242264	278875	266353	251294	232162	285441	270206	256144	238987	219321	219815	274158	243838	216809	195755	235015	273080	252337	147086	140263	134788
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7793	0	7350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2629781	2896872	3356307	3356365	2554272	2352209	1828683	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1612176	1878949	5764793	1447291	1424815	1349070	1513754	5637009	1561943	1473385	1256086	1345668	6453277	1835015	1837633	1439370	1404375	5906334	1528480	1472803	1443686	1461365	5689249	1516872	1510085	1423086	1239207	6279027	1493731	1612125	1789947	1383223	6289007	1761479	1782470	2745558	5520883	6786663	6163219
Các khoản giảm trừ doanh thu###Deduction revenues	21482	23123	66035	21784	20467	9227	14554	73535	27416	17667	16832	11753	66203	19425	15749	17499	13533	99074	28845	23082	28635	18512	104615	41391	31446	27083	6402	94854	39383	29020	18604	7847	163364	37151	52251	73866	257850	327760	146383
Doanh thu thuần###Net Sales	1590695	1855827	5698758	1425507	1404348	1339843	1499199	5563474	1534526	1455718	1239254	1333915	6387074	1815591	1821884	1421871	1390841	5807259	1499635	1449720	1415051	1442853	5584633	1475480	1478639	1396003	1232805	6184173	1454348	1583105	1771344	1375376	6125643	1724327	1730219	2671692	5263033	6458903	6016836
Giá vốn hàng bán###Cost of goods sold	1517238	1781748	5421015	1343086	1336279	1276276	1441538	5300182	1454972	1386981	1184152	1272463	6072956	1725214	1738976	1350329	1321582	5563674	1430871	1394598	1360189	1378017	5305750	1392498	1421580	1327091	1167621	5858576	1374343	1496744	1674821	1306214	5808606	1655284	1643357	2510677	4887284	5840922	5588390
Lợi nhuận gộp###Gross profit	73457	74079	277743	82421	68070	63567	57661	263291	79554	68737	55102	61452	314118	90377	82908	71542	69259	243585	68765	55122	54862	64836	278883	82982	57059	68912	65184	325597	80006	86361	96523	69162	317037	69044	86861	161015	375749	617981	428446
Doanh thu hoạt động tài chính###Financial activities Revenues	6732	4156	24668	6425	6500	8102	4564	55825	16300	11546	14872	13107	55245	17774	17996	8516	10959	47052	15931	10668	13842	6611	45498	11931	14268	10049	9249	28360	7773	7702	405	12481	60035	18425	14480	27022	33970	24244	32058
Chi phí tài chính###Financial Expenses	11295	17196	50746	9976	13723	17177	9034	81777	20321	19329	22336	19790	77768	16906	27222	16498	17990	77100	26585	16698	17341	16475	90284	26193	23526	21113	19452	99306	21216	22673	25211	28857	95921	29292	21732	44789	105018	261631	127692
Chi phí bán hàng###Selling Expenses	31541	28929	122517	37600	31026	27906	24544	112662	36218	28480	23771	28090	132492	37121	33631	28076	29017	93820	27909	26212	21419	23443	96076	27803	18541	25845	22287	86678	36276	18883	21423	15852	79096	14975	26583	41715	90810	125065	90711
Chi phí quản lý doanh nghiệp###Managing Expenses	23783	9898	64479	28856	9693	9448	12980	45743	3958	17676	12148	9413	71656	24322	19339	18215	13580	45665	12897	6264	13640	7700	53561	21308	11440	10072	7604	51569	15288	13655	15397	8976	74534	12817	23735	38775	84903	104098	96470
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	13570	22212	64669	12415	20127	17137	15667	78934	35357	14798	11719	17266	87446	29801	20713	17270	19631	74051	17304	16615	16303	23829	84460	19609	17820	21931	25090	116403	14999	38852	34897	27958	127522	30385	29292	62758	128988	151431	145631
Thu nhập khác###Other incomes	690	427	1436	417	368	391	197	1072	571	75	345	81	819	163	82	423	151	294	116	37	49	92	1129	610	211	195	123	497	104	225	52	115	7324	3148	300	3876	34021	7752	13184
Chi phí khác###Other Expenses	-934	2028	2963	17	69	35	9	157	89	49	14	6	307	95	116	56	38	103	84	6	8	6	423	291	2	129	0	372	1	151	219	1	18346	18003	26	317	11805	3412	201
Lợi nhuận khác###Other profits	1624	-1601	-1527	400	298	356	188	915	482	26	331	75	513	67	-35	367	113	191	32	31	41	87	706	319	208	66	122	124	103	74	-167	114	-11022	-14855	274	3559	22216	4340	12983
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	15193	20611	63142	12814	20426	17493	15855	79850	35840	14824	12051	17342	87959	29868	20678	17636	19744	74242	17337	16646	16344	23915	85166	19928	18029	21997	25212	116527	15101	38927	34730	28071	116500	15530	29566	66317	151204	155771	158614
Chi phí thuế TNDN###Corporate Income Tax Expenses	4649	4523	16972	6975	3549	3187	3250	16064	6894	2928	2479	3764	18417	6885	3824	3623	4044	12710	3314	3329	1284	4783	17697	3345	3966	4839	5547	26882	4127	8607	6928	7018	35706	9380	8823	0	50120	51932	45109
Chi phí thuế TNDN###Corporate Income Tax Expenses	4649	4523	16972	6975	3549	3187	3250	16064	6894	2928	2479	3764	18417	6885	3824	3623	4044	12710	3314	3329	1284	4783	17697	3345	3966	4839	5547	26882	4127	8607	6928	7018	35706	9380	8823	15893	50120	42323	54718
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9609	-9609
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	8290	14758	44743	6432	17435	13953	11550	62757	29311	12222	9572	13088	72993	26236	16574	14054	16143	61531	14023	13317	15059	19132	67469	16584	14062	17158	19666	89646	10975	30320	27802	21053	80794	6150	20743	50424	101084	103839	113505
---Cac Chi So Tai Chinh---																																							
EBITDA	0.01	0.15	0.70	0.70	0.84	0.77	0.45	0.44	0.44	0.27	0.15	-0.04	-0.10	-0.10	0.26	0.72	1.04	1.17	1.17	1.42	0.98	0.89	0.60	0.60	0.51	-0.07	0.25	-0.03	-0.03	-0.22	0.23	-0.33	0.35	0.35	0.89	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	9.50	9.40	11.52	11.52	11.52	11.79	10.29	10.43	10.43	9.60	8.29	9.21	10.00	10.00	9.35	9.08	9.46	10.47	10.47	9.80	10.08	8.64	9.74	9.74	9.74	13.67	15.66	14.79	14.79	15.83	8.69	11.84	12.39	12.39	13.92	15.65	0.00	0.00	0.00
