CAN DOI KE TOAN	 2018	 2017	Q2 2017	 2016	 2015	Q4 2015	 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	 2009	Q4 2009	 2008	Q4 2008
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	400496	428217	553643	567538	617109	617109	868024	886264	893601	889570	1000335	1044846	1094249	1108155	1108152	1188758	1331316	1351543	1518681	1617355	1460145	1295616	1068869	1052429	1052429	961631	542295	542295	68524	68524
Nợ phải trả ###Liabilities	802453	817702	977240	951396	923087	923087	1104376	1065790	1039257	1023161	1035372	1035224	1043442	1032033	1032030	1043294	1067850	1055834	1190908	1203590	1034763	873431	689103	675053	675053	590845	403148	403148	19972	19972
Nợ ngắn hạn###Short term Liabilities	749691	759151	909742	879925	840468	840468	1022406	982347	955049	938854	963015	962457	973531	961115	961112	961203	1000761	988647	1109676	1122358	934584	777288	587959	606589	606589	529158	400619	400619	19972	19972
Nợ dài hạn###Long term Liabilities	52762	58551	67498	71471	82620	82620	81970	83443	84208	84308	72356	72768	69911	70918	70918	82091	67089	67187	81232	81232	100178	96143	101144	68464	68464	61687	2529	2529	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	-401958	-389485	-424299	-384651	-310513	-305979	-295801	-179526	-207330	-133591	-35037	9621	50807	16441	16377	85693	203502	235728	327773	353752	365357	362163	379766	377377	377377	370786	139147	139147	48553	48553
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	-401958	-389485	-424299	-384651	-310513	-305979	-295801	-179526	-207330	-133591	-35037	9621	50807	16441	16377	85693	203502	235728	327773	353752	365357	362163	379766	377377	377377	0	139147	139147	0	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	59479	61673	59484	59483	59516	59569	59681	59745	59772	59965	59981	60064	60013	60026	60022	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	886264	893601	889570	1000335	1044846	1094249	1108155	1108152	1188758	1331316	1351543	1518681	1617355	1460145	1237772	1071734	1052429	1052429	961631	542295	542295	68524	68524



KET QUA KINH DOANH	 2018	 2017	 2016	 2015	 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	22359	26925	22621	242783	27651	9031	-5434	-51535	22741	17231	7402	77014	15208	16167	31715	13923	912807	417855	122665	221901	150386	848789	3077481	205171	363123	36052	322078	0
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1692	0	0	0	0	0
Doanh thu thuần###Net Sales	22359	26925	21371	242783	27651	9031	-5434	-51535	22741	17231	7402	77014	15208	16167	31715	13923	912807	417855	122665	221901	150386	848789	3075789	205171	363123	36052	322078	6112
Giá vốn hàng bán###Cost of goods sold	17686	93636	17036	255348	30076	12435	93490	21212	37372	25851	10328	204171	51481	104770	36777	11143	905499	410081	103762	206537	123105	752232	2661603	185353	331483	34347	292817	5614
Lợi nhuận gộp###Gross profit	4673	-66711	4335	-12565	-2425	-3404	-98925	-72748	-14631	-8620	-2926	-127157	-36273	-88602	-5062	2780	7307	7774	18903	15364	27280	96557	414187	19818	31640	1705	29261	499
Doanh thu hoạt động tài chính###Financial activities Revenues	35087	4	308	210	10	3	65	10	14	26	15	1147	26	29	80	1012	7568	2820	855	1893	1569	8388	85906	1319	1090	547	4435	0
Chi phí tài chính###Financial Expenses	48405	-87840	58240	-59321	55165	20265	68148	21890	20447	12017	13794	87600	26110	20115	15757	25617	54981	14772	5802	6413	10199	17981	85143	1110	2530	80	5569	0
Chi phí bán hàng###Selling Expenses	142	429	196	0	0	0	0	0	0	0	0	118	0	0	0	118	46	0	0	0	0	265	8580	0	265	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	3279	3389	21945	55150	17959	4712	24068	2792	5994	6834	5210	29757	5113	5736	9697	9211	43558	11205	9131	9192	13376	41448	174769	10326	14763	1227	18434	0
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-12067	17314	-75737	-8184	-75539	-28379	-191076	-97420	-41058	-27446	-21915	-243485	-67470	-114425	-30436	-31154	-83709	-15383	4825	1652	5274	45252	231601	9701	15172	944	9693	430
Thu nhập khác###Other incomes	2976	4942	4527	6651	4062	389	32303	3342	5632	12157	6095	17498	8532	1838	6033	1096	1186	1875	1578	234	116	49937	34222	17419	8495	0	1835	0
Chi phí khác###Other Expenses	3382	27883	3135	17752	17029	3691	62921	4476	8188	24668	9494	25665	10404	5415	7839	2007	4706	1786	1578	196	16	50448	19064	17585	8988	0	1626	0
Lợi nhuận khác###Other profits	-406	-22941	1392	-11101	-12967	-3301	-30618	-1135	-2556	-12511	-3399	-8166	-1872	-3578	-1806	-910	-3520	88	1	38	100	-511	15158	-166	-493	0	208	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-12473	-5627	-74345	-19285	-88506	-31680	-221694	-98554	-43613	-39957	-25314	-251651	-69343	-118002	-32242	-32065	-87229	-808	4826	1690	5374	44741	322415	9535	14679	944	9902	430
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	1045	0	1045	0	0	0	0	0	0	0	7	-3676	1354	460	2101	12731	0	2400	5101	236	1828	120
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	1045	0	1045	0	0	0	0	0	0	0	7	-3676	1354	458	1385	12731	63344	2400	5101	236	1828	120
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2084	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-12361	-5880	-74552	-23858	-88541	-31680	-222936	-98554	-44658	-39957	-25314	-251651	-69343	-118002	-32242	-32065	-87236	-11618	3472	1232	3990	32009	261156	7135	9578	708	8074	309
---Cac Chi So Tai Chinh---																												
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	0.40	0.40	0.40	0.70	0.70	4.10	1.80	1.80	0.70	0.90	1.00	1.40	1.40	1.30	2.70	4.40	3.90	3.90	8.00	7.70	8.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00
