CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
Vốn chủ sở hữu ###Owners equity	2694979	2659379	2579628	2582813	2517976	2477528	2567022	2407935	2407486	2301840	1393641	1368041	1318017	1318328	1281291	1233505	1202919	1150683	1150750	1114425	1106424	1166396	1161996	765414	695405	917680
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305466	227858	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	302787	303832	1159374	353167	291569	340020	173540	559488	197944	135045	105676	121138	539100	169899	125521	133212	110468	431381	181660	85040	103860	60822	354355	338774	307898	1021919
Các khoản giảm trừ doanh thu###Deduction revenues	1199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	301587	303832	1159374	353167	291569	340020	173540	559488	197944	135045	105676	121138	539100	169899	125521	133212	110468	431381	181660	85040	103860	60822	354355	338774	307898	1021919
Giá vốn hàng bán###Cost of goods sold	127698	122914	509711	151643	123614	159180	72895	253488	94393	64949	44420	52853	227296	70309	53730	61234	41245	212528	67889	44655	65549	33372	157320	134453	118163	693616
Lợi nhuận gộp###Gross profit	173890	180918	649663	201524	167955	180840	100646	306001	103550	70096	61255	68285	311804	99590	71790	71978	69223	218853	113771	40385	38310	27449	197035	204321	189735	328303
Doanh thu hoạt động tài chính###Financial activities Revenues	4617	11827	24241	6001	5718	5782	7890	19455	7971	1878	4528	5076	17993	5964	4587	4344	3098	26820	2105	3851	16037	4827	34359	44615	33776	53637
Chi phí tài chính###Financial Expenses	86255	90957	257819	88084	78238	59468	31048	41138	22472	6665	6172	5829	24627	5904	8624	6304	6277	45765	6741	15671	11175	11263	41440	76315	97896	135744
Chi phí bán hàng###Selling Expenses	217	30	625	547	0	0	0	588	588	0	0	0	960	568	129	129	133	123	0	3	41	79	48	174	12	10111
Chi phí quản lý doanh nghiệp###Managing Expenses	28089	24167	111171	38033	32184	21328	18562	76636	38040	15526	14131	15831	65054	20858	14367	19261	10113	51290	14058	14418	12830	10088	42113	40387	30298	43075
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	63946	77591	304290	80861	63252	105827	58926	207093	50421	49782	45480	51701	239156	78224	53257	50627	55798	148496	95077	14144	30302	10847	147793	132060	95305	193011
Thu nhập khác###Other incomes	1107	600	973	-1626	436	435	247	2423	11943	-558	286	1132	2186	2050	344	1817	831	2654	617	775	1243	177	2679	3564	7382	5182
Chi phí khác###Other Expenses	191	230	1315	5617	1314	1435	206	2577	3291	-603	216	388	10905	4553	1405	7271	543	1910	2897	443	687	292	1963	7625	4589	760
Lợi nhuận khác###Other profits	916	371	-342	-7243	-878	-1001	41	-154	8651	45	70	744	-8719	-2503	-1061	-5453	288	745	-2279	332	557	-115	716	-4060	2794	4422
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	64862	77961	303948	73618	62374	104826	58968	206939	59072	49827	45551	52445	230437	75721	52196	45174	56086	149241	92797	14476	30858	10732	148509	128000	104576	197434
Chi phí thuế TNDN###Corporate Income Tax Expenses	-388	1663	13432	-3196	2642	3191	3406	19672	6298	5324	3550	4864	21136	6590	6353	5023	3820	14827	6550	2090	4937	939	16189	14833	13547	26630
Chi phí thuế TNDN###Corporate Income Tax Expenses	1047	1360	13686	3928	1887	3798	2950	20639	7830	4803	3635	4749	21417	6524	6246	4357	3691	13076	7033	1537	3104	1091	16552	16773	14528	27680
Chi phí thuế TNDN###Corporate Income Tax Expenses	-1435	303	-254	-7123	754	-607	457	-967	-1532	521	-85	115	-281	66	106	666	129	1751	-482	553	1833	-152	-363	-1941	-981	-1049
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	71085	86583	330032	85750	70355	116917	60875	229841	63594	55294	42000	57306	264833	84855	54013	54129	63504	173759	111315	12386	25922	9793	171967	150317	130103	170803
---Cac Chi So Tai Chinh---																										
EBITDA	0.32	0.51	0.71	0.71	0.67	0.59	0.28	0.27	0.27	0.20	0.20	0.17	-0.06	-0.06	-0.24	-1.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	16.54	15.04	20.30	20.30	20.60	17.07	15.74	11.15	11.15	10.20	8.18	7.76	8.96	8.96	8.36	8.54	8.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
