CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	Q4 2012
Nợ phải trả ###Liabilities	761236	610233	589545	590634	626893	659261	643509	559942	560078	497883	441546	415776	391602	390695	319430	308852	253676	193268	193245	214679	181201	143204	150415	150738	150163	137043	58268	58268	48593	48593	29588	29588
Nợ ngắn hạn###Short term Liabilities	547376	485948	464565	424348	427560	450327	425707	351292	353429	292770	247257	264857	273365	270688	255256	260177	246327	185693	185611	206578	172744	134853	141839	142739	141562	119502	58134	58134	46507	46507	29552	29552
Nợ dài hạn###Long term Liabilities	213860	124285	124980	166287	199333	208934	217802	208649	206650	205113	194290	150919	118236	120006	64174	48675	7350	7575	7635	8100	8457	8351	8576	8000	8601	17541	133	133	2086	2086	36	36
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	728443	697562	681988	683958	673294	456875	446719	495826	495602	499847	490168	486402	480187	488087	482571	464307	433762	427026	427213	405678	388456	406634	400959	399891	372148	358357	116987	116987	34386	34386	19505	19505
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	728443	697562	681988	683958	673294	456875	446719	495826	495602	499847	490168	486402	480187	488087	482571	464307	433762	427026	427213	405678	388456	406634	400959	399891	372148	358357	116987	116987	34386	34386	19505	19505
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q2 2014	Q1 2014	 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	346762	290834	1069744	268822	269375	320584	210964	607550	279931	154915	114335	58385	529939	129831	125871	202730	65625	462721	102551	139740	160012	74832	533499	155037	116090	167707	77525	298594	96865	38477	147520	6120
Các khoản giảm trừ doanh thu###Deduction revenues	148	2392	27804	20344	5225	429	1805	7326	4188	14	1236	1887	10581	5763	2330	100	2388	2214	329	1416	499	83	2773	302	1361	800	310	6590	441	0	221	0
Doanh thu thuần###Net Sales	346615	288441	1041940	248477	264149	320155	209159	600224	275743	154900	113099	56498	519358	124069	123540	202630	63238	460507	102222	138323	159513	74750	530726	154735	114729	166906	77215	292004	96424	38477	147300	6120
Giá vốn hàng bán###Cost of goods sold	275575	221897	808889	185743	193284	262813	166787	460401	223108	123518	79078	34697	366471	93134	83557	142043	43344	334308	56345	110318	123234	59198	419365	121785	87798	133316	57053	257824	77445	33878	135541	7812
Lợi nhuận gộp###Gross profit	71040	66545	233051	62735	70866	57342	42372	139823	52634	31382	34021	21801	152887	30935	39984	60587	19893	126199	45877	28005	36279	15551	111361	32950	26931	33591	20163	34180	18979	4599	11759	-1691
Doanh thu hoạt động tài chính###Financial activities Revenues	2057	1405	7415	2844	1884	1701	982	8848	2694	1839	2438	1877	6051	2087	1656	1647	1593	7225	4086	1473	1425	1550	10274	3056	2756	3467	998	12154	892	552	3172	2754
Chi phí tài chính###Financial Expenses	14969	7006	41203	11525	8042	13641	6996	20759	6101	6254	6165	2239	15169	4034	1837	3353	1859	10558	5213	1699	3789	1143	12485	4047	3322	2424	2434	6599	955	832	1737	1943
Chi phí bán hàng###Selling Expenses	17561	33217	110441	32531	36216	23168	18603	46661	22590	9824	7424	6823	34605	6717	8648	12759	5851	29388	11099	4148	8246	5342	26664	6004	7563	7219	6059	15309	9648	1404	8476	1
Chi phí quản lý doanh nghiệp###Managing Expenses	16792	11286	37434	9159	8549	9447	10016	32879	10825	7262	8515	6277	29624	6934	6100	9598	6825	25797	10030	5007	6024	4060	13071	5887	2516	2594	1731	4592	603	427	3414	3616
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	23393	16909	52601	13635	19519	12993	7739	48177	15173	10299	14326	8305	78153	14560	24815	36721	6902	67824	23482	18426	19546	6479	69400	19725	16402	24098	10936	19836	8664	2487	1304	-4497
Thu nhập khác###Other incomes	338	471	1022	760	26	272	23	48	3	0	2	25	2405	2254	231	181	2	186	35	18	66	67	450	183	60	0	22	55	11	16	180	23
Chi phí khác###Other Expenses	312	828	1199	802	368	-95	125	2924	568	5	-52	2403	1838	754	594	1541	19	336	8	153	161	15	671	506	91	0	8912	200	13	12	66	118
Lợi nhuận khác###Other profits	26	-356	-178	-42	-342	367	-101	-2876	-565	-5	54	-2378	567	1500	-363	-1361	-17	-150	27	-135	-95	52	-221	-323	-31	0	-8890	-145	-2	4	114	-95
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	23419	16552	52423	13593	19178	13361	7638	45301	14608	10295	14380	5926	78720	16060	24452	35360	6885	67674	23509	18291	19451	6531	69179	19402	16372	24098	11069	19691	8663	2491	1419	-4592
Chi phí thuế TNDN###Corporate Income Tax Expenses	2154	350	4504	-2873	1227	4033	2435	4867	3612	290	219	878	13241	626	5847	4460	2132	7215	2220	1209	2379	805	3741	1337	1243	1688	1239	1090	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	5980	1047	1981	-2227	2646	1641	404	3435	1195	290	1528	553	11423	0	5787	3840	1862	6178	2181	1077	2379	541	3394	1337	1243	1688	1289	1090	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-3826	-697	2523	-645	-1419	2392	2031	1432	2417	0	-1309	324	1818	626	59	620	271	1037	39	132	0	264	347	0	0	0	-50	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	21321	16237	47957	16488	17967	9335	5203	53770	16111	11057	14161	7964	75882	21113	18595	36947	6450	72129	21289	17082	17073	5726	85493	18065	15128	22410	9830	18601	8663	2491	1419	-4592
---Cac Chi So Tai Chinh---																																
EBITDA	0.31	0.44	0.20	0.20	0.45	0.18	0.34	0.32	0.32	0.31	0.38	0.42	0.15	0.15	0.28	0.17	0.25	0.46	0.46	0.55	0.75	1.00	1.18	1.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	23.70	22.50	25.80	25.80	22.10	19.10	13.39	13.48	13.48	9.84	10.04	11.52	16.04	16.04	18.75	18.52	22.59	23.56	23.56	25.22	20.33	21.59	22.18	22.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
