CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	Q4 2014	 2013	 2012	 2011
KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q3 2015	Q2 2015	 2014	Q3 2014	Q1 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	37856	2922	262062	170638	21448	31658	36764	165349	43816	39351	36539	45643	289973	90634	69445	92004	37890	303203	197541	47678	27052	29705	195091	35912	38373	252049	76746	47974	305052	507617	670667
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	1554	0	0	-1554	1554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0
Doanh thu thuần###Net Sales	37856	2922	260508	170638	21448	33212	35210	165349	43816	39351	36539	45643	289973	90634	69445	92004	37890	303203	197541	47678	27052	29705	195091	35912	38373	252025	76746	47974	305052	507617	670667
Giá vốn hàng bán###Cost of goods sold	20898	2421	208768	132464	18607	27506	30191	144269	38776	35542	30525	39364	259228	81646	60647	80666	36269	267696	181114	45266	23874	27095	172733	35581	33569	231457	73445	45489	271117	440643	553748
Lợi nhuận gộp###Gross profit	16957	502	51740	38174	2841	5706	5018	21080	5040	3810	6014	6279	30744	8987	8798	11337	1622	35507	16427	2412	3178	2611	22358	331	4804	20568	3301	2485	33935	66974	116918
Doanh thu hoạt động tài chính###Financial activities Revenues	7	379	236	225	5	4	2	115	71	2	3	39	1092	986	6	-861	960	4926	1225	702	1294	1921	7408	1619	1955	5977	1042	2130	14360	16134	24398
Chi phí tài chính###Financial Expenses	2060	301	7097	3256	403	1683	1755	3679	-2413	2148	834	3109	1878	-3621	487	3505	1507	8141	4161	996	1678	1195	8721	1408	2590	11947	1229	2227	18205	19249	21666
Chi phí bán hàng###Selling Expenses	8938	24	11459	8929	249	1172	1110	2853	832	633	735	654	5573	1602	3971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	503
Chi phí quản lý doanh nghiệp###Managing Expenses	4049	240	13657	7712	1955	2243	1747	6288	2532	-491	2186	2061	11816	4528	1539	5267	482	18042	5853	1743	6510	3740	15070	1068	4302	17614	2694	2232	18394	25867	41822
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1917	316	19764	18503	240	611	409	8375	4160	1521	2262	494	12569	7464	2807	1704	593	14249	7637	374	-3716	-403	5975	-526	-133	-3016	420	156	11696	37906	77326
Thu nhập khác###Other incomes	56	0	724	342	142	140	101	1366	851	0	11	505	1572	87	422	645	419	7588	2419	1989	1659	1125	4250	539	91	8899	546	242	7588	3858	3501
Chi phí khác###Other Expenses	378	288	5431	4620	249	260	303	5798	2761	751	1520	766	3198	579	670	1115	834	6328	-1474	775	1242	478	1447	272	144	3195	297	247	5747	2032	2242
Lợi nhuận khác###Other profits	-322	-288	-4707	-4278	-107	-121	-202	-4432	-1910	-751	-1509	-261	-1626	-492	-248	-470	-416	1260	3892	1214	417	647	2803	267	-53	5704	249	-5	1840	1827	1259
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1595	28	15057	14225	133	491	207	3942	2251	770	752	232	10943	6972	2560	1234	177	15509	11530	1589	-3299	244	8777	-259	-186	2688	669	151	13536	39732	78585
Chi phí thuế TNDN###Corporate Income Tax Expenses	349	21	3020	2895	0	81	44	561	305	62	134	69	1887	1294	331	303	-40	2174	2640	-89	82	87	2144	-61	-98	931	341	48	919	10450	20443
Chi phí thuế TNDN###Corporate Income Tax Expenses	349	21	3020	2895	0	81	44	561	305	62	171	22	1815	1288	313	214	0	2250	1848	56	174	203	1864	-3	76	644	258	44	213	11818	20579
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	-37	46	72	6	18	89	-40	-77	791	-145	-92	-116	280	-58	-174	287	84	4	706	-1368	-137
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1246	7	12037	11330	133	410	163	3381	1946	708	618	163	9056	5676	2227	934	219	13540	8890	1677	-3381	158	6506	-198	-88	1774	327	103	12617	29282	58142
---Cac Chi So Tai Chinh---																															
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	7.31	4.57	4.48	4.48	4.12	4.29	5.06	6.61	6.61	5.49	6.40	5.17	4.00	4.00	2.71	2.89	3.83	3.27	3.27	1.69	2.59	6.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
