CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	 2014	 2013
Nợ phải trả ###Liabilities	986192	917645	1045450	1044634	1029541	1192328	878757	869006	868645	1020660	986356	887136	854402	854300	971514	1108581	989507	1162999	1163268	1128004	1131403	1068012	1172539	560283
Nợ ngắn hạn###Short term Liabilities	911191	836337	966809	965993	948326	1102657	785853	775639	775269	923948	890780	793527	748206	748104	844465	966413	826408	983282	983184	928460	922120	838667	929101	554331
Nợ dài hạn###Long term Liabilities	75001	81309	78641	78641	81215	89671	92903	93367	93376	96712	95576	93609	106196	106196	127049	142168	163099	179717	180084	199544	209282	229345	243437	5952
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	558945	603916	585745	587021	586116	567043	756075	736092	734208	719759	690066	728641	702896	703336	681550	661313	649395	624818	624581	663833	626530	566977	494934	448135
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	558945	603916	585745	587021	586116	567043	756075	736092	734208	719759	690066	728641	702896	703336	681550	661313	649395	624818	624581	663833	626530	566977	494934	448135
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72393	62834
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	479490	491138	2159466	553578	557648	558787	489452	2335383	532665	592233	603804	631709	2533981	524361	702997	664385	642238	2494476	713162	667355	618454	2340993	2334226	2033375
Các khoản giảm trừ doanh thu###Deduction revenues	4053	308	1792	388	385	592	427	3327	1414	798	626	490	3459	913	1412	499	636	2876	1955	430	273	691	3513	1110
Doanh thu thuần###Net Sales	475437	490830	2157674	553190	557264	558195	489025	2332056	531250	591435	603178	631219	2530522	523448	701585	663886	641602	2491600	711207	666925	618181	2340302	2330713	2032264
Giá vốn hàng bán###Cost of goods sold	424482	439615	1938900	509204	501224	491335	437056	2066973	473796	516176	532640	566353	2252695	462757	635336	588311	566291	2157780	606571	579930	537927	2035825	2043358	1775731
Lợi nhuận gộp###Gross profit	50955	51215	218774	43986	56039	66860	51969	265082	57455	75259	70537	64866	277826	60691	66249	75575	75311	333820	104636	86995	80255	304476	287355	256534
Doanh thu hoạt động tài chính###Financial activities Revenues	4100	3717	15956	5307	3035	6481	1012	9335	3476	3330	1389	1654	11560	3944	2212	2508	3089	17719	10062	1403	1485	8755	11101	7474
Chi phí tài chính###Financial Expenses	6241	12064	36857	11212	9249	9244	7152	41691	8682	14480	10741	8252	32170	7907	8709	7817	7931	39877	16315	7043	7990	56262	30041	15489
Chi phí bán hàng###Selling Expenses	5077	4299	22036	6040	5781	5556	4659	23758	5414	6011	5501	6832	52247	6988	14122	13686	17451	57759	11949	10428	10146	36798	32676	32344
Chi phí quản lý doanh nghiệp###Managing Expenses	16745	15668	74021	17594	20508	17072	18847	85407	26102	23246	19450	19582	100294	32424	19210	26666	21994	111650	41273	28299	32721	134165	109614	102201
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	27225	23005	103480	14926	23784	42329	22435	124902	20894	35242	36533	31997	104852	18426	25903	30090	30871	143741	45526	42838	31687	87353	126125	113973
Thu nhập khác###Other incomes	338	0	8917	4867	481	994	2575	4293	1687	2340	541	58	8126	7261	6	816	42	10202	-22867	7910	431	106	26053	16499
Chi phí khác###Other Expenses	250	35	228	-116	317	0	27	1398	1049	648	0	35	70	0	35	0	35	4362	87	3956	0	2497	24263	15114
Lợi nhuận khác###Other profits	88	-35	8689	4984	164	994	2548	2895	638	1693	541	23	8056	7261	-28	816	7	5840	-22954	3953	431	-2391	1790	1385
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	27314	22971	112169	19910	23948	43323	24983	127796	21531	36935	37074	32021	112908	25687	25875	30907	30878	149580	22572	46791	32118	84962	130384	108828
Chi phí thuế TNDN###Corporate Income Tax Expenses	5953	4800	22362	4005	4874	8499	5000	25302	5431	7243	7351	6276	22584	3902	5638	6742	6302	30782	4320	9488	6260	23267	28092	24455
Chi phí thuế TNDN###Corporate Income Tax Expenses	5953	4800	21777	4053	4874	7866	5000	26151	5431	7243	7351	6276	22584	3902	5638	6742	6302	30782	4074	9488	6260	23212	27996	24396
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	585	-48	0	633	0	-849	0	0	0	0	0	0	0	0	0	0	246	0	0	55	96	59
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	22325	19014	94345	17114	20424	35791	20904	108251	15973	31553	29724	27447	93681	22526	20977	24283	26334	126817	18251	37303	25858	66462	108779	84373
---Cac Chi So Tai Chinh---																								
EBITDA	0.11	-0.20	-0.96	-0.96	-0.74	-0.47	0.07	0.15	0.15	0.22	0.15	0.14	0.19	0.19	-0.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	19.35	21.60	20.54	20.54	19.64	22.23	20.28	17.14	17.14	14.29	12.79	14.10	12.39	12.39	13.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
